,predict_data,mse,rmse
0,"[ 27.809124  34.868874  40.041256  37.984905  47.361618  52.515816
  52.746643  63.83089   61.771458  66.50124   75.22974   75.87171
  80.066086  89.194176  90.28313   98.14075   97.31005  103.2426
 108.43455  115.286415 114.73369  120.88084  122.05324  125.01273
 124.05766  130.7343   129.175    138.94838  135.27118  137.36624
 135.8887   139.92474  140.93233  144.54535  141.89893  147.843
 141.46408  144.91272  142.92938  146.34386  143.1194   146.22736
 143.79086  144.60428  140.88622  142.25934  139.23157  140.31544
 137.58464  140.07422  138.44911  134.88115  136.39076  133.14276
 131.05035  134.80576  131.21944  133.60646  131.06714  127.33344
 125.32813  127.44568  123.64799  123.79749  123.36912  122.26309
 121.081085 120.468285 118.454796 115.662224 112.22945  112.52284
 107.03223  105.62707  108.884415 103.0449   101.456154  98.55077
  94.48468   93.933914  94.47733   88.46077   84.52989   85.55205
  79.50295   75.5581    74.86354   73.42055   67.88575   67.702934
  61.962673  59.735058  55.05859   51.66789   46.252453  46.64287
  44.72555   43.144062  37.454834  33.431915  30.989176  29.329357
  26.466688  22.096695  23.05548   21.654     16.375105  15.583175
  12.749903  14.293185  10.767685  12.927683  11.743052  11.753184
  11.337406  11.49128   11.557055  13.633118  13.35317   19.656406]",2781.356775286887,52.73857009141305
1,"[ 23.5055     30.458742   35.329685   34.361988   43.032303   47.418415
  48.173958   57.489475   56.932686   61.312622   68.6638     69.79849
  73.77886    81.21       82.63805    89.111084   89.59914    94.66889
  98.4539    104.75435   104.65322   110.065575  110.60625   113.89228
 113.35305   119.16025   117.23755   126.26553   122.88412   125.47367
 123.837906  127.843094  127.97198   131.41869   129.06705   134.32014
 129.06516   132.40375   130.71776   133.38725   130.75586   133.58418
 131.60469   131.97832   129.4255    130.3449    127.91196   129.05298
 126.84294   129.10109   127.58565   125.167336  126.27756   123.56422
 121.4908    124.99464   121.98901   123.9228    121.77716   118.294235
 116.37301   118.0938    114.82937   114.55607   114.28757   112.61579
 111.59923   110.61323   108.99422   105.45539   102.98361   101.94287
  97.299805   95.30362    98.15642    92.319595   90.81335    87.1463
  83.63675    82.59944    82.38097    76.75163    73.6129     72.90338
  67.64549    63.59459    62.797203   61.200928   55.454628   54.604733
  49.709553   47.458515   43.135445   39.34974    34.75306    33.93358
  32.8588     30.750969   25.490889   21.761608   19.566456   17.65469
  15.556901   11.5165205  11.899415   11.108524    6.41297     5.583096
   3.7095945   4.685668    2.4957006   4.2689047   3.6443274   4.083605
   4.305209    4.629928    4.6719685   7.1455026   7.5695496  13.355265 ]",2055.958932619067,45.342683341627094
2,"[ 1.85924873e+01  2.53457661e+01  2.95703583e+01  2.97576046e+01
  3.72834969e+01  4.11405602e+01  4.21786537e+01  4.98804512e+01
  5.05208244e+01  5.46882057e+01  6.06571579e+01  6.23298264e+01
  6.60837402e+01  7.19437561e+01  7.37565994e+01  7.90669708e+01
  8.06464005e+01  8.50286560e+01  8.78259277e+01  9.35363541e+01
  9.39954910e+01  9.86660080e+01  9.89828568e+01  1.02491379e+02
  1.02505455e+02  1.07553352e+02  1.05741920e+02  1.13793297e+02
  1.11090485e+02  1.13971725e+02  1.12544930e+02  1.16362267e+02
  1.16058670e+02  1.19233337e+02  1.17401070e+02  1.21839539e+02
  1.17837631e+02  1.20872429e+02  1.19569321e+02  1.21472656e+02
  1.19440147e+02  1.21843849e+02  1.20257851e+02  1.20303848e+02
  1.18576263e+02  1.19124199e+02  1.17044746e+02  1.18221474e+02
  1.16255501e+02  1.18290352e+02  1.16645424e+02  1.15254898e+02
  1.15697411e+02  1.13616600e+02  1.11426964e+02  1.14566277e+02
  1.11935196e+02  1.13464325e+02  1.11528801e+02  1.08485222e+02
  1.06536514e+02  1.07891411e+02  1.05080559e+02  1.04536751e+02
  1.04298607e+02  1.02287231e+02  1.01426338e+02  1.00114868e+02
  9.88963318e+01  9.49784698e+01  9.33788986e+01  9.13997040e+01
  8.77664490e+01  8.53596649e+01  8.78377914e+01  8.23010788e+01
  8.11049728e+01  7.70482330e+01  7.43290100e+01  7.28906937e+01
  7.23605652e+01  6.72320328e+01  6.50681229e+01  6.30463181e+01
  5.89416008e+01  5.48909264e+01  5.42962189e+01  5.25068779e+01
  4.72191200e+01  4.57567444e+01  4.19223022e+01  3.95588531e+01
  3.58652420e+01  3.18966503e+01  2.82157021e+01  2.64704533e+01
  2.59723186e+01  2.34912128e+01  1.88080997e+01  1.53690948e+01
  1.33597469e+01  1.12595158e+01  9.60338879e+00  5.96334553e+00
  5.69438267e+00  5.22590160e+00  1.02231777e+00  1.24621958e-01
 -1.23769367e+00 -7.88722575e-01 -2.18266773e+00 -8.73606861e-01
 -1.29693592e+00 -6.35780871e-01 -2.52965987e-01  2.11702019e-01
 -4.78458330e-02  2.63857412e+00  3.26024866e+00  8.41400146e+00]",1502.2241688374604,38.75853672208821
3,"[ 19.613771    25.971003    28.693106    31.927809    36.513397
  40.230976    41.980762    46.896095    49.705032    53.929962
  57.25825     60.508133    63.694294    67.18832     69.754036
  73.24286     76.72734     80.26926     81.282455    86.06674
  87.52923     90.916504    91.1486      95.27937     96.226135
  99.91264     98.643974   104.48562    103.02313    106.67237
 105.46393    109.029915   107.89703    110.6468     109.45637
 112.53126    110.65025    113.109886   112.189835   113.17422
 111.652245   113.33704    112.02737    112.09423    111.11384
 111.36272    109.360664   110.61913    108.80329    110.257904
 108.075226   108.439255   107.06585    106.29049    103.66387
 105.55667    103.64549    104.15057    102.37729    100.35831
  98.03544     98.71468     96.307724    95.50625     94.5669
  92.388885    91.34526     89.575775    88.58193     84.575874
  83.980354    80.656456    78.53901     75.70156     76.4357
  72.09978     70.89505     66.65109     64.864494    62.89776
  61.153072    57.341503    56.369442    52.509342    50.066185
  46.25068     45.32912     43.328682    39.007523    36.52486
  34.331882    31.797049    28.894953    25.08804     22.727243
  19.673615    19.408506    16.573788    12.986363    10.634768
   8.627508     6.4823127    5.0571666    2.8512883    1.0784754
   1.1254643   -1.9818693   -2.601723    -3.393916    -3.467575
  -3.753847    -3.2765775   -3.373051    -2.0859048   -1.6906332
  -0.64029014  -1.296063     1.5816653    2.6764052    6.368696  ]",1256.1228799884068,35.441823880669666
4,"[ 13.062175   19.041683   20.728096   25.456234   28.21276    31.648006
  33.611526   36.726006   40.70584    44.803387   46.5877     50.526733
  53.424774   55.312027   58.425793   60.75664    65.42096    68.36816
  68.54468    72.718735   74.92144    77.483116   77.84891    82.328255
  84.05538    87.03384    86.34115    90.97013    90.5105     94.60658
  93.86769    97.34142    96.09363    98.65359    98.21621   100.543945
 100.24149   102.394646  102.05843   102.54283   101.65612   103.01527
 102.175545  102.36081   102.0718    102.292786  100.56286   102.10357
 100.53079   101.93614    99.580956  101.227005   98.94732    99.23047
  96.45452    97.94798    96.5535     96.78536    95.21756    94.03372
  91.6166     92.165825   90.18245    89.426796   88.29216    86.17041
  85.21986    83.31761    82.64972    78.7157     78.879      74.92391
  73.896675   70.85524    70.841995   67.229324   66.247406   61.95555
  60.8896     58.639168   56.414158   53.316273   53.1886     48.25661
  46.927567   43.152164   42.231056   39.98895    36.376297   33.18919
  32.02245    29.214594   26.807709   22.956495   21.334518   17.420944
  17.188715   13.997906   10.907881    8.982517    6.821684    4.475583
   2.9397714   1.359263   -1.4760445  -1.3828378  -4.112      -4.825039
  -5.5613203  -6.189036   -6.1178083  -6.4157333  -6.569275   -5.241877
  -5.1025004  -4.0018053  -5.1605916  -2.4363887  -1.3488091   1.2485867]",928.2942659759343,30.467921917582995
5,"[12.759147   18.33032    18.8392     25.813068   26.280493   29.64856
 32.121746   33.19716    38.734142   42.897858   42.72957    47.886574
 50.359257   50.55881    54.236824   55.346657   61.287003   63.752144
 62.79215    66.27044    69.25951    70.99289    71.42559    76.3806
 78.80126    80.92969    80.8447     83.7571     84.44864    89.09037
 88.7176     92.01983    90.3731     92.69259    92.863655   94.23304
 95.60521    97.41641    97.42183    97.35403    96.97037    97.8944
 97.3196     97.71721    97.956085   98.1447     96.5144     98.226
 96.7548     97.851555   95.129196   98.17685    94.558815   95.97983
 92.97508    93.55822    92.642815   92.20599    90.73053    90.52603
 87.840515   87.91306    86.23646    85.41392    83.70006    81.61456
 80.45789    78.31056    77.715866   73.99099    74.72616    70.009224
 70.047424   66.79054    65.29606    62.756126   61.67333    57.45146
 56.963085   54.341156   51.18566    49.159073   49.714638   43.57968
 43.417866   39.92537    38.602634   36.15019    33.30131    29.337091
 29.225798   26.20878    24.350702   20.648996   19.903873   15.017883
 14.704652   11.212474    8.909688    7.6438622   5.3404393   2.8937037
  1.3554927   0.71509546 -3.2975388  -3.0438497  -4.9751635  -5.634562
 -6.086564   -7.2580643  -6.522629   -7.5867405  -7.613197   -6.053253
 -6.011432   -4.606385   -6.0765495  -3.3484266  -2.09841    -0.6909208 ]",833.5008886430898,28.870415456710866
6,"[11.451949  16.716543  16.461334  24.806208  23.815367  27.107456
 29.881008  29.661726  36.16818   40.36223   38.956573  44.88076
 47.09032   46.219124  50.257206  50.632195  57.339607  59.53817
 57.9346    60.965633  64.48274   65.74094   66.26168   71.5204
 74.40164   76.056786  76.43588   78.2549    79.78975   84.76171
 84.72874   87.9292    86.131424  88.329956  88.97429   89.75236
 92.2555    93.8919    94.167175  93.77628   93.80498   94.49214
 94.14269   94.72419   95.3356    95.56378   94.04614   95.91592
 94.52145   95.48405   92.55495   96.544785  92.10787   94.31312
 91.209785  91.250114  90.611496  89.8       88.37876   88.87236
 86.031105  85.80679   84.346176  83.51557   81.44444   79.4171
 78.11787   75.8418    75.277824  71.758     72.81409   67.681465
 68.38648   65.0141    62.554676  60.73407   59.57349   55.44876
 55.306313  52.441864  48.7148    47.383026  48.325623  41.45317
 42.03534   38.750034  37.147995  34.528927  32.17831   27.70283
 28.216671  25.02877   23.526821  19.900337  19.693262  14.162983
 13.743097  10.0228405  8.208528   7.268336   4.8355675  2.2756922
  0.6993075  0.5632677 -4.208345  -3.9419527 -5.385136  -6.099107
 -6.4090176 -8.01972   -6.909251  -8.524549  -8.520436  -6.922008
 -6.9755898 -5.451812  -7.143853  -4.4614234 -3.1966255 -2.5762095]",746.0044342508821,27.313081742104497
7,"[ 9.758949  14.775864  14.030295  23.226433  21.311646  24.503878
 27.47689   26.410503  33.56171   37.768616  35.54409   41.99586
 44.034744  42.48374   46.742355  46.689762  53.863518  55.94776
 53.967567  56.72393   60.61255   61.65036   62.247375  67.736115
 70.92984   72.354     73.0912    74.21554   76.41715   81.620674
 81.90768   85.078285  83.25849   85.4422    86.47822   86.914215
 90.22879   91.846695  92.344955  91.79457   92.20061   92.80691
 92.672554  93.43786   94.36245   94.6948    93.322845  95.36078
 94.05027   94.99057   91.97282   96.65072   91.72707   94.49787
 91.39527   91.10554   90.62182   89.595634  88.20557   89.22319
 86.28937   85.84723   84.535645  83.71477   81.39932   79.42096
 77.97349   75.63362   75.031654  71.6954    72.879105  67.50815
 68.5823    65.14418   61.965126  60.644943  59.34322   55.314003
 55.308617  52.2669    48.10027   47.24228   48.32756   40.961533
 41.973255  38.862026  36.978077  34.222347  32.119503  27.28958
 28.11234   24.787628  23.487946  19.873663  19.977274  13.964482
 13.4264765  9.50436    7.984947   7.149803   4.5914917  1.8927757
  0.2923555  0.3686175 -4.9035606 -4.7029233 -5.824981  -6.6750884
 -6.8820453 -8.897986  -7.532404  -9.566832  -9.564518  -8.042363
 -8.143941  -6.620002  -8.450996  -5.829073  -4.6065297 -4.522229 ]",690.6758377854269,26.280712276980374
8,"[11.740738   16.591734   15.484442   25.547888   22.904263   26.065863
 29.29925    27.601938   35.362938   39.6757     36.698788   43.777054
 45.637756   43.623764   47.986404   47.66752    55.158283   57.255333
 54.878048   57.435177   61.59238    62.555874   63.13922    68.83934
 72.191025   73.419685   74.38384    74.846146   77.616356   82.991196
 83.481636   86.58377    84.61614    86.77569    88.03343    88.128296
 92.03655    93.67334    94.19967    93.46768    94.12283    94.62074
 94.549065   95.41139    96.51649    96.87822    95.548035   97.620415
 96.28431    97.06645    93.89138    99.06171    93.636665   96.746155
 93.61879    92.8492     92.37515    90.97551    89.51958    90.90275
 87.813255   86.96216    85.6814     84.73771    82.08712    80.03692
 78.303566   75.81719    75.04092    71.815      72.96636    67.31615
 68.57736    65.05385    61.06004    60.190037   58.609837   54.65771
 54.664257   51.42548    46.77445    46.387486   47.497684   39.682293
 41.040524   38.19015    35.950233   33.122086   31.164518   26.080826
 27.117952   23.766087   22.681658   19.135834   19.562407   13.138941
 12.57156     8.526739    7.3745513   6.642495    4.071159    1.2979
 -0.13742155  0.12698908 -5.4589453  -5.2302556  -5.912972   -6.8305044
 -6.777378   -9.117807   -7.3620677  -9.624907   -9.529526   -7.9755373
 -7.978585   -6.343863   -8.176261   -5.448063   -4.2063046  -4.4372377 ]",642.3719499097698,25.345057701843366
9,"[ 11.983791    16.805412    15.69233     25.765684    23.156454
  26.282837    29.52272     27.884495    35.661793    40.024174
  36.99425     44.188194    46.044525    44.08245     48.3955
  48.201202    55.57796     57.80471     55.505272    58.067394
  62.25698     63.369476    63.977543    69.67884     73.00977
  74.33431     75.37919     75.777115    78.76234     84.06827
  84.711494    87.7695      85.88767     88.0666      89.414345
  89.46265     93.43756     95.14192     95.65342     94.8763
  95.65548     96.15282     96.09588     96.943985    98.06307
  98.43924     97.128876    99.18448     97.78155     98.549965
  95.336266   100.51971     95.0667      98.15784     95.07129
  94.21511     93.586395    92.12096     90.58325     92.0175
  88.89445     87.86954     86.5674      85.560104    82.86059
  80.75059     78.906525    76.36899     75.50044     72.320625
  73.348335    67.72452     68.92695     65.39469     61.276943
  60.464355    58.807293    54.91377     54.8814      51.579517
  46.95346     46.626873    47.67359     39.84546     41.28108
  38.545727    36.26351     33.402176    31.474655    26.385672
  27.380291    24.025753    23.046595    19.494768    19.988125
  13.505116    12.953373     8.874176     7.8140807    6.9198017
   4.383185     1.5481614    0.21758233   0.31449506  -5.2037888
  -5.060037    -5.6603327   -6.703269    -6.5866265   -9.0837145
  -7.280568    -9.554065    -9.490644    -8.048383    -8.020432
  -6.4287257   -8.253765    -5.4698277   -4.36759     -4.5317407 ]",617.2301425580811,24.844116860095493
