id,predict_data,mse,rmse,norm_corr
0,"[ 38.070126  46.993576  51.03346   54.46257   63.208775  66.769684
  73.73428   83.323265  86.73097   92.17856  105.192276 108.17514
 114.79322  125.24524  130.61043  134.2406   144.45938  147.64566
 152.89989  162.03531  165.85721  169.95412  175.9791   181.18437
 184.27782  189.37396  192.95099  195.15196  196.09843  198.22781
 203.03195  198.89037  201.58797  207.4035   202.23714  201.58188
 206.76157  198.16731  200.08415  201.95026  195.3128   191.57794
 194.98625  187.72702  184.68492  184.82616  182.26045  172.91562
 175.20029  171.35672  163.85387  165.65398  158.23964  153.74026
 150.93292  149.71594  142.66727  137.14969  135.68547  129.6686
 129.63896  125.60552  121.31818  115.43828  116.84726  116.04016
 105.82336  106.11061  106.58503   98.1046    97.42169  101.487595
  87.637375  89.61091   94.11776   81.512184  81.57312   85.75446
  75.91983   74.07966   82.570885  68.85311   69.38911   75.19279
  65.423195  63.610725  70.99322   62.96159   55.644394  64.057175
  54.491554  49.36614   53.717457  49.51194   41.783947  45.204926
  41.475815  36.8685    39.18908   36.667717  30.371624  30.360329
  29.574879  24.891369  23.66833   24.600605  20.693945  20.030653
  19.508644  17.980083  13.979435  17.1964    15.490558  13.507574
  16.746813  16.407475  15.773953  18.030865  18.98806   18.789173]",6526.385713,80.786049,0.0
1,"[ 36.661556  44.574303  47.846092  53.064705  62.09749   63.861073
  71.37985   79.55142   83.03631   88.79684  101.786934 102.8492
 109.66308  119.80164  124.11639  126.95674  136.93558  138.11183
 143.78218  152.12961  155.14604  158.44287  164.35336  167.70952
 171.32204  175.60568  178.3296   179.70724  180.21     180.91512
 185.05063  181.40503  182.18965  189.58728  183.3893   180.15796
 186.29688  178.81044  178.14484  182.35036  174.59752  170.00133
 175.09697  168.21158  162.6304   165.98683  163.64595  154.42355
 156.87337  155.12685  145.82909  148.92395  144.22917  137.94577
 136.79514  136.24516  129.2235   123.92389  124.46305  119.85887
 117.27062  115.667    111.88741  105.18495  106.67388  106.45771
  95.79852   96.53222   98.33761   88.05387   88.47836   93.32325
  78.92379   80.88139   85.697845  72.51985   71.825325  77.65343
  67.560196  65.41179   74.51448   61.113426  59.41949   66.19586
  56.841118  54.30045   61.583046  53.220795  45.820515  54.24629
  45.89833   39.141132  42.68916   39.877903  33.016834  35.755726
  32.774513  28.592642  31.071081  28.055756  23.472094  21.54774
  21.978264  18.041077  17.355116  16.88823   13.42586   14.54493
  12.245101  11.958181   8.317469  10.88362    9.725027   9.637439
  12.317796  11.320451  11.246599  13.741244  14.129538  14.534857]",4744.068281,68.8771971,0.9996136439268924
2,"[ 32.449356   38.75308    40.72901    47.39043    56.56617    56.36054
  63.716984   70.35615    73.16976    78.95969    91.896774   90.58278
  97.58543   106.5585    109.7466    112.17328   121.79057   120.69907
 127.33495   134.58237   136.8934    139.4389    145.6157    146.72604
 151.3048    155.21626   156.9699    157.90385   158.83696   158.17755
 161.51053   159.62021   158.47246   167.2238    161.01271   155.20146
 162.32347   157.08563   154.14015   160.57687   152.05415   147.4058
 153.63086   147.84236   140.3329    146.68486   144.26219   136.55745
 138.50616   138.99036   128.73694   132.75233   130.68413   123.03299
 123.559685  123.09842   116.71917   112.294304  114.162285  111.57152
 105.974976  106.86956   103.66319    96.526825   97.48746    97.723076
  87.42256    88.02963    91.33851    79.094315   80.77349    85.97669
  72.06561    73.660576   78.64983    64.88221    63.588642   70.87668
  60.04001    58.205128   67.37782    54.53414    50.69147    58.5684
  49.80614    46.41065    53.20805    44.581585   37.724827   46.075417
  39.080826   30.722616   33.556404   31.38749    26.46452    28.611708
  26.101702   22.50054    25.083113   21.611498   18.94843    14.967339
  16.654137   13.708394   13.847947   11.705558    8.403836   11.367097
   7.203342    8.335747    4.7646933   7.1789207   5.8892255   7.5096483
  10.039501    8.209701    7.851028   10.905214   10.151195   11.101182 ]",3001.895374,54.78955533,0.9990062096602367
3,"[ 26.477196   30.68801    31.036491   38.924896   48.06903    45.7904
  52.50139    57.421944   59.238113   64.84263    77.600555   73.689384
  80.81716    88.1826     90.20496    92.39564   101.58867    98.143425
 106.020096  112.043785  113.7743    115.57641   122.36698   121.03517
 126.84585   130.73936   131.5127    132.21956   134.23004   132.35004
 134.75465   135.51453   132.52037   142.46      136.93585   128.67033
 136.74869   134.62021   129.62018   138.27107   129.24518   125.123024
 132.15033   127.909     118.89275   128.09279   125.3689    120.187904
 121.13412   123.869675  113.22187   117.90134   118.409645  109.55216
 111.825066  110.936005  105.498     102.435265  105.190506  104.796196
  95.95097    99.3438     96.58939    89.336395   89.31261    89.663734
  80.339035   80.47936    85.073944   70.93753    74.00084    79.01696
  66.36667    67.37961    72.23808    57.978687   56.243404   64.70484
  52.861908   51.819942   60.50951    48.41717    42.598698   51.469234
  43.381744   39.2196     45.233517   36.250927   30.535898   38.688725
  33.093597   23.286804   25.452099   23.40606    21.157156   22.82029
  20.512634   17.645195   20.415668   16.381098   15.827481    9.839024
  12.74729    10.920921   12.200977    8.119546    4.8162985   9.789556
   3.6959648   6.2587857   2.7357278   5.221055    3.4304938   6.7101774
   9.275317    6.4700594   5.348135    9.135074    6.859981    8.273259 ]",1625.476952,40.31720417,0.9992248790693112
4,"[ 21.220463   23.454082   22.247702   30.978197   39.97192    35.98252
  41.779446   45.22731    46.021824   51.32656    63.663433   57.607414
  64.708626   70.427864   71.37144    73.61403    82.24865    76.88149
  85.898834   90.70514    91.92344    93.24115   100.57266    97.02094
 104.01363   107.93757   107.79151   108.581764  111.71649   108.88988
 110.501564  113.89104   109.347946  119.996735  115.46371   105.360344
 114.06768   115.028694  108.35163   118.71227   109.53472   106.17113
 113.48636   110.818695  100.85227   112.10183   108.94313   106.52159
 106.244644  110.72394   100.25376   105.093185  107.75473    98.0692
 101.66018   100.11504    95.77448    94.08062    97.2682     98.86408
  87.08794    92.52505    90.31297    83.0718     81.893745   82.295685
  74.14844    73.699135   79.26895    63.672607   67.935684   72.506996
  61.4283     61.793446   66.4292     51.893677   49.931015   59.199734
  46.393738   46.341873   54.202827   43.02311    35.750526   45.32439
  37.875916   33.203064   38.356316   29.107372   24.855396   32.581028
  28.299194   17.547394   19.185167   16.945282   17.384571   18.673779
  16.4725     14.2868395  17.185865   12.797079   14.076198    6.5827117
  10.505818    9.689847   11.999413    6.358071    3.0537734   9.5538025
   2.1788545   5.891464    2.4320507   5.1373863   2.8742955   7.336345
  10.0837      6.552025    4.4940004   9.021703    5.4424663   7.1489787]",884.8015862,29.74561457,0.9995258427201259
5,"[ 16.42136    16.733574   14.190248   23.621737   32.27411    26.801321
  31.733908   33.660248   33.772507   38.75669    50.43071    42.61632
  49.590683   53.94665    53.91372    56.1379     64.214325   57.27592
  67.17414    70.97293    71.77303    72.69454    80.58649    75.1517
  83.18692    87.21227    86.31705    87.2219     91.45953    87.93691
  88.87864    94.71853    88.95882   100.236885   96.716705   85.240265
  94.47388    98.39314    90.32455   102.30002    93.1871     90.61043
  98.27639    97.06944    86.3941     99.46109    96.000946   96.216034
  94.8258    100.808945   90.64115    95.6086    100.251656   89.812874
  94.65755    92.40229    88.98717    88.61361    92.207245   95.31112
  81.09796    88.27656    86.36991    79.27661    77.021576   77.13845
  70.21125    69.29811    75.238      58.68095    64.00869    67.73873
  58.244427   58.01641    62.071915   47.54384    45.427254   55.061146
  41.55866    42.423553   49.154896   38.89364    30.468563   40.266167
  33.35428    28.455482   32.661358   23.006836   20.313631   27.42902
  24.227741   12.8736515  13.951495   11.462328   14.303312   15.261611
  12.976638   11.462895   14.5902      9.640395   12.60786     4.0110064
   8.612304    8.652347   12.035943    4.82619     1.5842305   9.588248
   1.0124851   5.5591674   2.4641516   5.083821    2.5208821   8.159343
  10.827228    6.619161    3.9183993   8.935079    4.2185364   6.1590776]",652.3430266,25.54100676,0.9996158327090896
6,"[16.820387  16.038895  12.878359  22.69895   30.823551  24.734203
 29.12547   30.05638   30.15109   35.02392   45.33795   37.10209
 43.75227   47.416653  46.478737  49.03147   56.21108   48.724884
 58.80972   61.79019   61.982304  63.15424   70.875015  64.24648
 72.87406   76.48151   74.907616  76.309616  80.696     76.82025
 77.65041   84.52728   78.03384   89.28028   86.351395  74.70405
 83.834045  89.515816  80.42198   93.176674  84.625786  82.450356
 90.06434   89.769325  78.92527   92.44805   88.92499   90.88551
 88.63593   95.132126  85.73494   90.08964   96.17658   85.57911
 90.65841   88.03595   85.53044   85.62562   89.54095   93.41781
 77.694145  85.69755   84.55102   77.27234   74.24639   74.39732
 68.07893   67.0207    72.79846   56.165054  61.90921   64.87114
 56.355633  55.62112   59.136604  45.03404   42.829124  52.317554
 38.718636  39.985317  45.44525   36.222477  27.286575  36.541824
 29.92908   25.226532  28.593782  18.712439  17.395163  23.307745
 20.93566    9.847084  10.415402   7.8903    11.9031105 12.4947195
 10.286951   9.087099  12.254864   7.153461  11.025235   2.404588
  7.1505904  7.6075625 11.453824   3.7062955  0.9180252  9.332455
  0.94853    5.6033397  3.3164704  5.4859314  3.476551   9.63565
 11.972132   7.8151894  5.2056313 10.3143015  5.5888853  7.630661 ]",674.7912376,25.97674417,0.9995737621513696
7,"[18.81346   17.540232  14.097271  23.949276  31.5982    25.398657
 29.360945  29.846643  29.834528  34.652714  43.70996   35.5754
 41.927345  44.976547  43.398567  46.47017   52.744938  45.17798
 55.257366  57.51398   57.158806  58.7797    65.99106   58.673805
 67.59783   70.69673   68.57992   70.578606  74.79693   70.73174
 71.66687   78.92405   72.02677   82.81632   80.40791   69.06619
 77.78144   84.40154   74.81974   87.55041   79.742294  77.85256
 84.96691   85.32998   74.761604  87.87013   84.3727    87.41854
 84.535934  91.04396   82.61386   86.078285  92.89141   82.66627
 87.39551   84.636536  82.98661   83.17073   87.040825  91.43524
 74.951515  83.1526    82.82745   75.380264  71.84518   72.24944
 66.291     65.09096   70.746635  54.354626  60.09886   62.56257
 54.77777   53.649853  56.821606  43.237114  41.023186  50.148476
 36.69697   38.155716  42.579254  34.274765  25.262007  33.898205
 27.548115  23.07921   25.751207  16.018066  15.690392  20.475195
 18.69009    8.209293   8.4625435  5.855379  10.53123   10.841853
  8.765573   7.766979  10.77032    5.870219  10.16393    1.9177428
  6.5585637  7.334573  11.272054   3.600857   1.3150375  9.505667
  1.8471898  6.4958997  4.8274164  6.7296877  5.3066673 11.487108
 13.649377   9.912084   7.4631896 12.565214   8.24925   10.359769 ]",800.1354109,28.2866649,0.9994868420194659
8,"[21.156578  19.701906  16.133772  25.843563  33.06808   26.967485
 30.621426  30.93908   30.639853  35.44319   43.495785  35.57423
 41.73485   44.120445  42.130806  45.72328   51.19599   43.69192
 53.730274  55.34677   54.55947   56.594532  63.200695  55.520737
 64.549835  67.21119   64.691574  67.19182   71.203415  67.0162
 68.08224   75.46496   68.37265   78.545135  76.66614   65.737495
 73.93158   81.030396  71.378204  83.60772   76.57101   74.937096
 81.337776  82.24747   72.1835    84.51089   81.13132   84.82032
 81.48058   87.85266   80.368965  82.951836  89.99932   80.43617
 84.590805  81.83547   80.9176    81.02372   84.59816   89.38336
 72.63752   80.69389   81.014496  73.5042    69.66267   70.332886
 64.62719   63.2422    68.83516   52.775936  58.290554  60.401646
 53.2203    51.793083  54.67923   41.62442   39.41467   48.037983
 34.871975  36.391945  40.00635   32.44426   23.546192  31.60973
 25.545296  21.253191  23.305826  13.974224  14.28753   18.175543
 16.777891   6.986038   7.0522747  4.3231554  9.463177   9.583262
  7.6138177  6.847985   9.608187   5.0201497  9.554348   1.7783291
  6.178432   7.3168354 11.2414465  3.8483818  2.0455513  9.867686
  2.9199562  7.655403   6.423247   8.222586   7.2326527 13.295224
 15.407055  12.203462   9.92928   14.985048  11.164409  13.395158 ]",917.9035452,30.29692303,0.9994714273351937
9,"[33.19159   32.631355  29.640789  38.956245  45.614056  40.571285
 44.362312  45.306866  44.97765   50.165962  56.382416  50.01437
 55.90386   57.931576  55.43443   60.229435  64.2489    57.76499
 67.10721   67.91158   66.23075   69.44727   74.24345   66.714874
 75.27064   76.6096    73.50617   76.925865  79.39831   75.239876
 76.89704   82.65661   75.654236  84.00162   82.192825  72.8472
 79.44671   85.49004   76.10368   86.2976    80.58798   78.7681
 83.344894  84.26655   75.4248    84.83868   81.73705   85.12624
 81.215416  86.27878   80.54267   80.83882   87.392624  79.5797
 81.41084   79.16573   79.4055    78.06947   81.009125  85.94852
 69.5292    76.33283   78.36477   70.06673   66.138756  68.07451
 61.664658  60.194088  65.87562   50.725784  55.07955   57.48274
 50.120407  48.31096   51.456997  39.217297  36.944057  44.819626
 32.502533  33.405437  36.359882  29.818146  21.57176   28.586033
 22.766172  18.814054  20.440449  12.212877  12.782443  15.154903
 14.219338   6.024569   6.079088   3.6389291  7.9940248  7.8797064
  6.6225295  5.700638   7.8118954  4.625515   8.546131   2.3621619
  6.2758374  7.538702  10.579071   5.1642227  4.437854  10.353739
  6.197455  10.546938  10.035275  11.852587  12.271508  17.302567
 19.57149   18.012516  16.584265  21.510038  19.64576   21.980824 ]",780.6953531,27.94092613,0.9996561723882488
