id,predict_data,mse,rmse,norm_corr,smooth,skip,129_pearson
0,"[ 28.686438   40.207424   41.304344   46.18584    53.78635    59.879265
  63.75464    74.45573    73.29826    81.24545    90.34152    95.960014
  99.534225  105.37525   103.399826  115.14043   121.99876   125.03875
 129.47437   131.34868   128.04218   141.15771   143.03268   146.29337
 148.67316   148.38802   141.3393    156.99213   153.69441   154.82799
 158.7655    158.53622   148.74887   160.91042   155.48492   153.8492
 159.35135   159.20012   146.83553   153.88963   148.22386   145.96925
 151.26434   152.2791    139.66858   140.45235   136.7349    133.47432
 136.12274   139.25131   127.30169   123.36129   121.48926   121.06008
 121.031166  122.614235  114.47136   106.53573   106.691895  110.3701
 106.35652   107.37221   103.859116   93.75902    92.296265   99.789276
  94.4847     94.0272     96.23615    82.32165    80.94232    86.871025
  80.053925   82.44841    86.59218    70.34052    68.24492    71.66603
  64.51035    66.06602    71.74585    58.947735   54.716866   57.450546
  49.778385   50.03543    55.884552   47.39073    42.351715   42.182087
  35.747646   34.123432   39.069317   32.11475    25.55352    23.395638
  20.805183   19.90737    24.10314    19.473019   13.865502   10.853496
   8.536395    7.729164   10.677173    9.225163    5.248293    2.2699618
   2.0802174   3.5539162   4.700749    6.8481293   7.5141363   5.2420535
   3.7453744   6.994848   10.337089   13.999989   16.075768   17.956772 ]",3982.463111,63.10675963,0.0,raw,6,0.29531594448709375
1,"[ 14.6472225   25.884237    24.789005    30.541899    35.7907
  40.98239     42.761272    49.941925    46.503277    54.29109
  59.108627    61.651848    65.60645     70.78088     64.05792
  74.88496     79.26866     82.90491     84.2632      89.30578
  76.89642     92.94353     92.319595    92.136566   100.29572
 100.03712     89.4686     104.662735   101.01299     99.75141
 109.00297    111.4604      98.57789    109.84196    107.46546
 106.35221    116.35729    118.326744   104.60734    111.40152
 111.456955   110.52132    120.50212    120.76525    108.07741
 110.23744    112.52735    109.839424   116.120865   117.812004
 107.95608    105.13789    106.47638    109.56509    111.88627
 110.884766   104.93729     99.911964   100.65414    105.99879
 105.24942    104.02464    100.99269     93.15727     93.007126
  99.833786    94.99602     97.24378     98.75574     83.441826
  81.3767      85.214066    82.96211     84.76596     87.35833
  70.735664    67.23632     69.301155    67.498886    68.36251
  69.93163     56.74952     51.877613    54.19235     49.614292
  47.411167    50.17725     40.532677    36.875145    33.93797
  31.460184    27.726303    31.776667    23.401648    18.27005
  16.465918    14.794152    11.756376    15.896813     7.6042314
   5.018543     0.62337756  -0.7988016   -1.5536883    0.8089127
  -3.4833202   -6.248739    -5.524582    -9.106593    -9.495572
  -3.894021    -6.379466    -6.448241    -5.495566   -10.135755
  -7.3963428    1.5140845    1.149189    -0.19342378   5.7199764 ]",1277.857141,35.74712773,0.9988131235899532,raw,6,0.3004738706435544
2,"[  9.882711   19.862076   18.590338   24.719017   28.559639   33.59805
  34.288235   38.722183   34.632633   42.629295   44.81649    46.11874
  50.103523   54.32799    45.890953   56.34004    58.874638   62.41034
  62.775116   69.19268    52.791656   69.34834    67.18064    65.87774
  76.36328    76.162575   64.00739    78.57316    74.43078    72.6947
  83.87448    87.794464   73.49647    84.04268    82.98454    82.36705
  94.01562    97.04739    83.03072    89.50428    92.37166    92.200905
 104.19012   104.04889    91.470505   94.316536   99.70654    97.50796
 105.65242   106.34597    97.54556    95.331436   98.36857   103.46352
 107.183784  105.10326   100.02893    96.74616    98.28432   103.64284
 104.536156  102.67857    99.66378    93.16987    94.44607   100.47451
  96.11113    99.60264   100.468704   84.73301    82.462715   85.36359
  85.220085   86.99784    88.28814    71.843956   68.07135    69.32302
  70.20852    70.90257    70.01164    56.746117   51.712955   53.78485
  50.799778   47.192154   48.32848    38.284332   35.432728   30.905518
  30.627172   25.900812   29.579689   20.064821   15.865805   14.016141
  13.260955    9.184216   13.314766    3.0094676   2.1608922  -2.9444308
  -3.8320155  -4.681544   -2.1066413  -8.352616  -10.359185   -7.8095818
 -12.644711  -14.075866   -6.30088   -11.652929  -11.489877   -9.025971
 -15.286664  -12.412175   -1.130611   -4.278994   -6.6458635   1.4466001]",653.2176748,25.55812346,0.9987453178940792,raw,6,0.30862970355397157
3,"[ 12.513839    21.967869    20.139664    26.431976    29.989489
  34.573193    35.201817    38.757362    34.327168    42.0419
  43.66657     44.23282     48.572113    52.155922    43.12051
  52.925922    54.960003    58.425262    58.62201     64.99006
  47.73652     64.04919     61.442577    59.357697    70.63282
  70.45418     58.231407    71.7062      67.617294    65.228676
  77.087296    81.311745    67.149864    76.46101     75.82064
  75.387764    87.3345      90.61298     77.11588     82.5491
  85.982056    86.283104    98.34019     98.15243     86.58837
  88.7151      94.57894     92.772354   100.749756   101.388214
  93.83604     91.32965     94.59853    100.06337    103.43485
 100.97604     97.21426     93.88678     95.00369    101.05939
 101.96306     99.68008     97.448814    91.09803     91.91324
  97.88628     93.303055    97.13028     98.251884    82.66179
  80.144806    82.59081     82.802864    84.20236     85.471436
  69.45253     65.26347     66.29312     67.5626      67.84855
  66.61896     53.923027    48.587933    50.43758     47.889256
  44.057564    44.631786    34.89443     31.981915    27.314135
  27.69072     22.7974      25.875664    17.00256     13.047946
  11.3612385   10.958474     6.876722    10.50449      0.47115347
   0.14646159  -4.8311653   -5.343481    -5.6642632   -3.810947
  -9.788548   -11.107442    -7.9691324  -13.014592   -14.199684
  -6.4226847  -11.875878   -11.452977    -8.282417   -14.484841
 -11.893112    -0.16846725  -3.163202    -5.8123317    2.6870358 ]",668.1042301,25.84771228,0.9991227408036144,raw,6,0.3175641815986016
4,"[ 24.575155   33.87993    30.84474    37.36375    41.58181    45.41158
  47.064686   50.42144    44.970913   52.357986   54.861736   54.92607
  59.719276   62.317513   52.691715   61.988045   63.972023   66.92026
  67.69648    72.39133    55.80862    71.29788    68.183846   65.50147
  76.2561     75.73293    63.751877   75.95427    71.266884   68.24117
  79.72817    83.485344   69.97158    77.34238    75.88827    75.19451
  86.67215    89.95167    77.563965   80.440544   82.960754   83.020325
  94.08241    94.289024   84.666824   84.23439    89.16566    87.37768
  94.111244   95.05041    89.37776    85.21469    88.120094   93.232895
  95.09738    92.71591    91.142815   86.2944     86.83672    93.69095
  93.08681    90.45286    90.76936    83.48023    83.18067    89.56951
  84.14728    87.279724   90.59598    75.20687    72.27152    74.892845
  74.1089     75.02846    78.21554    62.575653   57.76349    58.99156
  59.384094   59.098297   59.59535    47.85881    41.932457   43.754646
  41.125492   37.4507     38.70732    30.001373   26.342457   22.418606
  22.730488   17.979012   20.682554   13.548972    9.400876    7.948632
   8.011055    4.6033864   7.246914   -0.7141315  -1.2852824  -5.4737797
  -5.279226   -4.849952   -4.323702   -8.292592   -8.994492   -5.7926555
  -9.946889  -10.05418    -4.1343427  -7.4256263  -6.358751   -2.6392756
  -7.536806   -5.096615    5.0447364   4.313157    2.293965   10.826382 ]",740.1588865,27.20586125,0.9990181452698984,raw,6,0.3253222079412156
5,"[ 4.9939049e+01  5.8872215e+01  5.2909081e+01  5.9951298e+01
  6.5519981e+01  6.7339897e+01  7.1517303e+01  7.5284218e+01
  6.8019104e+01  7.4470451e+01  7.9076279e+01  7.8183304e+01
  8.4257446e+01  8.5797279e+01  7.5466431e+01  8.3301834e+01
  8.5826965e+01  8.8227943e+01  9.0292183e+01  9.2060417e+01
  7.8234299e+01  9.1575256e+01  8.8682938e+01  8.5106216e+01
  9.4597511e+01  9.4178810e+01  8.3922813e+01  9.2633110e+01
  8.8230690e+01  8.4261375e+01  9.4504189e+01  9.7212029e+01
  8.6598000e+01  8.9588608e+01  8.7122810e+01  8.6537102e+01
  9.6064674e+01  9.9108910e+01  9.0041428e+01  8.7850510e+01
  8.8184059e+01  8.8510818e+01  9.6042473e+01  9.7092224e+01
  9.2000931e+01  8.6568848e+01  8.8525040e+01  8.7581230e+01
  9.0171150e+01  9.1893456e+01  9.0222450e+01  8.2923180e+01
  8.3910866e+01  8.7701729e+01  8.5582161e+01  8.3390129e+01
  8.5925964e+01  7.7603706e+01  7.5648682e+01  8.3905029e+01
  8.0069191e+01  7.6674538e+01  8.1103081e+01  7.1720772e+01
  6.7666679e+01  7.4406380e+01  6.7264908e+01  6.8901665e+01
  7.5184982e+01  6.0812313e+01  5.6714409e+01  5.8979523e+01
  5.5950916e+01  5.5564190e+01  6.1565578e+01  4.7329533e+01
  4.0948402e+01  4.2454620e+01  4.0325748e+01  3.8894878e+01
  4.2439358e+01  3.2915512e+01  2.6011211e+01  2.7414925e+01
  2.4346428e+01  2.1837376e+01  2.4157627e+01  1.7376907e+01
  1.2464231e+01  1.0570556e+01  9.9785719e+00  6.3428345e+00
  8.1471806e+00  4.9405241e+00  6.7460805e-01  2.3681920e-02
  4.7438819e-02 -1.2792522e+00 -3.0267015e-01 -3.5427125e+00
 -4.7075500e+00 -6.6339903e+00 -5.5549369e+00 -3.2585187e+00
 -5.1499448e+00 -4.5016642e+00 -3.7863975e+00 -6.8401229e-01
 -3.1402483e+00 -6.7269081e-01  1.6547890e+00  3.6056180e+00
  5.3253741e+00  9.8661013e+00  8.3964405e+00  1.0236116e+01
  1.6945057e+01  2.1849609e+01  2.0902910e+01  2.8277954e+01]",595.7583698,24.40816195,0.9992731991071973,raw,6,0.33406109873261863
6,"[ 8.08308716e+01  8.55869141e+01  7.81193695e+01  8.52433777e+01
  9.20225220e+01  9.20530396e+01  1.00155945e+02  1.00534218e+02
  9.07718506e+01  9.70850449e+01  1.02962402e+02  1.01735542e+02
  1.08832863e+02  1.06949928e+02  9.66070938e+01  1.03569939e+02
  1.04486259e+02  1.04123886e+02  1.10346893e+02  1.07421814e+02
  9.78442078e+01  1.05748550e+02  1.01636475e+02  9.94303055e+01
  1.05260254e+02  1.05112160e+02  9.62770004e+01  1.00857719e+02
  9.48564529e+01  9.31111450e+01  9.93360214e+01  1.01533371e+02
  9.42313461e+01  9.19142761e+01  8.71907349e+01  8.74533615e+01
  9.34545975e+01  9.69699860e+01  9.36543808e+01  8.41972961e+01
  8.26885529e+01  8.27494049e+01  8.62455673e+01  8.84612045e+01
  8.95288620e+01  7.82749634e+01  7.82709732e+01  7.85606766e+01
  7.78795471e+01  7.86753922e+01  8.19157944e+01  7.10334396e+01
  7.09332428e+01  7.50026245e+01  7.01320190e+01  6.87589417e+01
  7.51306534e+01  6.42402496e+01  6.26668396e+01  6.83784332e+01
  6.10041122e+01  5.83437691e+01  6.78211288e+01  5.65616646e+01
  5.24448814e+01  5.76213264e+01  4.98085480e+01  4.84779091e+01
  5.81889229e+01  4.52193375e+01  4.01972923e+01  4.30406265e+01
  3.71497879e+01  3.65209274e+01  4.46371574e+01  3.25776749e+01
  2.59144592e+01  2.74963169e+01  2.34669189e+01  2.15607452e+01
  2.72878704e+01  1.97394104e+01  1.22966146e+01  1.36824732e+01
  1.07049675e+01  8.29017162e+00  1.20382671e+01  7.39004469e+00
  1.77812552e+00  1.41129684e+00  5.75231791e-01 -1.71388125e+00
  8.31384286e-02 -1.86332047e+00 -5.17464447e+00 -5.78256607e+00
 -4.29511404e+00 -2.96061492e+00 -3.89137554e+00 -3.10578060e+00
 -4.36308575e+00 -3.50334978e+00 -1.20625699e+00  1.96658480e+00
 -2.90234745e-01  3.21001959e+00  5.29528189e+00  8.62095833e+00
  9.68365669e+00  1.42386608e+01  1.19188232e+01  1.80464745e+01
  2.22979050e+01  2.76053600e+01  2.99765396e+01  3.33214798e+01
  3.31124382e+01  4.13709869e+01  4.42698364e+01  5.17573891e+01]",571.4802879,23.90565389,0.9995020634536236,raw,6,0.3415053438181058
7,"[102.14997   100.91596    92.375      98.11722   104.92511   102.55643
 113.91518   110.29162    99.993416  103.813484  109.74444   107.48893
 116.49701   111.280266  102.806465  105.838135  105.271255  102.82198
 113.16758   106.90589   103.256096  103.39093    99.76967    98.74911
 101.61483   102.98075    98.20433    95.458084   90.89438    91.10249
  93.50259    95.64514    94.38191    84.99208    80.32733    82.83319
  84.264366   87.64709    92.25313    75.89058    73.30074    75.17365
  73.443405   75.9531     84.763016   69.0506     66.641495   69.62797
  64.849365   64.69648    73.525246   61.117046   59.007725   62.87866
  55.453274   54.48502    64.56643    52.43334    49.30454    53.16215
  44.066387   42.13241    53.92383    42.162533   36.718754   39.478592
  32.227978   29.15448    38.111134   28.448761   23.270212   25.232943
  18.108904   16.43715    22.551905   14.836043    8.879842   10.044305
   4.5869665   1.8255751   6.727315    2.6811554  -3.940828   -3.34818
  -5.741286   -7.1161118  -4.509301   -6.8815527 -11.798352  -10.423697
 -11.015714  -10.9374275 -11.249169  -11.087145  -11.916226  -11.972469
  -9.465399   -4.789682   -8.231754   -3.7135522  -3.7782893   0.2781635
   3.1254888   8.5232525   5.1319184  10.863307   15.67801    19.287868
  23.00236    30.24379    23.577312   32.283188   38.938744   44.78593
  51.26182    55.108932   48.9918     59.78315    65.74704    71.379684 ]",613.4903029,24.7687364,0.9989877250475988,raw,6,0.34568716774259683
8,"[121.02601    113.62882    106.11583    108.55585    116.02518
 112.545006   127.321945   120.017715   109.874985   110.66217
 117.89019    116.3808     125.91112    116.59294    112.078766
 111.62865    109.61048    103.7393     119.57528    107.979
 113.2556     103.90637    100.28146    102.611244    98.918045
 100.804436   100.15197     92.05961     86.87538     90.83773
  86.54524     87.62563     91.85096     77.35303     70.38034
  74.08066     69.93736     72.58606     84.71433     62.15266
  56.665737    58.113815    51.619404    54.583176    69.98707
  50.367695    44.790115    48.672966    41.727814    40.4496
  52.676216    39.231487    35.69268     38.86102     30.786476
  31.679625    43.37402     30.799585    29.094826    29.110779
  18.187721    18.77015     33.09251     21.087004    17.792234
  18.616726    13.167876     6.986799    16.644983    10.780094
   7.103837    10.753584     1.502265     0.18617782   5.482627
   1.941082    -0.8619855    0.96196157  -6.2898154   -8.897911
  -3.233273    -4.035127    -8.635161    -7.559492    -9.979686
 -10.310043    -7.2205544   -6.629856   -10.774749    -6.9755735
  -7.9988446   -5.339507    -7.0270934   -5.9894695   -4.6854
  -4.730836    -0.32585937   7.8802743    1.4078479    9.6845455
   9.573109    16.665924    19.945457    26.355515    22.36999
  29.696148    35.609432    38.062073    46.131638    55.811882
  42.11873     53.24974     63.18118     67.97476     78.496544
  84.15458     68.48349     80.50776     91.49605     95.05301   ]",657.757708,25.64678748,0.9976149129477774,raw,6,0.34508157958455093
9,"[ 1.28542923e+02  1.19402359e+02  1.12513222e+02  1.11854019e+02
  1.17809105e+02  1.14104721e+02  1.28211899e+02  1.20720726e+02
  1.11794334e+02  1.09143074e+02  1.15286163e+02  1.14451378e+02
  1.22454620e+02  1.13237244e+02  1.11210426e+02  1.07023689e+02
  1.04288528e+02  9.82359695e+01  1.13333229e+02  1.01448311e+02
  1.10652153e+02  9.62536011e+01  9.31362381e+01  9.70861511e+01
  8.97142487e+01  9.20790253e+01  9.42363586e+01  8.27112732e+01
  7.82451553e+01  8.38423004e+01  7.56965179e+01  7.62473755e+01
  8.34639969e+01  6.69835205e+01  5.98863068e+01  6.41939850e+01
  5.66036530e+01  5.84636421e+01  7.32557831e+01  4.99015350e+01
  4.34081535e+01  4.48455582e+01  3.57675781e+01  3.83876915e+01
  5.52256432e+01  3.62546425e+01  2.91127720e+01  3.30289307e+01
  2.53236389e+01  2.36278954e+01  3.57713127e+01  2.39161205e+01
  1.92869968e+01  2.13841324e+01  1.41478434e+01  1.58416357e+01
  2.62119827e+01  1.54919825e+01  1.39643431e+01  1.20796595e+01
  2.53057003e+00  4.33216333e+00  1.69506207e+01  7.05746412e+00
  4.95345783e+00  4.52979136e+00  1.59055531e+00 -4.84462929e+00
  2.54346609e+00  3.71477336e-01 -1.48511672e+00  2.25273871e+00
 -5.54676437e+00 -6.34831858e+00 -3.22579670e+00 -2.97844863e+00
 -2.94483781e+00 -8.63934875e-01 -7.01850319e+00 -8.62789917e+00
 -4.19820166e+00 -2.09579110e+00 -3.52981663e+00 -2.07894278e+00
 -3.35775566e+00 -2.07495832e+00  9.63985920e-02  2.97614574e+00
  1.36347234e+00  6.65525150e+00  6.01404047e+00  1.06860085e+01
  7.90644121e+00  1.03954954e+01  1.38470364e+01  1.49327631e+01
  1.95129700e+01  2.93572388e+01  2.18892384e+01  3.16403904e+01
  3.23149605e+01  4.10024452e+01  4.40444412e+01  5.08887253e+01
  4.64660110e+01  5.43338509e+01  6.03029976e+01  6.27004623e+01
  7.16311188e+01  8.18793869e+01  6.58635635e+01  7.70860672e+01
  8.67584839e+01  9.10539932e+01  1.02383377e+02  1.08547974e+02
  8.91548386e+01  1.00393509e+02  1.11759705e+02  1.13887886e+02]",573.376112,23.94527327,0.994587871511876,raw,6,0.34391598418416547
