,predict_data,mse,rmse
0,"[207.12877   206.87836   207.6374    210.50578   205.6008    208.3944
 207.54051   208.20425   207.74535   203.11754   200.78618   202.26985
 197.72356   196.06372   195.36075   191.98479   187.57706   184.44603
 178.77501   178.62836   174.02855   175.09317   167.02321   164.96356
 162.20685   155.03883   152.24721   147.34216   144.49478   145.01555
 138.55057   134.8773    130.68802   126.997185  125.42198   118.54304
 119.33908   113.58257   109.75846   109.115074  103.02123   100.48459
  97.88054    95.77037    93.30579    89.24537    86.01493    82.28449
  82.74694    76.43579    72.09438    71.6325     67.75835    68.73703
  63.58737    60.211994   57.70607    56.091385   49.932896   47.436054
  46.310833   44.567898   42.018192   39.38844    34.548523   33.968662
  29.878256   31.139954   25.430008   22.570541   24.741192   22.344894
  22.826662   14.994522   14.388818   14.5713005  15.036167   10.613389
  10.90976    11.0514555  13.164213   10.17816    11.068449   13.372611
  13.195034   11.976427   14.276107   16.738512   15.774023   22.67212
  21.207914   22.64336    25.940422   28.549557   29.210884   36.955494
  38.17229    45.971443   49.598057   50.997993   55.045536   62.0564
  65.211075   68.63898    79.093315   82.651405   87.47211    90.713585
  96.15743   100.89133   109.94735   115.49471   119.22017   124.273575
 130.10727   132.98709   138.5293    147.3488    150.78006   152.1881   ]",2028.529719774709,45.039202033059034
1,"[210.59875   208.92499   210.47372   210.36658   209.73755   209.10881
 210.2105    208.18468   206.28755   204.93639   202.19096   203.22379
 198.32095   195.62      192.98486   189.27924   184.90724   183.60138
 179.3778    177.24951   173.02214   171.96635   166.84042   162.3184
 159.50513   155.37727   150.63531   146.82616   143.77942   140.59663
 136.8774    133.24559   130.04141   127.570724  122.36311   118.414635
 115.79463   113.72339   108.495514  107.08641   103.96837   100.926346
  99.09215    97.66328    93.47249    91.16926    88.372696   86.686356
  83.482666   79.870026   75.708725   74.700714   72.13993    70.58441
  66.72717    63.35089    59.715435   58.892796   54.607773   51.174313
  49.074894   46.58526    43.819286   40.85121    36.865505   35.506447
  31.363571   31.81418    27.248041   25.281796   24.08807    22.093143
  21.63722    15.473934   15.013985   16.050173   14.838935    9.639763
   9.517904   10.842689   12.120795   10.585347    9.319248   11.772517
  12.36343    11.5253725  13.415926   14.819452   15.15027    19.353062
  20.71973    22.846226   25.150354   29.124928   29.592049   36.235134
  38.263504   46.23744    48.435875   51.421516   56.938744   62.089153
  67.36452    70.40913    78.225075   83.75053    88.17495    94.48517
  98.567     103.71478   111.02145   116.71861   121.11982   125.28876
 133.11713   135.29935   141.7113    147.93205   151.2669    155.0591   ]",1866.2088414967973,43.19963936767062
2,"[212.94397   211.94435   212.462     214.53905   208.76825   211.06668
 209.58371   209.67693   208.51303   202.88127   200.23473   201.72005
 196.14731   194.09282   192.9939    189.24419   184.13654   181.21877
 174.96901   174.49075   169.91083   170.9101    162.43452   160.5785
 157.46683   150.34984   147.25877   142.15138   139.21715   140.39018
 133.50493   129.80035   126.07672   122.10975   120.79254   113.86992
 115.069466  109.548904  105.44071   104.753456   98.95748    96.088806
  93.64674    92.21833    89.79826    85.782326   82.2922     78.7326
  79.62953    73.48611    69.19865    68.92864    65.002045   66.32993
  60.47024    57.03007    55.028816   53.696346   47.2875     44.71953
  43.426918   42.250843   40.27615    37.2262     32.464752   31.89484
  27.586712   29.829533   23.704039   21.026665   23.561615   21.720114
  22.163492   13.9664955  14.13906    14.214015   15.452319   10.658953
  11.053534   12.273115   14.771038   11.9449     12.805889   15.552392
  16.109163   14.866205   17.87541    20.454115   20.14475    27.920786
  26.573551   28.5676     32.201633   35.419044   35.903282   44.873196
  45.844845   54.51756    58.672253   59.742416   64.4995     72.193565
  75.75482    78.89376    89.80068    93.82831    98.27081   101.69244
 106.9731    111.86107   121.25398   127.15531   130.59184   135.09656
 141.15945   143.00671   148.76923   157.07657   160.39075   161.6213   ]",2095.5958073541024,45.77767804677409
3,"[206.9526   205.87552  205.91483  207.66275  201.41774  203.57278
 201.42755  201.40718  200.02798  193.9008   191.2845   192.2739
 186.77235  184.61752  183.44025  179.76971  174.73416  171.65868
 165.45499  164.87253  160.64969  161.47055  153.28033  151.88539
 148.69148  141.802    139.0569   134.13786  131.35828  132.96028
 126.158104 122.69971  119.313065 115.25653  114.620605 108.04382
 109.50948  104.00577  100.34728   99.53017   94.07597   91.32492
  88.94575   87.603584  85.58454   81.591866  78.11482   74.51044
  75.705605  69.83312   65.949295  65.51508   61.58989   62.985073
  57.15703   53.86056   52.24513   50.736244  44.56933   42.16182
  40.775578  39.82909   38.174637  35.083057  30.67445   30.029469
  26.08163   28.340158  22.508461  19.936558  22.57638   21.060028
  21.425926  14.008997  14.431587  14.180833  15.868087  11.789644
  12.231729  13.613034  16.106127  13.656756  14.913291  17.567802
  18.516884  17.64369   20.88025   23.591402  23.808422  31.702717
  30.510422  32.83997   36.767216  40.046295  40.912437  49.877605
  50.99248   59.320087  64.030716  65.0844    69.871185  77.72996
  81.21661   84.468285  95.08133   99.038994 103.33801  106.43544
 111.767395 116.574814 125.61212  131.39516  134.60042  138.86328
 144.32394  146.0173   151.29892  158.94447  162.13998  163.04065 ]",2093.8140525741746,45.75821295214854
4,"[201.70178   200.52214   200.0596    201.43947   194.9686    196.8632
 194.17259   193.97336   192.38248   186.02876   183.40187   183.80753
 178.50052   176.208     174.89958   171.29079   166.41351   163.14989
 157.09488   156.35422   152.44586   152.95905   145.2183    144.07747
 140.83458   134.23328   131.76608   127.07588   124.41184   126.11892
 119.538315  116.28082   113.11721   109.03031   108.81501   102.63116
 104.116356   98.66904    95.39537    94.39332    89.24132    86.60953
  84.230934   82.83132    81.074486   77.111244   73.67844    70.01204
  71.23643    65.652954   62.127068   61.439014   57.56978    58.836773
  53.21147    50.065807   48.677822   46.967377   41.144806   38.885998
  37.429302   36.59475    35.142727   32.12342    28.116877   27.410051
  23.916636   26.009047   20.658775   18.27924    20.894533   19.67627
  20.014158   13.595983   14.2063465  13.780232   15.768989   12.554064
  13.118863   14.606925   17.099504   15.159621   16.860643   19.4523
  20.77258    20.405878   23.822872   26.724218   27.492466   35.319683
  34.501625   37.171383   41.369144   44.746815   46.08974    54.880383
  56.294632   64.21352    69.3682     70.62745    75.40961    83.28866
  86.75642    90.21853   100.36128   104.29028   108.54128   111.40585
 116.77279   121.50484   130.07704   135.66098   138.71683   142.79561
 147.6605    149.32695   154.10156   161.04309   164.07837   164.72626  ]",2175.120611344973,46.63818833686589
5,"[196.52893  195.32758  194.34     195.54034  188.57137  190.42004
 187.0809   186.86438  185.14561  178.34839  175.72588  175.6079
 170.47755  168.10782  166.78117  163.2382   158.48418  154.92809
 148.90453  148.12407  144.47803  144.82938  137.3062   136.55602
 133.25667  126.73013  124.63349  120.07951  117.53016  119.57666
 113.02169  109.9478   106.94087  102.744865 103.15755   97.16168
  98.88801   93.27381   90.44885   89.326454  84.2889    81.80108
  79.388725  77.915535  76.52531   72.4942    69.082924  65.2516
  66.75612   61.293983  58.1079    57.238335  53.35268   54.682793
  49.169456  46.18048   45.10402   43.179737  37.577396  35.532745
  34.084545  33.428974  32.20984   29.287247  25.621016  24.921253
  21.865192  23.887571  18.921673  16.67987   19.502699  18.560606
  18.941113  13.352704  14.153509  13.516657  15.91606   13.552453
  14.264764  15.80321   18.35744   16.808048  19.05664   21.589546
  23.223625  23.303133  26.926104  30.06881   31.279715  39.22586
  38.57443   41.524605  46.038105  49.42614   51.2185    59.926502
  61.55716   69.08849   74.74974   76.083084  80.77426   88.79012
  92.105736  95.77113  105.6404   109.41562  113.627754 116.0786
 121.55045  126.177635 134.41835  139.80533  142.66391  146.60619
 150.7861   152.44519  156.68582  163.11465  165.99844  166.25159 ]",2289.4371939325597,47.84806363827652
6,"[193.68645  191.73145  191.09224  190.21751  186.22794  185.78348
 183.52878  181.58247  178.9413   174.37415  171.66815  170.8901
 165.91309  162.8906   160.2776   156.7162   152.25899  149.8299
 145.03682  142.82594  139.73706  138.42838  133.29218  131.09904
 127.69844  123.43536  120.248055 116.59868  113.97261  113.47177
 108.931114 105.980675 103.71199  100.22474   98.45867   94.7123
  93.971535  90.7684    87.26724   85.32166   82.4673    79.64443
  77.64817   76.36533   73.953186  71.02391   67.84544   65.256744
  64.18627   60.728745  57.906635  56.360283  53.32475   52.749176
  48.302048  45.410843  43.720993  42.100147  38.11053   35.575253
  33.41693   32.303265  31.091803  28.046818  25.31614   24.041348
  21.36172   22.605888  18.888758  17.371637  17.907784  17.461395
  17.18188   13.589459  14.604708  14.369667  15.8463    13.661169
  14.194715  16.50918   18.419178  18.238491  19.35416   21.842255
  24.206842  24.902306  28.288755  30.772573  33.213997  39.125275
  40.57879   44.170334  48.126118  52.363255  54.389484  61.9553
  64.318886  71.402     76.38257   78.878006  84.42327   91.05303
  95.67329   99.19837  106.80032  111.75696  115.639496 119.929276
 124.51506  129.32004  135.9201   141.22998  144.46481  147.73796
 152.77173  154.1165   158.5338   162.71092  165.52434  167.31834 ]",2250.258426561068,47.43688887944769
7,"[196.16745  193.68788  193.35278  191.35437  188.66846  187.06331
 185.34065  182.46051  179.23549  175.52324  172.71306  171.81624
 166.54358  163.1341   159.80545  156.10605  151.51292  149.75896
 145.32883  142.32492  139.39568  137.32089  133.03888  130.09415
 126.48593  123.21172  119.25341  115.85674  113.07366  111.4349
 107.61612  104.58798  102.69925   99.40382   96.467064  93.627945
  91.71986   89.69149   85.5902    83.20294   81.37305   78.17308
  76.3818    75.35497   72.33494   69.90144   66.68721   64.75421
  62.52446   60.000534  57.24836   55.497097  52.82755   51.46834
  47.256855  44.36249   42.499805  41.20441   37.868553  35.072998
  32.58056   31.440985  30.417719  27.21472   24.907549  23.432667
  20.785635  22.072536  18.760002  17.651022  17.276257  17.230616
  16.682623  13.693088  15.082984  15.111936  16.359741  13.901855
  14.410556  17.476809  19.233866  19.66106   20.103783  22.76194
  25.636461  26.483585  29.952253  32.093155  35.194477  40.410038
  42.806534  46.787384  50.478855  55.279865  57.20927   64.624985
  67.14877   74.37433   79.03692   81.89303   88.056496  94.18283
  99.54598  102.800285 109.54841  115.202934 118.779274 124.07588
 128.1371   133.07321  139.0876   144.51906  147.87758  150.68965
 156.3851   157.25401  161.97472  165.08862  167.8964   170.49228 ]",2180.8914682207974,46.70001571970611
8,"[198.56955   195.93092   195.57695   193.45732   190.25887   188.69913
 186.68776   183.77666   180.38124   176.08952   173.23639   172.457
 166.77116   163.29688   159.92271   156.11295   151.20326   149.48987
 144.73038   141.6649    138.70802   136.72495   132.03961   129.29875
 125.479     122.02187   117.9689    114.36291   111.49757   110.29256
 106.070755  102.95783   101.172165   97.613335   94.923134   91.84483
  90.2182     88.04915    83.82276    81.38111    79.494      76.09182
  74.296745   73.48177    70.53443    67.99004    64.582      62.617516
  60.766117   58.171036   55.41517    53.79561    51.01881    49.97408
  45.370483   42.46718    40.94363    39.785923   36.292572   33.569435
  31.108843   30.329685   29.657236   26.33925    24.07838    22.716864
  20.006971   21.864325   18.352257   17.315351   17.373983   17.621298
  17.155672   13.894614   15.6996355  15.6724615  17.414352   14.776812
  15.396125   18.932545   20.922468   21.338097   21.846882   24.704351
  27.863007   28.626108   32.42699    34.621994   37.91066    43.635933
  45.85492    50.00243    53.82939    58.770035   60.55906    68.512375
  70.791374   78.33152    83.23793    85.75317    92.10153    98.55761
 103.92677   106.96639   114.02216   119.70923   123.05753   128.24211
 132.2442    137.17668   143.39807   148.96735   152.13403   154.72096
 160.4273    160.8594    165.64607   168.68102   171.4792    173.92294  ]",2169.2352155025224,46.575049280731015
9,"[197.03148  194.92204  193.67981  193.14044  186.43163  186.88568
 183.0437   181.63255  178.81598  171.71318  168.90117  168.23627
 162.33974  159.32582  157.05592  153.25851  148.01863  145.02007
 138.98976  137.13083  133.92929  133.32109  126.48559  125.56388
 121.65804  116.14786  113.40083  109.00468  106.28038  107.97849
 101.73966   98.66005   96.44286   91.98775   92.048744  87.00279
  88.01934   83.44171   80.211266  78.36378   74.59956   71.53093
  69.330734  68.41579   66.81192   63.15286   59.45366   56.19426
  57.18316   52.882343  50.156944  49.052006  45.45094   46.38212
  40.71355   37.89634   37.465458  35.9184    31.122618  29.12222
  27.347862  27.404331  27.19384   24.039646  21.33951   20.591307
  17.977865  20.827976  16.495716  15.025285  17.632748  17.920317
  18.16173   13.825411  15.907096  15.29278   18.601233  16.598022
  17.617449  20.818846  23.612295  23.216974  25.365114  28.340248
  31.352169  31.989107  36.42817   39.51004   42.27577   50.25881
  50.671463  54.635674  59.369183  63.6487    65.602356  74.822136
  76.51541   84.24693   90.41754   91.75957   97.346695 105.371735
 109.40634  112.637474 121.60249  126.07941  129.52527  132.5438
 137.3836   142.02356  149.47614  154.96437  157.44922  160.3285
 164.53972  164.94562  169.03894  173.48286  176.14781  176.68239 ]",2247.3110736954122,47.4058126572619
