id,predict_data,mse,rmse
0,"[ 2.16795082e+01  2.95244274e+01  3.85854340e+01  4.61586380e+01
  5.26834564e+01  5.44222755e+01  5.46804199e+01  5.26951027e+01
  5.59068375e+01  5.94310684e+01  6.24104424e+01  6.73167267e+01
  7.68929214e+01  8.74977798e+01  9.49325790e+01  1.01173981e+02
  1.06389626e+02  1.09471344e+02  1.10931389e+02  1.15511276e+02
  1.20765419e+02  1.22514969e+02  1.25974937e+02  1.25098274e+02
  1.26104805e+02  1.23146370e+02  1.27055084e+02  1.31319778e+02
  1.34172195e+02  1.34019608e+02  1.33859512e+02  1.35011444e+02
  1.35550247e+02  1.36482910e+02  1.39064484e+02  1.39226883e+02
  1.39999054e+02  1.35741241e+02  1.31410156e+02  1.26198479e+02
  1.26830933e+02  1.28111160e+02  1.30923203e+02  1.31743530e+02
  1.35224701e+02  1.30652023e+02  1.25560402e+02  1.18318336e+02
  1.13644699e+02  1.10434189e+02  1.05651505e+02  1.06064232e+02
  1.07186829e+02  1.09858582e+02  1.10993820e+02  1.11188362e+02
  1.12827599e+02  1.12454697e+02  1.09609467e+02  1.09307793e+02
  1.07303154e+02  1.07139565e+02  1.03054863e+02  1.01119904e+02
  9.78221893e+01  1.02590965e+02  1.03084396e+02  1.07700813e+02
  1.06150322e+02  1.04184387e+02  9.77388153e+01  9.11732101e+01
  8.91141663e+01  8.71614380e+01  8.70416870e+01  8.66207581e+01
  8.91515121e+01  9.45214920e+01  9.53799438e+01  9.44293518e+01
  9.06605911e+01  8.62814407e+01  8.06264420e+01  7.30523605e+01
  7.12926331e+01  7.01475525e+01  6.88936157e+01  6.54740067e+01
  6.22548180e+01  6.10753670e+01  5.58918800e+01  5.71107445e+01
  5.85324783e+01  6.32007713e+01  5.85723267e+01  5.45657043e+01
  5.04359245e+01  5.10881042e+01  4.76549110e+01  4.53396378e+01
  4.05847282e+01  3.66216316e+01  3.11755810e+01  3.33597908e+01
  3.76034966e+01  4.03607521e+01  3.39275398e+01  2.84059582e+01
  2.26937885e+01  2.14158611e+01  1.84188671e+01  1.24430361e+01
  5.82742596e+00 -2.81842852e+00 -1.08739364e+00  5.63257821e-02
  2.00278926e+00 -1.36661577e+00 -1.40443051e+00 -2.74623609e+00]",2506.700479,50.06695995
1,"[ 17.54091    25.378653   34.011635   41.02976    46.896603   48.20226
  47.928608   45.602154   48.417377   51.826504   54.648613   59.352337
  68.64921    78.84367    86.13051    92.15591    96.9896     99.66829
 100.84831   105.39847   110.54023   112.160255  115.51131   114.73977
 115.93415   113.11148   116.92898   120.98314   123.70356   123.85288
 123.93042   125.20347   125.69941   126.659     129.70686   130.29736
 131.45386   127.40085   123.23371   118.24384   119.03811   120.83424
 123.96924   125.18725   128.75417   124.861534  120.53216   113.83825
 109.145935  105.97195   101.45917   102.391136  103.8709    106.90796
 108.48569   109.020744  110.88756   110.68228   108.05231   107.93559
 106.11026   106.04605   102.151085  100.36409    97.23749   101.85787
 102.4039    107.12674   105.732765  103.61712    96.95166    90.296936
  88.48755    86.71544    86.80584    86.28708    88.83794    94.03242
  94.93534    93.72185    89.71674    84.94095    79.363144   72.09271
  70.61523    69.72834    68.37876    64.95525    61.596256   60.607674
  55.64648    56.85985    58.191208   62.815758   58.2861     54.16748
  49.991325   50.66445    47.6146     45.382366   40.651505   36.777115
  31.433159   33.69514    37.85619    40.550606   34.20015    28.791042
  23.25161    21.874792   18.575905   12.334619    5.655596   -2.8771214
  -1.2792301  -0.4877078   0.9441675  -2.8838563  -3.199566   -4.764803 ]",1949.471589,44.15282085
2,"[ 1.18922081e+01  1.97105236e+01  2.79245243e+01  3.43898468e+01
  3.96130447e+01  4.04635963e+01  3.96525383e+01  3.70413399e+01
  3.96097450e+01  4.30420609e+01  4.58560829e+01  5.04623489e+01
  5.96051140e+01  6.94999695e+01  7.67821426e+01  8.27025146e+01
  8.71989365e+01  8.95286865e+01  9.05162277e+01  9.51406784e+01
  1.00209312e+02  1.01684242e+02  1.04931633e+02  1.04319252e+02
  1.05735519e+02  1.03081955e+02  1.06791237e+02  1.10646133e+02
  1.13227684e+02  1.13786064e+02  1.14206985e+02  1.15670914e+02
  1.16140450e+02  1.17179337e+02  1.20802711e+02  1.21877457e+02
  1.23457741e+02  1.19624298e+02  1.15653679e+02  1.10887360e+02
  1.11847710e+02  1.14206573e+02  1.17687668e+02  1.19364494e+02
  1.23042053e+02  1.19943817e+02  1.16486809e+02  1.10412392e+02
  1.05686058e+02  1.02550613e+02  9.83204498e+01  9.98123398e+01
  1.01720726e+02  1.05198418e+02  1.07296082e+02  1.08181282e+02
  1.10253708e+02  1.10189445e+02  1.07747795e+02  1.07788643e+02
  1.06110443e+02  1.06079643e+02  1.02321518e+02  1.00658035e+02
  9.76900558e+01  1.02127884e+02  1.02659912e+02  1.07402435e+02
  1.06028122e+02  1.03572258e+02  9.65261078e+01  8.96638794e+01
  8.80434265e+01  8.64064865e+01  8.66956329e+01  8.60386505e+01
  8.85674820e+01  9.35256119e+01  9.44616470e+01  9.29127426e+01
  8.85545273e+01  8.31949844e+01  7.76273804e+01  7.06641388e+01
  6.95128098e+01  6.89405518e+01  6.75193024e+01  6.41227570e+01
  6.06160316e+01  5.98760719e+01  5.52289810e+01  5.65004349e+01
  5.78010674e+01  6.23968544e+01  5.80150719e+01  5.38095779e+01
  4.96676598e+01  5.04367523e+01  4.79066925e+01  4.58463936e+01
  4.12559776e+01  3.75825157e+01  3.24719467e+01  3.49075584e+01
  3.90425720e+01  4.17275620e+01  3.55194321e+01  3.02855072e+01
  2.49788895e+01  2.35373936e+01  1.99737206e+01  1.34730196e+01
  6.74618864e+00 -1.71736693e+00 -2.91325241e-01  7.57382214e-02
  9.64104891e-01 -3.38543010e+00 -4.02231646e+00 -5.85465288e+00]",1460.514768,38.2166818
3,"[ 11.699574   19.450333   27.341677   33.414326   38.213787   38.8031
  37.70745    34.84046    37.02259    40.161613   42.69001    47.039112
  55.88047    65.37569    72.37595    78.01548    82.20543    84.25234
  84.96657    89.45317    94.36217    95.78358    98.9845     98.42021
  99.91683    97.34162   101.046104  104.82831   107.38882   108.062675
 108.58583   110.125084  110.6582    111.762764  115.62786   116.973564
 118.85197   115.25866   111.473526  106.95058   108.124886  110.852844
 114.62858   116.59249   120.43404   117.68902   114.65124   108.87478
 104.262344  101.24495    97.221214   98.97299   101.02567   104.66493
 106.96677   108.050766  110.26666   110.322754  108.00929   108.16567
 106.58313   106.609116  102.92032   101.24217    98.28115   102.560265
 103.06292   107.82265   106.523674  104.02803    96.84774    89.91511
  88.36685    86.74736    87.030685   86.21225    88.61915    93.373825
  94.21051    92.46211    87.9424     82.36353    76.765305   69.84914
  68.73207    68.144135   66.561615   63.062485   59.44181    58.7325
  54.134544   55.35846    56.567856   61.1079     56.76173    52.497643
  48.28458    49.042282   46.67987    44.68862    40.102673   36.459255
  31.393353   33.889366   38.02836    40.713573   34.588825   29.47998
  24.34641    22.950405   19.317064   12.76397     6.061672   -2.2654018
  -0.8413806  -0.5461927   0.1884096  -4.2500362  -4.944051   -6.8564234]",1189.87828,34.49461234
4,"[ 1.00824394e+01  1.78073711e+01  2.54639645e+01  3.12666130e+01
  3.57352180e+01  3.61467972e+01  3.48411751e+01  3.18603020e+01
  3.38609009e+01  3.69518394e+01  3.94201698e+01  4.36742172e+01
  5.23803825e+01  6.16720200e+01  6.85756836e+01  7.40969162e+01
  7.80635757e+01  7.99062042e+01  8.04415588e+01  8.48748856e+01
  8.96737747e+01  9.10493927e+01  9.42167816e+01  9.37259216e+01
  9.53058090e+01  9.28032913e+01  9.65118942e+01  1.00239761e+02
  1.02820671e+02  1.03680214e+02  1.04407425e+02  1.06069443e+02
  1.06651421e+02  1.07803268e+02  1.11940201e+02  1.13572685e+02
  1.15725723e+02  1.12349854e+02  1.08777504e+02  1.04507355e+02
  1.05856056e+02  1.08909050e+02  1.12948250e+02  1.15220825e+02
  1.19245338e+02  1.16913597e+02  1.14344559e+02  1.08895210e+02
  1.04369644e+02  1.01443512e+02  9.75969009e+01  9.96124039e+01
  1.01831711e+02  1.05656128e+02  1.08156113e+02  1.09401222e+02
  1.11679367e+02  1.11776810e+02  1.09506058e+02  1.09679955e+02
  1.08105370e+02  1.08069633e+02  1.04352837e+02  1.02562347e+02
  9.95102539e+01  1.03507652e+02  1.03846146e+02  1.08455666e+02
  1.07033333e+02  1.04268349e+02  9.67733612e+01  8.96035767e+01
  8.79765320e+01  8.62484894e+01  8.64361420e+01  8.53730316e+01
  8.75591888e+01  9.19968338e+01  9.26310120e+01  9.05576553e+01
  8.57418060e+01  7.98322220e+01  7.41500626e+01  6.72436295e+01
  6.61000214e+01  6.55066376e+01  6.38009109e+01  6.02516212e+01
  5.65243645e+01  5.58799477e+01  5.14107208e+01  5.26627998e+01
  5.38639679e+01  5.84112244e+01  5.41911201e+01  4.99751968e+01
  4.58309593e+01  4.67134781e+01  4.46508942e+01  4.28828697e+01
  3.84637756e+01  3.50125580e+01  3.01446590e+01  3.28576012e+01
  3.71562004e+01  3.99887352e+01  3.40817375e+01  2.91987095e+01
  2.43406277e+01  2.30747776e+01  1.95043755e+01  1.30014858e+01
  6.43869972e+00 -1.71730745e+00 -2.24877253e-01  5.43647297e-02
  7.26550102e-01 -3.76923180e+00 -4.47014952e+00 -6.37740183e+00]",974.4481064,31.21615137
5,"[  8.936055    16.625406    24.101954    29.68493     33.89027
  34.154663    32.67785     29.604954    31.464869    34.52918
  36.951656    41.128178    49.725456    58.867413    65.704445
  71.13445     74.929276    76.60886     77.02356     81.43407
  86.169754    87.52171     90.67581     90.257416    91.920074
  89.49031     93.21389     96.91616     99.52548    100.54329
 101.44255    103.21485    103.84972    105.05142    109.408165
 111.272385   113.62795    110.40398    106.98841    102.909225
 104.3872     107.66693    111.885796   114.37641    118.52613
 116.49248    114.25774    109.03833    104.55656    101.68069
  97.94487    100.13892    102.4524     106.37782    108.98278
 110.308815   112.59935    112.6975     110.433044   110.58708
 108.99319    108.8785     105.11942    103.22165    100.08611
 103.85086    104.05159    108.52435    106.98426    103.98744
  96.239685    88.87539     87.17724     85.361565    85.47954
  84.23548     86.25998     90.45661     90.93811     88.62061
  83.58409     77.43103     71.69463     64.81006     63.66255
  63.08028     61.30233     57.729263    53.93738     53.352222
  48.997272    50.287178    51.50619     56.07849     51.972103
  47.80569     43.740753    44.74182     42.930786    41.347294
  37.07589     33.797363    29.104567    31.998482    36.432705
  39.391376    33.669205    28.975193    24.343143    23.187008
  19.678904    13.23379      6.7984834   -1.2169915    0.33136833
   0.6011022    1.2337297   -3.304393    -4.010788    -5.9097204 ]",806.9370463,28.40663736
6,"[  7.650001    15.302409    22.6409      28.043198    32.031765
  32.17233     30.552153    27.423323    29.203714    32.296234
  34.714592    38.848503    47.379288    56.437008    63.260162
  68.6438      72.306625    73.856674    74.20463     78.63726
  83.35381     84.70029     87.859695    87.52932     89.28623
  86.93712     90.68313     94.37708     97.01827     98.19575
  99.2693     101.15452    101.84035    103.0941     107.654625
 109.72368    112.23416    109.11478    105.82661    101.901436
 103.47515    106.917274   111.261696   113.923485   118.16415
 116.37117    114.399864   109.353096   104.87566    102.01884
  98.3515     100.67813    103.048836   107.035      109.696175
 111.05453    113.316086   113.38321    111.09634    111.20119
 109.56444    109.34369    105.525764   103.51962    100.30617
 103.860695   103.92939    108.25868    106.58342    103.34655
  95.35875     87.80606     86.03006     84.133865    84.200294
  82.812805    84.71079     88.70569     89.06484     86.53742
  81.30192     74.9295      69.150826    62.297634    61.159843
  60.61104     58.80168     55.229942    51.391453    50.865376
  46.628517    47.966335    49.222645    53.82729     49.83092
  45.715042    41.746017    42.87048     41.29664     39.880745
  35.752995    32.64289     28.122585    31.187675    35.749596
  38.825386    33.270943    28.746344    24.312138    23.247435
  19.798588    13.40988      7.0944734   -0.8131732    0.77305084
   1.0231345    1.6230383   -2.96421     -3.6847878   -5.5737863 ]",678.7999076,26.05378874
7,"[  6.9570265   14.562701    21.794058    27.049366    30.868965
  30.914818    29.188616    26.021591    27.738646    30.853321
  33.25642     37.347023    45.814354    54.807472    61.611702
  66.95114     70.50619     71.94605     72.24562     76.6984
  81.409355    82.760475    85.93156     85.67755     87.51484
  85.23669     89.00857     92.70593     95.380775    96.681175
  97.8932      99.869446   100.600426   101.897835   106.61071
 108.83858    111.45477    108.40166    105.21227    101.41117
 103.06257    106.60453    111.02891    113.80711    118.11373
 116.47836    114.67778    109.73864    105.25607    102.407745
  98.77517    101.18147    103.56402    107.559944   110.21645
 111.56226    113.77175    113.79163    111.46581    111.50241
 109.80893    109.47873    105.59625    103.48125    100.187065
 103.56133    103.51146    107.70241    105.8993     102.461945
  94.28527     86.575386    84.71818     82.74391     82.75839
  81.25538     83.050705    86.88398     87.13727     84.44577
  79.05526     72.52745     66.71822     59.887955    58.754055
  58.229103    56.411568    52.84781     48.98633     48.502823
  44.361027    45.7444      47.048138    51.69197     47.791714
  43.728714    39.85804     41.101154    39.723137    38.449673
  34.447765    31.488405    27.122454    30.337347    35.017128
  38.199524    32.795456    28.422077    24.159878    23.18319
  19.806381    13.491203     7.295313    -0.51675713   1.1103915
   1.3639219    1.9644694   -2.6406264   -3.3598573   -5.2263336 ]",585.770318,24.20269237
8,"[  4.2466393  11.8086605  18.921522   23.991219   27.598421   27.48818
  25.585806   22.396704   24.15759    27.443443   29.9652     34.098976
  42.59519    51.607105   58.533424   63.92697    67.394165   68.73048
  69.054985   73.64081    78.40367    79.7307     82.90138    82.77634
  84.75       82.58295    86.341064   90.009705   92.67246    94.210106
  95.654564   97.77108    98.51821    99.879036  104.864555  107.31262
 110.05509   107.03461   103.93422   100.22501   101.92406   105.60294
 110.09731   113.03007   117.368965  116.02113   114.51627   109.77036
 105.212776  102.33484    98.74188   101.30716   103.790115  107.879715
 110.62359   111.97931   114.1343    114.09457   111.73244   111.69579
 109.94601   109.47597   105.535126  103.35827   100.03968   103.24475
 103.077965  107.1151    105.13241   101.36089    92.89883    84.97431
  83.06402    81.050156   81.09178    79.4982     81.240715   84.91982
  85.13399    82.24859    76.63506    69.80927    63.974487   57.260647
  56.25319    55.887093   54.12134    50.62759    46.745464   46.389107
  42.449425   43.93265    45.329826   50.028397   46.265427   42.247513
  38.535194   39.94949    38.902412   37.80856    33.997055   31.26439
  27.142658   30.554604   35.34226    38.627182   33.391464   29.186863
  25.11036    24.18234    20.81827    14.507787    8.401158    0.6291809
   2.216207    2.330493    2.7978077  -1.9855062  -2.8082469  -4.731861 ]",488.5224522,22.10254402
9,"[  3.1717348  10.646588   17.635006   22.505117   25.924143   25.66143
  23.609774   20.370832   22.119686   25.461884   27.993597   32.10145
  40.561424   49.5298     56.4845     61.862785   65.23301    66.45653
  66.77953    71.446526   76.23638    77.535774   80.69589    80.665115
  82.73902    80.66412    84.40127    88.04567    90.68125    92.37834
  93.972664   96.18358    96.94651    98.37109   103.55264   106.15932
 108.98432   105.969734  102.93057    99.28903   101.04898   104.81473
 109.35081   112.37673   116.73386   115.556694  114.22591   109.594154
 104.98833   102.104065   98.53425   101.197365  103.72447   107.84409
 110.60499   111.93018   114.03547   113.948715  111.561165  111.45846
 109.66112   109.084335  105.102486  102.88001    99.54767   102.65032
 102.40897   106.329     104.21705   100.22156    91.58316    83.52126
  81.579384   79.5446     79.61315    77.962234   79.6816     83.26582
  83.46789    80.468315   74.709435   67.682686   61.8304     55.212193
  54.32834    54.084053   52.375645   48.931664   45.05631    44.790512
  40.998123   42.558266   44.04327    48.787766   45.12194    41.12853
  37.546112   39.100628   38.308224   37.335102   33.660686   31.103508
  27.183172   30.7398     35.595547   38.941772   33.83457    29.773247
  25.847647   24.969378   21.626244   15.338129    9.303559    1.5580264
   3.0990076   3.103405    3.4760644  -1.4280721  -2.333078   -4.320377 ]",415.943472,20.39469225
