id,predict_data,mse,rmse,norm_corr
0,"[ 11.020367  14.877698  15.454865  17.227741  22.137781  27.644976
  34.21434   37.707302  41.04711   44.19061   50.51345   59.345295
  67.89356   76.61685   82.79336   87.69225   89.888916  92.365036
  95.98753  101.75422  106.49809  113.38743  119.6534   128.46056
 135.15038  140.9523   142.01949  146.99422  146.63858  148.169
 147.45024  152.30258  157.08617  163.25455  164.92108  164.01785
 165.76736  168.46304  170.66383  170.21579  170.65866  170.48683
 168.58562  165.95605  160.2161   157.15805  154.76904  155.9716
 154.02603  150.00139  148.27577  147.01956  148.36905  146.96703
 141.7519   135.74228  132.6734   131.75038  126.79921  123.14389
 115.24836  113.24061  112.59864  110.649216 106.62375   99.92839
  96.539154  92.14827   90.28185   84.353134  80.709496  78.156525
  78.06661   79.44196   79.077065  75.63048   71.87057   70.93998
  65.58264   60.091835  55.687065  55.39662   55.03674   53.73761
  51.986034  51.208763  51.198532  52.721577  52.71935   52.006725
  47.636093  44.764385  39.76481   39.14924   35.41515   36.951145
  38.061367  40.848198  36.59562   30.727304  27.746881  28.173708
  30.818216  29.376951  24.168085  22.278976  19.548101  19.235453
  20.326849  22.940367  24.238276  24.291359  22.46282   20.869648
  21.364096  22.944239  20.822718  18.90026   19.182697  23.067652]",3296.521488,57.41534192,0.0
1,"[  4.5761356   6.1739526   4.884293    5.2344847   8.975242   12.90423
  19.061663   22.198906   24.728857   26.466116   31.845308   39.799316
  47.40257    55.86049    61.275032   65.33579    66.28752    68.22355
  71.43983    77.130905   81.64898    88.03182    93.71828   101.850845
 107.73228   112.73871   113.113625  117.93968   117.36812   119.13419
 118.736496  124.27207   128.96942   135.2044    136.56847   135.43713
 138.38974   142.22324   145.00327   145.15996   146.51822   146.90024
 145.48956   143.24034   138.79727   137.03448   136.17004   138.5121
 137.2366    133.77145   133.12395   133.3922    136.42776   136.90868
 132.06908   126.51617   123.657646  123.88465   119.735466  117.207664
 109.7946    108.81836   109.38875   108.21989   104.44908    97.62317
  94.79763    91.39357    91.028336   85.24551    81.29191    78.41156
  78.285355   79.73293    79.03005    75.44813    71.611465   71.27348
  66.42399    61.577896   57.140026   56.777637   56.49151    55.235043
  53.56914    52.06122    52.002556   53.769386   54.085884   53.08051
  48.347458   45.481075   41.172394   40.83141    37.350178   39.026344
  40.16026    42.824383   38.369316   32.558926   29.860132   30.568964
  32.781605   31.345882   25.991507   23.973866   21.018867   20.403502
  21.076426   22.658485   23.222446   22.427774   19.456324   16.855202
  16.845425   17.856426   14.786509   11.782255   10.779177   13.79334  ]",1562.253495,39.52535256,0.9995117626607671
2,"[  9.843646  10.89333    9.344553   9.505147  13.019561  16.290056
  22.417513  25.460848  27.700851  28.943098  34.115097  41.844193
  49.138012  57.41958   62.54946   66.14067   66.5738    68.1368
  71.05595   76.291405  80.54978   86.42029   91.53682   99.04741
 104.38744  108.846985 108.79721  113.35386  112.64611  114.36572
 113.95878  119.484474 123.839806 129.72168  130.8061   129.46677
 132.65683  136.64413  139.37537  139.67383  141.40002  141.90773
 140.49968  138.41046  134.79907  133.73383  133.5717   136.36801
 135.19629  131.81291  131.42387  132.29149  136.03812  137.24939
 132.62312  127.51618  124.88524  125.66404  121.72051  119.72245
 112.59666  112.1333   112.980576 112.132256 108.35209  101.48354
  98.727745  95.648224  95.65317   89.961494  85.8355    82.75605
  82.46348   83.62666   82.47578   78.70649   74.60018   74.22793
  69.34416   64.69103   60.018562  59.22723   58.70443   57.296574
  55.512978  53.560314  53.135853  54.665436  54.840702  53.649906
  48.612534  45.62098   41.427917  40.802177  37.049763  38.634785
  39.662632  42.13058   37.295033  31.30432   28.634966  29.603155
  31.487247  29.733932  24.176409  22.098337  18.901901  18.224848
  18.801556  20.116995  20.648407  19.600258  16.22242   13.362082
  13.48228   14.651622  11.617701   8.366706   7.048503   9.980375]",1102.413257,33.20260919,0.9991513976802
3,"[ 15.440831   16.600397   15.2444935  15.522205   19.129744   22.321585
  28.609522   31.641632   33.82835    34.947857   40.16132    47.984516
  55.309067   63.533863   68.561165   71.93987    72.15999    73.51792
  76.28827    81.25495    85.32328    90.93362    95.65834   102.788345
 107.741356  111.87964   111.53885   115.90272   115.025185  116.58551
 116.01045   121.377716  125.47692   131.00916   131.85495   130.22858
 133.27704   137.09587   139.61758   139.7126    141.36159   141.7873
 140.24716   138.11334   134.67728   133.7557    133.74396   136.61543
 135.34079   131.79855   131.33508   132.25427   136.17279   137.51364
 132.90492   127.938446  125.43024   126.39714   122.4264    120.47653
 113.38325   113.022385  113.82703   113.09981   109.2906    102.39366
  99.54699    96.43027    96.392746   90.67949    86.49278    83.294334
  82.94248    83.9625     82.61018    78.75017    74.47096    73.97571
  68.91449    64.215164   59.400177   58.395947   57.83021    56.328793
  54.413162   52.246933   51.59828    52.979813   53.021717   51.70544
  46.479137   43.380405   39.167      38.30975    34.37584    35.88427
  36.861195   39.251976   34.20767    28.083147   25.357225   26.429296
  28.281183   26.376451   20.767916   18.673344   15.427664   14.851397
  15.553924   16.984621   17.706308   16.725327   13.351865   10.58065
  10.989995   12.435177    9.682301    6.5526385   5.4101276   8.593902 ]",914.3024008,30.23743377,0.9991770362639142
4,"[ 20.330517   21.65717    20.446884   20.784428   24.466951   27.701366
  34.139202   37.118195   39.25426    40.259197   45.484432   53.416054
  60.791412   68.941185   73.82014    76.9882     76.96203    78.097015
  80.68333    85.45694    89.282555   94.697014   99.067314  105.888374
 110.43781   114.257835  113.56571   117.70614   116.547     117.87125
 117.02059   122.198685  126.06044   131.25194   131.82416   129.82504
 132.63702   136.24162   138.55197   138.31178   139.71214   139.99063
 138.32254   136.06238   132.49474   131.4916    131.45946   134.31651
 132.93716   129.19002   128.63411   129.49019   133.47408   134.83858
 130.21184   125.26127   122.85169   123.93087   119.95621   117.94257
 110.829475  110.454834  111.234215  110.641014  106.89346   100.02107
  97.13654    93.960594   93.885735   88.15038    83.97468    80.704506
  80.42365    81.50002    80.17094    76.32116    71.980545   71.44524
  66.26214    61.49525    56.635292   55.635387   55.17929    53.67099
  51.66759    49.434845   48.731163   50.11463    50.12586    48.75344
  43.424763   40.28469    36.076984   35.14401    31.184631   32.699837
  33.699932   36.122753   31.033323   24.869978   22.112574   23.235123
  25.214617   23.33534    17.793213   15.722317   12.573555   12.182979
  13.106848   14.760049   15.703023   14.895466   11.645294    9.04477
   9.735269   11.412582    8.914439    5.9728208   5.10506     8.586042 ]",710.2234752,26.6500183,0.99943111522164
5,"[ 20.921637   21.75808    20.07929    19.988943   23.331823   26.171413
  32.481514   35.239105   37.118893   37.663593   42.55702    50.229595
  57.30609    65.2539     69.689026   72.419815   71.75763    72.52142
  74.766174   79.432556   82.98157    88.21821    92.29572    98.86891
 102.955894  106.41146   105.30872   109.24717   107.80299   109.0568
 108.10789   113.42251   117.277824  122.39075   122.80503   120.60355
 123.63857   127.551834  130.08075   129.85449   131.3332    131.77264
 130.35654   128.17659   124.70964   123.90785   124.25349   127.4699
 126.35865   122.72613   122.48741   123.71      128.14035   129.97992
 125.546906  120.658226  118.35518   119.69104   115.945816  114.06013
 107.01463   106.79584   107.81664   107.48014   103.83511    96.91251
  94.07695    90.9654     91.07135    85.26155    81.00508    77.5124
  77.198364   78.30089    76.93066    73.002716   68.56219    68.0315
  62.71876    57.859318   52.903767   51.926292   51.456936   49.82228
  47.637295   45.22678    44.522556   45.926826   45.960976   44.482105
  38.970585   35.765045   31.65573    30.831438   26.999983   28.635199
  29.685501   32.159748   27.123629   21.03571    18.364374   19.582035
  21.700829   20.058264   14.697875   12.722674    9.789203    9.575596
  10.656087   12.289386   13.252743   12.547675    9.301232    6.7206354
   7.545803    9.302569    6.7705436   3.8231905   2.8839555   6.417886 ]",425.9994518,20.63975416,0.9995895165442525
6,"[ 24.941446   25.581013   23.704973   23.3928     26.565863   29.190905
  35.463123   38.035946   39.707397   39.910458   44.59215    52.134617
  59.01622    66.74776    70.82558    73.16384    71.98536    72.36484
  74.25198    78.697334   81.90375    86.88696    90.57497    96.81348
 100.397934  103.43307   101.86543   105.5111    103.71159   104.76126
 103.56123   108.79715   112.473045  117.31491   117.458916  114.9311
 117.92207   121.85032   124.36359   123.95408   125.32586   125.751724
 124.39158   122.17922   118.669395  117.907745  118.4239    121.81636
 120.79397   117.11823   117.00411   118.40491   123.09788   125.20645
 120.886375  116.06316   113.879776  115.40824   111.80308   109.98117
 102.99443   102.856964  103.999916  103.87992   100.35758    93.46677
  90.67984    87.61909    87.82718    82.0049     77.72744    74.092445
  73.82619    75.008      73.68163    69.74723    65.248886   64.720474
  59.313805   54.396103   49.37956    48.446423   48.031654   46.35013
  44.04483    41.555435   40.855938   42.297684   42.34989    40.826973
  35.204445   31.989386   27.959988   27.194677   23.447056   25.178793
  26.298336   28.851131   23.87247    17.847172   15.247009   16.571482
  18.854177   17.393099   12.196701   10.319855    7.5846725   7.592576
   8.909215   10.679564   11.796453   11.263761    8.113379    5.650119
   6.7072053   8.640526    6.2325516   3.388025    2.554548    6.2612095]",282.7814633,16.81610726,0.9997002364405446
7,"[ 30.250708   31.132948   29.41152    29.155712   32.362988   35.044197
  41.35625    43.801823   45.41226    45.515255   50.17521    57.769123
  64.64236    72.18439    76.03059    78.10177    76.631676   76.71666
  78.3007     82.46276    85.29653    90.03778    93.37429    99.33022
 102.53369   105.228935  103.24786   106.56769   104.387215  105.11042
 103.51472   108.4555    111.83266   116.295135  116.132545  113.218185
 115.85757   119.50704   121.79539   121.01067   122.05494   122.29099
 120.8051    118.446465  114.64318   113.661934  114.03969   117.344734
 116.24552   112.374466  112.188866  113.49336   118.20786   120.2903
 116.02634   111.241425  109.19778   110.80513   107.27537   105.422455
  98.491745   98.31386    99.46047    99.52462    96.18839    89.46073
  86.757385   83.73349    83.94214    78.20672    74.05626    70.45225
  70.39222    71.80816    70.722496   66.917885   62.46319    61.961926
  56.53448    51.602222   46.61685    45.829704   45.55513    43.944145
  41.60981    39.265327   38.646534   40.15098    40.2249     38.773655
  33.14302    29.95366    25.896345   25.136305   21.412691   23.210844
  24.380417   27.007128   22.073774   16.054924   13.431644   14.782933
  17.235952   15.864914   10.77419     8.944672    6.3721924   6.601992
   8.16406    10.213101   11.575131   11.286917    8.329452    6.082392
   7.387364    9.522049    7.3482614   4.7254925   4.181984    8.167699 ]",285.4017324,16.89383711,0.9995072606508024
8,"[ 35.44067    36.652287   35.124348   34.924545   38.14756    40.89837
  47.19454    49.457474   51.02263    51.04373    55.668118   63.292423
  70.13621    77.41818    80.94843    82.7057     80.880104   80.620026
  81.82698    85.675476   88.06621    92.57613    95.57327   101.286736
 104.11177   106.48341   104.07075   107.03088   104.42365   104.79219
 102.75277   107.38494   110.49869   114.59461   114.1445    110.85946
 113.11473   116.5076    118.6246    117.45533   118.13389   118.20983
 116.66332   114.176315  109.982544  108.715935  108.917786  112.13143
 111.01399   106.9695    106.7403    107.928345  112.65194   114.68031
 110.54857   105.80058   103.92475   105.57519   102.14984   100.225655
  93.361755   93.1024     94.22346    94.49175    91.38094    84.85334
  82.23543    79.2094     79.34306    73.6964     69.71741    66.142586
  66.30544    67.98939    67.20743    63.546627   59.13612    58.61561
  53.099636   48.074677   43.109943   42.499027   42.332626   40.75256
  38.326866   36.19197    35.68206    37.21367    37.275402   35.90969
  30.249254   27.05303    22.888536   22.134626   18.429209   20.305302
  21.505663   24.194073   19.32261    13.303755   10.621169   11.960671
  14.637974   13.40672     8.467012    6.70258     4.3595085   4.859577
   6.7114644   9.100699   10.751628   10.813897    8.154244    6.2129903
   7.809951   10.186479    8.293201    5.987539    5.8052597  10.135808 ]",271.6620488,16.48217367,0.9995080810884924
9,"[ 47.45334    49.845055   49.232815   49.616837   53.279854   56.582157
  63.099064   65.24872    66.963425   67.2365     72.13617    80.14125
  87.270515   94.279915   97.613266   99.11843    97.12838    96.48053
  97.24174   100.526505  102.27556   106.44834   108.92073   114.26142
 116.607605  118.57035   115.58854   117.97224   114.725555  114.40614
 111.52724   115.38399   117.92553   121.256226  120.306854  116.36145
 117.59749   120.123146  121.6255    119.58063   119.411514  118.98366
 117.034805  114.18051   109.1458    107.15425   106.693054  109.426636
 107.96606   103.395905  102.72614   103.31935   107.64894   109.12937
 105.03179   100.29371    98.66752   100.19499    96.69383    94.4403
  87.5854     87.00837    87.79711    88.220985   85.39003    79.22453
  76.60968    73.39451    73.10682    67.610916   63.966064   60.55048
  61.102905   63.172165   62.889385   59.491264   55.146214   54.47502
  48.75119    43.51778    38.584934   38.190804   38.216473   36.7184
  34.1747     32.46844    32.04101    33.536804   33.479042   32.287117
  26.646547   23.428307   18.942366   18.014668   14.17417    16.05939
  17.262783   20.035969   15.189202    9.072245    6.191013    7.46334
  10.49781     9.31486     4.5308037   2.8333938   0.7808653   1.7348083
   4.11512     7.293124    9.607315   10.34063     8.328817    7.0668306
   9.2828     12.22008    11.070294    9.498709   10.235292   15.360414 ]",282.4454912,16.8061147,0.9996138367280724
