,predict_data,mse,rmse
0,"[ 18.086496  22.839052  27.319807  29.187292  31.877792  34.682423
  37.345455  40.722862  43.54686   46.83275   49.296467  50.18048
  51.982563  52.177826  52.937687  54.027412  58.18101   64.53195
  68.69807   73.805885  75.64064   79.69472   80.93508   83.31051
  85.847275  88.47319   92.71227   96.13482  102.39625  106.61963
 109.82181  113.01623  116.22705  118.93359  118.482216 119.695595
 120.69445  121.9459   125.0197   126.72559  128.38008  128.56259
 128.58827  127.93316  126.0975   123.59452  122.78355  122.58759
 123.324196 122.51077  122.29101  122.911415 122.534096 121.478455
 119.78052  119.102844 119.18596  120.89807  122.47681  123.98751
 124.07721  124.45596  125.272255 124.50909  122.86045  120.36671
 118.626976 115.59492  110.65222  107.4747   104.376    102.410416
 101.0294   100.54654  100.6543   100.16061   99.51084   95.203606
  90.818665  87.862335  84.519684  81.54214   79.12566   78.88732
  78.22038   76.903244  75.15162   72.52599   69.678566  66.84556
  63.005745  59.443256  57.71665   53.68434   51.497852  47.722214
  46.615494  44.67479   41.575283  39.40866   36.208298  35.365803
  32.721024  28.725428  26.618155  24.202156  22.671955  20.988035
  20.281195  20.699566  20.533878  21.650173  21.315557  20.180529
  18.40523   17.776129  16.637194  16.29342   16.120455  17.669096]",1342.5974248748505,36.64147137977473
1,"[ 17.72041   22.8039    27.521399  29.599209  32.48143   35.49313
  38.34373   41.854343  44.771564  48.16309   50.764137  51.721966
  53.552753  53.82761   54.722443  55.860744  60.060093  66.48505
  70.6994    75.82784   77.578865  81.63089   82.82956   85.141945
  87.60563   90.192215  94.364136  97.67857  103.81557  107.881966
 110.943985 113.93331  116.96666  119.437775 118.77639  119.80998
 120.56487  121.56318  124.434525 125.98676  127.46916  127.44556
 127.25848  126.39266  124.325645 121.57541  120.55513  120.16524
 120.767715 119.76205  119.42884  119.97714  119.51255  118.3398
 116.5806   115.88768  115.882195 117.485435 118.932205 120.332924
 120.290825 120.58265  121.3527   120.588394 118.967964 116.53198
 114.84832  111.818405 106.85837  103.66228  100.537926  98.53302
  97.128784  96.658424  96.797386  96.282104  95.67406   91.426735
  87.07489   84.12053   80.79857   77.843216  75.47339   75.2139
  74.54361   73.24622   71.58264   69.06985   66.27525   63.511143
  59.73063   56.239246  54.530457  50.480755  48.361874  44.638874
  43.565998  41.669838  38.595413  36.49073   33.31263   32.520203
  29.948217  26.024336  23.999296  21.671251  20.20223   18.610342
  18.017773  18.558376  18.528446  19.715643  19.466581  18.389975
  16.676905  16.11134   15.011781  14.802393  14.746203  16.468346]",1161.3652051598644,34.07880874032812
2,"[ 14.8889265  20.220318   25.10702    27.378023   30.407343   33.62494
  36.61106    40.204876   43.171192   46.615185   49.313942   50.31951
  52.166977   52.465927   53.445713   54.62455    58.81302    65.22722
  69.438644   74.59013    76.25087    80.29361    81.43871    83.6978
  86.080475   88.60285    92.696556   95.881516  101.904076  105.835106
 108.76722   111.57421   114.44385   116.73052   115.87472   116.76573
 117.32846   118.1479    120.86307   122.300934  123.69868   123.54635
 123.23568   122.24412   120.07953   117.21749   116.1335    115.685905
 116.29081   115.26391   114.94079   115.540085  115.141945  114.06167
 112.419716  111.89984   112.020164  113.73038   115.23561   116.695564
 116.71466   117.07977   117.98146   117.39461   115.98795   113.76273
 112.29464   109.43369   104.621086  101.56015    98.51975    96.58267
  95.2605     94.87463    95.09429    94.59462    94.09395    89.94762
  85.661804   82.7468     79.46932    76.54215    74.19576    73.8889
  73.16824    71.81269    70.13807    67.662605   64.827446   62.015842
  58.19067    54.653645   52.8552     48.654175   46.49047    42.726284
  41.606632   39.64381    36.479263   34.314167   31.019514   30.116652
  27.437012   23.410036   21.30658    18.923338   17.390444   15.735283
  15.113859   15.633627   15.589264   16.67053    16.349968   15.192933
  13.405878   12.7563715  11.575379   11.351385   11.258357   13.0119095]",884.3448551598715,29.737936296250812
3,"[ 13.626113   19.215542   24.277067   26.710411   29.882734   33.2712
  36.39332    40.07022    43.09514    46.614456   49.412388   50.463306
  52.324577   52.67023    53.74871    54.962524   59.188297   65.666695
  69.927414   75.11864    76.71864    80.775444   81.891365   84.11097
  86.441185   88.938995   92.99473    96.10748   102.05659   105.880455
 108.7189    111.375786  114.11324   116.22251   115.2012    115.961716
 116.33809   116.96945   119.53742   120.86845   122.1468    121.83416
 121.36262   120.20804   117.869514  114.8114    113.57129   112.98178
 113.49849   112.340065  111.94463   112.510345  112.06474   110.92199
 109.250694  108.742546  108.81692   110.46214   111.87174   113.25937
 113.18595   113.495316  114.37467   113.80548   112.44275   110.27824
 108.87105   106.020294  101.202774   98.13343    95.07045    93.09592
  91.75689    91.38168    91.61862    91.09532    90.63414    86.540146
  82.27488    79.36118    76.101295   73.188774   70.875046   70.542076
  69.823044   68.47911    66.88013    64.51026    61.72787    58.979115
  55.207413   51.736004   49.963726   45.754765   43.666737   39.970222
  38.909176   37.00759    33.884296   31.780247   28.5112     27.652218
  25.03068    21.060726   19.02828    16.726141   15.247973   13.66605
  13.130001   13.73964    13.792424   14.910014   14.63861    13.504629
  11.746131   11.1171      9.935732    9.7862425   9.745033   11.612949 ]",720.4611190535741,26.841406800940483
4,"[ 11.762659   17.559738   22.762096   25.343653   28.63619    32.182865
  35.406483   39.137737   42.19666    45.75583    48.620567   49.691948
  51.551476   51.904953   53.039875   54.264984   58.478596   64.95702
  69.2143     74.41665    75.930595   79.96947    81.03382    83.19687
  85.45106    87.88697    91.87814    94.893265  100.74841   104.45515
 107.18401   109.689865  112.28483   114.2259    113.03432   113.670044
 113.87763   114.351746  116.79531   118.03363   119.23389   118.79647
 118.21186   116.936935  114.48824   111.30551   109.983475  109.32656
 109.82262   108.6175    108.2093    108.80054   108.38008   107.27612
 105.66856   105.269325  105.416084  107.11887   108.543     109.952705
 109.89349   110.23525   111.187454  110.722595  109.50218   107.486015
 106.23217   103.49395    98.77277    95.78658    92.77028    90.829
  89.53288    89.21313    89.503365   88.991844   88.61644    84.607376
  80.3922     77.509735   74.28732    71.40963    69.128174   68.769516
  68.03636    66.67608    65.1023     62.791145   60.007076   57.254753
  53.475834   50.001087   48.19042    43.89742    41.81001    38.110966
  37.04787    35.133312   31.979765   29.865847   26.548172   25.648987
  22.989883   18.98434    16.935965   14.634432   13.138532   11.54378
  11.016047   11.640362   11.712739   12.787304   12.497973   11.331373
   9.548556    8.884415    7.6639504   7.525125    7.4755177   9.39728  ]",537.1959335926648,23.1774876462628
5,"[ 11.012503   17.01605    22.352814   25.05469    28.455671   32.12994
  35.446205   39.22019    42.309452   45.91408    48.835255   49.91168
  51.751      52.110916   53.293884   54.50983    58.72491    65.237335
  69.51221    74.72616    76.16074    80.185745   81.20135    83.30364
  85.48807    87.87459    91.81611    94.75819   100.538284  104.13906
 106.77623   109.145676  111.614     113.38882   112.04343   112.560295
 112.60076   112.911896  115.23678   116.388054  117.489624  116.90915
 116.19248   114.77759   112.1771    108.82165   107.36644   106.59441
 107.01828   105.702644  105.23698   105.80922   105.35049   104.19727
 102.56968   102.1862    102.30312   103.95999   105.30618   106.660904
 106.5251    106.82422   107.7578    107.301994  106.12082   104.1634
 102.96811   100.24368    95.5246     92.533516   89.49956    87.5244
  86.21093    85.9035     86.208725   85.68472    85.352234   81.39791
  77.203545   74.32683    71.12484    68.27426    66.03039    65.6589
  64.944786   63.61333    62.120945   59.912544   57.18937    54.50573
  50.78482    47.3808     45.608963   41.328472   39.323345   35.69878
  34.70728    32.868626   29.7757     27.73456    24.464825   23.628235
  21.042051   17.107975   15.144741   12.937607   11.50468     9.98983
   9.547311   10.260895   10.428129   11.555018   11.329714   10.199764
   8.461591    7.8302526   6.623237    6.550529    6.5460014   8.5727005]",413.17002792829925,20.326584266135303
6,"[  9.364302   15.524098   20.960527   23.772594   27.260199   31.055603
  34.432777   38.22236    41.319      44.937542   47.888535   48.950222
  50.759502   51.090664   52.28598    53.477886   57.654522   64.14641
  68.39846    73.61004    74.95049    78.9417     79.89271    81.926445
  84.024895   86.33389    90.207954   93.057106   98.751625  102.24567
 104.783745  107.021065  109.35895   110.98598   109.48753   109.89657
 109.79106   109.97387   112.20129   113.2793    114.32352   113.636116
 112.83447   111.32274   108.63856   105.18335   103.67142   102.85888
 103.28121   101.945206  101.48609   102.10269   101.684425  100.59086
  99.03911    98.7719     98.97808   100.71203   102.091095  103.48792
 103.38553   103.73302   104.74615   104.39176   103.34962   101.53707
 100.49044    97.87823    93.25837    90.35226    87.36765    85.42569
  84.15407    83.90156    84.25426    83.74771    83.49911    79.62781
  75.47909    72.6341     69.46929    66.65791    64.44579    64.055336
  63.340897   62.005116   60.543156   58.392574   55.677567   52.99736
  49.275402   45.87536    44.08062    39.739594   37.74861    34.137623
  33.165028   31.334312   28.234913   26.19752    22.900955   22.041523
  19.43164    15.475842   13.510333   11.318136    9.877625    8.356483
   7.9211116   8.646135    8.827922    9.919272    9.682509    8.523571
   6.7665577   6.100251    4.8550086   4.7759166   4.7443585   6.8069544]",288.08370936242005,16.97302888003258
7,"[  9.349557   15.672341   21.209204   24.10017    27.665257   31.544048
  34.976845   38.775707   41.879715   45.52003    48.49021    49.5225
  51.28124    51.587524   52.78819    53.93141    58.081944   64.58697
  68.83173    74.02751    75.27432    79.22739    80.11444    82.069176
  84.0857     86.327934   90.14442    92.92472    98.54489   101.93549
 104.38616   106.50219   108.722435  110.19322   108.55589   108.85776
 108.603874  108.64453   110.77994   111.79009   112.75029   111.93434
 111.02319   109.38991   106.56585   102.951324  101.31724   100.40419
 100.75781    99.316025   98.80255    99.40213    98.93953    97.788246
  96.20743    95.939804   96.10916    97.79255    99.09135   100.43185
 100.248085  100.548164  101.52716   101.15484   100.12675    98.35276
  97.343346   94.72926    90.099396   87.17396    84.16362    82.17932
  80.87846    80.63116    80.990204   80.476395   80.26484    76.44311
  72.30983    69.46904    66.322784   63.547157   61.3768     60.987465
  60.310307   59.023922   57.65411    55.60659    52.96562    50.367603
  46.7153     43.39916    41.66334    37.36503    35.469845   31.94505
  31.060057   29.326246   26.313372   24.368662   21.152073   20.386072
  17.878244   14.022178   12.168201   10.093848    8.734416    7.3132696
   6.97538     7.8017697   8.089624    9.265386    9.121132    8.025447
   6.3416195   5.7350826   4.5292444   4.5235634   4.54728     6.7189264]",232.3725471060843,15.243770764023065
8,"[  9.001637   15.456432   21.069132   24.025688   27.65033    31.601479
  35.06797    38.85542    41.95022    45.593056   48.562946   49.548874
  51.244198   51.501877   52.68251    53.76186    57.862343   64.35258
  68.56889    73.74014    74.8844     78.7879     79.60058    81.46943
  83.39442    85.55441    89.30447    92.006676   97.5499    100.83849
 103.201035  105.200294  107.303825  108.62988   106.85749   107.060104
 106.6705    106.58862   108.645546  109.59771   110.49488   109.56882
 108.57289   106.840324  103.91009   100.17081    98.451126   97.472824
  97.79047    96.284645   95.74717    96.36011    95.88932    94.729805
  93.16193    92.93693    93.12043    94.80556    96.07108    97.39765
  97.18026    97.47281    98.45896    98.1068     97.13296    95.432175
  94.495346   91.91787    87.316864   84.40837    81.399704   79.39886
  78.09305    77.86877    78.24643    77.7377     77.57899    73.817635
  69.7086     66.88205    63.76126    61.026886   58.895706   58.50596
  57.86084    56.61281    55.31655    53.35568    50.77177    48.233086
  44.6301     41.374783   39.67823    35.39998    33.57862    30.122713
  29.311552   27.65494    24.709322   22.834654   19.674387   18.972425
  16.532352   12.742978   10.970102    8.986852    7.684183    6.331834
   6.061468    6.9590173   7.321106    8.548046    8.467414    7.4092073
   5.773783    5.19874     4.0102344   4.044426    4.0890875   6.337262 ]",209.87108591999458,14.48692810501918
9,"[  9.790352   16.365995   22.05003    25.052498   28.729113   32.724712
  36.21132    39.97788    43.05759    46.69383    49.643837   50.56376
  52.175545   52.37057    53.506924   54.491608   58.521313   64.98205
  69.145454   74.25643    75.27571    79.09891    79.8188     81.575645
  83.39034    85.44671    89.11176    91.72834    97.17464   100.34352
 102.60312   104.47955   106.45729   107.62434   105.714     105.80919
 105.28019   105.07003   107.054085  107.94918   108.77705   107.73741
 106.65829   104.825905  101.776474   97.90454    96.08753    95.03725
  95.30274    93.71139    93.13461    93.7449     93.24065    92.03818
  90.4586     90.24609    90.41779    92.08113    93.29559    94.59004
  94.31589    94.58087    95.54599    95.17548    94.221466   92.56976
  91.6803     89.11989    84.52962    81.617645   78.59937    76.57259
  75.244865   75.03487    75.42649    74.928505   74.8169     71.11274
  67.02705    64.21297    61.115593   58.43375    56.351055   55.97681
  55.379078   54.192215   52.983227   51.10908    48.591644   46.12526
  42.582405   39.400105   37.7563     33.521122   31.779566   28.39188
  27.655296   26.084906   23.221447   21.4338     18.358007   17.751692
  15.412795   11.7225065  10.059803    8.191279    6.9640455   5.706682
   5.5270605   6.520474    6.983474    8.308944    8.336728    7.359214
   5.8170247   5.321782    4.1968975   4.3063946   4.4136434   6.770474 ]",221.09378892588236,14.86922287565434
