,predict_data,mse,rmse
0,"[ 35.96152    32.88428    32.842064   28.773043   29.171467   30.037306
  28.071522   25.772621   24.756798   23.092081   19.329723   19.17952
  18.45036    18.08349    16.480604    8.743397   11.230757   10.683383
  10.610123    8.075036    5.069976    8.517058    2.2211158   6.788831
   1.8237045   4.9190116   5.2888913   0.8905894   4.70524     1.869782
   5.1784387   7.4385867   5.388336   10.697098   13.324354   14.687643
  12.670384   17.140057   15.298634   18.608807   19.171192   30.14291
  29.210918   37.022316   38.94923    42.478107   45.5562     48.068962
  55.51401    58.228184   63.06499    67.56391    70.14597    72.9397
  77.48698    80.12168    83.932846   88.73567    90.80781    97.21407
  98.68297   103.29503   105.07804   103.23056   106.09876   114.06992
 116.782646  115.23582   119.163     120.76652   122.78459   127.83183
 128.48216   128.93134   130.88748   130.30153   133.18384   132.27034
 135.29935   131.97769   135.1614    131.63625   131.46165   132.67744
 131.98746   133.87477   132.05698   133.88118   131.75464   130.88957
 133.25237   130.61505   127.17953   128.1292    123.411095  126.77902
 126.634674  118.6551    124.35165   117.44441   122.54963   114.914696
 117.33473   111.39326   113.74499   110.03869   102.89022   105.3183
  98.70709    99.98597    93.86012    94.04874    90.47054    89.42775
  85.77236    83.76572    77.54822    78.45935    74.757286   71.30231  ]",1942.6353883601369,44.075337643177924
1,"[ 36.44063    33.591618   33.440563   29.607794   29.826864   30.597567
  28.702307   26.522612   25.515497   23.935316   20.377054   20.181622
  19.366493   18.919344   17.39408     9.972759   12.405782   11.836135
  11.710092    9.216012    6.3073497   9.5659485   3.4653978   7.7115955
   3.0606737   6.036391    6.3967977   2.155334    5.782245    3.0591755
   6.311054    8.422275    6.4904003  11.4862585  14.14077    15.511312
  13.732135   18.06194    16.424603   19.67652    20.302427   30.952196
  30.162966   37.78115    39.614388   43.19993    46.247253   48.69984
  55.859055   58.62304    63.30499    67.68       70.131836   72.83794
  77.294334   79.74928    83.50396    88.10329    90.015396   96.158295
  97.67795   102.075806  103.76102   101.95792   104.76018   112.46938
 115.048965  113.52569   117.289566  118.85488   120.819885  125.6364
 126.25854   126.804596  128.58954   128.26772   130.9904    130.02252
 133.02249   129.96889   132.89536   129.63211   129.49434   130.77693
 130.19829   131.96196   130.19035   131.97177   130.01535   129.3211
 131.46071   129.13336   125.88738   126.807655  122.379074  125.69193
 125.62909   117.95023   123.48582   116.76617   121.64251   114.41872
 116.66251   111.02942   113.14783   109.65597   102.91037   105.11242
  98.833      99.93358    94.182785   94.10384    90.72444    89.744804
  86.21738    84.214966   78.37833    78.94283    75.441826   72.05645  ]",1758.6374970743361,41.936112088203124
2,"[ 37.990913   35.449104   35.156242   31.668325   31.554457   32.18025
  30.37403    28.354836   27.324127   25.888603   22.59226    22.28688
  21.308634   20.715809   19.272594   12.26634    14.569188   13.935832
  13.661738   11.1353245   8.326107   11.2248      5.336297    9.017099
   4.7819285   7.4878354   7.803199    3.6893277   6.9585805   4.279736
   7.4300423   9.18609     7.384125   11.815135   14.471099   15.770265
  14.288788   18.34734    16.97223    20.026718   20.722527   30.874979
  30.21105    37.526615   39.1664     42.841682   45.78994    48.152985
  54.875694   57.669453   62.152718   66.35354    68.63535    71.20926
  75.565414   77.7977     81.49074    85.87517    87.561874   93.38568
  95.030075   99.20407   100.812294   99.119675  101.93859   109.351875
 111.83223   110.38574   114.05116   115.60573   117.608     122.20655
 122.8516    123.64711   125.28477   125.44708   128.04745   127.07129
 130.1117    127.552444  130.14948   127.3847    127.39058   128.83981
 128.49106   130.09628   128.49696   130.25487   128.57895   128.18788
 130.04404   128.19193   125.269196  126.14481   122.22033   125.47082
 125.50094   118.293495  123.51513   117.11091   121.67671   115.00505
 116.99088   111.78234   113.58428   110.33462   104.1956    106.05708
 100.26141   101.06993    95.83538    95.3773     92.24624    91.34718
  87.98768    85.96638    80.651276   80.722015   77.51219    74.183846 ]",1525.1752423596442,39.05349206357409
3,"[ 38.252228   35.67676    35.455975   31.940187   31.858828   32.549225
  30.75362    28.735388   27.724365   26.328766   23.001135   22.73275
  21.800379   21.26356    19.836218   12.755733   15.112259   14.520688
  14.271014   11.724064    8.914286   11.869784    5.9233685   9.681604
   5.3856564   8.114375    8.458984    4.271132    7.57237     4.812521
   8.00003     9.723288    7.8787937  12.331667   14.9683     16.215584
  14.636505   18.682163   17.215229   20.190237   20.824972   31.022387
  30.221506   37.530704   39.098965   42.702644   45.552162   47.85174
  54.55324    57.213276   61.65978    65.79408    68.01267    70.490326
  74.77413    76.95389    80.54914    84.91225    86.50818    92.31396
  93.84766    98.009026   99.55808    97.758865  100.554245  107.97629
 110.44448   108.90657   112.60698   114.10216   116.10077   120.755165
 121.37076   122.14578   123.82623   123.93636   126.60276   125.63589
 128.70831   126.122025  128.78862   126.01906   126.06518   127.551
 127.22558   128.88837   127.36132   129.18965   127.52558   127.17288
 129.16118   127.30149   124.411285  125.3594    121.472626  124.839836
 124.91324   117.70068   123.018875  116.649445  121.39658   114.6563
 116.782234  111.55369   113.523346  110.256996  104.100624  106.10367
 100.28941   101.204895   95.922935   95.60273    92.46244    91.612724
  88.2679     86.28711    80.90725    81.12023    77.90957    74.573715 ]",1367.417792451404,36.9786126355682
4,"[ 38.471905   35.914486   35.722553   32.225437   32.145508   32.86655
  31.090866   29.093863   28.100601   26.741156   23.425554   23.176474
  22.259077   21.743238   20.33539    13.244618   15.630718   15.056341
  14.810992   12.250777    9.442264   12.4042425   6.4320416  10.187726
   5.8827744   8.603693    8.9492035   4.719157    8.003771    5.1932936
   8.380853   10.052022    8.174255   12.585431   15.199253   16.399378
  14.771842   18.775293   17.255293   20.160948   20.74217    30.916075
  30.030209   37.297672   38.78719    42.339256   45.110157   47.342747
  53.98225    56.558918   60.947365   65.01321    67.15904    69.55573
  73.77667    75.88656    79.4126     83.72795    85.24155    91.00185
  92.47633    96.6008     98.10029    96.24019    99.01609   106.42356
 108.87224   107.28799   110.9958    112.465965  114.467964  119.14061
 119.751465  120.5451    122.242065  122.37879   125.0805    124.12629
 127.23825   124.689514  127.384     124.66324   124.75732   126.29935
 126.02405   127.72726   126.26254   128.14998   126.53617   126.249855
 128.3026    126.50115   123.6683    124.67414   120.85609   124.30616
 124.43453   117.26073   122.6421    116.31792   121.156876  114.44046
 116.63592   111.44373   113.48652   110.24902   104.13784   106.20006
 100.420494  101.38061    96.12603    95.84827    92.734344   91.92655
  88.6077     86.651306   81.28611    81.53023    78.345955   75.01501  ]",1214.1759082249212,34.84502702287546
5,"[ 40.131615   37.81045    37.511673   34.296078   33.91004    34.507637
  32.797085   30.92364    29.893024   28.66199    25.543571   25.183872
  24.11867    23.473051   22.11845    15.35229    17.603783   16.965334
  16.56614    13.939937   11.196556   13.821343    7.995056   11.241273
   7.257724    9.707573    9.999523    5.8283086   8.773851    5.940922
   9.026673   10.334743    8.539359   12.4272375  15.011174   16.103003
  14.684513   18.419073   17.08427    19.7564     20.368132   30.094744
  29.254778   36.23848    37.526585   41.130005   43.77215    45.911713
  52.161404   54.716698   58.934654   62.838634   64.83842    67.105515
  71.23669    73.16913    76.632805   80.79424    82.11409    87.62577
  89.20979    93.180466   94.639275   92.887665   95.722595  102.91297
 105.32194   103.82256   107.514015  108.99531   111.083466  115.63534
 116.30159   117.3558    118.99204   119.576385  122.24172   121.33171
 124.52361   122.44513   124.906845  122.668396  122.939995  124.665
 124.627144  126.22824   124.97888   126.882614  125.53391   125.53966
 127.40265   126.01893   123.49685   124.48421   121.14227   124.56477
 124.7736    118.03055   123.12574   117.10939   121.71963   115.454346
 117.454895  112.61839   114.430756  111.37275   105.7861    107.57769
 102.21147   102.9291     98.09458    97.527275   94.60505    93.863495
  90.682045   88.704956   83.75584    83.61031    80.66619    77.364716 ]",1018.3077723561422,31.910934996582945
6,"[ 40.320896   37.888714   37.698425   34.38507    34.067924   34.753315
  33.028584   31.117083   30.095146   28.885147   25.6698     25.35238
  24.357027   23.791214   22.427227   15.499329   17.806065   17.217133
  16.84796    14.180371   11.410111   14.129284    8.190011   11.590088
   7.4549446   9.940806   10.263215    5.963126    8.975457    6.0099025
   9.140311   10.428217    8.552385   12.525096   15.065193   16.080288
  14.480448   18.217361   16.718534   19.288425   19.805914   29.635893
  28.587881   35.590218   36.81116    40.303684   42.82452    44.902576
  51.18656    53.5589     57.771526   61.62431    63.58976    65.76691
  69.8347     71.763954   75.12697    79.32653    80.59166    86.15438
  87.60519    91.63026    93.06332    91.20024    94.04489   101.31557
 103.76625   102.180084  105.9791    107.41671   109.539505  114.23672
 114.89902   115.9292    117.6895    118.165375  120.975     120.12215
 123.37377   121.22741   123.85464   121.57801   121.91271   123.67775
 123.65875   125.370636  124.226654  126.2334    124.87083   124.89074
 126.979126  125.515915  123.00409   124.08659   120.74037   124.30765
 124.54199   117.745544  122.96523   116.97095   121.84214   115.39936
 117.603645  112.67112   114.73863   111.597885  105.89989   107.90606
 102.4422    103.320206   98.332756   97.999016   95.006004   94.295006
  91.09444    89.156006   84.02759    84.136665   81.13354    77.797386 ]",892.1184377437074,29.868351774808524
7,"[ 38.60657    35.863533   35.885376   32.214233   32.30039    33.210625
  31.4267     29.37698    28.426788   27.115824   23.636444   23.495077
  22.728205   22.379417   20.969822   13.567074   16.092579   15.620969
  15.451087   12.824814    9.9580145  13.124256    6.919117   10.987237
   6.374639    9.179407    9.563917    5.0687857   8.479589    5.401495
   8.650097   10.28167     8.206094   12.772137   15.2742405  16.301105
  14.280272   18.260557   16.367521   19.056347   19.39338    29.744404
  28.4098     35.675285   36.978626   40.260944   42.75468    44.80337
  51.467342   53.65315    57.970066   61.88502    63.898525   66.07115
  70.12087    72.16025    75.45363    79.78397    81.14891    86.97024
  88.15213    92.33924    93.75077    91.63853    94.39892   101.955826
 104.46107   102.69496   106.58653   107.98229   110.04371   114.997284
 115.6149    116.37297   118.31357   118.26626   121.26004   120.431854
 123.69526   121.0371    124.0886    121.31325   121.55829   123.22665
 123.02886   124.99847   123.756035  125.89586   124.305824  124.09521
 126.62285   124.72497   121.94585   123.19186   119.38298   123.17285
 123.41276   116.1492    121.86403   115.590004  120.97994   113.9681
 116.596794  111.25668   113.815315  110.47042   104.16103   106.66736
 100.71745   102.01863    96.50073    96.675896   93.45748    92.73225
  89.39156    87.52406    81.8344     82.56026    79.27131    75.88893  ]",822.1323457139804,28.672850324200077
8,"[ 37.045074   34.17928    34.274204   30.429346   30.779182   31.794922
  29.991932   27.885174   26.998873   25.603893   22.027077   22.000551
  21.362692   21.12414    19.703693   12.097386   14.757419   14.343828
  14.312836   11.769732    8.859434   12.292351    5.9901066  10.436808
   5.5945334   8.611341    9.007061    4.4730043   8.116884    5.06094
   8.336227   10.233005    8.050781   12.970971   15.451496   16.524792
  14.306512   18.43161    16.336819   19.165203   19.392433   29.995468
  28.57359    35.962555   37.32983    40.483437   43.00422    45.019604
  51.880413   54.02412    58.3583     62.300438   64.31637    66.50351
  70.53107    72.59615    75.86737    80.202934   81.64145    87.561676
  88.608765   92.8251     94.20398    91.96981    94.624146  102.29661
 104.78401   102.946205  106.794846  108.19447   110.17331   115.192116
 115.79109   116.37509   118.35757   118.02803   121.05539   120.22445
 123.47232   120.52095   123.78547   120.703865  120.86473   122.46994
 122.16599   124.28297   122.918884  125.12094   123.426094  123.08131
 125.79572   123.69514   120.75741   122.100075  117.99161   121.87806
 122.156715  114.63543   120.67699   114.21895   119.82092   112.58955
 115.407036  109.89187   112.63742   109.259224  102.62331   105.35601
  99.159996  100.67488    94.925354   95.30479    92.007965   91.26853
  87.86091    86.03176    80.09585    81.07408    77.6328     74.260544 ]",754.1129573948074,27.46111719130901
9,"[ 35.721      32.810734   32.924217   28.991047   29.529423   30.59665
  28.792545   26.664991   25.834988   24.373638   20.77272    20.830265
  20.279587   20.108343   18.695423   11.017968   13.766749   13.391267
  13.469362   11.026255    8.107026   11.716347    5.4049606  10.091361
   5.142454    8.31201     8.7063465   4.207069    8.001914    5.0238385
   8.289447   10.398787    8.163187   13.314941   15.778878   16.906612
  14.593906   18.809313   16.605207   19.559797   19.713318   30.426704
  28.99641    36.43024    37.8466     40.901157   43.45599    45.434235
  52.391724   54.535206   58.842785   62.78403    64.77979    66.97668
  70.96725    73.01939    76.271645   80.55486    82.0425     87.97776
  88.93851    93.121635   94.45942    92.15965    94.70023   102.39341
 104.83091   102.96578   106.71796   108.12794   110.01709   115.01578
 115.60248   116.05814   118.027016  117.52097   120.5209    119.68129
 122.896324  119.7614    123.13999   119.855774  119.943565  121.49928
 121.12585   123.33503   121.86137   124.09245   122.350464  121.92019
 124.716866  122.518074  119.485435  120.89311   116.58462   120.50988
 120.83657   113.17734   119.44322   112.87382   118.55539   111.26334
 114.17009   108.59152   111.40261   108.06144   101.24602   104.08844
  97.76857    99.40509    93.56112    94.02603    90.71543    89.96504
  86.530235   84.72936    78.68965    79.77337    76.246315   72.90852  ]",688.4338237424437,26.238022481552296
