id,predict_data,mse,rmse,norm_corr,smooth,skip,129_pearson,result_corr
0, 17.83989   21.042168  23.524107  25.487537  26.912024  30.340199  33.65642   36.765545  40.501     43.990585  48.309223  53.08166  58.26168   64.3888    67.69075   70.757645  74.181526  79.77515  85.10548   88.74307   93.59654   98.93165  102.3839   107.353745 111.63714  116.55726  120.76711  123.212585 127.21758  131.2891 136.36952  140.0316   144.94601  147.62254  150.63762  153.06401 155.44539  158.24472  159.54012  159.28616  158.77858  158.94687 159.85617  161.65138  164.34262  165.82426  164.55063  163.4437 163.85321  163.89217  165.23361  166.15904  165.21825  161.7077 160.37721  159.57794  159.92387  158.12968  157.82753  155.06914 152.56566  151.78444  152.1697   151.00961  149.7622   145.60834 143.64925  141.62262  139.31372  136.90158  133.43524  128.10606 124.4789   122.47828  122.104385 120.48093  117.05513  114.3597 111.45211  106.16484  103.34906   99.845085  94.47024   90.01326  84.126076  80.005295  76.23363   72.671684  72.48383   70.763176  67.33031   64.74176   62.06023   59.58574   56.744205  52.84586  48.12329   41.741688  36.490284  32.462193  30.08267   27.540247  25.89705   23.26233   21.545465  21.941538  23.239807  24.126657  24.609472  23.221012  20.782104  19.96877   18.702145  17.889355  17.058228  15.915377  13.046692  11.408643  12.450532  13.422681,3035.290463,55.09347024,0.0,rolling9,13,0.3202991059264198,0.5760818214744132
1, 10.257838  10.596009  11.128938   9.960805   9.395429  11.770852  13.437555  15.3139    17.990946  20.202894  23.54254   26.876348  30.731243  35.590454  36.91771   37.872665  40.07079   44.127148  48.261982  50.465054  55.180153  59.851257  63.956875  69.74379  73.18643   78.41628   82.91609   85.5921    89.63505   94.90115 101.37001  105.20346  111.18973  115.85914  119.62076  123.40225 126.27268  130.02443  131.23549  131.92827  132.15747  133.60634 135.7314   138.75536  143.29323  146.82242  147.13739  147.30539 147.99196  148.47435  150.27463  150.38689  150.2476   146.19466 144.25017  143.07512  143.45529  142.52617  143.71408  140.30016 138.35648  136.89891  136.98396  134.78531  133.41824  128.48528 124.76434  121.42632  118.64627  115.76205  112.01947  108.14101 104.817245 102.12292  102.52983  101.07017   98.084366  95.58287  92.1362    86.229805  82.497536  78.203735  74.13504   70.40536  65.10729   62.014484  59.47612   56.856743  56.9725    56.519527  53.20862   51.526947  49.146202  46.69263   45.22542   41.483646  38.07549   34.352055  30.85863   28.172503  26.43757   25.254208  25.870499  23.89204   22.899004  23.415169  24.619188  26.284883  26.966232  27.057325  25.803238  25.46148   24.353281  24.22918  24.315222  23.370264  20.51733   18.501326  18.214937  18.470655,462.1720536,21.49818722,0.9973855796353236,rolling9,13,0.3329134022330741,0.9480411027944
2, 38.01848   40.15201   41.06054   42.79206   44.678246  48.38605  52.35552   55.311596  58.50639   61.932884  66.541916  71.42761  76.95274   82.5451    84.819954  87.331604  90.20941   94.91524  99.407745 102.335625 106.77741  111.722786 114.66943  117.43285 121.76148  124.24227  126.400665 127.44269  130.43187  132.47052 133.97758  136.74936  139.67839  140.00429  140.8261   141.43935 142.63974  143.96762  143.24986  141.68936  138.82793  136.36313 135.87335  135.83559  136.2157   135.80858  132.24045  129.83406 128.95975  127.955795 127.65444  127.29972  125.04346  120.60217 118.41462  117.92398  117.24801  114.34246  114.012535 111.01104 107.35771  106.53127  105.91376  103.67087  101.11115   97.1209  95.10534   91.82409   90.08944   87.94403   85.53454   80.84331  78.161255  77.55128   77.29698   76.1272    73.09273   70.388855  68.55207   64.013626  61.05826   59.146458  52.83401   49.758976  46.40471   43.22362   40.09429   37.744457  39.490192  39.07438  37.722992  36.765095  35.419853  34.265167  33.533165  32.283585  30.564085  26.319605  23.684055  22.09279   21.556635  20.885185  19.710894  18.261417  18.766993  19.859911  22.01335   23.731567  25.620075  26.692379  26.156652  27.843542  27.350176  27.372168  26.854351  27.141144  24.549763  24.459042  25.301912  25.896324,422.9608435,20.56601185,0.997477496480637,rolling9,13,0.3533980494451371,0.9552452402560696
3, 7.62387238e+01  7.97469940e+01  8.18619843e+01  8.67748184e+01  9.21601410e+01  9.82580338e+01  1.04905373e+02  1.08825653e+02  1.11319626e+02  1.14799187e+02  1.19798264e+02  1.24357246e+02  1.25683975e+02  1.28892670e+02  1.28680939e+02  1.28929092e+02  1.27880966e+02  1.29815918e+02  1.33237198e+02  1.35755341e+02  1.35741241e+02  1.37835800e+02  1.36818298e+02  1.36221283e+02  1.38268433e+02  1.38141434e+02  1.36253601e+02  1.32920486e+02  1.31080963e+02  1.28973938e+02  1.26281425e+02  1.24903595e+02  1.23555817e+02  1.19654373e+02  1.19025993e+02  1.17870636e+02  1.16850960e+02  1.15036316e+02  1.14009109e+02  1.10340904e+02  1.06626083e+02  1.02515526e+02  1.01320435e+02  9.77270279e+01  9.61232224e+01  9.20460129e+01  8.93885574e+01  8.63760910e+01  8.55449905e+01  8.46012268e+01  8.36640854e+01  8.29018097e+01  8.25395432e+01  7.99512634e+01  7.80866776e+01  7.83435135e+01  7.76896591e+01  7.37581329e+01  7.26296310e+01  6.87670670e+01  6.35090637e+01  6.18756142e+01  6.10439377e+01  5.86845512e+01  5.53256340e+01  5.42344666e+01  5.37311516e+01  5.33342285e+01  5.35757637e+01  5.34548759e+01  5.14270630e+01  4.95193291e+01  4.85596352e+01  4.83250465e+01  4.68336449e+01  4.62090912e+01  4.31413727e+01  3.87977448e+01  3.73361435e+01  3.33447876e+01  3.12506447e+01  2.92872410e+01  2.39475060e+01  2.08148327e+01  1.69538670e+01  1.32864857e+01  1.14490452e+01  9.87720680e+00  9.63481140e+00  8.09194183e+00  6.59085989e+00  5.73054409e+00  3.51707125e+00  1.50051069e+00  9.78056714e-02 -5.62128484e-01 -2.91303182e+00 -5.53289175e+00 -6.53054142e+00 -6.17053080e+00 -5.13056040e+00 -4.33602571e+00 -2.78667426e+00 -1.94308197e+00  6.56436622e-01  3.48340583e+00  5.53742504e+00  8.76575279e+00  1.18832893e+01  1.27338552e+01  1.53659620e+01  1.80041485e+01  2.10305691e+01  2.23519058e+01  2.34528332e+01  2.76939793e+01  2.81969910e+01  3.19503632e+01  3.69881172e+01  4.03348885e+01,346.6603593,18.61881734,0.9986011627898276,rolling9,13,0.3722809331397111,0.9338815039432441
4,111.82004   112.764946  113.47926   115.611496  119.145454  122.922844 127.19864   128.00577   127.5727    128.0862    130.63731   133.31523 134.00739   135.32292   133.70377   132.54233   130.64821   131.14551 132.31825   131.92993   130.67197   131.89828   130.39394   128.3238 129.49057   127.79212   124.304634  120.97513   119.41073   116.16975 111.00213   108.79107   105.322334  100.79754    99.13656    97.82273  97.112976   95.28697    93.61261    90.707306   87.64594    84.4755  83.73717    80.49797    78.54342    74.58999    71.889084   69.52917  68.60508    68.05057    67.18732    66.25604    65.97872    64.18764  63.6284     64.97942    64.5873     61.590935   60.18244    56.90136  52.27525    50.824955   49.30237    46.20075    42.50608    41.24247  41.097523   40.844765   41.738598   41.86307    41.02018    39.61164  39.20974    39.51873    38.377632   38.172386   35.53004    32.19676  31.205074   28.874653   27.087908   26.071878   21.799402   19.757832  17.76247    15.023603   14.000207   13.781754   15.0871935  14.529062  15.251273   15.414765   15.11746    14.926146   16.030312   17.895714  17.998629   17.100737   18.394796   20.238825   22.50326    24.524775  26.834839   28.536097   32.35489    35.961823   39.82749    44.168694  48.62398    51.607048   55.454098   59.84681    62.707615   64.05671  65.06083    69.61529    70.13488    73.88603    77.77496    80.52389  ,366.2546592,19.13778094,0.9966171676784034,rolling9,13,0.3775512417519745,0.9495347661670391
5,94.39104  92.3464   90.41055  89.89684  90.98256  92.80843  94.41122 93.95592  92.826775 91.60424  92.37387  92.71045  91.569214 91.0859 87.71157  84.86598  82.31897  81.57805  81.45216  79.32011  78.396706 78.97886  77.478294 75.76578  75.658714 72.761696 69.888695 66.78213 65.48419  63.431347 59.474255 57.362843 54.15166  51.22464  50.086224 49.001823 48.14027  46.226917 43.648884 41.601444 39.142914 36.591503 36.0887   34.06526  32.786182 31.374084 29.659779 27.97969  26.919344 26.321266 26.403822 25.8507   26.085361 24.800726 24.31286  26.054482 26.418907 25.851997 27.280703 25.964382 23.687336 24.13905  23.90755 22.480255 20.861288 21.12256  21.847767 22.085144 25.006601 27.225609 28.495615 29.478075 31.924902 34.536476 35.513187 37.108063 37.041214 36.08157  35.81765  35.297688 34.615143 34.760307 33.187435 33.99331 35.463177 34.91241  35.7551   37.15748  39.847813 41.81989  43.392406 44.992928 45.08762  45.341057 46.971058 49.514977 51.47317  52.591385 54.59873  57.465317 59.958897 62.773182 65.25597  67.14833  69.853546 71.35582  73.7424   76.61523  79.147934 81.76044  84.18557  86.602554 87.87368  88.95465  89.515114 92.15052  91.512764 92.84145  93.2217 93.206055,441.1111149,21.00264543,0.9884533736860822,rolling9,13,0.3744432253140302,0.9553976699422344
6,135.83453  132.34404  130.79431  128.426    127.45025  126.545616 125.55212  122.41936  118.557724 115.00882  113.587265 112.18034 110.44141  108.42317  104.524666 101.4921    99.01865   96.97078  94.581635  90.047554  87.69824   87.45022   85.71119   83.33789  82.005066  78.43139   74.49039   71.86892   71.4397    68.42008  62.491154  58.986664  54.33829   50.183727  47.280743  45.531063  44.75562   42.708923  39.566574  37.936913  36.186813  34.59142  34.345615  32.535812  31.014084  28.701735  26.106789  24.748024  23.250402  22.253506  21.470562  20.865036  20.73739   19.948849  20.2726    22.217037  22.504732  22.144905  22.68381   21.328487  19.591553  20.036283  19.773293  17.864607  16.439913  16.61221  18.325403  19.336842  22.817533  25.462816  27.575003  28.9148  32.323196  35.554386  37.53375   39.70823   41.212204  41.94599  42.965034  44.66991   45.82974   47.28802   47.81713   50.509056  53.44427   54.584164  56.85839   59.831364  64.06451   67.50796  71.13982   74.2498    76.74937   79.38896   83.10147   87.67612  91.72229   93.64099   97.25818  100.66277  103.544846 106.77054 109.38552  111.998695 115.066826 117.081276 121.154274 124.58837 128.70808  132.6113   135.50893  138.38742  139.14621  139.97922 140.20628  142.19525  141.5054   142.52457  141.65633  141.39156 ,337.9927996,18.38458048,0.9811357605440212,rolling9,13,0.3684822234371417,0.9543140910971505
7, 92.47466   89.48939   87.55408   85.881546  84.79591   84.39586  83.196526  81.614876  79.79521   77.25933   76.34058   74.65804  71.96958   70.24227   66.45489   63.419456  61.046364  59.625263  58.242638  54.71281   53.44368   53.33295   51.575592  50.703182  48.909542  45.836056  43.865395  41.509373  41.065754  40.01721  37.503098  34.804447  31.779474  29.61585   28.35151   26.940544  25.787865  23.610106  20.777802  19.327564  18.072285  16.685751  16.524231  15.781083  15.138617  15.147097  14.014442  12.867344  11.709872  10.767307  11.494178  11.993309  12.674969  12.548865  12.750815  14.608894  15.796571  17.242603  20.268711  20.717524  20.847166  23.079079  24.841646  25.790342  26.80722   28.84478  31.650225  33.95151   38.866215  43.30749   46.293118  48.7416  53.673195  58.311047  61.420853  64.69426   67.54861   69.3432  70.16366   72.075165  73.92721   75.13957   76.83532   80.20397  83.61248   84.94719   87.42134   89.923416  93.25516   97.094894  98.94979  101.46145  101.98154  102.88693  103.89066  106.22761 108.51143  109.383934 110.57567  112.69529  114.30411  116.50941 117.9488   119.72898  120.13375  119.68149  120.90252  121.96414 122.905464 123.740204 123.763824 122.98192  122.50329  122.77411 122.47412  122.45063  120.809364 119.55336  117.364204 115.671555,354.6131333,18.83117451,0.9821936920762272,rolling9,13,0.3675597612174841,0.9527576872690608
8, 47.5521     44.499916   42.222      40.057228   38.281807   37.953823  36.110115   35.227272   34.670902   32.524715   31.857462   29.704689  26.17416    24.687294   20.946117   17.617449   15.154175   14.069128  13.613347   11.033513   10.829014   10.924027    9.870619   10.952174   9.096337    7.793201    8.083637    6.8980284   6.983887    8.742495  10.537596    9.593489    9.591115   10.90196    12.16197    12.758647  12.5172415  11.825411   10.569282   10.548363   11.09465    11.682014  13.349726   15.122375   17.36685    20.866867   22.74033    23.33741  23.57665    23.80849    26.521051   28.02004    30.376217   30.879414  31.271967   33.077618   35.43461    38.73751    44.12011    45.373768  47.18887    49.94217    53.10886    55.48982    58.090786   60.616154  62.69605    65.10096    69.53178    73.89083    76.48999    79.36147  83.91051    87.790405   91.291374   94.60915    97.46917    99.41608  99.14461    99.45007   100.52094   100.06908   102.19853   104.64689 106.42795   106.9486    108.71795   110.254074  111.97592   114.966545 114.55583   115.76815   114.127754  112.95354   111.93996   111.48956 111.2311    111.13429   110.13091   110.57593   110.62155   111.6007 112.87135   113.26425   111.5086    109.41689   108.57876   108.3853 106.92984   105.32009   103.402115   99.91464    98.514305   98.27435  97.867805   96.423546   93.95015    90.711235   87.76743    85.41004  ,313.1900818,17.69717723,0.9876180904470117,rolling9,13,0.3670624534096673,0.9674885373509321
9, 20.751587   17.980692   15.550562   12.271166    9.886475    9.175906   7.3424172   5.9655724   5.791752    3.9550738   4.0413885   3.298048   3.594065    4.484297    3.2542646   2.0243285   2.0249767   3.2189958   4.597365    3.734544    6.475829    8.9384165  10.719599   12.992676  14.333771   15.64727    18.002264   20.07172    23.110397   27.347763  31.234268   34.585575   38.38276    42.918533   45.994587   49.28951  51.959904   54.843723   55.6864     58.012947   59.911766   62.49124  66.37519    71.28256    76.18669    82.21901    84.90278    87.28718  89.09765    91.024025   94.55304    96.43344    98.519424   98.08823  99.035255  101.15967   103.84366   106.97163   111.93245   112.60925 114.143776  115.74966   117.77857   118.284225  119.350204  118.595345 117.538376  116.43215   116.689354  116.82844   117.46373   116.5429 116.4033    117.03426   118.862854  119.811935  119.3614    119.85302 118.0795    114.706924  112.43834   110.2268    108.20618   106.940796 105.26233   102.99264   100.939995  100.30015   101.83814   101.96799 100.83248    99.9545     97.822174   96.09012    95.81826    94.33982  92.379364   90.001      87.570145   85.93917    84.65929    83.92794  83.81614    81.414444   79.55367    77.86862    78.33877    78.81937  77.7487     76.67688    74.25185    72.4538     69.88364    68.75776  67.609985   65.65392    61.654953   57.658627   54.664577   52.482582 ,414.0554184,20.34835174,0.9903896539341752,rolling9,13,0.3714995911948231,0.9193344915093524
