id,predict_data,mse,rmse,norm_corr,smooth,skip,129_pearson
0,"[ 22.95195   27.598515  33.516888  39.06339   43.516617  48.346085
  54.369915  59.5988    65.28527   73.16537   82.00413   88.81757
  96.1542   103.56602  111.76755  118.230286 124.17757  130.41548
 134.47362  137.3255   140.36366  143.63449  147.16841  150.24968
 153.52354  156.0435   158.81905  161.81448  164.25336  168.39096
 169.32336  168.62717  168.43356  169.50575  172.07687  172.35178
 172.15904  172.73831  172.52791  173.45389  175.16638  177.1275
 176.55754  175.98367  175.35046  175.15434  173.85066  173.93704
 172.16382  168.55135  164.46762  162.46643  159.83086  156.79317
 154.68347  150.77332  145.5374   144.08586  141.74893  137.92538
 133.50412  130.05449  127.20505  123.46726  120.73735  118.36729
 112.61628  110.228294 107.24146  103.98248  100.69381   99.48054
  97.51525   93.71174   89.88219   87.99707   84.41587   82.126656
  80.36338   78.8564    75.31846   71.371925  71.510414  70.6142
  69.35706   69.40026   67.38298   66.1947    64.69872   65.53325
  66.399704  66.525955  65.51522   64.55879   62.859005  64.04515
  65.56764   66.47257   65.40657   64.09177   63.215225  63.68474
  62.985435  62.852116  60.78761   57.502094  53.63427   50.704964
  48.420933  44.938713  40.885017  37.580284  34.60779   31.172224
  28.366692  25.697027  21.782322  18.088793  15.618856  13.733229]",4910.02297,70.07155607,0.0,rolling9,1,0.32029910592641986
1,"[ 19.986122  24.090727  29.598072  34.718056  38.64572   43.071438
  48.55544   53.292004  58.42321   65.70596   73.84207   79.97344
  86.624725  93.38304  100.9137   106.751495 112.02017  117.630974
 121.11238  123.45797  125.95975  128.70377  131.73584  134.32742
 137.17743  139.31024  141.65092  144.22298  146.36224  150.26527
 151.07375  150.33406  150.12991  151.20796  153.85266  154.31937
 154.46553  155.38023  155.57794  156.92879  159.12038  161.56982
 161.59526  161.6356   161.68794  162.16383  161.52643  162.22018
 161.17233  158.3474   155.06296  153.76091  151.79791  149.39352
 147.86281  144.6885   140.22215  139.32181  137.50095  134.2776
 130.4189   127.527565 125.21814  122.04318  119.7727   117.767456
 112.44694  110.38443  107.652306 104.68226  101.63948  100.55419
  98.70036   95.00332   91.31268   89.513535  85.96715   83.67218
  81.966644  80.49339   77.023254  73.15092   73.24761   72.35785
  71.10432   71.16145   69.25688   68.038     66.58061   67.41716
  68.27731   68.47554   67.53624   66.63966   65.09603   66.34294
  67.91141   68.87011   67.930374  66.727715  65.86438   66.282326
  65.51205   65.2631    63.069378  59.697063  55.73376   52.68997
  50.243206  46.645283  42.50567   39.147816  36.0565    32.52848
  29.565178  26.661695  22.453642  18.487196  15.677221  13.411511]",3612.084444,60.10061933,0.9997240320093596,rolling9,1,0.3209243341420928
2,"[ 17.017353  20.5664    25.602848  30.24964   33.63384   37.587063
  42.48137   46.668407  51.17354   57.784504  65.17145   70.5763
  76.5146    82.58156   89.412155  94.60268   99.20354  104.194
 107.103096 108.95536  110.95315  113.18976  115.74699  117.87732
 120.327034 122.10073  124.05452  126.25948  128.1523   131.85478
 132.58054  131.83548  131.68541  132.8328   135.59073  136.28479
 136.79523  138.05385  138.67351  140.45866  143.11232  146.02301
 146.63101  147.27655  147.98836  149.12971  149.16223  150.46823
 150.1417   148.11392  145.64261  145.05054  143.7904   142.0553
 141.12741  138.70337  135.02379  134.7083   133.45068  130.84846
 127.571815 125.2316   123.45679  120.84033  119.027596 117.38473
 112.49493  110.74143  108.26909  105.57603  102.784996 101.822784
 100.072586  96.48122   92.92098   91.19103   87.67521   85.35466
  83.672226  82.18214   78.73782   74.90685   74.905396  73.96404
  72.65955   72.6696    70.80446   69.478966  67.96773   68.72694
  69.488205  69.671455  68.71043   67.77365   66.28514   67.50902
  69.061226  70.00922   69.11335   67.96598   67.070114  67.410355
  66.54747   66.1575    63.825207  60.360565  56.32204   53.175594
  50.56701   46.883854  42.684433  39.298798  36.129906  32.54198
  29.467295  26.396822  21.995512  17.852448  14.778541  12.213432]",2513.861002,50.13841843,0.9996095265516682,rolling9,1,0.32162686499078713
3,"[ 16.932623  20.056503  24.643883  28.857237  31.779894  35.23484
  39.552063  43.16739   47.011017  52.892117  59.50407   64.15236
  69.355675  74.6879    80.78112   85.27486   89.206635  93.54789
  95.85118   97.16794   98.64838  100.33626  102.3758   104.00309
 105.99652  107.35917  108.91784  110.75302  112.35994  115.78941
 116.37042  115.54593  115.40033  116.569016 119.347305 120.15394
 120.88225  122.33998  123.237404 125.30771  128.24994  131.44351
 132.46576  133.57811  134.78334  136.47166  137.0814   138.9271
 139.24002  137.93294  136.22466  136.32033  135.785    134.7741
 134.49957  132.8534   129.99014  130.34424  129.77777  127.87737
 125.26557  123.51355  122.30826  120.282524 118.97262  117.754745
 113.35319  111.94372  109.80394  107.419426 104.93195  104.14587
 102.53192   99.08405   95.66205   93.991974  90.51032   88.13777
  86.42192   84.821724  81.30194   77.42161   77.200645  76.05259
  74.54249   74.342316  72.31527   70.68782   68.89229   69.357216
  69.7821    69.70328   68.470535  67.24066   65.523605  66.48356
  67.80491   68.53447   67.44975   66.16734   65.0903    65.26368
  64.23342   63.645996  61.158176  57.600147  53.532906  50.317448
  47.583652  43.90792   39.739613  36.42494   33.320065  29.804995
  26.782618  23.755518  19.455776  15.425785  12.35303    9.776254]",1722.878353,41.50756983,0.9996364914095348,rolling9,1,0.3224066714437272
4,"[ 14.6056795  17.62955    22.051838   26.123783   28.912497   32.13689
  36.175827   39.487106   42.94622    48.3602     54.492287   58.661346
  63.403263   68.26427    73.89171    77.94821    81.49015    85.443855
  87.38545    88.38511    89.57928    90.92958    92.638435   93.94155
  95.631165   96.72742    98.0489     99.66873   101.093254  104.33105
 104.82383   103.948814  103.83099   105.04025   107.82412   108.674385
 109.49657   111.027794  112.04885   114.23959   117.2873    120.56752
 121.77535   123.128044  124.57637   126.573654  127.53771   129.71626
 130.42754   129.59671   128.42206   129.01895   129.05225   128.63779
 128.90858   127.88248   125.67926   126.62905   126.70256   125.42013
 123.398544  122.15189   121.43473   119.90761   119.03852   118.20547
 114.22628   113.11054   111.27356   109.1433    106.90764   106.278
 104.77812   101.450356   98.12426    96.47754    93.004776   90.55967
  88.76253    86.99828    83.33076    79.33053    78.832634   77.389435
  75.58776    75.07758    72.745384   70.711914   68.4988     68.550125
  68.51854    68.04422    66.40932    64.75863    62.66609    63.255222
  64.24875    64.670105   63.280277   61.76245    60.439465   60.421497
  59.213264   58.440697   55.818893   52.191532   48.132587   44.897
  42.098392   38.504143   34.434784   31.249594   28.303843   24.967098
  22.129293   19.319279   15.32978    11.626472    8.781957    6.439479 ]",1208.721418,34.76667108,0.9996533601089715,rolling9,1,0.32320394282672926
5,"[ 12.641163   15.817709   20.295588   24.444939   27.341892   30.547453
  34.55843    37.795734   41.12158    46.33104    52.276283   56.248905
  60.806644   65.46539    70.9003     74.77391    78.18859    82.00055
  83.80803    84.68631    85.79528    87.00859    88.57341    89.733864
  91.277504   92.24996    93.48666    95.03569    96.37776    99.50453
  99.94597    99.02814    98.92458   100.15533   102.90774   103.7193
 104.501076  105.97657   106.96258   109.11055   112.088264  115.278145
 116.44998   117.81272   119.253136  121.30628   122.37338   124.65322
 125.49013   124.84139   123.904106  124.74572   125.0992    125.0488
 125.65839   124.990265  123.17418   124.526024  125.05453   124.18134
 122.555954  121.63052   121.22152   120.00289   119.42058   118.85146
 115.14679   114.21913   112.59744   110.6248    108.55117   108.03542
 106.61236   103.366005  100.085754   98.43251    94.9519     92.436295
  90.53879    88.60379    84.76317    80.61218    79.853325   78.11133
  76.01327    75.18275    72.50041    70.06798    67.42172    67.053734
  66.5668     65.66873    63.605095   61.51397    58.993958   59.18988
  59.833252   59.92298    58.182274   56.38141    54.797726   54.593452
  53.220818   52.29795    49.575764   45.89994    41.86651    38.6413
  35.83078    32.349113   28.401394   25.353912   22.600517   19.475967
  16.875616   14.362578   10.774161    7.486133    4.9914327   3.0197554]",959.999653,30.98386117,0.9996688680567924,rolling9,1,0.32402609574242336
6,"[  6.3742194    9.7670555   14.43454     18.79426     21.9365
  25.319016    29.507929    32.89867     36.358166    41.656433
  47.7176      51.79502     56.463245    61.2303      66.78631
  70.79614     74.37744     78.35793     80.33465     81.38468
  82.68303     84.0509      85.74528     87.03189     88.68829
  89.78264     91.14815     92.82902     94.28098     97.50085
  98.05417     97.24301     97.26769     98.62451    101.46092
 102.31831    103.11742    104.58656    105.55338    107.66426
 110.576454   113.67136    114.751945   116.031746   117.37064
 119.34341    120.357124   122.57282    123.33601    122.648735
 121.700516   122.54308    122.94327    122.96735    123.644936
 123.02847    121.28939    122.75252    123.419174   122.65495
 121.135      120.285446   119.9474     118.79644    118.28559
 117.775505   114.13065    113.224884   111.64466    109.68337
 107.618835   107.10233    105.67314    102.43026     99.14005
  97.45791     93.95896     91.40811     89.45718     87.44165
  83.52065     79.306786    78.431206    76.55143     74.32482
  73.34316     70.481316    67.8644      65.01237     64.45334
  63.76126     62.68327     60.44049     58.161938    55.475327
  55.53154     56.056698    56.04044     54.172947    52.280064
  50.616123    50.375305    48.981342    48.043434    45.32188
  41.671204    37.693493    34.52541     31.752335    28.370884
  24.519861    21.56354     18.934063    15.954375    13.519178
  11.2138195    7.878736     4.857408     2.6010714    0.87741554]",782.4324605,27.97199422,0.999683666633945,rolling9,1,0.3248923198666485
7,"[  3.9203746   7.3427677  12.013913   16.397795   19.596397   22.993351
  27.21501    30.634373   34.124104   39.43705    45.537952   49.659275
  54.377964   59.196014   64.81137    68.89181    72.5682     76.647575
  78.72999    79.891      81.31043    82.78478    84.57416    85.95816
  87.705215   88.89543    90.36426    92.14842    93.69004    96.988144
  97.62824    96.90248    97.021515   98.46921   101.3676    102.26395
 103.079926  104.550156  105.50683   107.59269   110.45655   113.486626
 114.49817   115.709915  116.96439   118.864006  119.81582   121.96122
 122.64149   121.880875  120.865036  121.64153   121.993515  121.98008
 122.6118    121.930016  120.13853   121.567154  122.21562   121.41316
 119.8553    118.952484  118.56052   117.356445  116.80289   116.25021
 112.57251   111.617065  110.010445  108.009544  105.91425   105.36799
 103.9149    100.66383    97.36307    95.665794   92.170555   89.61906
  87.662155   85.631165   81.70442    77.49921    76.60795    74.70722
  72.468895   71.46727    68.57106    65.92659    63.037605   62.451214
  61.72365    60.621265   58.35542    56.047623   53.336983   53.385315
  53.91215    53.900932   52.02493    50.14276    48.497597   48.298763
  46.953007   46.0594     43.392967   39.8029     35.901314   32.801994
  30.08244    26.7815     23.002216   20.111633   17.558638   14.651725
  12.30308    10.103818    6.9039593   4.015607    1.8718392   0.2624366]",678.5833426,26.04963229,0.9996913273196778,rolling9,1,0.32579278030806536
8,"[ -0.65176314   2.7117963    7.3408055   11.7065525   14.910833
  18.307226    22.52806     25.957304    29.464882    34.775146
  40.880707    45.0136      49.7489      54.594208    60.243122
  64.38111     68.125885    72.29039     74.47248     75.753975
  77.29334     78.874626    80.75528     82.2321      84.07293
  85.36776     86.93159     88.81127     90.447495    93.84689
  94.61101     94.017746    94.27795     95.86332     98.88025
  99.88105    100.79472    102.34533    103.37143    105.5063
 108.40494    111.44843    112.47229    113.6921     114.94919
 116.85052    117.80625    119.93185    120.5942     119.826935
 118.80566    119.56179    119.89765    119.86619    120.4652
 119.748474   117.94117    119.336044   119.95806    119.12793
 117.536995   116.595764   116.16597    114.92893    114.34481
 113.748215   110.04787    109.04468    107.40074    105.362526
 103.23113    102.63753    101.15168     97.88596     94.58193
  92.87737     89.391426    86.851494    84.91835     82.9089
  79.02546     74.88019     74.017715    72.153175    69.96612
  69.01255     66.167694    63.57173     60.741184    60.217316
  59.549854    58.534492    56.36277     54.14056     51.54215
  51.704388    52.34461     52.45172     50.694893    48.941864
  47.41457     47.338337    46.115036    45.32596     42.764526
  39.28291     35.492165    32.492367    29.844233    26.63459
  22.937517    20.123829    17.636578    14.7920265   12.507092
  10.369027     7.2366066    4.41358      2.3065305    0.72294205]",528.8177231,22.99603712,0.9996958960824174,rolling9,1,0.3267500673728806
9,"[  2.3347385   5.562164    9.981978   14.162079   17.206573   20.379826
  24.39399    27.607477   30.889854   35.947372   41.80661    45.708847
  50.22144    54.836735   60.256298   64.171715   67.73003    71.70092
  73.70988    74.83734    76.2375     77.66247    79.39168    80.726074
  82.43068    83.60521    85.077835   86.87156    88.41553    91.71358
  92.41817    91.7794     92.0199     93.58899    96.55952    97.522224
  98.400826   99.91839   100.92265   103.02472   105.8777    108.87266
 109.87333   111.09867   112.34915   114.28053   115.27926   117.442505
 118.16278   117.4588    116.51703   117.34441   117.771     117.84194
 118.519325  117.889854  116.18071   117.65728   118.39471   117.65761
 116.15367   115.26071   114.875084  113.68951   113.15362   112.60545
 108.9818    108.01097   106.429375  104.4321    102.35975   101.80304
 100.34516    97.12516    93.85733    92.1681     88.71386    86.17669
  84.247665   82.21165    78.31927    74.18278    73.27888    71.36321
  69.13307    68.14014    65.25247    62.59634    59.701973   59.116848
  58.370293   57.28641    55.050526   52.757153   50.079765   50.17823
  50.766357   50.827602   49.02496    47.25927    45.731888   45.688187
  44.502934   43.745655   41.249252   37.84742    34.172684   31.25801
  28.677593   25.587568   22.00697    19.31944    16.966633   14.235914
  12.073364   10.068747    7.132724    4.492413    2.51922     1.0713494]",445.7965325,21.1138943,0.9997288711863586,rolling9,1,0.32784601707939337
