id,predict_data,mse,rmse
0,"[ 40.869247    38.080574    37.86594     33.522068    29.706394
  24.918203    18.521276    15.649138    12.149662    10.895903
   8.962915     4.7307196    3.0770407    0.1878049   -3.645638
  -4.2040734   -2.6998158   -0.21279423   2.046374     0.24286214
  -1.2509282    0.1993768    2.7053795    2.490368     1.2763393
   1.4666907    2.7230012    5.6690707    8.999959    12.244701
  15.484787    17.332716    21.614088    25.943096    31.902868
  39.410057    43.482998    46.09408     48.92857     54.411892
  61.377357    69.82971     80.73501     90.43913    100.63797
 111.32418    117.067696   120.724915   122.055824   123.85528
 128.87589    132.42891    138.08853    142.01488    144.6352
 145.86562    147.65067    152.3534     151.05437    149.10455
 146.977      143.05217    137.55836    129.49417    124.59196
 123.78278    123.01178    120.64768    115.887726   115.91326
 115.839355   116.39571    115.59594    115.292786   115.581
 112.558174   108.38807    108.3704     106.044365    99.72425
  96.263824    89.460365    89.32331     86.908485    85.073425
  85.76067     83.94358     82.219765    84.07259     85.44533
  83.9364      81.87776     79.86347     75.64137     71.3994
  67.14591     65.075455    63.564228    61.42728     60.6457
  61.514336    58.51317     53.596066    52.31041     55.128345
  55.53071     54.52537     56.69324     54.886612    53.309235
  53.163193    53.498154    55.866856    52.87994     50.444473
  49.55254     46.88517     40.890373    38.11776     36.315693  ]",491.666808,22.17356101
1,"[ 40.847137  38.614655  38.90004   35.979446  33.576195  30.858866
  26.708412  25.262121  23.028227  22.816948  21.992706  19.254639
  18.278704  16.417574  13.948295  13.741286  15.08868   17.333878
  19.136946  17.970453  16.994543  18.27569   20.412245  20.327402
  19.273954  19.549479  20.330975  22.347593  24.674097  26.981546
  29.2789    30.435783  33.71384   36.62458   41.088608  46.749294
  49.845104  51.052807  52.59259   56.623184  61.707024  67.76491
  75.35061   82.39044   89.83581   97.67526  101.8985   104.378876
 105.15263  106.188896 110.05696  112.51588  116.61385  119.84762
 122.07292  123.34369  124.8435   128.54816  127.41344  126.13732
 124.6823   121.98146  118.39926  112.70879  109.482574 109.49016
 109.490814 107.94223  104.44689  104.69826  105.15977  106.30347
 106.59648  106.81497  107.54057  105.94539  103.22569  103.785095
 102.38942   97.37088   94.995026  90.20871   90.47682   88.52298
  87.07258   87.387245  85.8238    84.22684   85.375534  85.843185
  84.410576  82.59855   80.154144  76.2707    72.54875   68.445435
  66.16445   64.29359   62.19968   60.681538  60.955063  58.02552
  53.935944  52.11868   53.706013  53.275772  51.51241   52.3168
  50.410595  48.716366  48.393345  48.39292   50.346867  47.788376
  45.783833  44.867485  42.54375   37.365982  35.29199   33.8623  ]",226.7653346,15.05872952
2,"[ 16.715132    14.8196745   15.607413    13.11663     11.207565
   9.28139      5.792434     5.107722     3.4885607    4.000906
   4.141574     2.4228897    2.3083162    1.2877134   -0.22790201
   0.342402     2.544815     5.729316     8.317657     8.151023
   8.296822    10.649327    13.768922    14.615768    14.399999
  15.631988    17.164042    19.95378     23.008228    26.00923
  28.931019    30.876364    34.98175     38.672016    43.78356
  49.91821     53.631447    55.29658     57.0687      61.228313
  66.332504    72.37722     79.76779     86.73901     94.12316
 101.802025   106.042656   108.674545   109.61319    110.6398
 114.39315    116.659035   120.635895   123.67804    125.62865
 126.878876   128.32014    131.91656    130.74562    129.57672
 128.14612    125.55253    122.3158     117.02611    113.9436
 114.22358    114.53715    112.92814    109.329926   109.53698
 110.03996    111.198135   111.56306    111.73106    112.41687
 110.92811    108.21968    108.668396   107.36222    102.076775
  99.499374    94.589066    94.63123     92.04673     90.11603
  89.96207     87.84858     85.69647     86.1118      85.73859
  83.66176     81.30066     78.0288      73.38292     68.895706
  63.934223    60.645687    57.952927    54.919037    52.594723
  52.065845    48.34395     43.467487    40.706017    41.36496
  40.04362     37.36429     37.352272    34.533295    32.11764
  31.238514    30.69279     32.046963    29.024748    26.545536
  24.996416    22.12378     16.4137      13.991537    12.360269  ]",182.181227,13.49745261
3,"[ 1.89853649e+01  1.69473896e+01  1.75402775e+01  1.47966585e+01
  1.25519505e+01  1.02379475e+01  6.38435745e+00  5.43273258e+00
  3.49998403e+00  3.67578816e+00  3.51734209e+00  1.52266276e+00
  1.23939002e+00  2.33090241e-02 -1.75899601e+00 -1.38313973e+00
  6.66308403e-01  3.75079966e+00  6.30851364e+00  5.94210291e+00
  5.90074396e+00  8.17693996e+00  1.13607655e+01  1.21673326e+01
  1.19298735e+01  1.31768789e+01  1.46935663e+01  1.75241013e+01
  2.06451588e+01  2.37521343e+01  2.67490902e+01  2.87412720e+01
  3.29780579e+01  3.68552666e+01  4.20373840e+01  4.83632545e+01
  5.22547531e+01  5.41617050e+01  5.61707115e+01  6.06972885e+01
  6.61315155e+01  7.25209885e+01  8.03755264e+01  8.77930679e+01
  9.55380173e+01  1.03635849e+02  1.08044464e+02  1.10917931e+02
  1.12095070e+02  1.13270218e+02  1.17247482e+02  1.19685219e+02
  1.23807686e+02  1.26745125e+02  1.28544159e+02  1.29795364e+02
  1.31159500e+02  1.34704468e+02  1.33518539e+02  1.32210083e+02
  1.30636627e+02  1.27861946e+02  1.24343002e+02  1.18714874e+02
  1.15256882e+02  1.15282074e+02  1.15387672e+02  1.13543892e+02
  1.09645546e+02  1.09733719e+02  1.10055130e+02  1.10948067e+02
  1.10977455e+02  1.10954430e+02  1.11519997e+02  1.09760948e+02
  1.06886528e+02  1.07206688e+02  1.05768349e+02  1.00315933e+02
  9.76147842e+01  9.25507050e+01  9.25320511e+01  8.99157639e+01
  8.80111465e+01  8.79830399e+01  8.58607407e+01  8.37742691e+01
  8.42872314e+01  8.41208038e+01  8.21351013e+01  7.98607407e+01
  7.68016205e+01  7.23324280e+01  6.80097046e+01  6.32976532e+01
  6.03052979e+01  5.77648048e+01  5.48397064e+01  5.27948761e+01
  5.24911957e+01  4.89086494e+01  4.41079063e+01  4.15877113e+01
  4.25668068e+01  4.15008736e+01  3.91110268e+01  3.93627548e+01
  3.67622566e+01  3.45444183e+01  3.38345566e+01  3.34895935e+01
  3.50199280e+01  3.20700264e+01  2.96611195e+01  2.82304649e+01
  2.54388103e+01  1.97453232e+01  1.73235970e+01  1.57003880e+01]",222.4464101,14.91463745
4,"[ 1.92418060e+01  1.71357346e+01  1.76564865e+01  1.49504061e+01
  1.26640224e+01  1.03622589e+01  6.58779716e+00  5.67444038e+00
  3.72340274e+00  3.79772997e+00  3.54344463e+00  1.50349987e+00
  1.20436931e+00 -1.67146232e-02 -1.74197614e+00 -1.41597629e+00
  5.24948061e-01  3.49414873e+00  5.97413158e+00  5.63229036e+00
  5.51359606e+00  7.70104980e+00  1.08931456e+01  1.16899834e+01
  1.14920082e+01  1.27788229e+01  1.42606907e+01  1.70293655e+01
  2.00735893e+01  2.31191006e+01  2.60101662e+01  2.78961525e+01
  3.20921059e+01  3.58945503e+01  4.09079819e+01  4.71213570e+01
  5.09876785e+01  5.28249626e+01  5.47792664e+01  5.92880554e+01
  6.46669159e+01  7.09810181e+01  7.86043930e+01  8.58759918e+01
  9.33676453e+01  1.01268822e+02  1.05442719e+02  1.08223846e+02
  1.09428741e+02  1.10533714e+02  1.14496635e+02  1.16889847e+02
  1.20897125e+02  1.23696335e+02  1.25376015e+02  1.26651924e+02
  1.27941429e+02  1.31360703e+02  1.30264587e+02  1.29043274e+02
  1.27520836e+02  1.24897385e+02  1.21583969e+02  1.16268402e+02
  1.12937973e+02  1.13041428e+02  1.13269302e+02  1.11536400e+02
  1.07745644e+02  1.07925354e+02  1.08351730e+02  1.09273376e+02
  1.09352432e+02  1.09360291e+02  1.10006287e+02  1.08385185e+02
  1.05735939e+02  1.06177925e+02  1.04906586e+02  9.96113586e+01
  9.70918427e+01  9.23134842e+01  9.24046402e+01  8.98603668e+01
  8.80983276e+01  8.81518021e+01  8.61143417e+01  8.41128464e+01
  8.46429749e+01  8.44963226e+01  8.25535049e+01  8.03814392e+01
  7.73836441e+01  7.30756531e+01  6.89531784e+01  6.43991776e+01
  6.15366211e+01  5.89843788e+01  5.60583611e+01  5.39776421e+01
  5.36337433e+01  5.00582924e+01  4.53279037e+01  4.27779846e+01
  4.37154770e+01  4.25950432e+01  4.01672516e+01  4.02462196e+01
  3.76449699e+01  3.53968964e+01  3.46317902e+01  3.42045860e+01
  3.56432991e+01  3.26699867e+01  3.02136707e+01  2.86811295e+01
  2.58126926e+01  2.01008224e+01  1.76504936e+01  1.59038363e+01]",216.9341002,14.72868291
5,"[ 1.84097366e+01  1.62419071e+01  1.67429066e+01  1.42175636e+01
  1.20612860e+01  1.00031509e+01  6.56523037e+00  5.87001753e+00
  4.04729271e+00  4.20656300e+00  3.99683452e+00  2.02182102e+00
  1.85442388e+00  8.15902531e-01 -5.69660723e-01 -7.43433982e-02
  1.90643978e+00  4.88854790e+00  7.48114634e+00  7.46903038e+00
  7.46226788e+00  9.70101547e+00  1.30532475e+01  1.39823961e+01
  1.40027456e+01  1.55363913e+01  1.72067566e+01  2.01102505e+01
  2.32383175e+01  2.63437614e+01  2.91951523e+01  3.10740891e+01
  3.53241768e+01  3.90896912e+01  4.40050926e+01  5.01696548e+01
  5.40586891e+01  5.57905502e+01  5.77060204e+01  6.21406670e+01
  6.74382553e+01  7.35641937e+01  8.06837769e+01  8.75784836e+01
  9.45377426e+01  1.01970917e+02  1.05706863e+02  1.08226768e+02
  1.09336739e+02  1.10201263e+02  1.13991112e+02  1.16117104e+02
  1.19740204e+02  1.22134605e+02  1.23416313e+02  1.24498077e+02
  1.25505135e+02  1.28545746e+02  1.27356461e+02  1.26118446e+02
  1.24518250e+02  1.21930466e+02  1.18726212e+02  1.13678894e+02
  1.10380852e+02  1.10430954e+02  1.10669884e+02  1.08951218e+02
  1.05136887e+02  1.05201080e+02  1.05568611e+02  1.06372093e+02
  1.06406837e+02  1.06273987e+02  1.06849709e+02  1.05297264e+02
  1.02844872e+02  1.03343864e+02  1.02209457e+02  9.70202255e+01
  9.46907654e+01  9.02769394e+01  9.04976273e+01  8.79979401e+01
  8.63850784e+01  8.64726181e+01  8.45470123e+01  8.26400375e+01
  8.31814423e+01  8.30142441e+01  8.11594391e+01  7.92342529e+01
  7.64410782e+01  7.24485703e+01  6.87169647e+01  6.45157776e+01
  6.19208603e+01  5.94962845e+01  5.67522812e+01  5.47642746e+01
  5.45243530e+01  5.11757355e+01  4.67992973e+01  4.44276810e+01
  4.55146599e+01  4.45041885e+01  4.21711349e+01  4.21670494e+01
  3.97174797e+01  3.75310097e+01  3.67952042e+01  3.63814545e+01
  3.78478241e+01  3.50019608e+01  3.25998306e+01  3.09822388e+01
  2.80872955e+01  2.24394360e+01  2.00411167e+01  1.81689968e+01]",210.1738492,14.49737387
6,"[ 14.36089    12.411431   13.176385   11.158508    9.494827    8.147706
   5.4705143   5.3604164   4.0086865   4.6242814   4.863294    3.4348304
   3.7127953   3.2240303   2.5609944   3.503792    5.7853875   9.041273
  11.92408    12.479169   12.912123   15.454119   19.130672   20.420858
  20.845009   22.797585   24.752636   27.823046   31.043777   34.213547
  37.043148   38.974598   43.26751    46.938      51.698536   57.654076
  61.48701    62.95783    64.66143    68.81475    73.738144   79.33023
  85.53762    91.734314   97.865326  104.45275   107.58815   109.68571
 110.56068   111.036255  114.41061   116.05967   119.07865   120.962166
 121.7546    122.58507   123.2453    125.75322   124.37514   123.120094
 121.42262   118.882935  115.93043   111.28357   108.12725   108.211266
 108.51915   106.78954   103.00899   102.903244  103.1851    103.87363
 103.92376   103.666084  104.18888   102.818954  100.61398   101.143654
 100.18437    95.12454    92.9942     89.008125   89.29736    86.74922
  85.18886    85.12605    83.19392    81.24451    81.55803    81.09185
  79.20674    77.40075    74.576584   70.731895   67.21475    63.17225
  60.605343   58.07587    55.332775   53.227287   52.897316   49.611546
  45.505703   43.098198   44.03364    42.91381    40.442116   40.1322
  37.670914   35.43611    34.672047   34.190533   35.5701     32.843243
  30.532175   28.84033    25.976023   20.467422   18.221409   16.364767 ]",170.1738547,13.04507013
7,"[  8.935016    7.2334013   8.282473    6.645937    5.3409734   4.525483
   2.3739316   2.727691    1.7406417   2.7342846   3.412898    2.5162892
   3.2179806   3.2147167   3.085159    4.400772    6.997145   10.587252
  13.761883   14.727787   15.592408   18.491585   22.53444    24.195295
  24.964424   27.301954   29.499088   32.746033   36.11311    39.42315
  42.343616   44.431335   48.87297    52.621964   57.37339    63.266384
  67.15958    68.55526    70.17209    74.233185   78.95113    84.228584
  89.942474   95.804756  101.52654   107.66373   110.517624  112.45852
 113.27285   113.55779   116.68611   118.04341   120.69654   122.22174
 122.644325  123.33934   123.77293   125.91391   124.3777    123.07338
 121.27176   118.69573   115.86863   111.383255  108.21726   108.28717
 108.60604   106.738815  102.8513    102.564804  102.69729   103.208694
 103.155876  102.74452   103.1724    101.82421    99.66074   100.09826
  99.1653     94.042534   91.9018     88.035545   88.24057    85.50143
  83.830185   83.55008    81.45228    79.33496    79.33996    78.52589
  76.488106   74.61051    71.60257    67.69102    64.118195   59.99927
  57.276726   54.510105   51.57435    49.29731    48.804413   45.415997
  41.320065   38.762997   39.48689    38.20285    35.567528   35.02323
  32.4612     30.15302    29.367767   28.84657    30.146395   27.47323
  25.233912   23.524872   20.713919   15.282629   13.164664   11.409674 ]",157.765507,12.56047399
8,"[  7.2128534   5.6692066   6.8853455   5.467407    4.330211    3.7735972
   1.888645    2.4889996   1.6755373   2.8375087   3.7193725   3.0994756
   4.0390425   4.3126636   4.45639     5.969384    8.726779   12.49548
  15.833383   16.97767    18.041521   21.11938    25.389248   27.256235
  28.212875   30.765524   33.081005   36.405155   39.83754    43.2172
  46.170868   48.314613   52.82706    56.613377   61.315453   67.16159
  71.07446    72.40954    73.97382    78.02375    82.644035   87.756874
  93.21737    98.93518   104.43433   110.333786  112.99982   114.85309
 115.64661   115.80876   118.79945   119.98472   122.40335   123.65169
 123.78303   124.37989   124.62822   126.49014   124.82484   123.43616
 121.50938   118.83905   116.0088    111.522285  108.24543   108.23321
 108.49638   106.467125  102.43188   101.99112   101.96261   102.2727
 102.04958   101.48166   101.819084  100.40963    98.223885   98.567406
  97.60982    92.40339    90.229866   86.39778    86.52933    83.67004
  81.94548    81.5502     79.35119    77.14423    76.986465   76.00416
  73.89807    72.002045   68.939644   65.04988    61.495144   57.404873
  54.680634   51.791332   48.76522    46.456852   45.92958    42.5193
  38.466667   35.898262   36.589886   35.29513    32.659466   32.05335
  29.514494   27.235939   26.511253   26.035643   27.34706    24.75296
  22.619377   20.983896   18.28137    12.950114   10.964995    9.315174 ]",159.0306736,12.61073644
9,"[  7.2175927   5.794132    7.151491    5.9898906   5.066775    4.809984
   3.265719    4.132483    3.521117    4.8713303   5.9122663   5.504175
   6.655902    7.1967483   7.66832     9.408372   12.310539   16.204493
  19.696304   21.07331    22.293064   25.484547   29.922873   31.949083
  33.08667    35.82851    38.280537   41.677105   45.145363   48.542683
  51.459877   53.58047    58.085754   61.800163   66.38372    72.12334
  75.96859    77.12513    78.56684    82.492386   86.94301    91.806435
  96.83204   102.22858   107.30485   112.78251   115.091515  116.69282
 117.33413   117.25302   120.016045  120.93451   123.00801   123.91935
 123.71619   124.13068   124.12934   125.64793   123.817795  122.33879
 120.270386  117.51286   114.686745  110.261665  106.928406  106.84014
 107.056526  104.9328    100.81531   100.22516   100.06345   100.20872
  99.87336    99.16248    99.42724    98.017975   95.89202    96.21219
  95.29176    90.09332    87.99454    84.32409    84.47672    81.59834
  79.92534    79.476204   77.292206   75.08659    74.872055   73.803795
  71.72181    69.93533    66.94906    63.22189    59.8514     55.94458
  53.35729    50.4634     47.49928    45.23248    44.75842    41.4535
  37.60801    35.14648    35.912037   34.697758   32.127884   31.488024
  29.057085   26.843838   26.195604   25.769669   27.119532   24.6478
  22.636208   21.062832   18.463932   13.26535    11.424147    9.822138 ]",150.7299003,12.27721061
