id,predict_data,mse,rmse,norm_corr,smooth,skip
0,"[ 10.781584   11.878781   14.341043   17.905407   20.557064   23.835814
  26.973919   30.812147   34.421585   39.03996    43.25354    47.666485
  51.569027   56.383785   61.44604    65.79518    70.94762    75.07242
  80.062386   85.9881     90.53291    95.55188    99.39065   104.00177
 108.85309   113.243004  116.367485  120.208694  123.71177   127.03705
 131.16507   133.89412   135.7368    138.89299   141.48424   144.13188
 147.70201   150.05397   150.93997   152.41663   153.72205   154.75775
 156.08246   157.37805   157.27399   157.78801   156.99774   155.39638
 155.49182   155.9545    154.29857   153.0774    151.26416   149.27155
 148.43053   146.89043   145.15533   142.18681   139.64548   138.4117
 135.83748   133.80997   131.3831    128.03365   124.78985   122.53092
 120.04436   117.62221   116.22764   112.90268   109.93598   107.97599
 104.81552   102.01865   100.28207    96.27825    92.34373    89.205826
  85.2304     83.06179    81.65356    78.541115   75.281525   73.438095
  70.600174   66.88535    66.539764   64.430954   61.82774    59.706875
  56.852238   55.057137   54.158466   51.703873   48.505955   46.031666
  43.7195     41.72691    40.930027   38.829193   36.790577   35.105442
  33.222282   31.59439    30.469213   28.828804   29.26655    26.438272
  25.236818   24.342817   21.840317   22.981264   21.701727   20.684214
  18.459663   15.8129425  15.866409   16.290499   16.406448   15.926659 ]",2773.800029,52.66687791,0.0,weighted13,6
1,"[ 11.164701   11.427646   12.7422695  15.336891   16.842142   18.876734
  21.495316   24.101444   26.632906   29.864597   32.271072   35.308804
  38.685226   42.653397   46.082912   49.15044    52.748276   55.479603
  59.706448   65.45277    69.0337     72.162544   74.96384    78.66735
  82.73601    87.06625    89.41896    92.25462    95.235504   98.248474
 102.213036  105.086754  106.5066    108.83367   111.31322   114.123055
 118.19933   120.708     121.75425   123.02501   124.74083   125.94531
 128.18005   130.13486   130.64174   131.5371    131.85928   130.69897
 131.89587   133.10591   132.18231   131.5424    130.69649   129.49344
 129.452     128.85344   127.556656  125.14942   123.482025  122.822105
 120.95617   119.28335   117.141785  114.04975   111.49088   109.48758
 107.12597   104.57367   103.27594   100.06706    97.19126    95.10496
  92.0393     89.10851    87.29793    83.35174    79.222275   75.68584
  71.90305    70.19864    69.15163    66.0776     62.79941    61.12047
  58.5332     55.072407   55.475292   53.38967    50.91181    48.90157
  46.3395     45.158527   45.196835   42.816257   39.99519    38.085968
  36.01398    34.90323    34.900623   32.865253   31.026594   29.996025
  28.627684   27.266506   26.843405   25.517477   26.081823   23.97446
  23.032084   22.142588   19.900003   20.918356   19.674194   18.977324
  16.960564   14.174314   13.912635   14.143859   13.98758    13.076631 ]",933.6418776,30.55555396,0.998870187,weighted13,6
2,"[  8.44593    8.364049   9.394055  11.655708  12.738086  14.343227
  16.855532  18.981083  21.354338  24.014658  25.614965  28.091976
  31.277195  34.765244  37.58941   40.14436   43.173477  45.31919
  49.216515  54.825108  57.94517   60.263084  62.5942    65.90838
  69.65894   73.799866  75.784355  78.16663   80.8903    83.738464
  87.54347   90.29823   91.401245  93.315926  95.647705  98.419914
 102.54803  104.91898  105.86773  106.901695 108.6773   109.85653
 112.32121  114.49479  115.06738  115.93538  116.58153  115.45416
 117.046875 118.48251  117.76429  117.24785  116.69935  115.73699
 116.051216 115.84097  114.63111  112.414764 111.08189  110.62042
 109.18254  107.82083  105.811165 102.82998  100.58134   98.74111
  96.675606  94.30958   93.09955   89.9993    87.42653   85.468056
  82.757385  79.94935   78.08107   74.08223   70.0502    66.46325
  63.048157  61.658234  60.753483  57.667393  54.555202  53.074596
  50.841396  47.496643  48.13086   45.96709   43.705353  41.80691
  39.512413  38.68665   39.058838  36.58105   34.0198    32.386566
  30.58496   29.786858  30.06209   27.920898  26.185455  25.367163
  24.142147  22.908865  22.795298  21.388542  22.019962  20.116095
  19.280527  18.47904   16.3634    17.147924  15.763614  15.083212
  13.070614  10.283917  10.033721  10.013511   9.723406   8.678324]",277.2609582,16.65115486,0.998420253,weighted13,6
3,"[  8.123895    7.96708     8.974841   11.183539   12.191565   13.713593
  16.346611   18.34267    20.821594   23.24435    24.447933   26.680344
  29.88177    33.080326   35.585865   37.95024    40.743065   42.60017
  46.333996   51.836304   54.67416    56.53675    58.584724   61.65127
  65.205414   69.1141     70.81798    72.885155   75.37456    78.03895
  81.630295   84.17021    84.956924   86.5148     88.59727    91.17863
  95.13754    97.24654    97.960045   98.67984   100.30302   101.29852
 103.65215   105.80384   106.24014   106.874374  107.48168   106.16325
 107.787605  109.178246  108.44043   107.81895   107.25442   106.25599
 106.63378   106.51152   105.26845   103.06361   101.82357   101.38789
 100.134254   98.93045    96.98328    94.02402    91.89429    90.13107
  88.24708    86.016655   84.89569    81.90263    79.592125   77.79504
  75.35632    72.65227    70.78761    66.756676   62.857582   59.297905
  56.15347    54.940697   54.152733   51.111248   48.185165   46.872147
  44.927364   41.642845   42.389954   40.23245    38.19023    36.41091
  34.332478   33.73557    34.29736    31.78902    29.420063   27.992712
  26.443354   25.854155   26.282988   24.10735    22.464088   21.767366
  20.676878   19.571514   19.665268   18.23608    18.956562   17.218204
  16.491695   15.844139   13.868112   14.547491   13.144595   12.512038
  10.56213     7.8925304   7.7573185   7.6344867   7.37144     6.4008665]",127.3671195,11.28570421,0.998845827,weighted13,6
4,"[ 13.687457   13.844798   15.034736   17.516111   18.865297   20.710848
  23.885921   26.290771   29.115303   31.599947   32.761635   35.06643
  38.71065    41.881798   44.14564    46.61572    49.400345   51.18723
  54.981133   60.512074   63.149796   64.67787    66.54837    69.37817
  72.79472    76.426704   77.74209    79.43193    81.55348    83.87697
  87.10032    89.280785   89.53254    90.49331    92.003845   94.03662
  97.52884    99.12657    99.311516   99.36621   100.43871   100.81576
 102.51144   104.26155   104.26865   104.243454  104.31863   102.290825
 103.43275   104.31863   103.25813   102.11846   101.08743    99.58314
  99.53648    99.07487    97.65976    95.186615   93.773735   93.1385
  91.64502    90.267075   88.35015    85.26431    82.99932    81.18242
  79.125565   76.72375    75.78863    72.95416    70.77801    69.16401
  66.6855     63.888878   62.257523   58.286755   54.468266   50.95079
  47.799103   46.537113   46.061905   43.28838    40.556725   39.39448
  37.61586    34.32151    35.306362   33.50595    31.722565   30.150354
  28.26848    27.847322   28.715908   26.484095   24.268198   23.10614
  21.863329   21.591438   22.213223   20.316378   18.841288   18.312351
  17.582539   16.757223   17.068247   15.980241   16.992115   15.536379
  15.098245   14.812912   12.969986   14.006644   12.941303   12.636271
  10.985832    8.620571    8.612296    8.801435    8.9519615   8.382877 ]",136.7679846,11.6947845,0.99902724,weighted13,6
5,"[ 32.099163   33.084713   34.66393    37.71448    40.03854    42.756523
  47.015396   50.269264   53.664326   56.421204   57.83793    60.406895
  64.83986    67.932396   69.86344    72.77061    75.773346   77.61883
  81.45669    86.72339    89.06429    90.327415   91.95715    94.42283
  97.54222   100.51645   101.31237   102.46634   103.90499   105.55358
 107.96322   109.42607   109.07463   109.1648    109.61957   110.64103
 112.959175  113.65863   113.12657   112.12647   112.10001   111.57473
 111.80391   112.67734   111.960754  110.74462   109.58981   106.50892
 106.45919   106.24833   104.62595   102.53708   100.4877     98.048546
  97.00983    95.53339    93.832085   90.83939    88.823006   87.65547
  85.48037    83.59576    81.64856    78.29359    75.52094    73.394844
  70.89923    68.15401    67.34718    64.67811    62.5413     61.057755
  58.341145   55.309155   53.859722   49.868694   46.07696    42.5628
  39.133595   37.4354     37.08059    34.60763    32.04853    30.850014
  29.006657   25.522423   26.405697   25.041632   23.477974   22.06072
  20.222616   19.778242   20.74434    18.899576   16.724527   15.848153
  15.007837   15.1194935  15.820591   14.397428   13.141834   12.801122
  12.679996   12.421977   13.00269    12.597508   14.171841   13.304236
  13.535237   14.110503   12.738078   14.622321   14.486466   14.903254
  14.129913   12.742561   13.288502   14.383301   15.707278   16.305302 ]",68.13306024,8.25427527,0.999150541,weighted13,6
6,"[ 59.379818   61.1649     62.89113    66.12764    69.40138    72.909645
  78.179245   81.97947    85.68221    88.233406   89.53797    91.97334
  96.87172    99.33349   100.4868    103.53283   106.4556    107.97177
 111.39405   115.65205   117.22944   117.8482    118.805305  120.519295
 122.90585   124.72812   124.83856   125.15536   125.56294   126.21641
 127.37861   127.80553   127.0314    126.10312   125.26902   125.14064
 125.8254    125.48183   124.56229   122.41582   121.16533   119.98119
 118.49248   118.49871   117.22345   114.77556   112.35471   108.584076
 107.29562   105.92133   104.11124   101.22475    98.29264    95.24199
  93.28928    90.687485   88.91414    85.68269    83.12261    81.50225
  78.818115   76.5889     74.86583    71.51257    68.29773    65.90752
  63.25758    60.43634    59.735855   57.37395    55.470448   54.14156
  51.409657   48.27972    46.82188    42.727325   39.01862    35.54202
  31.954794   29.673773   29.035912   26.757448   24.387663   22.977282
  20.939234   17.230328   17.497396   16.359138   14.889695   13.493484
  11.576651   11.034822   11.715918   10.113554    7.8867855   7.261754
   6.9796267   7.386276    7.9527636   6.9398255   5.92247     5.762606
   6.2378044   6.8871255   7.7148056   7.936469   10.285847   10.026838
  11.35901    13.287397   12.572964   15.490248   16.48873    17.796535
  18.301794   18.448256   19.874445   22.129684   25.178246   27.387636 ]",145.8212323,12.07564625,0.999353181,weighted13,6
7,"[ 80.856636   82.61387    83.65791    86.21538    89.436195   92.63376
  97.87008   101.125496  104.40693   105.930695  106.18597   107.64122
 112.02321   113.36188   113.315285  115.7411    117.82996   118.39146
 120.792656  123.71528   124.346436  123.81983   123.722435  124.44955
 125.77096   126.53424   126.05166   125.414116  124.87271   124.688644
 124.7323    124.31822   123.41337   121.661865  120.00065   119.286095
 118.86671   117.82754   117.017845  114.22312   112.37658   111.13826
 108.82236   108.51054   107.245125  104.27925   101.48988    97.79237
  96.07242    94.17647    92.75691    89.75927    86.70613    83.79004
  81.55681    78.57287    76.88804    73.93434    71.33233    69.571266
  67.02594    64.91535    63.56647    60.60073    57.42075    55.02587
  52.7053     50.192265   49.58805    47.66002    46.233437   45.112923
  42.85996    40.04252    38.55849    34.585606   31.188622   27.973492
  24.860756   22.645311   21.827541   19.892931   18.044088   16.762045
  14.967096   11.650128   11.597009   10.747734    9.694336    8.632077
   7.0269527   6.8732295   7.5260286   6.3069806   4.531648    4.5186095
   5.075569    6.036574    6.7964544   6.2529287   5.7815795   6.161425
   7.2387586   8.856839   10.086841   10.852145   13.857652   14.334416
  16.620832   19.652073   19.609098   23.102917   24.79146    26.687428
  28.103338   29.427353   31.455904   34.26028    38.274567   41.440414 ]",154.6242919,12.43480164,0.999458834,weighted13,6
8,"[ 98.372314   99.78152    99.783646  101.292465  103.992455  106.42631
 111.188484  113.63735   116.15801   116.356544  115.29099   115.54179
 119.108     119.34893   118.01538   119.5018    120.481125  119.90747
 121.218544  122.882126  122.57659   120.75315   119.56398   119.28279
 119.53952   119.48175   118.48587   116.90684   115.54302   114.671875
 113.7948    112.74353   111.83063   109.36466   107.12822   106.08996
 104.964005  103.46271   103.03248    99.790596   97.650734   96.53301
  93.78213    93.3809     92.38445    89.21497    86.47406    83.0632
  81.25723    79.06234    78.27615    75.42223    72.56138    70.02756
  67.71733    64.64611    63.123573   60.621616   58.208942   56.443764
  54.184807   52.267452   51.404064   48.974033   45.979004   43.684277
  41.727318   39.496487   39.054756   37.617485   36.645596   35.715656
  33.913578   31.439568   30.08244    26.374397   23.275202   20.3912
  17.836594   15.860771   15.0610895  13.626313   12.356468   11.316744
   9.827915    7.131199    7.058718    6.7127395   6.1421137   5.5643425
   4.3989916   4.8412876   5.6951776   5.0842566   3.9195402   4.6375594
   6.1085353   7.697374    8.812027    8.918284    9.148561   10.21208
  11.897961   14.540098   16.166224   17.544535   21.271257   22.354073
  25.590218   29.614046   29.976013   34.116993   36.30974    38.73065
  40.843937   43.03419    45.312275   48.5507     53.276287   57.006657 ]",129.4482729,11.37753369,0.998803629,weighted13,6
9,"[110.11177   111.00886   109.92035   110.45874   112.49379   113.95897
 117.94184   119.481705  121.22926   120.30878   118.048996  117.17094
 119.7556    119.13416   116.831024  117.47797   117.434395  115.90599
 116.21095   116.90065   116.018936  113.212296  111.14545   110.0966
 109.46985   108.90475   107.66202   105.4023    103.486176  102.19922
 100.6853     99.22668    98.40948    95.50643    93.00968    91.934166
  90.467766   88.705826   88.646965   85.259674   83.07465    82.18977
  79.368355   78.9817     78.32523    75.21854    72.72711    69.68002
  67.94006    65.62584    65.38974    62.78447    60.1815     58.031654
  55.681564   52.715088   51.21361    49.11336    46.888374   45.08059
  43.112316   41.3741     40.8162     38.862633   36.061905   33.860176
  32.207584   30.219938   29.868446   28.851297   28.235912   27.450481
  26.091532   24.024622   22.856894   19.553352   16.797981   14.334441
  12.446069   10.955369   10.34102     9.537109    8.956429    8.323732
   7.3183193   5.505593    5.686449    6.010825    6.1155825   6.2100205
   5.6641707   6.845264    8.081142    8.267356    7.9608574   9.522801
  11.908881   14.203408   15.86284    16.741144   17.836964   19.706354
  21.994223   25.491915   27.55059    29.603294   33.914207   35.68427
  39.546116   44.198452   44.95273    49.523      52.027374   54.784824
  57.254993   59.92485    62.285816   65.65742    70.53612    74.45871  ]",129.8871698,11.39680525,0.997201719,weighted13,6
