id,predict_data,mse,rmse,norm_corr
0,"[ 34.259087  39.088516  43.97813   49.606052  54.647022  62.556175
  68.99885   69.64297   78.116554  81.74791   87.96198   94.11729
  98.889145 106.16521  111.107056 113.72221  121.15373  128.97609
 134.10696  138.58951  140.77269  146.00877  149.05801  151.56946
 153.4694   156.18648  162.09625  165.37175  162.69325  168.80899
 169.68756  169.80547  167.72893  170.1309   171.27914  172.57625
 170.42322  171.31075  169.11696  168.70773  169.60332  166.38991
 166.08023  165.22269  160.9762   159.89734  157.61917  157.168
 153.5534   152.19464  150.4892   148.36592  142.68762  141.44037
 142.50075  135.79121  133.21823  130.96992  129.04414  125.24392
 123.472984 119.809845 116.028305 115.01759  112.31072  110.034424
 106.43107  107.72916  103.301865 102.678665  98.21199   96.09775
  94.177925  90.81975   89.240425  87.29845   83.65683   81.97848
  80.03659   81.89216   79.75038   76.8302    74.47717   71.12588
  68.60065   70.12356   66.52022   64.65204   63.985332  61.326614
  54.400494  52.915653  52.028633  49.64472   46.758423  48.124676
  47.831963  43.680653  42.45738   41.40398   38.862823  34.508305
  32.549263  29.94738   27.419714  28.625233  25.547321  25.05601
  25.52164   22.960543  21.398787  18.336561  19.506641  21.453388
  20.00103   17.359413  19.517633  20.688652  18.329039  18.16774 ]",4323.721409,65.75501052,0.0
1,"[ 30.965725   35.286316   40.421604   45.93266    50.728176   58.55245
  65.414345   64.612656   73.31298    76.12917    82.80438    88.48238
  92.48996    99.04679   103.94135   106.29585   113.15031   120.63239
 125.73027   129.85406   131.42516   135.81517   138.7197    140.56625
 142.21579   144.31271   150.20364   153.313     149.72339   156.48346
 157.5372    157.46815   154.74582   157.79211   159.12914   160.38197
 157.62796   158.99849   157.35875   156.66455   158.47029   154.87492
 155.56161   154.81587   150.16417   149.46466   147.95087   147.63281
 144.17065   143.56613   142.32468   140.46101   134.43883   133.88148
 135.88449   129.007     126.53012   124.94182   123.242676  119.46874
 117.76919   114.57083   111.082664  110.6308    108.14886   106.54435
 102.91612   105.00302   101.069405  100.99572    96.52076    94.49407
  92.97283    89.85203    88.068054   86.56318    82.63226    81.38387
  79.18117    81.8726     79.478516   76.77839    74.32365    70.47666
  68.11987    69.94848    66.26408    64.492714   64.0318     61.22598
  54.10347    52.606205   51.53996    49.86375    46.845272   48.772266
  48.611385   44.566906   43.340473   41.84945    39.536285   34.811523
  32.7954     29.936499   27.458866   29.100452   25.704395   25.11174
  25.570427   22.944792   20.623528   17.172968   18.451979   20.00817
  17.83731    15.2818575  17.158426   18.053677   15.125878   14.914165 ]",3406.259303,58.36316735,0.9997881844839976
2,"[ 29.318382  33.486954  38.73141   44.162872  48.80585   56.177853
  63.038963  62.090446  70.39478   73.02459   79.77204   84.93446
  88.529785  94.241066  98.995155 101.46666  107.57293  114.291306
 119.310036 123.08314  124.50408  128.14297  130.82654  132.3606
 133.99103  135.77855  141.02895  143.85645  140.44675  146.81413
 147.96014  147.96448  145.40172  148.5107   149.84486  150.96896
 148.21991  149.70688  148.66696  147.86671  150.02324  146.57288
 147.72244  146.97665  142.6022   142.04185  141.03654  140.66423
 137.57387  137.33809  136.37877  134.61185  128.87917  128.5549
 130.7048   124.34354  121.91757  120.66837  119.01102  115.380135
 113.64665  110.95764  107.825806 107.487755 105.205246 104.04579
 100.72272  102.74594   99.49561   99.48183   95.40935   93.42134
  92.04693   89.27429   87.14863   85.78995   81.90943   80.845276
  78.60958   81.162735  78.64428   76.147804  73.84076   69.826195
  67.51637   68.95287   65.46705   63.66789   63.117836  60.256763
  53.862885  52.044815  50.731274  49.49619   46.552     48.449635
  48.125328  44.44375   43.09171   41.23937   39.06062   34.548424
  32.50621   29.643589  27.281199  28.809668  25.507868  24.773739
  25.026825  22.592268  20.018444  16.670893  17.83699   18.767933
  16.38308   14.193017  15.685878  16.329525  13.583285  13.507466]",2774.918304,52.67749334,0.9997710769623581
3,"[ 28.56263   32.672005  38.009705  43.380486  47.93765   54.855247
  61.653843  60.88671   68.73317   71.34542   78.08376   82.82214
  86.15073   91.13004   95.76245   98.424416 103.84019  109.81425
 114.71846  118.1985   119.59053  122.59492  125.09924  126.43126
 128.08566  129.64346  134.21037  136.7524   133.71681  139.5177
 140.72235  140.82602  138.53983  141.56038  142.83136  143.79132
 141.16075  142.64519  142.10323  141.21005  143.49525  140.26462
 141.66335  140.86787  136.8374   136.32326  135.67879  135.17842
 132.42825  132.39273  131.5927   129.86276  124.50367  124.25126
 126.29588  120.524315 118.12664  117.08201  115.405304 111.926125
 110.11725  107.84548  105.02353  104.66816  102.530365 101.67114
  98.637535 100.38906   97.732605  97.65064   93.984116  92.00142
  90.69137   88.210754  85.774574  84.46728   80.68854   79.70073
  77.434105  79.63291   77.01398   74.68112   72.49585   68.412575
  66.122795  67.04934   63.769012  61.90669   61.188686  58.293613
  52.685043  50.551167  48.981983  48.048653  45.198307  46.88267
  46.343357  43.036163  41.553757  39.407692  37.35419   33.16051
  31.129202  28.343395  26.13907   27.466908  24.37616   23.552568
  23.626408  21.473816  18.842682  15.772132  16.839975  17.271875
  14.895514  13.180825  14.388595  14.904388  12.559045  12.730759]",2344.052543,48.41541638,0.9998243260415556
4,"[ 24.407005   27.902023   33.42962    38.593018   42.893734   49.780045
  56.996105   54.736618   62.89838    64.6637     71.856514   76.26733
  78.91187    83.41108    88.08446    90.482086   95.50099   101.37458
 106.23532   109.51199   110.37659   112.75607   115.32946   116.12925
 117.61307   118.64983   123.49575   126.02308   122.07285   128.77718
 130.27127   130.24005   127.280914  131.05635   132.60657   133.59837
 130.41708   132.44627   132.37897   131.22505   134.35399   130.73036
 133.07043   132.41774   127.8656    127.73262   127.77152   127.39007
 124.688385  125.31418   124.85927   123.382195  117.57954   117.940346
 120.80509   114.71404   112.3899    111.89847   110.39758   106.892685
 105.088234  103.0666    100.407776  100.532486   98.490875   98.09068
  94.79658    97.269844   94.81735    95.20397    91.293594   89.293724
  88.293625   85.84916    83.27923    82.32226    78.14488    77.44487
  74.74184    77.75478    74.81253    72.600655   70.09726    65.52497
  63.396935   64.68329    61.196884   59.412605   58.87233    55.826336
  49.717052   47.73257    45.983826   45.638897   42.605236   44.756485
  44.386494   41.126213   39.699284   37.20548    35.438843   30.829428
  28.816128   25.828028   23.753944   25.605341   22.244787   21.434935
  21.634336   19.486752   16.21416    12.868058   14.151612   14.504515
  11.575638   10.035851   11.1433115  11.563493    8.694822    8.904806 ]",1785.189777,42.25150621,0.9997946693489796
5,"[ 22.35185    25.55804    31.140303   36.126923   40.250793   46.796272
  54.036896   51.42168    59.348217   60.8065     68.06856    72.11499
  74.37406    78.296364   82.890175   85.29843    89.772156   95.16998
  99.897835  102.94638   103.64545   105.4783    108.00646   108.549034
 110.010216  110.76608   115.32895   117.70573   113.74329   120.40971
 122.0655    122.0829    119.11525   123.089386  124.71772   125.647575
 122.42699   124.64525   125.034935  123.77837   127.22719   123.66714
 126.44559   125.84514   121.37114   121.41283   121.89169   121.49012
 119.03218   119.98102   119.72516   118.38401   112.71739   113.31161
 116.32691   110.53022   108.27804   108.07697   106.631195  103.24008
 101.39546    99.67501    97.25283    97.49939    95.56169    95.43503
  92.19711    94.68589    92.5996     93.05899    89.28144    87.257484
  86.368706   84.06944    81.29764    80.455055   76.20761    75.59674
  72.69262    75.692245   72.572464   70.472725   67.88319    63.137722
  61.07181    62.139988   58.69214    56.885204   56.274326   53.168034
  47.336884   45.25159    43.2875     43.26939    40.23348    42.337364
  41.887104   38.8725     37.39949    34.64981    33.074448   28.548704
  26.578968   23.60966    21.709959   23.604792   20.329208   19.50409
  19.665556   17.732199   14.282972   11.084457   12.394497   12.502196
   9.480405    8.334362    9.279034    9.64303     6.901446    7.3071084]",1424.870173,37.74745254,0.9996495232814111
6,"[ 20.68649    23.748522   29.34796    34.190628   38.19888    44.362038
  51.51102    48.959347   56.52209    57.89253    65.102615   68.84796
  70.88464    74.308975   78.817116   81.33484    85.31072    90.20561
  94.78873    97.65658    98.345634   99.75346   102.242134  102.66931
 104.17479   104.77604   108.95045   111.17243   107.49478   113.85773
 115.63277   115.75982   112.99436   116.9766    118.617714  119.46632
 116.37947   118.65119   119.42222   118.11896   121.65964   118.29422
 121.27845   120.68732   116.448006  116.565445  117.33199   116.8498
 114.64398   115.74052   115.580414  114.30709   108.923065  109.57413
 112.468666  107.099945  104.893364  104.83318   103.37246   100.10511
  98.18256    96.69855    94.476776   94.686615   92.8091     92.81681
  89.680016   91.92313    90.156395   90.52251    86.93629    84.858406
  83.977585   81.79941    78.824455   77.98159    73.75256    73.123375
  70.07909    72.78124    69.530655   67.50542    64.872574   60.07082
  58.020622   58.70551    55.348614   53.481884   52.71882    49.58706
  44.213474   41.98126    39.814007   39.985943   37.003025   38.881844
  38.28768    35.554512   34.022377   31.09524    29.678766   25.39515
  23.4965     20.63808    18.935574   20.737757   17.677622   16.862953
  16.974548   15.33156    11.914144    9.025319   10.332979   10.237419
   7.331936    6.6474166   7.4767003   7.855593    5.4734225   6.1448035]",1181.019912,34.36597026,0.9996208977252141
7,"[ 16.164297   18.650957   24.355793   28.951622   32.714867   38.85706
  46.311543   42.459373   50.299828   50.91165    58.449383   61.975136
  63.451176   66.588264   71.13856    73.38585    77.11151    82.03172
  86.52897    89.282875   89.54509    90.53481    93.16942    93.20335
  94.58251    94.78733    99.35337   101.63511    97.17493   104.42781
 106.49556   106.53157   103.18511   107.85557   109.78273   110.70911
 107.20229   109.96885   111.09274   109.61021   113.83007   110.157196
 113.911514  113.491104  108.78443   109.25527   110.57303   110.22439
 108.03716   109.665306  109.76511   108.74273   102.97886   104.140625
 107.69184   102.0102     99.89448   100.268425   98.963554   95.68051
  93.75901    92.38396    90.24726    90.83717    88.98961    89.27174
  85.799866   88.62444    86.8636     87.583786   83.6645     81.52227
  80.85311    78.59213    75.56014    74.96334    70.34756    69.87854
  66.37596    69.74252    66.18346    64.194145   61.167156   55.9608
  54.03361    55.050007   51.444168   49.628403   48.995033   45.736095
  39.7631     37.751816   35.446266   36.0347     32.873264   35.090828
  34.663807   31.92987    30.483526   27.332167   26.191565   21.539316
  19.70658    16.720669   15.176768   17.474007   14.223886   13.495927
  13.801282   12.20715     8.338368    5.2906203   6.84871     6.886942
   3.629704    3.1412654   4.0059905   4.421521    1.6335714   2.3911097]",902.2179974,30.03694388,0.9997044918289861
8,"[ 1.12952995e+01  1.31941442e+01  1.89467392e+01  2.32573261e+01
  2.67356949e+01  3.27968254e+01  4.04798965e+01  3.53603477e+01
  4.34040833e+01  4.32584038e+01  5.10600967e+01  5.43345146e+01
  5.52443047e+01  5.80709839e+01  6.26310387e+01  6.46036148e+01
  6.80685654e+01  7.29868240e+01  7.73926315e+01  8.00285187e+01
  7.98876877e+01  8.04780197e+01  8.32523117e+01  8.29261169e+01
  8.42016602e+01  8.40522614e+01  8.89979477e+01  9.13581314e+01
  8.61991882e+01  9.43091202e+01  9.66872787e+01  9.66747742e+01
  9.28270950e+01  9.81828537e+01  1.00418358e+02  1.01459564e+02
  9.76048813e+01  1.00881470e+02  1.02391960e+02  1.00788567e+02
  1.05697205e+02  1.01786453e+02  1.06317390e+02  1.06106133e+02
  1.01016792e+02  1.01867172e+02  1.03753983e+02  1.03576141e+02
  1.01456764e+02  1.03630241e+02  1.04019363e+02  1.03272903e+02
  9.71981888e+01  9.88791122e+01  1.03080719e+02  9.71449661e+01
  9.51431198e+01  9.59532928e+01  9.48172302e+01  9.15403290e+01
  8.96363602e+01  8.83844986e+01  8.63457031e+01  8.73027878e+01
  8.54940567e+01  8.60415649e+01  8.22629929e+01  8.56312180e+01
  8.38836288e+01  8.49284363e+01  8.06959534e+01  7.84858017e+01
  7.80078354e+01  7.56688461e+01  7.25726929e+01  7.22019424e+01
  6.72177963e+01  6.68930130e+01  6.29514656e+01  6.69256668e+01
  6.30653572e+01  6.11010208e+01  5.76990242e+01  5.21040115e+01
  5.02860870e+01  5.16016388e+01  4.77642975e+01  4.59946060e+01
  4.54813919e+01  4.21041603e+01  3.55834846e+01  3.37779846e+01
  3.13461189e+01  3.23356171e+01  2.90134964e+01  3.15543785e+01
  3.12857590e+01  2.85611725e+01  2.71991196e+01  2.38396072e+01
  2.29636879e+01  1.79734573e+01  1.62051888e+01  1.31036396e+01
  1.17099915e+01  1.44689913e+01  1.10407667e+01  1.03865824e+01
  1.08644896e+01  9.30991173e+00  5.00554371e+00  1.79715610e+00
  3.57349944e+00  3.71055150e+00  1.02140106e-01 -2.19361365e-01
  6.49108291e-01  1.06933796e+00 -2.12337804e+00 -1.31586516e+00]",698.0945289,26.42147855,0.9997493570182884
9,"[  9.071239    10.832545    16.504253    20.623268    23.955173
  29.614588    37.092648    32.120674    39.75097     39.55221
  47.195297    50.21096     50.96064     53.397408    57.852142
  59.915134    62.986984    67.486496    71.74439     74.25633
  74.17249     74.489075    77.26341     76.92766     78.2905
  78.10071     82.74917     85.03085     80.26236     88.08471
  90.60153     90.754616    87.2052      92.5558      94.83942
  95.8728      92.26443     95.59695     97.44202     95.89149
 100.83792     97.20494    101.86977    101.721985    96.94457
  97.88371     99.99926     99.795586    97.93828    100.21061
 100.681984   100.02231     94.28773     95.990524   100.01713
  94.51676     92.583664    93.47454     92.32762     89.181915
  87.21884     86.130394    84.24767     85.1184      83.34049
  83.92075     80.21992     83.27605     81.73375     82.61762
  78.52878     76.241394    75.707886    73.42737     70.17027
  69.73605     64.78285     64.37188     60.30606     63.902832
  59.932396    57.986877    54.527073    48.926018    47.09357
  48.027676    44.268345    42.431034    41.75613     38.374844
  32.266415    30.349604    27.76597     28.846724    25.591724
  27.870934    27.469349    24.989061    23.589478    20.138653
  19.39548     14.668826    12.986028    10.027135     8.817317
  11.4576       8.265422     7.640183     8.084344     6.7989583
   2.6111703   -0.27686405   1.4825239    1.4920382   -1.9354359
  -1.8648195   -1.0767325   -0.62269396  -3.4537582   -2.4283555 ]",612.0158674,24.73895445,0.9997822783897256
