,predict_data,mse,rmse
0,"[ 22.549034  26.11371   28.702318  33.71423   38.43039   41.234062
  42.599483  47.31484   46.787758  46.500973  53.886322  60.656124
  65.69538   68.69419   77.048584  78.51114   88.22197   98.19923
 100.671196 110.151344 113.05644  114.11471  114.28675  116.61552
 117.282036 115.32867  119.59892  124.42079  126.92173  129.25269
 130.35641  134.70334  138.30717  133.45255  134.01521  138.17424
 139.60489  132.4783   133.62077  136.65991  134.11983  134.58235
 131.73764  134.87611  137.791    137.3087   137.78853  135.6162
 137.93298  137.56654  133.81328  131.27724  129.63683  129.3411
 128.11218  127.92017  127.08099  124.47158  119.720856 118.05679
 109.98505  113.15867  108.14047  107.09689  108.34896  101.98337
  93.182365  90.3821    89.583626  90.573654  85.73832   80.33575
  78.57264   76.588974  75.101456  68.01056   68.05109   63.619568
  64.92411   62.741848  62.72307   61.220505  56.02758   57.796658
  55.557755  55.4159    51.1679    52.316105  53.196533  51.48688
  48.466652  43.157303  41.733604  41.167     39.799408  42.475494
  36.26817   38.106113  36.409595  37.10338   37.743748  28.924324
  25.31584   25.18296   28.868643  28.45093   23.582624  24.24962
  26.333584  26.0457    23.965185  23.320345  22.42939   22.019567
  20.52636   17.91904   18.79565   15.728772  14.599145  18.980131]",2432.164405871631,49.31697888021559
1,"[ 11.168973   14.957672   17.619648   20.444174   24.153954   27.345707
  26.980745   30.694567   28.05542    26.523447   34.998283   42.284187
  47.260517   47.40681    55.964138   57.884182   66.97117    75.82909
  76.5078     86.98018    90.07594    90.04453    86.5831     85.9023
  85.84803    83.501236   86.92347    90.70779    90.81745    93.72916
  95.64736   100.27892   101.60302    95.43354    96.8043    103.01831
 104.24701    94.465614   96.10101    99.1552     99.689575  101.76764
  97.70053   102.90518   106.70375   110.2707    113.46985   109.9993
 113.89108   113.34865   111.7395    109.58839   108.87267   111.050705
 109.86085   111.25331   112.845795  110.79677   107.961105  105.59507
  98.132095  102.90191    96.95739    96.217094   96.043144   89.12874
  81.98469    80.824776   81.954414   82.56315    77.12946    70.97127
  68.78948    68.890175   67.85454    59.7097     59.60195    54.21927
  58.52743    55.158924   54.604683   53.36872    48.86343    53.753082
  51.49909    51.552567   45.927303   46.6667     47.4374     45.27176
  43.596832   37.572536   36.522163   36.14254    34.027523   38.591972
  29.77691    32.429504   30.892834   33.250977   35.16668    23.024658
  19.353685   18.133017   22.609993   23.413162   18.769482   19.989475
  20.992046   21.453785   19.841545   21.048565   19.285112   17.412348
  15.927059   14.005969   16.904911   11.770442    8.858988   12.2729025]",920.5358412086986,30.340333571150772
2,"[  6.251525   10.176371   12.921201   13.951249   16.774887   20.07059
  18.825247   22.274193   17.711817   15.468598   24.48014    31.875652
  37.00238    34.797802   43.619637   45.541992   54.14478    62.21471
  61.043617   72.238594   75.07939    74.25419    68.00118    64.3682
  64.09951    61.202656   64.19781    66.976555   64.74116    68.532555
  70.92412    75.30115    74.49011    66.948326   69.416306   77.12139
  78.07116    66.09275    68.06113    71.23514    74.403564   77.81272
  72.51794    79.27899    83.56194    90.301125   95.71798    91.01884
  96.29077    95.7961     95.86852    94.36852    94.21086    98.07586
  96.987625   99.50833   102.85018   101.39007   100.00767    97.22289
  90.00578    96.20771    89.56949    89.13022    87.73804    80.101585
  74.48141    74.56717    77.22078    77.22361    71.33735    64.80005
  62.42246    64.36186    63.84873    54.891514   54.59599    48.37196
  55.6669     51.576584   50.632843   49.4021     45.446003   52.939243
  50.581226   50.933163   44.07997    44.67078    45.592396   43.162388
  42.555573   35.585354   35.010773   34.777336   32.389736   38.54799
  27.511602   30.944983   29.453789   33.192394   36.2503     21.349514
  17.680511   15.410926   20.82912    22.500051   17.881601   19.590656
  19.630161   20.788706   19.540962   22.126362   19.896227   16.77548
  15.312062   13.666793   18.097294   11.414463    7.2195807   9.957125 ]",564.0068313219199,23.74882799891228
3,"[ 2.08232    6.18694    9.055989   8.873826  11.075021  14.520802
 12.57245   15.608412   9.674014   6.7538815 16.166615  23.746252
 28.870184  24.928709  33.809223  35.78062   43.98313   51.360413
 48.89857   60.50622   63.18979   61.705765  53.222298  47.55137
 46.95019   43.56068   46.077644  48.05807   44.215816  48.39045
 51.05105   55.24874   52.907642  44.491856  47.569008  56.331673
 57.00278   43.453632  45.690353  48.86045   53.90512   58.207
 52.16678   60.119205  64.78761   73.880035  80.92761   75.506546
 81.76423   81.257996  82.63398   81.5967    81.99384   87.20677
 86.165474  89.6723    94.462074  93.55836   93.287315  90.16704
 83.25365   90.57016   83.586266  83.43218   81.15434   73.09553
 68.64832   69.80142   73.51895   73.130646  66.96831   60.194443
 57.722298  60.940605  60.75541   51.25206   50.7783    43.976795
 53.313484  48.607697  47.41452   46.242676  42.647766  51.99628
 49.560814  50.080315  42.26422   42.61381   43.53641   40.867737
 41.073036  33.465057  33.09608   32.939625  30.256102  37.56611
 24.838427  28.743538  27.292952  32.133945  35.96695   19.017862
 15.202707  12.141012  18.277752  20.62237   16.08966   18.091846
 17.421637  19.160133  18.232168  21.883299  19.226757  15.238798
 13.879644  12.548877  18.152716  10.377136   5.276063   7.54456  ]",792.5967968732299,28.153095688986493
4,"[17.208885  22.105938  25.591171  28.82505   32.72031   36.137135
 36.39789   38.894592  34.259068  31.26255   40.04078   47.783985
 52.07354   50.36613   57.885662  60.14053   69.064026  76.73541
 76.10997   85.683655  88.40239   86.76498   79.80266   77.31906
 75.90827   72.50582   73.95132   76.00725   74.26353   76.141785
 76.79784   80.555565  79.52742   72.1842    73.00208   79.293465
 78.82105   66.45908   67.32187   69.78983   71.6756    73.96322
 69.13107   73.33824   77.02415   82.107216  85.080536  80.252464
 84.247665  83.09343   83.02909   81.161575  80.68032   84.32131
 82.542816  85.34826   88.92105   87.597466  86.34457   83.80749
 77.557144  84.55545   78.881935  79.102036  77.40371   70.18498
 64.872246  66.69273   68.14304   68.036095  62.501564  56.930077
 55.579197  56.411953  55.572414  47.197567  46.690704  41.02341
 46.0032    41.306927  40.464157  40.249035  35.92137   42.277176
 39.24162   39.008183  32.8756    33.70292   33.858826  31.012167
 29.580387  23.749037  22.82852   23.365446  20.238724  25.603733
 15.060591  18.380545  17.803522  21.970335  23.856655   9.673138
  5.370751   4.1128182  9.556548  11.53202    7.9858727 10.18576
 11.100022  12.771921  12.197791  15.323778  13.889433  11.778007
 11.309326  10.795035  15.783525  11.187134   7.973999  11.4519615]",489.129083818546,22.116262880933252
5,"[ 29.126617    34.57506     37.939415    43.54418     48.61865
  52.103516    53.448254    54.127586    50.628567    46.859486
  55.318153    63.305347    66.10735     66.1705      72.17605
  74.83618     84.06853     91.41619     92.86292    100.80108
 103.98179    101.88375     96.04482     96.72493     94.11304
  90.94978     91.13274     93.420685    93.86581     93.46394
  92.84366     96.70381     97.16909     91.01459     89.444046
  93.929924    92.773285    81.62149     81.424164    83.288925
  82.31116     82.90109     79.639305    81.0946      84.22353
  86.10316     85.538895    81.811424    84.04829     82.07483
  80.76986     77.66722     77.10377     80.16833     77.60865
  79.8276      82.55573     81.016624    79.30471     76.89095
  71.21111     77.5966      73.26214     73.81295     72.42256
  65.886406    59.44631     62.33795     62.15771     62.37926
  56.98444     51.848362    51.604145    50.37153     48.599014
  40.66636     40.030384    35.573368    36.253174    31.200232
  30.35918     31.070421    26.338387    29.995338    26.575819
  25.361666    20.826326    22.191305    21.34391     18.420141
  15.5016365   11.671281    10.507581    11.700177     7.9530134
  11.701223     3.2854533    6.4555554    6.721841    10.499703
  10.747241    -0.7820252   -5.38174     -4.752369    -0.15041628
   2.009543    -0.25898832   2.3061976    4.6791883    6.1933637
   6.1858354    9.380818     9.031685     8.416649     8.499759
   9.171915    13.837566    11.687485     9.650776    13.868279  ]",394.3890947635555,19.85923197818978
6,"[ 45.468414    51.366966    54.447117    62.23692     68.127945
  71.42522     73.85297     72.456024    70.14689     65.30548
  72.94089     80.946365    81.966545    83.788155    87.8901
  90.48465     99.63637    106.319145   109.75525    115.73571
 118.97755    116.271576   111.632866   115.356804   111.42116
 108.084366   106.93659    109.28784    111.95731    109.11237
 107.14596    110.67394    112.71347    107.90043    103.89836
 106.31853    104.497765    95.009926    93.8103      95.06423
  91.062035    89.71229     88.42335     87.46817     89.93971
  88.54994     84.570564    82.524704    83.09574     80.41541
  77.73594     73.52441     73.20877     75.64557     72.38849
  74.06083     75.94642     74.576164    72.26229     69.88365
  64.665535    70.22051     67.604385    68.605316    67.57666
  61.771717    54.168488    58.041164    56.248024    56.67119
  51.55242     46.916733    47.880756    44.591995    41.78834
  34.473495    33.541084    30.350563    26.91385     21.716053
  21.0991      22.46882     17.316488    18.127344    14.480822
  12.419145     9.350972    11.090513     9.31076      6.543403
   2.424652     0.5855598   -0.88273      0.81540096  -3.2164567
  -0.8535911   -6.937878    -3.9155428   -2.8811245    0.6820258
  -0.42542633  -8.895401   -13.764802   -11.262617    -7.2618694
  -4.737182    -5.478245    -2.6231134    1.2144898    2.695133
   3.4532526    6.882732     7.788426     8.781981     9.400026
  11.247575    15.598463    16.112562    15.481964    20.416698  ]",381.48175940431037,19.531558038321222
7,"[ 63.47495     70.29743     74.40708     84.34091     90.2157
  92.48518     97.30847     95.92589     94.148346    88.11312
  93.32052    101.00182    101.017456   103.96837    105.68283
 107.28907    115.43217    121.39876    124.799835   127.75897
 129.79396    126.23965    121.68764    126.44376    121.8451
 117.07916    114.82553    115.7071     118.76172    113.80095
 110.463295   111.89292    113.859314   109.705734   104.29829
 104.83105    102.209366    93.96054     91.78472     92.7635
  87.39486     84.567635    84.66511     81.414986    83.12392
  80.12306     74.90876     74.08725     73.18684     71.22219
  68.61867     65.87271     65.42523     66.7085      63.982605
  66.42185     68.80175     68.81257     65.95074     64.13769
  59.92113     66.36872     66.39262     68.81617     68.33129
  63.896984    57.09195     61.703487    58.62015     58.86575
  55.219093    52.751934    54.688602    49.914074    46.624508
  41.155136    39.95        37.42023     32.05557     27.254036
  27.194674    28.401798    22.295843    20.903116    16.775444
  14.257307    11.124646    11.645116     9.333562     6.404229
   1.9026616    0.4437457   -2.7769804   -1.3842871   -4.708043
  -3.4298465   -8.805479    -7.5649233   -6.315546    -2.6549168
  -4.4507294  -11.1938505  -16.838598   -13.815823    -9.451075
  -7.4380784   -7.1711826   -4.6309595   -0.32125786   1.9650329
   3.1122139    6.451651     8.194525    10.380048    11.849723
  13.706161    18.533047    22.61946     23.710907    29.365448  ]",459.0146806835852,21.424627900703086
8,"[ 76.55875     82.54531     85.02752     93.52379     98.344734
 100.41937    103.2386      98.8251      97.11297     89.63686
  94.89112    102.163185   100.57923    102.9411     103.723015
 104.43594    111.74617    116.150604   120.39258    123.58235
 125.02001    120.68255    116.28081    121.103165   115.02948
 109.5498     106.436966   107.82309    111.781204   106.15571
 102.63874    104.07548    107.02049    103.56908     97.401535
  97.25233     94.615005    87.48724     85.59343     86.15962
  79.67357     75.94346     77.53897     76.265785    77.90743
  74.45771     68.541885    69.59604     69.31441     66.18938
  62.16477     57.319847    58.588223    60.74494     57.08097
  58.803585    60.60369     60.69704     57.558064    54.57284
  49.640366    53.784294    53.306534    55.093513    54.124714
  49.09791     40.714195    45.17638     42.538143    42.51939
  38.159153    33.93529     35.864944    31.484528    27.625416
  21.627523    19.686398    17.289099    11.963096     7.26116
   7.9546795    8.954393     3.5152411    2.4350433   -0.5968831
  -2.3928025   -4.9307146   -3.7707253   -5.972487    -7.6931586
 -10.785432   -10.743198   -12.610175   -10.8147545  -13.960316
 -10.802726   -14.45899    -11.171668    -9.413617    -4.7197714
  -5.1096416   -9.988281   -14.7195835  -10.6675005   -5.981139
  -1.6516623    0.49339566   3.662728     8.793008    11.045044
  13.687418    18.943335    21.567457    24.335077    25.451792
  28.778725    33.830143    37.21584     38.577118    43.75032   ]",402.1067959816622,20.052600728625258
9,"[ 9.69904404e+01  1.01675919e+02  1.03392967e+02  1.10198624e+02
  1.13233215e+02  1.13863434e+02  1.15247955e+02  1.10503616e+02
  1.09002563e+02  1.00605873e+02  1.04305351e+02  1.10424316e+02
  1.08177429e+02  1.09865227e+02  1.09557495e+02  1.08222672e+02
  1.13877190e+02  1.17100021e+02  1.20421059e+02  1.23007507e+02
  1.22505516e+02  1.17704720e+02  1.13841194e+02  1.17123703e+02
  1.10182297e+02  1.03091599e+02  9.97886963e+01  1.00484726e+02
  1.03965965e+02  9.80151443e+01  9.45563354e+01  9.41772690e+01
  9.68317337e+01  9.30532379e+01  8.68563843e+01  8.54400711e+01
  8.29941254e+01  7.66868744e+01  7.44681778e+01  7.47920380e+01
  6.74953613e+01  6.24844208e+01  6.41691666e+01  6.43146286e+01
  6.53849640e+01  6.18092842e+01  5.62613335e+01  5.76744347e+01
  5.75283470e+01  5.46870270e+01  4.94700546e+01  4.39408722e+01
  4.49605789e+01  4.61334267e+01  4.27703476e+01  4.44258995e+01
  4.56829758e+01  4.55582695e+01  4.11615372e+01  3.74309273e+01
  3.22762108e+01  3.44976463e+01  3.34117279e+01  3.53368416e+01
  3.49876823e+01  3.10847855e+01  2.21629276e+01  2.45336170e+01
  2.29551849e+01  2.30080090e+01  2.00903492e+01  1.59615517e+01
  1.74197464e+01  1.40562124e+01  1.04341640e+01  6.32028627e+00
  4.86399126e+00  2.56101656e+00 -5.22279799e-01 -3.54201770e+00
 -5.51055372e-01  2.83300161e-01 -4.04503775e+00 -4.08881140e+00
 -5.71098804e+00 -5.39084291e+00 -6.92280245e+00 -5.47910261e+00
 -5.81015205e+00 -5.96939135e+00 -6.21005011e+00 -4.94561100e+00
 -5.72143221e+00 -3.80230570e+00 -5.41222572e+00  8.64540413e-02
 -1.16955066e+00  3.35583234e+00  5.68919086e+00  1.06279392e+01
  1.26405907e+01  1.02357435e+01  7.32927132e+00  1.20628557e+01
  1.72806854e+01  2.28080444e+01  2.63881702e+01  2.97117481e+01
  3.52951050e+01  3.73920746e+01  4.06101570e+01  4.66328850e+01
  5.01722412e+01  5.37865944e+01  5.43937950e+01  5.71855202e+01
  6.22274208e+01  6.59023743e+01  6.81092453e+01  7.27574997e+01]",388.56741746083134,19.712113470169335
10,"[ 1.05684723e+02  1.08973526e+02  1.08634193e+02  1.13385811e+02
  1.15481827e+02  1.16302902e+02  1.14546379e+02  1.06592834e+02
  1.05380424e+02  9.59707031e+01  1.00356758e+02  1.06185020e+02
  1.02438034e+02  1.03316116e+02  1.02734383e+02  1.00696838e+02
  1.05761383e+02  1.07522293e+02  1.11753197e+02  1.15293304e+02
  1.14548782e+02  1.09423470e+02  1.05755440e+02  1.09080788e+02
  1.00565414e+02  9.29996262e+01  8.91328888e+01  9.06304169e+01
  9.52494736e+01  8.87122269e+01  8.54411240e+01  8.55080795e+01
  8.92746353e+01  8.60635300e+01  7.90626373e+01  7.71711655e+01
  7.49150925e+01  6.94649887e+01  6.77080307e+01  6.73823547e+01
  5.87586098e+01  5.27240448e+01  5.53976097e+01  5.82717133e+01
  5.93627739e+01  5.54295425e+01  4.93139038e+01  5.22954140e+01
  5.30583076e+01  4.89143105e+01  4.20473824e+01  3.36617165e+01
  3.61419716e+01  3.82579460e+01  3.38211937e+01  3.48131638e+01
  3.52571678e+01  3.47376137e+01  2.99931355e+01  2.48647976e+01
  1.89084015e+01  1.83736019e+01  1.62992516e+01  1.73984890e+01
  1.68902664e+01  1.27188559e+01  1.95091641e+00  3.75605488e+00
  3.09319973e+00  3.35047436e+00 -4.84713577e-02 -6.18898201e+00
 -4.73100042e+00 -7.26729012e+00 -1.12650776e+01 -1.58427744e+01
 -1.74504185e+01 -1.93315735e+01 -2.17646961e+01 -2.44998951e+01
 -2.02736683e+01 -1.90541172e+01 -2.19634705e+01 -2.10455017e+01
 -2.12556877e+01 -1.97832050e+01 -2.01271744e+01 -1.73183994e+01
 -1.69146786e+01 -1.56242552e+01 -1.40712366e+01 -1.10188284e+01
 -9.65779781e+00 -7.19174242e+00 -8.83940506e+00 -1.22549820e+00
 -3.79545301e-01  6.84786701e+00  9.74415112e+00  1.54362326e+01
  1.89419174e+01  1.84152088e+01  1.67323875e+01  2.23988438e+01
  2.77694016e+01  3.54910927e+01  4.04894905e+01  4.42451706e+01
  5.05149879e+01  5.20972481e+01  5.64012222e+01  6.38275146e+01
  6.78461914e+01  7.19134521e+01  7.19443130e+01  7.57988663e+01
  8.03068695e+01  8.20986176e+01  8.41342392e+01  8.82020569e+01]",451.9821448495584,21.259871703506548
11,"[113.23629   116.20248   115.399574  119.52896   121.08884   121.803
 119.44921   110.4624    109.09201    99.07324   102.93978   108.518005
 104.029434  104.345795  103.193405  100.387566  104.84428   105.68157
 109.54468   112.68341   111.27763   105.84779   101.53636   104.28176
  95.12163    86.56567    82.30471    83.27019    87.810585   80.66054
  77.10146    76.35345    79.90608    76.7281     69.419846   67.08694
  64.549774   59.335144   57.69621    56.98882    48.104805   41.456665
  44.524315   48.455444   49.341095   45.575367   39.686546   43.519283
  44.736584   40.55445    33.59012    24.992567   28.138468   30.55999
  26.009329   27.479652   28.212921   28.453663   23.742792   18.255816
  12.265094   11.517792   10.130926   11.587841   11.078359    7.121797
  -3.469856   -1.321223   -1.6428893  -1.4961436  -4.482475  -10.490744
  -8.483566  -10.586788  -14.630316  -18.896946  -20.583328  -22.137508
 -23.671625  -26.174381  -21.212952  -19.87797   -22.26634   -20.949766
 -20.831758  -18.90582   -19.266872  -16.227709  -15.426634  -13.647403
 -11.270474   -8.059921   -6.2553496  -3.815531   -5.1953      3.1557841
   4.2234445  12.0664015  15.010572   21.322586   25.339968   25.154697
  23.441748   28.919674   34.972588   43.19943    48.561443   52.167706
  58.30297    60.111416   64.77674    72.53957    76.66149    80.8192
  80.96158    84.83806    89.175      90.662186   92.83231    96.88619  ]",419.3779843815037,20.47872028183167
12,"[119.2771    121.63693   119.01497   121.52753   122.41015   123.215004
 119.54479   107.936615  106.18641    95.13809    99.0033    104.26396
  98.057175   97.73953    96.08511    92.91366    96.73699    96.20991
 100.41557   103.73402   102.65534    96.75332    91.97144    94.68469
  84.849464   76.28651    71.69585    72.60065    77.35691    70.01679
  67.1214     66.49357    70.273125   67.03646    59.320515   57.368736
  55.200336   50.175068   48.753407   47.993828   38.82977    32.0574
  35.796516   40.979393   42.033768   38.61415    32.60986    37.62795
  39.733055   35.25203    28.203169   18.760954   23.22308    27.08461
  22.190197   23.680412   24.53353    25.604809   21.801159   15.608785
   9.151908    7.9704046   7.5926213   9.386918    8.400158    3.973257
  -7.054167   -3.4779172  -2.928459   -3.0185933  -6.6929126 -13.531788
 -10.378664  -12.02388   -16.609154  -22.06402   -23.875399  -24.595524
 -26.064192  -28.979727  -24.399937  -22.774506  -24.153164  -22.774311
 -22.519827  -21.065964  -21.047594  -16.801777  -16.097492  -13.827274
 -11.673574   -8.005363   -4.841728   -2.186912   -3.64264     4.9096446
   6.36592    15.698134   18.70069    25.59632    29.70574    29.950684
  28.487724   34.253128   40.48057    49.544212   55.331223   59.313236
  65.32342    66.96527    72.06152    80.50898    85.00858    88.64752
  88.36721    92.63636    96.74437    97.24957    98.43244   102.07345  ]",613.0819065238276,24.76049083770004
