timestamp,value
20130101 00:00:00,30.37
20130101 01:00:00,30.46
20130101 02:00:00,30.36
20130101 03:00:00,29.61
20130101 04:00:00,29.37
20130101 05:00:00,28.39
20130101 06:00:00,28.08
20130101 07:00:00,26.21
20130101 08:00:00,24.06
20130101 09:00:00,31.01
20130101 10:00:00,37.74
20130101 11:00:00,37.33
20130101 12:00:00,35.33
20130101 13:00:00,32.51
20130101 14:00:00,31.34
20130101 15:00:00,30.87
20130101 16:00:00,30.34
20130101 17:00:00,29.66
20130101 18:00:00,33
20130101 19:00:00,36.25
20130101 20:00:00,37.69
20130101 21:00:00,39.65
20130101 22:00:00,44.13
20130101 23:00:00,49.4
20130102 00:00:00,54.81
20130102 01:00:00,60.32
20130102 02:00:00,66.06
20130102 03:00:00,75.28
20130102 04:00:00,86.2
20130102 05:00:00,92.38
20130102 06:00:00,91.47
20130102 07:00:00,86.54
20130102 08:00:00,81.39
20130102 09:00:00,75.27
20130102 10:00:00,68.73
20130102 11:00:00,62.19
20130102 12:00:00,57.72
20130102 13:00:00,54.44
20130102 14:00:00,51.61
20130102 15:00:00,49.26
20130102 16:00:00,48.16
20130102 17:00:00,47.65
20130102 18:00:00,48.56
20130102 19:00:00,49.89
20130102 20:00:00,50.71
20130102 21:00:00,50.31
20130102 22:00:00,50.27
20130102 23:00:00,50.66
20130103 00:00:00,51.62
20130103 01:00:00,52.05
20130103 02:00:00,52.29
20130103 03:00:00,53.78
20130103 04:00:00,55.1
20130103 05:00:00,55.95
20130103 06:00:00,59.22
20130103 07:00:00,62.5
20130103 08:00:00,66
20130103 09:00:00,71.77
20130103 10:00:00,65.83
20130103 11:00:00,57.75
20130103 12:00:00,53.83
20130103 13:00:00,51.58
20130103 14:00:00,51.2
20130103 15:00:00,51.85
20130103 16:00:00,53.55
20130103 17:00:00,56.78
20130103 18:00:00,62.73
20130103 19:00:00,72.2
20130103 20:00:00,76.46
20130103 21:00:00,77.22
20130103 22:00:00,77.16
20130103 23:00:00,77.69
20130104 00:00:00,78.17
20130104 01:00:00,78.76
20130104 02:00:00,78.8
20130104 03:00:00,80.02
20130104 04:00:00,80.83
20130104 05:00:00,81.46
20130104 06:00:00,82.51
20130104 07:00:00,83.64
20130104 08:00:00,84.77
20130104 09:00:00,89.39
20130104 10:00:00,84.35
20130104 11:00:00,81.07
20130104 12:00:00,76.24
20130104 13:00:00,73.07
20130104 14:00:00,71.67
20130104 15:00:00,69.51
20130104 16:00:00,66.66
20130104 17:00:00,66.7
20130104 18:00:00,73.13
20130104 19:00:00,82.47
20130104 20:00:00,87.22
20130104 21:00:00,90.34
20130104 22:00:00,93.49
20130104 23:00:00,96.44
20130105 00:00:00,98.8
20130105 01:00:00,101.22
20130105 02:00:00,103.5
20130105 03:00:00,105.78
20130105 04:00:00,108.07
20130105 05:00:00,110.54
20130105 06:00:00,112.93
20130105 07:00:00,115.18
20130105 08:00:00,116.53
20130105 09:00:00,112.86
20130105 10:00:00,107.25
20130105 11:00:00,90.79
20130105 12:00:00,82.61
20130105 13:00:00,75.76
20130105 14:00:00,74.88
20130105 15:00:00,75.01
20130105 16:00:00,75.43
20130105 17:00:00,76.02
20130105 18:00:00,79.31
20130105 19:00:00,86.22
20130105 20:00:00,93.75
20130105 21:00:00,100.34
20130105 22:00:00,104.48
20130105 23:00:00,106.01
20130106 00:00:00,106.88
20130106 01:00:00,109.53
20130106 02:00:00,113.07
20130106 03:00:00,117.59
20130106 04:00:00,121.17
20130106 05:00:00,125.25
20130106 06:00:00,128.32
20130106 07:00:00,129.02
20130106 08:00:00,127.48
20130106 09:00:00,113.51
20130106 10:00:00,110.1
20130106 11:00:00,107.48
20130106 12:00:00,94.99
20130106 13:00:00,88.06
20130106 14:00:00,85.76
20130106 15:00:00,84.91
20130106 16:00:00,85.24
20130106 17:00:00,85.89
20130106 18:00:00,90.23
20130106 19:00:00,97.46
20130106 20:00:00,111.72
20130106 21:00:00,126.57
20130106 22:00:00,133.34
20130106 23:00:00,133.03
20130107 00:00:00,132.01
20130107 01:00:00,133.02
20130107 02:00:00,134.76
20130107 03:00:00,137.39
20130107 04:00:00,136.7
20130107 05:00:00,129.29
20130107 06:00:00,118.05
20130107 07:00:00,109.54
20130107 08:00:00,105.39
20130107 09:00:00,105.45
20130107 10:00:00,111.12
20130107 11:00:00,102.42
20130107 12:00:00,95.76
20130107 13:00:00,91.05
20130107 14:00:00,89.34
20130107 15:00:00,87.06
20130107 16:00:00,85.24
20130107 17:00:00,85.2
20130107 18:00:00,88.72
20130107 19:00:00,94.89
