id,predict_data,mse,rmse,norm_corr
0,"[ 26.732176  31.26886   32.07551   35.29138   39.498203  42.395607
  45.707737  49.170666  53.100464  54.785793  59.289307  62.231167
  65.60138   70.02693   73.59111   77.603455  80.70452   84.32345
  87.43821   91.656845  94.77556   98.537506 102.289474 106.19104
 109.42323  111.81749  113.99534  117.070244 120.58288  121.85914
 125.210655 126.42011  127.84596  131.24632  132.67598  134.07785
 135.52724  135.95909  138.53784  138.94112  138.90773  139.9553
 140.57349  139.65196  141.25229  142.16974  140.29622  140.35007
 139.59761  138.99976  138.62848  137.51534  136.3147   135.15398
 134.53471  131.78687  131.63573  129.45372  129.0662   126.36474
 125.02599  122.06221  120.61228  118.627785 116.61734  113.6332
 110.86812  108.78799  106.18105  102.78832  101.5893    99.063545
  96.317924  93.24891   90.240715  87.44085   84.79169   81.94774
  79.337166  75.501816  73.8521    70.54446   68.14592   65.4482
  64.113075  60.583153  58.195614  55.79031   52.834995  50.00061
  48.585983  45.679382  42.833088  40.947628  38.28965   37.28594
  35.447315  33.5226    31.868378  30.447657  27.875046  25.87756
  25.200724  24.100977  23.306898  20.235693  20.965355  20.648514
  20.142807  19.831247  18.715893  18.478518  18.05507   18.857075
  18.60239   18.274677  19.159134  19.955853  21.182295  22.36962 ]",2244.760628,47.37890488,0.0
1,"[ 24.298428  29.213848  29.24762   32.32659   36.715637  39.6219
  42.74197   46.423897  50.625885  51.599285  56.51986   59.410538
  62.760693  67.18544   70.85113   75.23712   78.044266  81.74044
  85.00113   89.76799   92.80602   96.733955 100.88006  105.14747
 108.59321  110.9502   113.13425  116.15107  119.967995 121.503685
 125.273384 126.43512  127.63072  131.53444  133.17912  134.3528
 136.04074  136.38669  139.54123  139.78014  139.88667  141.33412
 141.86903  140.68661  143.01866  144.22289  142.30055  142.20421
 141.58481  140.87254  140.5419   139.47302  138.75226  137.48438
 137.05968  133.97546  134.25685  131.56575  131.78305  128.84949
 127.515434 124.229    123.29577  121.22362  119.1707   115.78068
 112.76929  111.116104 108.58048  104.80411  103.920135 101.52025
  98.670204  95.49105   92.23142   89.87354   87.227615  84.04236
  81.139145  77.46072   76.217545  72.538086  70.40512   67.67417
  66.566055  62.438953  60.34839   57.80939   54.83047   52.094303
  50.79895   47.913197  44.605965  42.98256   39.991898  39.431683
  37.21974   35.185497  33.42408   32.348164  29.464443  26.999329
  26.426678  25.43492   24.634468  20.789364  21.80067   21.725307
  20.906178  20.631859  18.940887  18.818933  18.03908   18.825434
  17.90759   17.311089  18.20256   18.96674   19.723976  21.116186]",2047.649389,45.25096009,0.9997984705227796
2,"[ 25.452602  30.23725   30.239845  33.27295   37.587635  40.48754
  43.577457  47.30418   51.503883  52.534122  57.391666  60.313225
  63.694366  68.07854   71.792206  76.1818    78.99953   82.70176
  85.98271   90.76079   93.78877   97.70988  101.87758  106.118774
 109.59911  111.95962  114.152504 117.1157   120.88266  122.473114
 126.19697  127.37854  128.57227  132.3668   134.00874  135.12617
 136.80267  137.14783  140.19083  140.429    140.52092  141.92136
 142.36859  141.20601  143.43019  144.55965  142.68266  142.5093
 141.90076  141.0998   140.68561  139.6152   138.86383  137.54967
 137.05768  133.97227  134.19331  131.4586   131.57928  128.63431
 127.27672  123.99413  123.01868  120.92616  118.8369   115.42855
 112.42465  110.758736 108.19849  104.44688  103.47672  101.08187
  98.24941   95.088234  91.8218    89.51517   86.883415  83.68546
  80.79139   77.2355    76.01666   72.39099   70.304756  67.61383
  66.483665  62.427216  60.402523  57.9138    55.013092  52.37162
  51.08713   48.296047  45.017124  43.481644  40.540504  39.995724
  37.8091    35.8278    34.079742  33.057167  30.245668  27.84876
  27.257153  26.292297  25.51372   21.789017  22.74302   22.671568
  21.820421  21.542933  19.860884  19.730295  18.922102  19.643559
  18.711191  18.133282  18.980305  19.708586  20.392736  21.703966]",1952.789653,44.19037965,0.9998181872547365
3,"[ 26.7257    31.361908  31.562439  34.639133  38.894474  41.801556
  44.957733  48.668236  52.809834  54.089302  58.810364  61.77696
  65.202065  69.60033   73.330246  77.62685   80.551445  84.25364
  87.50463   92.1419    95.200264  99.08686  103.16794  107.29782
 110.75066  113.117386 115.30803  118.27371  121.93643  123.4482
 127.03674  128.2234   129.47641  133.07434  134.63322  135.7848
 137.37149  137.71678  140.5258   140.80565  140.81271  142.05534
 142.46669  141.36914  143.30974  144.3139   142.42696  142.25348
 141.59033  140.7595   140.28178  139.18855  138.24545  136.92911
 136.3383   133.31848  133.38301  130.76753  130.65042  127.74874
 126.38442  123.17771  122.01329  119.93478  117.838905 114.531075
 111.59912  109.79014  107.180664 103.54806  102.45178  100.02347
  97.23427   94.109886  90.911316  88.49114   85.86852   82.77599
  79.9867    76.42796   75.11875   71.63536   69.49361   66.8348
  65.643036  61.80225   59.724968  57.30893   54.446804  51.81871
  50.52094   47.763744  44.633575  43.069714  40.24471   39.579033
  37.522682  35.59832   33.88567   32.78213   30.082777  27.859846
  27.22457   26.229147  25.464481  22.00963   22.858751  22.705929
  21.927862  21.626745  20.109142  19.917202  19.192007  19.883253
  19.143764  18.642555  19.46159   20.174398  20.975311  22.16577 ]",1870.422369,43.24837996,0.9998556756357866
4,"[ 20.690346   25.69638    25.382341   28.40463    32.895424   35.853455
  38.96072    42.77523    47.213413   47.933952   53.15422    56.107533
  59.550327   64.13913    67.98096    72.67072    75.49959    79.35401
  82.84843    88.001335   91.1765     95.3178     99.78944   104.40487
 108.09792   110.59245   112.88559   116.02889   120.13482   121.94442
 126.02693   127.27395   128.50331   132.77187   134.62123   135.81062
 137.67891   138.09671   141.63454   141.85867   142.09235   143.79793
 144.37808   143.08405   145.81883   147.226     145.33783   145.22293
 144.71695   144.01898   143.73766   142.67586   142.18767   140.89294
 140.5613    137.32826   137.80762   134.8997    135.35704   132.30122
 130.9723    127.53437   126.809555  124.6604    122.53004   118.96696
 115.78654   114.27467   111.73638   107.72633   106.96342   104.54518
 101.56533    98.295715   94.8937     92.637985   89.94963    86.5429
  83.44686    79.78243    78.682594   74.779625   72.6946     69.853165
  68.799576   64.356      62.306213   59.636505   56.594788   53.813477
  52.51114    49.545383   45.96494    44.327576   41.128876   40.66898
  38.228146   36.03722    34.141148   33.0904     29.971844   27.216965
  26.594658   25.504625   24.59142    20.260092   21.291718   21.187586
  20.118216   19.686703   17.6602     17.440016   16.37828    17.029293
  15.7017565  14.860068   15.644196   16.245413   16.719553   18.07126  ]",1658.860035,40.7291055,0.999769995520867
5,"[ 22.749018  27.65711   27.251505  30.230494  34.651066  37.59328
  40.648357  44.547043  48.972992  49.730377  54.858982  57.837994
  61.31175   65.82035   69.708336  74.39016   77.18811   81.03638
  84.508606  89.668205  92.78402   96.89642  101.386696 105.93087
 109.65504  112.100006 114.37512  117.41046  121.425575 123.23745
 127.25393  128.48053  129.65147  133.76059  135.56793  136.63646
 138.47386  138.8332   142.19998  142.40492  142.575    144.2001
 144.62372  143.3389   145.92766  147.22987  145.34277  145.10715
 144.59421  143.73836  143.3385   142.29018  141.74637  140.37892
 139.9657   136.69324  137.11978  134.12903  134.49051  131.40315
 130.05728  126.600075 125.839554 123.680435 121.52932  117.91592
 114.75789  113.25879  110.69065  106.7153   105.86553  103.48879
 100.56909   97.32885   93.91217   91.76865   89.11553   85.71774
  82.65393   79.159805  78.13492   74.31078   72.31732   69.56338
  68.511345  64.15204   62.234116  59.653667  56.71414   54.084396
  52.82827   50.005024  46.455776  44.995445  41.853752  41.457115
  39.053146  36.953403  35.08688   34.148666  31.118195  28.45244
  27.826311  26.805407  25.950886  21.770905  22.768501  22.702253
  21.5991    21.206598  19.171333  18.960682  17.870777  18.46514
  17.128273  16.321438  17.070787  17.660683  18.049543  19.315584]",1593.354298,39.91684229,0.9994906622932136
6,"[ 23.732365  28.456768  28.314669  31.347496  35.6949    38.647755
  41.79117   45.655807  50.012638  51.08184   56.055237  59.092823
  62.622463  67.16147   71.06919   75.6463    78.594345  82.4522
  85.904076  90.89525   94.07324   98.15444  102.54518  106.97383
 110.67384  113.15263  115.44477  118.51033  122.41973  124.1561
 128.02554  129.2826   130.55334  134.45139  136.17932  137.32295
 139.07045  139.45918  142.57147  142.84639  142.93925  144.39372
 144.80931  143.6206   145.88762  147.06056  145.18347  144.97446
 144.41116  143.55293  143.10056  142.03354  141.27106  139.92035
 139.40111  136.23003  136.4719   133.64825  133.72935  130.70616
 129.35574  126.00426  125.017296 122.87787  120.72053  117.24413
 114.17072  112.492035 109.8693   106.0337   105.030205 102.59917
  99.7218    96.520035  93.18525   90.87888   88.225     84.95114
  82.000595  78.47979   77.319214  73.65343   71.56852   68.83445
  67.687836  63.576992  61.566483  59.053383  56.139027  53.497536
  52.20172   49.3921    46.014122  44.482006  41.469967  40.898174
  38.638924  36.58379   34.745598  33.67628   30.764442  28.290363
  27.59686   26.515118  25.656763  21.785074  22.638866  22.452099
  21.430145  20.988684  19.14987   18.84979   17.855568  18.403915
  17.29713   16.570307  17.276716  17.836605  18.368452  19.484293]",1525.974159,39.06371921,0.9995874229683934
7,"[ 18.790104   23.794024   23.253696   26.248169   30.778742   33.77599
  36.891556   40.84522    45.44309    46.0941     51.460556   54.501564
  58.061092   62.762306   66.77168    71.66953    74.564156   78.55691
  82.21207    87.61264    90.904785   95.19568    99.906975  104.72632
 108.63587   111.229774  113.61588   116.83434   121.09948   123.07484
 127.34132   128.65857   129.92474   134.35165   136.31232   137.49777
 139.4736    139.92844   143.60857   143.85312   144.12294   145.93973
 146.49126   145.15756   148.03809   149.53154   147.6558    147.49725
 147.06323   146.31042   146.01422   144.98      144.5627    143.2324
 142.91302   139.57785   140.14069   137.09422   137.61324   134.46758
 133.14845   129.6187    128.96655   126.77231   124.58592   120.91526
 117.6453    116.191154  113.61983   109.486015  108.73346   106.303375
 103.28014    99.96195    96.465065   94.27627    91.56627    88.05178
  84.857445   81.25228    80.24866    76.25698    74.20744    71.328545
  70.275856   65.69678    63.702793   60.989258   57.926556   55.161
  53.852386   50.87304    47.139984   45.54406    42.236626   41.80821
  39.245358   36.970722   34.979706   33.934284   30.685974   27.791874
  27.093554   25.91962    24.935562   20.375824   21.353392   21.183977
  19.920008   19.357458   17.11317    16.767561   15.498248   15.994786
  14.426028   13.419691   14.082539   14.5384445  14.808548   16.023855 ]",1380.032701,37.14879138,0.9997818213218144
8,"[ 16.207195  21.379597  20.336964  23.215025  27.83172   30.838886
  33.83431   37.931664  42.73227   42.95206   48.607513  51.64531
  55.22453   59.96074   64.082855  69.27079   72.034546  76.119125
  79.93986   85.746216  89.05237   93.49774   98.52094  103.64524
 107.75711  110.40163  112.84876  116.080986 120.59579  122.83706
 127.41916  128.77403  129.96112  134.75499  136.91896  138.00783
 140.1858   140.65596  144.75323  144.93208  145.34908  147.46886
 148.00574  146.53693  149.9201   151.63034  149.79523  149.56071
 149.2623   148.4684   148.21448  147.22383  147.14998  145.76978
 145.58221  142.06241  142.90509  139.54265  140.4393   137.15465
 135.84085  132.12384  131.8069   129.5473   127.31362  123.39431
 119.95288  118.765335 116.23791  111.844185 111.26741  108.89187
 105.77528  102.37838   98.708534  96.78315   94.05886   90.29124
  86.87445   83.38165   82.615814  78.365326  76.46374   73.529816
  72.58375   67.60454   65.77289   62.944263  59.855858  57.133442
  55.861065  52.873405  48.81404   47.342697  43.802708  43.611847
  40.77398   38.385662  36.28489   35.41121   31.934807  28.705477
  28.022589  26.860525  25.820267  20.727175  21.81634   21.742605
  20.21472   19.601614  16.9482    16.615723  15.054097  15.465879
  13.407405  12.174746  12.779647  13.141736  13.045643  14.324445]",1298.794958,36.03879796,0.9997942966245508
9,"[ 19.040361   23.936125   23.10136    25.981613   30.448412   33.439102
  36.460697   40.560825   45.25343    45.802464   51.208466   54.30155
  57.93165    62.60602    66.75614    71.802216   74.669655   78.730415
  82.49561    88.11481    91.407455   95.778404  100.68319   105.61474
 109.69063   112.32032   114.7596    117.92114   122.24119   124.414795
 128.77467   130.14192   131.38232   135.82484   137.8787    138.94633
 141.00468   141.46658   145.17374   145.40294   145.71196   147.60104
 148.01805   146.66309   149.61328   151.10541   149.30798   149.01166
 148.66158   147.75668   147.36238   146.36012   146.04692   144.63565
 144.28549   140.86172   141.4758    138.23038   138.77908   135.55537
 134.22092   130.61456   130.05193   127.81036   125.56193   121.752106
 118.42812   117.07677   114.48428   110.27779   109.4811    107.09016
 104.06071   100.73608    97.14986    95.15662    92.465324   88.8257
  85.55463    82.17511    81.32288    77.29605    75.378426   72.53289
  71.49808    66.8415     65.015205   62.32442    59.353115   56.739838
  55.462856   52.60785    48.75647    47.34666    43.993427   43.681416
  41.023247   38.763493   36.724598   35.8165     32.54803    29.591005
  28.848692   27.698196   26.704113   22.061836   22.986233   22.838722
  21.384796   20.772804   18.33001    17.94356    16.473448   16.814249
  14.98711    13.881794   14.430312   14.769164   14.754811   15.8443775]",1264.04749,35.55344555,0.9998156331314187
