id,timestamp,value
0,181801,58.1
1,181802,37.4
2,181803,42.4
3,181804,57.5
4,181805,88.5
5,181806,60.8
6,181807,46.8
7,181808,52.6
8,181809,43.4
9,181810,52.8
10,181811,18.3
11,181812,43
12,181901,54.7
13,181902,34.6
14,181903,6.3
15,181904,33.7
16,181905,32.6
17,181906,58.3
18,181907,52.5
19,181908,43.5
20,181909,24.8
21,181910,45.9
22,181911,41.8
23,181912,50.9
24,182001,32
25,182002,44.4
26,182003,7.5
27,182004,32.3
28,182005,48.9
29,182006,17.9
30,182007,34.1
31,182008,43.1
32,182009,8.6
33,182010,14.9
34,182011,13.2
35,182012,15.1
36,182101,36
37,182102,7
38,182103,9.5
39,182104,15.2
40,182105,2.8
41,182106,3
42,182107,4.3
43,182108,8
44,182109,7.3
45,182110,31.4
46,182111,7.3
47,182112,0.4
48,182201,0
49,182202,1.5
50,182203,26.9
51,182204,21.7
52,182205,2.4
53,182206,9.3
54,182207,13.2
55,182208,3.4
56,182209,0
57,182210,0.6
58,182211,0
59,182212,0
60,182301,0
61,182302,0
62,182303,1
63,182304,0
64,182305,0
65,182306,0
66,182307,0.8
67,182308,0
68,182309,0
69,182310,0
70,182311,0
71,182312,34
72,182401,36
73,182402,18
74,182403,0
75,182404,32.3
76,182405,4.6
77,182406,0
78,182407,0
79,182408,2.3
80,182409,34.3
81,182410,42
82,182411,0
83,182412,1.4
84,182501,8.4
85,182502,25.9
86,182503,37.4
87,182504,6.2
88,182505,25.8
89,182506,25.6
90,182507,51.5
91,182508,42.8
92,182509,26.2
93,182510,26
94,182511,19.6
95,182512,36.7
96,182601,29.4
97,182602,30.2
98,182603,61.3
99,182604,40
100,182605,53.9
101,182606,61.7
102,182607,87.5
103,182608,66
104,182609,31.6
105,182610,84.4
106,182611,65.8
107,182612,113.6
108,182701,57.7
109,182702,79
110,182703,96.3
111,182704,76.7
112,182705,93.8
113,182706,94.4
114,182707,70.4
115,182708,89.4
116,182709,82.6
117,182710,93.5
118,182711,80.4
119,182712,76.8
120,182801,88
121,182802,107.3
122,182803,108.5
123,182804,101.9
124,182805,148.6
125,182806,163.4
126,182807,90.4
127,182808,127.3
128,182809,83.9
129,182810,91.1
130,182811,95
131,182812,78.1
132,182901,71.6
133,182902,82.3
134,182903,120.6
135,182904,158.4
136,182905,112.3
137,182906,123.2
138,182907,151.5
139,182908,129.3
140,182909,88
141,182910,95.3
142,182911,112.7
143,182912,94.1
144,183001,87
145,183002,120.1
146,183003,141
147,183004,177.3
148,183005,110.5
149,183006,108.4
150,183007,73.2
151,183008,84.6
152,183009,103.4
153,183010,140.6
154,183011,135.4
155,183012,136.8
156,183101,79
157,183102,83.6
158,183103,155.8
159,183104,90.9
160,183105,63.4
161,183106,55.6
162,183107,75.4
163,183108,91.6
164,183109,63.2
165,183110,77.1
166,183111,72.5
167,183112,48.3
168,183201,51.5
169,183202,92.6
170,183203,91.9
171,183204,44.8
172,183205,68.9
173,183206,44.5
174,183207,23.3
175,183208,14.8
176,183209,13.7
177,183210,35.2
178,183211,23.8
179,183212,45.8
180,183301,18.7
181,183302,24.9
182,183303,19.6
183,183304,4.6
184,183305,21.5
185,183306,1.7
186,183307,11.6
187,183308,9.5
188,183309,19.3
189,183310,12.5
190,183311,9.8
191,183312,16.6
192,183401,8.2
193,183402,30.1
194,183403,6.5
195,183404,2.4
196,183405,14.8
197,183406,13.1
198,183407,14.4
199,183408,6.6
200,183409,19.2
201,183410,41.3
202,183411,50.9
203,183412,57.5
204,183501,12.4
205,183502,40.7
206,183503,32.7
207,183504,102.4
208,183505,72.6
209,183506,55.2
210,183507,99.6
211,183508,98.5
212,183509,168
213,183510,158.6
214,183511,166.7
215,183512,129.3
216,183601,147.6
217,183602,179.4
218,183603,163.7
219,183604,238
220,183605,185.7
221,183606,207.9
222,183607,194.6
223,183608,179.6
224,183609,158.5
225,183610,228.9
226,183611,201.5
227,183612,343.8
228,183701,313.4
229,183702,292.6
230,183703,224.3
231,183704,230.3
232,183705,186.1
233,183706,263.4
234,183707,271.2
235,183708,223.5
236,183709,160.4
237,183710,206.2
238,183711,178.4
239,183712,216.1
240,183801,241.5
241,183802,141.3
242,183803,234.5
243,183804,211.1
244,183805,229.4
245,183806,157.6
246,183807,180.4
247,183808,131.3
248,183809,122.7
249,183810,151.5
250,183811,129.2
251,183812,132.9
252,183901,175.9
253,183902,170.8
254,183903,129.5
255,183904,102.9
256,183905,89.6
257,183906,91.2
258,183907,141.3
259,183908,218.8
260,183909,221.1
261,183910,151.5
262,183911,114.7
263,183912,106.2
264,184001,135.4
265,184002,146.1
266,184003,112.9
267,184004,109.8
268,184005,115.4
269,184006,80.9
270,184007,101
271,184008,96.4
272,184009,123.3
273,184010,91.7
274,184011,90.4
275,184012,89.5
276,184101,40.1
277,184102,49.9
278,184103,49.6
279,184104,66.9
280,184105,112.4
281,184106,92.8
282,184107,51.4
283,184108,65.4
284,184109,60.9
285,184110,47.4
286,184111,32.9
287,184112,64.8
288,184201,34
289,184202,36.8
290,184203,36.2
291,184204,44.9
292,184205,41.4
293,184206,34.2
294,184207,21
295,184208,44.4
296,184209,30.6
297,184210,63.5
298,184211,67.5
299,184212,29.3
300,184301,22.2
301,184302,5.9
302,184303,13.9
303,184304,15.8
304,184305,35.1
305,184306,17.6
306,184307,15.9
307,184308,19.6
308,184309,6.9
309,184310,8.9
310,184311,31.7
311,184312,21.2
312,184401,15.7
313,184402,24.5
314,184403,22.5
315,184404,34.6
316,184405,19.2
317,184406,6.2
318,184407,35.2
319,184408,39.7
320,184409,11.6
321,184410,35.9
322,184411,17.9
323,184412,36
324,184501,42.8
325,184502,72.8
326,184503,72.1
327,184504,95
328,184505,79.7
329,184506,51.8
330,184507,51
331,184508,53.9
332,184509,49.3
333,184510,67.8
334,184511,65.7
335,184512,99.5
336,184601,64.6
337,184602,84.9
338,184603,106.5
339,184604,115.5
340,184605,99.9
341,184606,108.4
342,184607,77.5
343,184608,91.3
344,184609,178.6
345,184610,93.4
346,184611,100.6
347,184612,109.1
348,184701,104.4
349,184702,74.9
350,184703,143
351,184704,74.6
352,184705,125.7
353,184706,142.2
354,184707,87.1
355,184708,234.3
356,184709,268.2
357,184710,300.6
358,184711,231.5
359,184712,182.6
360,184801,265.2
361,184802,186.4
362,184803,181.2
363,184804,178.6
364,184805,170.5
365,184806,214.9
366,184807,232
367,184808,220.9
368,184809,167.3
369,184810,220.6
370,184811,191
