predict_data,mse,rmse,mape,smooth,skip,result_corr
58.290787 29.849644 42.87031  50.993633 60.362366 32.35188  45.907646 39.278484 37.842663 52.70924  23.774841 27.068205,1359.0458,36.86523804842697,0.44080725,raw,12,0.11561224135575139
 28.240433   33.691223   60.35754    19.24964     7.9890327  29.1893  62.290634   22.479528   20.371029  125.575005   18.141064   53.497467 ,1066.3883,32.65560144391866,0.54281163,raw,12,-0.0017648296365897777
 49.33319   26.964823  80.308876  88.33284   33.243713  63.32914  30.81217   23.439962  32.319458 111.50687   57.23894   61.704975,690.0949,26.26965758566276,0.38339576,raw,12,0.20343709434598067
 68.33957   44.660095  80.747856  76.7669    48.632057  46.057247  58.82977   23.675896  30.845467 109.65151   24.641758  38.77716 ,972.18066,31.179811802871743,0.38953242,raw,12,-0.28431738267062406
 75.66842   17.12499   76.13253   78.60148   48.674793  26.88338  50.147316  10.047986  32.180866 100.47112   29.079012  40.005577,1826.6274,42.7390622429441,0.42601338,raw,12,0.10070849845760897
61.347248 30.155287 88.43372  79.74105  50.950115 36.21707  39.173695 26.143059 31.024555 85.550804 26.87748  22.584616,1751.9697,41.85653744115129,0.43161574,raw,12,-0.3153989492410657
58.454655 11.609678 68.947205 68.481346 45.985786 32.75104  52.87022 22.963709 42.7526   82.78484  31.155643 44.30928 ,4046.489,63.61201941199379,0.5593191,raw,12,0.0018226623001050962
 23.607199  54.603516 100.52097   81.45632   21.79019   49.96634  47.125072  33.63915   37.79804   57.029373  19.806023  10.642645,2771.3025,52.64316185635486,0.51915455,raw,12,-0.5387776041803516
31.812502 23.281345 40.346813 67.55745  26.515974 40.477562 44.25163 24.323608 47.507572 30.434797 46.80234  28.587141,6547.352,80.91570954259284,0.6792671,raw,12,0.1810149192857302
 15.750393  43.200485 101.82449   56.150753  24.437532  50.37465  40.322777  28.491207  14.596277  54.45767   51.542587  34.873116,4378.414,66.16958563040878,0.5873008,raw,12,-0.13591390735773753
 2.554556  26.603617  22.25013   48.001144  33.909954  24.191975 49.35959   69.77491   17.505795  -2.5541914 23.069096  61.315243 ,8789.511,93.7523905945203,0.73564416,raw,12,-0.13981465838023682
