predict_data,mse,rmse,mape,smooth,skip
"[58.107674 66.959625 39.072388 36.49367  51.878296 20.723732 65.907936
 77.34278  36.63927  35.528618 10.395589 55.528988]",1363.963,36.931869878132524,0.39060304,raw,8
"[76.86555  64.70114  57.505146 53.3854   42.826855 70.10151  37.184326
 60.465977 24.357874 35.78381  21.034418 39.69841 ]",225.44386,15.014788140864294,0.25566503,raw,8
"[79.53774  49.32318  25.553373 61.35936  59.62418  53.189392 60.327217
 87.28057  36.4077   52.16404  28.57233  61.904034]",336.51132,18.344244929172866,0.28731653,raw,8
"[58.906334 71.88257  12.881094 34.31598  21.340567 61.454624 69.12502
 65.52874  47.989296 31.194374 20.933289 63.566532]",639.6606,25.29151208401929,0.34879443,raw,8
"[57.083176 59.34969  15.123204 33.833866 23.084759 36.80542  86.49983
 87.64529  48.501175 33.06747  13.190908 55.939148]",864.51544,29.402643450794205,0.4380676,raw,8
"[ 39.130325   58.168976   20.301151   52.574955   39.85634    35.108986
  65.09172   105.22235    51.795124   30.92433     2.8763072  57.000557 ]",1307.5194,36.159637846356915,0.4143933,raw,8
"[49.28448   80.44687   22.57121   67.14635   34.335545  55.951218
 55.337166  91.91717   19.364338  16.218607   6.3835697 58.11956  ]",2001.7811,44.74126873401879,0.44829795,raw,8
"[46.789146   62.239605    0.36670318 45.51728    31.985872   34.40499
 80.54621    77.4685     33.548256   34.866978   -3.9694767  58.200253  ]",1894.6244,43.52728327897846,0.48803926,raw,8
"[42.82311   64.70507   13.154695  50.11941   37.34189   41.458878
 71.659195  94.86625   42.67827   27.648064   5.9189644 57.831135 ]",2579.638,50.79013624172636,0.4711373,raw,8
"[59.69979  69.88474  24.931063 59.23949  38.386246 52.58037  54.0968
 81.20254  17.19863  17.968475  9.358348 54.768818]",4452.684,66.72843533330636,0.5743514,raw,8
"[58.129753  75.21761   32.41066   20.45448   30.76169   65.24701
 52.324062  72.27054   23.510906  49.31441   -1.6619066 34.135803 ]",2614.049,51.127772025246955,0.50633246,raw,8
"[66.73637  46.90369  18.287464 51.829002 51.214645 38.791763 92.04954
 82.53133  45.752533 47.067577 30.788881 56.756516]",2520.1711,50.201306183984144,0.4551127,raw,8
"[67.686165  62.278446  27.201956  52.955353  61.55947   43.35106
 57.727512  68.10688   44.563198  37.562927  12.8474455 69.76125  ]",4816.526,69.40119508269473,0.5690871,raw,8
"[52.994457 72.85667  51.110004 39.411335 58.46264  57.676098 63.85233
 75.60817  56.62992  64.59729   7.678074 38.071007]",2479.3035,49.792604539197136,0.44282827,raw,8
"[61.851036 65.63548  40.228485 56.614304 58.187664 39.665905 78.56104
 80.237885 32.532013 67.23989  13.641664 53.76352 ]",4768.1274,69.05162881066782,0.5177028,raw,8
"[26.766249 45.650604 49.617073 40.81137  84.25321  43.86163  48.03055
 95.35088  25.771986 51.9959   13.087724 67.1377  ]",5874.2227,76.6434775845277,0.58708173,raw,8
"[32.40382  77.019165 51.17865  63.415154 55.896183 62.305264 62.82829
 72.76224  82.15513  64.5562   20.630503 55.01645 ]",1769.507,42.065507937118895,0.37846187,raw,8
"[6.5280716e+01 7.6238113e+01 5.1731285e+01 5.7764137e+01 7.7092445e+01
 4.3716625e+01 9.3145721e+01 8.3919113e+01 4.8973755e+01 8.4808960e+01
 8.5472338e-02 5.6930370e+01]",2513.8855,50.13866270700561,0.3814073,raw,8
"[35.16512  50.169796 50.817875 46.217094 59.75309  34.248066 71.14803
 72.22179  34.934017 46.194828 24.665785 67.24142 ]",5795.105,76.12558689736815,0.59818095,raw,8
"[46.130665 49.372017 52.614697 52.32202  71.89611  47.148357 54.82599
 67.242    71.362564 68.41986  12.282889 59.143497]",2873.5525,53.60552667621479,0.44145903,raw,8
