predict_data,mse,rmse,mape,smooth,skip,result_corr
 18.127592   35.502953    9.2147045  12.567626   11.126846   14.394766 -28.40847    40.06919    15.024371   44.041195   15.28814    24.148363 ,3921.3838,62.620953274942245,0.7463724,rolling6,24,-0.3461375117340869
 55.019527   -7.1924143  -0.2245821  16.874647   29.49977   -30.643696   5.5238523  52.458138   30.054575   51.078487   19.834837   -5.1183777,2213.9304,47.05242204097336,0.71621037,rolling6,24,0.4133888225975343
 39.63588   54.827465  18.389935 -17.531836  32.435814  -8.175836 -17.613785  51.239937  50.97767   54.16709   20.690763 -11.827529,4311.627,65.6629800810548,0.7313115,rolling6,24,0.2855173885139172
 25.494673   47.764763   23.131779  -13.659413   36.292675   -5.4978924 -16.76964    45.645924   42.118805   44.717884   20.0479      1.385603 ,7917.287,88.97913861897631,0.80682945,rolling6,24,0.20328729409466656
 12.651053   22.109695   28.829777  -26.954294   36.65547     5.1216846 -27.645418   40.601982   36.67606    49.78219    27.547218   16.130383 ,10474.473,102.34487117706485,0.8404011,rolling6,24,-0.12344054246282862
 -4.2218904  17.683296   38.367344    3.9999285  52.202625   28.793417 -18.564266   68.228485   13.360093   42.751354   54.61323    37.925335 ,9692.4,98.44998928707408,0.76008964,rolling6,24,-0.2815463976428104
 -0.30284575  20.54387     46.639267    30.763474    35.273205  39.697296   -28.711464    39.7609      29.100876    50.34799  49.791466    30.560581  ,9522.729,97.5844686188586,0.7689002,rolling6,24,0.10988813900138196
 11.66876   35.683044  60.013844  38.260643  44.838226  41.22606 -30.171053  37.41644   37.840744  72.18202   36.079224  20.299427,16269.386,127.55150231254628,0.7727203,rolling6,24,-0.011467629380620455
  5.5175724   4.225083   36.62077    17.758034   20.404099   46.86715 -30.56813    50.72338    35.741486   47.27223    57.088238   43.050156 ,15659.513,125.13797463325233,0.81473774,rolling6,24,0.07482033774082042
29.070858   -0.304795   20.961927   -1.1202065  40.515617    0.12329009 -1.3830177  44.018257   25.737541   48.474182   28.241617   17.95366   ,14620.367,120.91471038504784,0.8509378,rolling6,24,0.1269814444336195
