predict_data,mse,rmse,mape,smooth,skip,result_corr
34.88293   49.091686  47.53292   52.335045  58.810646  35.948193 35.20248   24.067318   7.547208  44.09767   44.52975    7.3754725,1867.6031,43.21577431232793,0.49629465,weighted6,12,-0.013579995206128403
 8.012576  6.3165   47.611816 19.971842 51.71631  50.09392  63.352222 18.619112 20.374369 71.83541  34.982086 29.28932 ,745.81665,27.30964390816228,0.4354807,weighted6,12,-0.6187530702180629
37.54762  79.303474 68.20975  43.052235 48.606304 26.84221  17.259882 10.614349 12.8659   42.21925  21.377907 30.028936,1091.0365,33.03084163359205,0.4874198,weighted6,12,-0.5543244476362479
 7.4871516 55.496628  40.10335   46.768444  42.10915   33.909073 27.540716  20.053709  -7.5589824 73.69588   21.318745   4.776905 ,1869.1354,43.233498308332194,0.4964966,weighted6,12,-0.33981699815007793
-5.0466604 38.757496  43.372368  32.7158    22.301588  40.07462 21.144808  21.177485  -7.668582  80.09635   19.207083   5.4682198,3617.84,60.14848367075121,0.6862626,weighted6,12,0.3628746574411652
-6.3270903 39.476124  40.28745   29.159258  14.187444  49.289047 23.038538  25.904     -6.2511234 85.40694   24.458181   5.37555  ,3428.634,58.55453896328725,0.6490919,weighted6,12,-0.07433876606310405
 4.502018  34.98379   43.32377   24.557968  25.77109   40.161713 23.460516  19.551447  -5.3962345 74.45481   24.801968  14.856807 ,6773.156,82.29918445354578,0.7475407,weighted6,12,0.12730647545358842
 1.9265348 31.703861  16.178831  20.549297  41.016018  28.36332 33.259914   4.6321    -2.537275  84.243515   9.788999  20.72065  ,4405.5195,66.37408779975812,0.7147133,weighted6,12,0.0520322963188499
29.4517    8.547312 52.367344 16.111845 31.25649  44.625694  7.937176 44.902332 15.268263 59.037075 48.965355 28.849707,7650.5625,87.46749396204284,0.72242403,weighted6,12,-0.15958809934460885
 7.6132226 24.958525   8.02703   16.278276  77.75556   49.307648 71.89496   -7.1021757 37.406624  73.982376  33.436783   3.4517314,5841.0054,76.42647035611255,0.662072,weighted6,12,-0.025419721509656434
62.29353  27.727945 28.029768  9.866433 45.396168 51.025238 47.834267 13.275386 11.12501  58.736893 19.509655 53.030586,7846.59,88.58097901778915,0.7025662,weighted6,12,0.01078520353044185
 27.80243    32.551945    5.9398584  17.39238    60.64102    63.424717  71.313416  -11.846373   20.89927    77.94885    16.04781    24.067398 ,4453.3516,66.73343661538794,0.63183767,weighted6,12,-0.2453715126430989
52.13551   14.559227  17.740828  13.225365  37.118675  61.53601 54.804214  -1.4435283 18.835426  80.29824   26.322628  33.491116 ,8570.933,92.57933147948036,0.7242002,weighted6,12,0.0967472511296197
39.12103  37.709488  9.189067  7.317309 58.299175 60.576946 78.20722  9.253167 32.086903 69.604256 47.690228 30.190357,3030.4521,55.04954267237376,0.55649453,weighted6,12,0.09193660482755961
64.978775  27.704159  21.307909   9.359752  58.22033   42.569378 40.423252  -3.0058281 29.257936  74.63847   19.571598  25.487133 ,16306.32,127.69620320314932,0.7586177,weighted6,12,-0.19486814477092906
