date,pm25,temp,rh,psfc,wnd_dir,wnd_spd
20130101 00:00:00,30.37,275.43,37.25,95350.46,214.8798663,6.277786234
20130101 01:00:00,30.415,275.35,36.19,95345.575,216.06848,6.213193851
20130101 02:00:00,30.39666667,275.28,35.29666667,95349.85333,217.1535378,6.162153986
20130101 03:00:00,30.14333333,275.14,33.58333333,95360.12333,216.8698976,6.069558575
20130101 04:00:00,29.78,275.0466667,31.81333333,95378.37333,215.5964186,5.909824859
20130101 05:00:00,29.12333333,274.9733333,29.89666667,95396.36,214.3543367,5.803644406
20130101 06:00:00,28.61333333,274.8533333,28.16333333,95418.54667,215.1834215,5.683792154
20130101 07:00:00,27.56,274.7,26.88666667,95445.66667,206.7026709,5.655896687
20130101 08:00:00,26.11666667,274.5133333,26.19666667,95446.11333,199.9292824,5.560980644
20130101 09:00:00,27.09333333,274.72,29.07333333,95424.02667,223.4088597,4.359917247
20130101 10:00:00,30.93666667,274.95,32.92666667,95385.14667,245.6298799,2.926161076
20130101 11:00:00,35.36,275.5133333,36.89666667,95354.75,7.016501745,1.325534344
20130101 12:00:00,36.8,276.11,37.20333333,95309.04333,37.51911382,1.117146876
20130101 13:00:00,35.05666667,277.0333333,36.37666667,95253.80333,39.06583454,1.3501506
20130101 14:00:00,33.06,277.9033333,35.16666667,95202.32333,38.61288297,1.7674765
20130101 15:00:00,31.57333333,278.6366667,34.06666667,95168.99333,31.42956561,2.070263798
20130101 16:00:00,30.85,279.1866667,33.23666667,95146.25,35.20707998,2.282145905
20130101 17:00:00,30.29,279.56,32.66,95136.95333,34.78312037,2.470398191
20130101 18:00:00,31,279.6633333,32.61666667,95145.32667,23.93957066,2.543035883
20130101 19:00:00,32.97,279.4033333,33.32,95169.9,20.59072789,2.314508285
20130101 20:00:00,35.64666667,278.6766667,36.16333333,95200.27,145.6697828,1.656124462
20130101 21:00:00,37.86333333,277.7366667,39.43666667,95231.79667,241.5429834,1.306680442
20130101 22:00:00,40.49,276.84,42.07666667,95263.96667,299.335267,1.124835123
20130101 23:00:00,44.39333333,276.1066667,43.16333333,95303.77333,334.6803131,1.302284
20130102 00:00:00,49.44666667,275.4533333,43.98666667,95338.31667,330.1540681,1.274458173
20130102 01:00:00,54.84333333,274.78,45.41666667,95371.02,18.3056132,1.745725172
20130102 02:00:00,60.39666667,274.1266667,46.92666667,95402.68,42.18180757,3.080652738
20130102 03:00:00,67.22,273.44,48.38333333,95446.79,47.33450644,4.579190409
