,predict_data,mse,rmse
0,"[ 24.595825   28.265944   30.428347   31.380756   33.067047   33.522545
  36.640533   37.599804   39.344204   42.04866    46.775444   52.93673
  58.556667   65.86048    69.67773    75.08218    80.40244    85.01092
  88.02278    93.25574   100.44042   105.23433   109.406784  113.54781
 120.14152   123.34501   126.05182   128.74617   131.01013   134.18755
 136.18045   138.70094   140.142     143.0549    145.23824   144.87077
 147.26283   148.40337   150.32886   149.27823   147.55074   147.26
 146.83073   145.49947   143.82613   144.97374   146.98665   149.12737
 149.25642   150.15573   148.62854   146.77007   145.3423    145.13962
 144.01068   142.19705   142.4367    141.29845   139.9384    137.57373
 134.47786   132.55103   130.03911   127.284485  123.78661   120.411
 116.37328   115.6034    115.6436    113.71412   110.8521    108.507935
 106.02796   100.571434   96.013794   92.68301    90.57907    89.41319
  88.30802    86.95772    84.082275   81.49992    79.82245    76.67743
  74.600784   70.16347    66.86581    64.50366    59.474693   54.350677
  50.056526   47.681675   43.871284   42.261883   41.548496   39.458332
  36.058716   33.7058     32.452927   28.283957   23.85062    20.628447
  19.342266   17.166367   14.334981   13.327898   12.414717   12.088277
  10.75645    10.983869    9.596059    8.376376    8.085588    9.048837
   9.426337    8.212611   10.203271   10.122841    9.524164    8.6054125]",2632.5923322828285,51.30879390789486
1,"[ 18.396404  20.271759  20.712984  20.330334  20.809795  20.11331
  22.25573   22.023424  22.358368  23.435629  26.505468  30.746288
  34.585148  40.31561   42.544807  46.6027    50.781532  54.351986
  56.334805  60.865467  67.46429   71.77467   75.42901   79.03029
  85.05863   87.76697   90.0988    92.654434  94.94536   98.28491
 100.5499   103.8622   105.93517  109.498856 112.52092  112.858505
 116.141685 118.00965  120.6936   120.56092  119.75959  120.13904
 120.641685 120.37696  119.54354  121.45232  124.22831  127.013855
 127.91275  129.16365  128.00792  126.77073  125.75465  126.25488
 125.90406  124.6839   125.56618  125.45004  125.056625 123.35794
 121.00803  120.0448   118.18627  115.79749  112.6628   109.73377
 106.00915  105.26499  105.675125 104.28141  101.93493   99.89265
  97.765724  92.77281   88.40393   85.19473   83.211945  81.99426
  80.903984  79.72221   77.50401   75.00795   73.51079   71.15023
  69.24592   65.29697   62.226852  60.061874  55.902855  51.476074
  47.684807  45.776043  43.15683   42.112774  41.757423  40.570736
  37.736797  35.605648  34.381626  30.712364  26.73503   23.844849
  22.775757  20.860521  18.399805  17.490494  16.145123  15.676726
  14.465271  14.125055  12.318278  11.075628  10.801383  11.256817
  11.271273   9.947806  11.468112  10.73152    9.262108   7.542113]",898.6688690954093,29.97780627556675
2,"[ 13.551318   14.072631   13.614696   12.737356   12.714402   11.42197
  13.198123   12.572978   12.430301   12.965724   15.1057415  18.146467
  21.088942   25.732061   26.803356   29.768627   33.246803   36.521614
  38.12189    42.43196    48.83687    53.15466    56.863274   60.052197
  65.741165   68.40153    70.51308    73.14416    75.43297    78.75251
  80.89408    84.35365    86.73483    90.559814   94.30521    95.28784
  99.17088   101.54811   104.40522   104.643906  104.254524  104.887955
 106.058815  106.75213   106.81927   109.358246  112.567726  115.6153
 116.69923   117.817696  116.5904    115.67697   114.820755  115.841934
 116.158066  115.25483   116.8524    117.579254  117.97914   116.751785
 114.86614   115.03014   113.683624  111.446     108.577675  106.1627
 102.92699   102.21142   102.98881   102.021225  100.3712     98.92857
  97.24017    92.66432    88.53535    85.46554    83.44386    81.96236
  80.78357    79.61252    77.81693    75.27342    73.75691    71.81441
  69.83401    65.98648    62.98751    60.969307   57.489365   53.6743
  50.10119    48.329147   46.13869    45.1126     44.45879    43.440052
  40.866734   38.718067   37.562202   34.098698   30.27834    27.462782
  26.24112    24.36651    21.970217   21.00791    19.379707   18.679157
  17.411493   16.492012   14.374651   12.917723   12.391663   12.353439
  11.972078   10.57236    11.646126   10.41936     8.524477    6.4613795]",290.0392319368075,17.030538216298613
3,"[  9.773479   10.180796    9.799407    9.262825    9.573105    8.393226
  10.408665   10.212459   10.589925   11.712804   14.346332   17.87573
  21.290295   26.361609   27.715048   30.644115   34.4753     38.202213
  40.135445   44.734997   51.209904   55.8333     59.714504   62.781605
  68.433136   71.08858    73.168884   75.693306   77.79153    80.69433
  82.257484   85.06716    86.86812    90.18104    93.40615    94.041016
  97.60146    99.42803   101.43789   101.12128    99.95966   100.04977
 101.03461   101.737335  101.92848   104.51515   108.02183   111.06239
 111.92502   113.002045  111.81572   110.92208   110.1126    111.33204
 111.87817   111.17908   113.20423   114.126785  114.812965  113.8426
 111.88147   112.27672   111.13956   108.82383   105.91033   103.75689
 100.84184   100.303986  101.388435  100.552826   99.2286     98.20862
  96.736855   92.18005    88.168465   85.31438    83.232735   81.78623
  80.76158    79.561356   77.745026   75.37785    73.81301    71.65118
  69.65461    65.63875    62.477737   60.46246    56.983055   53.0738
  49.421337   47.624435   45.07275    43.81031    42.887295   41.620937
  38.997578   36.9565     36.053024   32.58365    29.00346    26.263355
  24.84573    23.077599   20.683659   19.653267   18.081593   17.392195
  16.044695   15.05379    12.919566   11.163904   10.352787   10.104567
   9.4150715   7.763409    8.66594     7.338388    5.4074197   3.3973408]",176.07031179904055,13.269148872442443
4,"[ 7.65241385e+00  8.76785851e+00  8.95973778e+00  9.00215721e+00
  9.87841129e+00  9.08555222e+00  1.14710770e+01  1.18047447e+01
  1.28832092e+01  1.48505478e+01  1.84972687e+01  2.31617336e+01
  2.74926262e+01  3.35733032e+01  3.57719841e+01  3.91411858e+01
  4.36048927e+01  4.77694321e+01  5.00899200e+01  5.48959656e+01
  6.12817917e+01  6.60091629e+01  6.97944946e+01  7.27600784e+01
  7.83887558e+01  8.09051590e+01  8.29632568e+01  8.51304016e+01
  8.69277573e+01  8.93013840e+01  9.02301559e+01  9.22109680e+01
  9.31298447e+01  9.56957626e+01  9.78889999e+01  9.77343674e+01
  1.00555328e+02  1.01491653e+02  1.02479614e+02  1.01361183e+02
  9.91351624e+01  9.85278320e+01  9.89497299e+01  9.91376038e+01
  9.89896469e+01  1.01369461e+02  1.05081917e+02  1.08079994e+02
  1.08775879e+02  1.10061234e+02  1.09125214e+02  1.08212929e+02
  1.07510979e+02  1.08761673e+02  1.09296143e+02  1.08835899e+02
  1.11061447e+02  1.11854515e+02  1.12520088e+02  1.11739052e+02
  1.09607201e+02  1.09647057e+02  1.08542015e+02  1.06156616e+02
  1.03164375e+02  1.01081612e+02  9.82829514e+01  9.79934006e+01
  9.92531586e+01  9.84038467e+01  9.70264893e+01  9.60879211e+01
  9.46187134e+01  8.98730316e+01  8.58624802e+01  8.31516037e+01
  8.10346146e+01  7.97994766e+01  7.89874344e+01  7.77262268e+01
  7.56080551e+01  7.34799423e+01  7.18809662e+01  6.92027130e+01
  6.72192001e+01  6.29434204e+01  5.94980621e+01  5.72532005e+01
  5.32185745e+01  4.87050247e+01  4.47077141e+01  4.27171326e+01
  3.94832306e+01  3.79159737e+01  3.68966713e+01  3.52619247e+01
  3.23561668e+01  3.03916321e+01  2.96722469e+01  2.60326233e+01
  2.26091061e+01  1.98557014e+01  1.83047924e+01  1.66357594e+01
  1.42089834e+01  1.31536818e+01  1.17692823e+01  1.12656145e+01
  9.90567684e+00  9.21324539e+00  7.26640606e+00  5.34973192e+00
  4.44776630e+00  4.33695030e+00  3.58492351e+00  1.75244403e+00
  2.81476903e+00  1.71591747e+00  2.85556857e-02 -1.67665327e+00]",147.8483857631497,12.159292157159054
5,"[ 8.69616127e+00  1.06332741e+01  1.14362183e+01  1.18958960e+01
  1.31636276e+01  1.27112312e+01  1.53166618e+01  1.59354658e+01
  1.74505539e+01  1.99721260e+01  2.43949890e+01  2.99645557e+01
  3.49744225e+01  4.18090858e+01  4.46590347e+01  4.84163284e+01
  5.32470970e+01  5.75238914e+01  5.99971428e+01  6.47471695e+01
  7.08686295e+01  7.54541473e+01  7.89697800e+01  8.17913513e+01
  8.73336716e+01  8.96688690e+01  9.16830368e+01  9.34644470e+01
  9.49926071e+01  9.69928436e+01  9.75194473e+01  9.89054871e+01
  9.91549454e+01  1.01160255e+02  1.02531639e+02  1.01707970e+02
  1.03870132e+02  1.04166290e+02  1.04474258e+02  1.02745171e+02
  9.97527847e+01  9.86250687e+01  9.84565353e+01  9.79909897e+01
  9.73366013e+01  9.93859787e+01  1.03023895e+02  1.05836647e+02
  1.06380493e+02  1.07777733e+02  1.06942337e+02  1.05907562e+02
  1.05186806e+02  1.06241829e+02  1.06543777e+02  1.06156250e+02
  1.08281952e+02  1.08758926e+02  1.09195778e+02  1.08444878e+02
  1.06165459e+02  1.05693222e+02  1.04479515e+02  1.02051109e+02
  9.90071640e+01  9.68526306e+01  9.40005112e+01  9.38782883e+01
  9.51608734e+01  9.42509689e+01  9.26745834e+01  9.16223297e+01
  9.00929871e+01  8.52148209e+01  8.12166214e+01  7.85959015e+01
  7.65660553e+01  7.56205444e+01  7.50109177e+01  7.38017883e+01
  7.14768219e+01  6.96097565e+01  6.81213684e+01  6.51463394e+01
  6.33186607e+01  5.89930153e+01  5.54865799e+01  5.31018105e+01
  4.85826073e+01  4.36112328e+01  3.93853302e+01  3.73053818e+01
  3.36772614e+01  3.20408707e+01  3.11754646e+01  2.93946934e+01
  2.63387756e+01  2.44762230e+01  2.38926678e+01  2.01792870e+01
  1.68677788e+01  1.41208544e+01  1.26319780e+01  1.10896378e+01
  8.70184231e+00  7.75322390e+00  6.59685469e+00  6.35211277e+00
  5.09736967e+00  4.81510401e+00  3.12894201e+00  1.26139295e+00
  4.71424013e-01  6.63212240e-01  5.15415967e-02 -1.77297723e+00
 -3.97669584e-01 -1.16493309e+00 -2.52136374e+00 -3.88210130e+00]",135.43793513790536,11.637780507377915
6,"[ 14.577065    17.661526    19.392317    20.285276    21.893
  21.8606      24.641523    25.42073     27.250181    30.21833
  35.29297     41.642727    47.219994    54.55519     57.870598
  61.956676    66.86088     70.94835     73.37511     77.75931
  83.39747     87.56446     90.65556     93.24799     98.60608
 100.77783    102.73289    104.08867    105.34599    107.10359
 107.4159     108.32519    108.083206   109.6611     110.45686
 109.11399    110.63327    110.58125    110.514694   108.295784
 104.809746   103.308945   102.44857    101.11737     99.77014
 101.31015    104.418045   106.76393    107.06711    108.355965
 107.33817    106.0174     105.088715   105.6098     105.36372
 104.79865    106.46018    106.32334    106.21646    105.25892
 102.83104    101.67072    100.129456    97.65399     94.57279
  92.17011     89.072       88.99466     90.05766     88.97878
  87.02641     85.622406    83.94734     78.978264    74.98214
  72.35077     70.491615    69.8444      69.349625    68.25986
  65.748924    64.10901     62.85268     59.745106    58.173756
  53.95755     50.617477    48.15314     43.145866    37.85573
  33.444515    31.305452    27.466722    25.924698    25.390816
  23.57957     20.476578    18.710903    18.226803    14.51771
  11.226993     8.485045     7.256262     5.874184     3.6063054
   2.9638581    2.1898932    2.3624187    1.4112772    1.7577618
   0.54110795  -0.97007906  -1.3737963   -0.5735272   -0.71277106
  -2.183805    -0.19626594  -0.37260616  -1.0955064   -1.8588308 ]",149.1165934690716,12.211330536394124
7,"[ 27.50791    32.162888   35.173206   36.51231    38.430347   38.954166
  41.869934   42.731003   44.793118   48.10406    53.819405   61.01686
  67.15468    74.9167     78.73202    83.300125   88.11989    91.77199
  94.03049    97.82637   102.8532    106.37284   108.91614   111.31877
 116.48699   118.513435  120.447945  121.35874   122.34197   123.9959
 124.32237   124.848885  124.214714  125.43099   125.70171   123.804726
 124.57269   124.30618   124.08036   121.38027   117.522514  115.64822
 113.78107   111.083244  108.559784  109.15442   111.08765   112.499756
 112.3019    113.144035  111.53552   109.56537   108.065704  107.4977
 106.14226   104.960945  105.509834  104.19668   103.01789   101.44049
  98.66848    96.3826     94.166405   91.56516    88.34181    85.376396
  81.72379    81.55437    82.119194   80.69274    78.10428    76.06458
  74.134895   69.10113    65.131775   62.471058   61.00364    60.85951
  60.54942    59.80749    57.236187   55.95239    55.201237   52.245766
  51.24214    47.4783     44.724747   42.45603    37.103848   31.756529
  27.416779   25.462742   21.77618    20.718102   20.935041   19.397522
  16.523497   15.033273   14.7276945  11.233624    8.005044    5.4024787
   4.792941    3.699021    1.7245355   1.6621964   1.5159616   2.3240445
   1.9045757   3.1934323   2.6842766   1.8654201   2.1488304   3.8729484
   4.550672    3.7264378   6.6227317   7.292393    7.465429    7.485643 ]",259.10610359323414,16.096773080131126
8,"[ 37.425423   42.896732   46.30836    47.357594   48.96851    49.527885
  52.101574   52.422688   53.94877    56.672184   62.199947   69.35936
  75.20196    82.758446   86.50767    91.22422    95.55758    98.311745
  99.96821   102.970314  107.31691   110.0209    111.8369    114.06568
 118.985855  120.691895  122.54792   123.10473   123.996315  125.84825
 126.62272   127.47789   126.985794  128.35815   128.56912   126.483864
 127.02198   126.95871   127.23219   124.6784    121.10459   119.34291
 116.94228   113.30818   109.84795   109.767624  110.84605   111.69667
 111.43888   112.091064  110.13642   107.76589   105.858116  104.4499
 102.21242   100.5758    100.07928    97.912506   95.937294   93.883484
  91.01665    87.79908    85.09       82.5188     79.24668    75.75325
  71.50519    71.18781    71.300835   69.66305    66.479004   63.74105
  61.56656    56.584003   52.632915   49.920967   48.9104     49.276768
  49.14555    48.83865    46.481922   45.532623   45.357887   42.933304
  42.57786    39.524605   37.468742   35.497993   30.176886   25.045507
  21.06859    19.551254   16.67041    16.450375   17.717113   16.96334
  14.561995   13.416694   13.183631   10.105573    7.0640097   4.735704
   4.8965173   4.140336    2.5917907   3.093436    3.3029153   4.613742
   4.7222733   6.686215    6.6135116   6.498715    7.51129     9.912181
  11.269103   10.98226    14.5353775  15.711354   16.26492    16.551607 ]",287.83709565947987,16.96576245441035
9,"[ 4.87918015e+01  5.56058273e+01  5.98259315e+01  6.06525917e+01
  6.19222450e+01  6.26342125e+01  6.48562088e+01  6.44347763e+01
  6.52338181e+01  6.72640457e+01  7.24348755e+01  7.93430023e+01
  8.47631454e+01  9.18178558e+01  9.52541046e+01  1.00054245e+02
  1.03533417e+02  1.04950981e+02  1.05702103e+02  1.07469345e+02
  1.10764885e+02  1.12202240e+02  1.12978188e+02  1.14844803e+02
  1.19335358e+02  1.20669022e+02  1.22335609e+02  1.22411690e+02
  1.23232559e+02  1.25424789e+02  1.26867233e+02  1.28287720e+02
  1.28212540e+02  1.29929932e+02  1.30447678e+02  1.28431839e+02
  1.28800598e+02  1.29369308e+02  1.30648026e+02  1.28526489e+02
  1.25750046e+02  1.24490341e+02  1.21641747e+02  1.17060036e+02
  1.12687660e+02  1.12019554e+02  1.12024704e+02  1.12345741e+02
  1.12303345e+02  1.12900566e+02  1.10649406e+02  1.08020966e+02
  1.05844917e+02  1.03562325e+02  1.00404480e+02  9.83841095e+01
  9.68062286e+01  9.37958984e+01  9.09271545e+01  8.84412537e+01
  8.58131332e+01  8.16763077e+01  7.84669876e+01  7.61579971e+01
  7.31144638e+01  6.90912018e+01  6.41867828e+01  6.37251892e+01
  6.31948738e+01  6.13680229e+01  5.74131508e+01  5.36873970e+01
  5.11827888e+01  4.62999916e+01  4.23140831e+01  3.93456802e+01
  3.87804909e+01  3.95434799e+01  3.93579254e+01  3.93838196e+01
  3.70565643e+01  3.62171059e+01  3.65481529e+01  3.45623817e+01
  3.46698303e+01  3.21942482e+01  3.07263050e+01  2.87080021e+01
  2.29568958e+01  1.77488956e+01  1.37445402e+01  1.22833929e+01
  1.00047903e+01  1.03826675e+01  1.25538692e+01  1.23157043e+01
  1.00526657e+01  8.83466911e+00  8.26003075e+00  5.29941225e+00
  1.98307526e+00 -4.08493787e-01  4.20708865e-01 -2.57262945e-01
 -1.57477713e+00 -5.38572609e-01 -5.30004092e-02  1.74977350e+00
  2.43325615e+00  5.18818235e+00  5.68062639e+00  6.51738071e+00
  8.52608585e+00  1.19660435e+01  1.43503275e+01  1.49841986e+01
  1.95548611e+01  2.15478802e+01  2.28459015e+01  2.37392941e+01]",300.2195909558614,17.326845960989594
