id,predict_data,mse,rmse,norm_corr,smooth,skip,129_pearson
0,"[ 12.009499   14.8193655  19.986328   25.474688   29.96813    31.20601
  33.473976   36.53008    39.45319    42.066765   45.96002    49.649166
  53.372337   57.024345   61.77062    67.53579    72.28516    78.18925
  83.37539    87.285645   91.37634    96.6917    102.85388   108.71076
 112.430084  117.45008   121.69888   126.89284   132.0244    136.00946
 138.19577   140.58153   142.5977    146.84566   148.72794   150.7973
 152.59811   153.44783   154.68414   156.55235   156.31548   155.90915
 154.3875    153.34068   152.14871   151.49434   151.11778   149.14291
 146.68687   146.04636   144.35072   143.97864   143.2039    142.41728
 140.75455   139.66302   139.70906   138.08566   136.85501   136.86685
 135.44167   133.2083    130.24323   126.99984   124.05664   121.35956
 119.55059   117.694244  114.77517   112.55801   112.434845  112.07391
 111.33844   110.91176   111.05741   110.05265   108.201294  107.48935
 104.7673    103.07736   102.22792   100.02153    96.55535    93.279526
  89.87814    86.23025    82.8814     79.91573    76.76484    73.48195
  71.57856    69.105644   66.44657    64.330696   61.27903    58.49908
  56.25163    52.29773    48.74095    45.305412   42.35333    39.01893
  36.14033    34.018616   30.804592   28.891525   28.085741   27.231777
  25.957462   24.938885   23.984081   22.987553   22.61766    22.466503
  21.185635   20.273975   19.477303   19.277727   18.53673    19.01627  ]",2495.517269,49.95515258,0.0,rolling9,3,0.32029910592641986
1,"[ -0.5584098   1.1487482   5.1484094   9.447864   12.92965    13.05423
  14.147901   16.021347   17.725574   19.08259    21.756166   24.238789
  26.70899    29.294577   33.05669    37.80379    42.00655    47.388138
  51.93389    55.06182    58.55308    63.55357    69.369804   75.00972
  78.52458    83.518036   87.73595    93.08212    98.58958   102.79096
 105.23579   108.00028   110.32611   115.22156   117.66693   120.314804
 123.03908   124.86303   127.15617   130.29057   131.20897   132.10028
 131.95732   132.11057   131.96936   132.45436   133.2409    132.25748
 131.10622   131.88718   131.44058   132.25311   132.6132    132.82916
 132.44325   132.20763   133.2093    132.468     132.11172   132.88394
 132.20544   130.85722   128.60262   125.95453   123.722565  121.76685
 120.546364  119.11053   116.654655  114.74749   114.76167   114.594
 114.035416  113.780876  113.91321   112.94067   111.09338   110.34917
 107.608345  105.97939   105.1694    103.0423     99.598625   96.54209
  93.08742    89.497475   86.027664   82.87643    79.75193    76.488045
  74.30831    71.79348    69.13743    66.98544    63.894295   61.120754
  58.6983     54.587578   50.94926    47.30891    43.96559    40.293297
  36.994305   34.49979    30.918325   28.596743   27.334026   26.152649
  24.503107   23.092045   21.755987   20.284094   19.195452   18.516735
  16.757164   15.067633   13.5143385  12.535716   10.827691   10.347262 ]",857.6208342,29.28516406,0.999234361758192,rolling9,3,0.3224066714437272
2,"[ -5.1002283  -3.5800223   0.2088722   4.2980895   7.57773     7.4552665
   8.30782     9.916133   11.269255   12.300421   14.730364   16.881237
  19.020033   21.333437   24.898756   29.33796    33.405064   38.69763
  43.033512   45.793312   49.006207   53.878643   59.567665   65.09407
  68.47136    73.3801     77.49787    82.84894    88.499466   92.7277
  95.173386   98.0357    100.38758   105.45845   108.09998   110.93479
 113.936005  116.14319   118.81464   122.40309   123.724464  125.120415
 125.40586   125.98018   126.2484    127.13493   128.30977   127.65246
 126.91242   128.12186   128.07927   129.32768   130.03017   130.56018
 130.54744   130.49472   131.83656   131.32326   131.27095   132.25964
 131.76973   130.68054   128.60844   126.0669    123.99604   122.238594
 121.094696  119.597824  117.15538   115.27338   115.149666  114.86827
 114.19194   113.85604   113.82095   112.774284  110.86912   110.044815
 107.126564  105.439224  104.60436   102.489235   98.97405    95.92484
  92.370186   88.74859    85.15094    81.88522    78.71787    75.382706
  73.05764    70.46329    67.79317    65.615715   62.49219    59.75427
  57.267967   53.07071    49.482124   45.75789    42.29027    38.50759
  35.065903   32.41115    28.707104   26.299934   24.933287   23.74547
  22.099178   20.61947    19.337902   17.788164   16.602144   15.9372425
  14.123683   12.252087   10.56781     9.399275    7.4405756   6.7233057]",439.2929482,20.9593165,0.9989644870237816,rolling9,3,0.3248923198666485
3,"[ -4.524033   -2.7819831   1.1970258   5.4948764   8.937124    8.926779
   9.8428135  11.414268   12.638127   13.559064   16.042536   18.166016
  20.131458   22.338375   25.85953    30.006945   33.9613     39.21291
  43.25573    45.598812   48.49983    53.09935    58.538128   63.884613
  67.019516   71.71885    75.63416    80.808975   86.427475   90.51754
  92.814674   95.62972    97.863174  102.896935  105.548195  108.39365
 111.47568   113.76871   116.55959   120.33938   121.76897   123.395744
 123.871826  124.5889    125.044395  126.12988   127.53188   127.059166
 126.51406   127.8785    127.98065   129.40462   130.20717   130.79681
 130.8156    130.66101   132.07037   131.50232   131.35895   132.20786
 131.56978   130.36069   128.1224    125.34196   122.99574   121.00376
 119.56679   117.684395  114.85599   112.64977   112.02443   111.25133
 110.16637   109.44229   108.90393   107.493835  105.3278    104.19195
 100.86755    98.91631    97.81893    95.48841    91.80094    88.55204
  84.702934   80.894516   77.08894    73.673004   70.49523    67.07923
  64.67915    62.06932    59.520653   57.49496    54.542763   52.08798
  49.764      45.744682   42.56238    39.08941    35.889267   32.40754
  29.262512   26.855963   23.468647   21.438963   20.414173   19.720505
  18.565224   17.458141   16.757725   15.601271   14.842056   14.724985
  13.298978   11.728628   10.390057    9.473246    7.732037    7.2614813]",289.6721303,17.01975706,0.9990970091468624,rolling9,3,0.32784601707939337
4,"[ -6.6414633   -4.274932     0.37207088   5.461469     9.642564
  10.253664    11.774663    13.748404    15.376995    16.655165
  19.612799    22.285204    24.484913    26.885885    30.566723
  34.66127     38.71325     44.00333     47.814613    49.9624
  52.729965    57.029266    62.2134      67.38307     70.237656
  74.712555    78.400826    83.25214     88.62915     92.32379
  94.3073      96.86843     98.76359    103.41773    105.6979
 108.14808    110.90371    112.556335   114.894966   118.359726
 119.28606    120.5469     120.82064    121.10101    121.2617
 122.23569    123.71569    123.232056   122.69601    124.101776
 124.21643    125.60063    126.59304    127.272705   127.308
 127.19914    128.85077    128.32825    128.01205    128.8244
 128.17136    126.87966    124.670944   121.90201    119.417946
 117.3073     115.90886    114.08666    111.17412    108.90799
 108.229576   107.32181    106.23117    105.4225     104.61473
 103.07626    100.85203     99.54216     96.06749     93.93898
  92.51797     89.858604    85.98864     82.36347     78.078476
  73.84559     69.692055    65.99725     62.645226    58.960987
  56.381126    53.57199     50.90938     48.86289     45.85259
  43.39411     40.979687    36.885475    33.78582     30.385004
  27.322367    23.989136    21.02696     18.783457    15.560465
  13.721948    12.981454    12.692367    11.818079    11.04109
  10.824301     9.945677     9.675135    10.128449     9.011836
   7.8810925    7.0413632    6.4264393    5.1021204    5.197195  ]",188.0257147,13.71224689,0.999241296334802,rolling9,3,0.33157768699399465
5,"[ -6.8410473  -4.102723    0.9340394   6.4697275  11.061414   11.974308
  13.758337   15.8174     17.499132   18.809355   21.931538   24.789652
  26.91203    29.264688   32.876675   36.706688   40.678234   45.89139
  49.380146   51.202106   53.721485   57.68539    62.539635   67.49807
  70.07391    74.31341    77.78586    82.348145   87.54559    90.941605
  92.687256   95.09119    96.767235  101.20611   103.30206   105.5534
 108.200676  109.55866   111.74934   115.155594  115.9372    117.1584
 117.484825  117.65084   117.76629   118.80576   120.48981   120.13772
 119.78202   121.328384  121.566826  123.04911   124.22912   125.02123
 125.166985  125.08325   126.89342   126.42535   125.94197   126.65724
 125.939995  124.550804  122.2657    119.386765  116.695724  114.389015
 112.87743   110.96577   107.83595   105.3328    104.378136  103.168465
 101.89733   100.82892    99.61421    97.791405   95.35017    93.748505
  90.00674    87.62499    85.83643    82.81616    78.746315   74.7869
  70.08325    65.46844    60.990837   57.03157    53.549683   49.66681
  46.941742   44.030285   41.36703    39.37413    36.444633   34.13182
  31.750364   27.750076   24.902863   21.682234   18.853153   15.779707
  13.097256   11.117515    8.185449    6.6673017   6.271164    6.4737444
   6.0094433   5.6336384   5.959948    5.479432    5.6929016   6.714432
   5.995182    5.2979116   4.914126    4.6411924   3.698548    4.2517915]",130.2302924,11.41184877,0.9994055113370008,rolling9,3,0.3359166117295839
6,"[ -4.787681   -1.8453398   3.4384613   9.215117   14.018201   15.063252
  16.963737   19.005568   20.638685   21.909864   25.06548    27.950901
  29.945354   32.199696   35.656235   39.267292   43.10923    48.206852
  51.472313   53.07812    55.400723   59.119045   63.678516   68.440575
  70.80311    74.83565    78.1219     82.40925    87.39989    90.523094
  92.03764    94.27297    95.754      99.97228   101.90046   103.954636
 106.4516    107.5794    109.63355   112.908195  113.607895  114.76913
 115.07019   115.12884   115.1583    116.15857   117.90048   117.57248
 117.302635  118.83828   119.09301   120.5937    121.821915  122.63763
 122.86405   122.772446  124.61789   124.19226   123.548225  124.16125
 123.392685  121.935875  119.57405   116.60625   113.79258   111.354996
 109.771736  107.87277   104.64115   101.9661    100.84851    99.492386
  98.159676   96.92829    95.49685    93.51457    90.92848    89.16681
  85.317345   82.80874    80.798904   77.55117    73.39595    69.25087
  64.31811    59.458866   54.795074   50.691437   47.121994   43.127026
  40.35149    37.420948   34.78661    32.839355   30.011967   27.824898
  25.495481   21.626791   18.969122   15.882403   13.248825   10.370135
   7.908144    6.1469      3.4423203   2.1748378   2.03732     2.594041
   2.4352446   2.3707955   3.0649035   2.9167154   3.4886444   4.8926635
   4.4922333   4.153309    4.1173134   4.161281    3.5598912   4.4755454]",133.9640684,11.57428479,0.9995796748850042,rolling9,3,0.3408589623330417
7,"[-2.05100369e+00  9.13663149e-01  6.27327538e+00  1.20566502e+01
  1.68567867e+01  1.78411713e+01  1.96777172e+01  2.15564594e+01
  2.29745846e+01  2.40687943e+01  2.71101360e+01  2.98300495e+01
  3.15898876e+01  3.36643829e+01  3.68739510e+01  4.02513046e+01
  4.39158936e+01  4.88846397e+01  5.19981995e+01  5.34411621e+01
  5.55970879e+01  5.91514511e+01  6.34398651e+01  6.80363312e+01
  7.02628708e+01  7.41354446e+01  7.72866364e+01  8.13540268e+01
  8.61854172e+01  8.91135941e+01  9.04687805e+01  9.26100082e+01
  9.39879532e+01  9.80732040e+01  9.99478607e+01  1.01910370e+02
  1.04340790e+02  1.05428474e+02  1.07485756e+02  1.10699852e+02
  1.11507225e+02  1.12738487e+02  1.13082985e+02  1.13167076e+02
  1.13191177e+02  1.14165962e+02  1.15938400e+02  1.15622086e+02
  1.15459274e+02  1.16925072e+02  1.17174248e+02  1.18701912e+02
  1.19898575e+02  1.20680130e+02  1.21011063e+02  1.20866707e+02
  1.22647858e+02  1.22246658e+02  1.21438522e+02  1.21905769e+02
  1.21054413e+02  1.19529877e+02  1.17043663e+02  1.13940498e+02
  1.11028938e+02  1.08468132e+02  1.06770508e+02  1.04881699e+02
  1.01567421e+02  9.86816330e+01  9.73742981e+01  9.58920593e+01
  9.44857483e+01  9.30673981e+01  9.14617233e+01  8.93357544e+01
  8.65891342e+01  8.46973877e+01  8.07825470e+01  7.81900940e+01
  7.60264206e+01  7.26175308e+01  6.84330292e+01  6.41975479e+01
  5.91464157e+01  5.41224556e+01  4.93564911e+01  4.51872139e+01
  4.15684128e+01  3.75331154e+01  3.47781944e+01  3.19152565e+01
  2.93794613e+01  2.75052624e+01  2.48491001e+01  2.28377342e+01
  2.06129265e+01  1.69506340e+01  1.45185671e+01  1.15733356e+01
  9.14621830e+00  6.45319271e+00  4.20003605e+00  2.64482427e+00
  1.55649439e-01 -8.71820033e-01 -7.95763791e-01  4.98521812e-02
  1.69201508e-01  3.69775683e-01  1.34095192e+00  1.51148725e+00
  2.35701585e+00  4.02042532e+00  3.90154004e+00  3.85658264e+00
  4.07183886e+00  4.40317726e+00  4.08882523e+00  5.25084305e+00]",199.7815107,14.13440875,0.9996115999862925,rolling9,3,0.34566701623282076
8,"[ 2.06604457e+00  5.07191515e+00  1.05664177e+01  1.63802299e+01
  2.12022152e+01  2.21595726e+01  2.39849796e+01  2.57494411e+01
  2.70040798e+01  2.79904823e+01  3.09671841e+01  3.35630112e+01
  3.51591797e+01  3.71107483e+01  4.00844650e+01  4.33172417e+01
  4.68274841e+01  5.16883545e+01  5.47439423e+01  5.61457863e+01
  5.82106056e+01  6.16563034e+01  6.56777267e+01  7.01154938e+01
  7.22424698e+01  7.59595871e+01  7.89786072e+01  8.27815781e+01
  8.73807449e+01  9.00585709e+01  9.12144012e+01  9.32122116e+01
  9.44506073e+01  9.83059311e+01  1.00058212e+02  1.01839149e+02
  1.04074142e+02  1.05007225e+02  1.06941429e+02  1.09909485e+02
  1.10732468e+02  1.11884483e+02  1.12114891e+02  1.12084183e+02
  1.11955856e+02  1.12736412e+02  1.14377548e+02  1.13924957e+02
  1.13738968e+02  1.14934349e+02  1.15022812e+02  1.16437553e+02
  1.17465576e+02  1.18089073e+02  1.18448959e+02  1.18180771e+02
  1.19787300e+02  1.19358994e+02  1.18296310e+02  1.18548004e+02
  1.17568306e+02  1.15932838e+02  1.13287376e+02  1.10033287e+02
  1.07039795e+02  1.04351303e+02  1.02553612e+02  1.00772339e+02
  9.74497833e+01  9.43773575e+01  9.29653778e+01  9.14637146e+01
  9.00826569e+01  8.85347290e+01  8.68672791e+01  8.46866837e+01
  8.18394165e+01  7.99055710e+01  7.60504608e+01  7.34568939e+01
  7.12056122e+01  6.76882324e+01  6.35517807e+01  5.92765312e+01
  5.41964226e+01  4.90369301e+01  4.42383995e+01  4.00791016e+01
  3.64272308e+01  3.23872337e+01  2.97325363e+01  2.69944267e+01
  2.45875111e+01  2.27999954e+01  2.03500748e+01  1.85187149e+01
  1.64201679e+01  1.30053349e+01  1.07881565e+01  7.98564577e+00
  5.79749870e+00  3.28936672e+00  1.26114619e+00 -7.30625615e-02
 -2.34926724e+00 -3.13798571e+00 -2.84375596e+00 -1.73582375e+00
 -1.35906398e+00 -8.91845942e-01  3.10977042e-01  8.15119326e-01
  1.94995415e+00  3.83538294e+00  3.99822688e+00  4.29780912e+00
  4.79185057e+00  5.46721172e+00  5.52414465e+00  6.99381256e+00]",284.9126845,16.87935676,0.9995874811950656,rolling9,3,0.3504292780187177
9,"[ 12.392934   15.587622   21.424398   27.405333   32.352734   33.403618
  35.346203   37.095413   38.27243    39.283886   42.31611    44.87202
  46.406277   48.324116   51.072582   54.252308   57.575718   62.31471
  65.37479    66.83364    68.83035    72.1493     75.809425   80.008835
  81.99232    85.44885    88.236694   91.57706    95.71119    97.94695
  98.717064  100.37979   101.31438   104.661316  106.08614   107.44771
 109.17487   109.68591   111.20316   113.51976   114.12164   114.87054
 114.62695   114.1731    113.59091   113.82168   114.98267   114.09719
 113.579285  114.055275  113.62543   114.610504  115.1239    115.2881
 115.413414  114.78431   115.91477   115.27009   113.68045   113.4746
 112.17381   110.235954  107.242325  103.67749   100.47028    97.49548
  95.46803    93.80278    90.43038    87.08749    85.545906   84.04398
  82.73021    81.028595   79.37131    77.17619    74.25719    72.359245
  68.68121    66.16752    63.889587   60.313812   56.34479    52.08145
  47.09297    41.84726    37.13698    33.129818   29.514233   25.554167
  23.178411   20.707844   18.5574     16.969732   14.888713   13.374386
  11.560992    8.598108    6.7499194   4.2397814   2.513596    0.3684967
  -1.2215459  -2.134931   -4.0056424  -4.3428674  -3.6260617  -2.0772624
  -1.2453125  -0.3148273   1.2797705   2.3559294   4.0204515   6.294703
   6.943634    7.8640537   8.876675   10.18788    10.9392     12.998852 ]",277.0238963,16.64403486,0.99955269903574,rolling9,3,0.35491173574140106
