id,predict_data,mse,rmse
0,"[ 22.555874  23.185364  23.719196  24.417633  25.455248  27.124615
  28.997046  31.2746    33.70073   36.572514  38.885876  41.808163
  45.39966   49.961655  53.569775  57.119797  61.351723  65.10556
  69.00274   72.578545  76.63139   80.65548   84.99744   89.18319
  93.39542   97.48287  101.1624   105.46846  109.54494  113.44353
 117.307785 120.93102  124.17811  127.93308  131.22504  134.6229
 137.58371  139.74477  142.17302  145.06862  147.37619  149.38635
 151.6358   153.70627  155.23116  156.68407  157.29982  157.87048
 158.65228  159.40839  159.55214  159.67487  159.32098  158.99326
 158.49187  158.2614   157.263    155.85252  154.2645   152.75368
 151.27849  149.92514  148.25378  146.37444  144.0584   142.23051
 140.20113  138.00568  135.9553   133.32928  130.85632  128.62749
 126.06352  124.236694 122.368576 119.66491  116.84817  114.57166
 111.83434  109.632904 107.15954  104.2384   101.124115  98.726906
  96.06452   93.51812   91.54231   88.98623   86.49782   84.46972
  81.59132   79.48255   77.277374  75.18762   72.46314   69.96097
  66.99734   64.5076    62.076862  59.88697   57.198433  55.025295
  52.697227  50.698284  48.641243  46.807167  44.250916  42.113945
  39.906197  38.234566  36.322586  34.73185   32.67297   31.015524
  29.35586   28.2723    26.891941  26.563824  25.640793  25.368862]",2924.882772,54.08218535
1,"[ 13.171304  13.931731  14.705587  15.534887  16.723639  18.73553
  20.84708   23.139477  25.720875  28.691643  31.186161  34.450928
  38.389526  43.01509   46.805546  50.43911   54.720364  58.59925
  62.775875  66.369835  70.34393   74.32253   78.480064  82.576996
  86.87818   90.90368   94.34082   98.483505 102.368454 106.0974
 109.91808  113.42874  116.23206  119.72334  122.75467  125.85412
 128.62447  130.60237  132.618    135.10625  137.1309   138.7936
 140.8615   142.7603   143.85583  144.91098  145.1729   145.43793
 146.10593  146.68832  146.5895   146.32585  145.76648  145.27878
 144.84735  144.65167  143.4954   141.98407  140.3784   138.9119
 137.5618   136.43755  134.90317  133.02881  130.86186  129.13243
 127.27979  125.32675  123.43624  120.9024   118.600746 116.519615
 114.19304  112.598976 110.95088  108.31537  105.851906 103.85721
 101.37923   99.47133   97.21902   94.43459   91.62129   89.47064
  87.02035   84.45386   82.70822   80.05141   77.63183   75.652504
  72.79612   70.54498   68.29681   66.05885   63.207157  60.500984
  57.300022  54.638336  52.05471   49.568188  46.52012   44.121258
  41.57792   39.366985  37.254753  35.085316  32.208908  29.845236
  27.43755   25.713215  23.798151  21.875217  19.57629   17.667786
  15.870463  14.818312  13.444615  12.981352  11.859407  11.525187]",1614.386472,40.17942846
2,"[  2.7016613   3.5785346   4.61248     5.588406    6.89298     9.136766
  11.386799   13.648212   16.339308   19.31656    21.91142    25.351381
  29.389563   33.917072   37.6993     41.32082    45.40994    49.202328
  53.365498   56.765232   60.376095   64.16709    67.936424   71.62918
  75.73024    79.51009    82.453705   86.23824    89.73447    92.992386
  96.56968    99.846794  102.04828   105.064     107.736046  110.344894
 112.852844  114.65222   116.13133   118.09366   119.840866  121.072815
 122.99156   124.73329   125.402756  126.07229   126.12978   126.157364
 126.80834   127.3463    127.0201    126.541306  125.93556   125.47833
 125.22664   125.256584  124.08622   122.632385  121.17888   120.01297
 118.9928    118.353134  117.16057   115.49912   113.65279   112.3012
 110.917595  109.562904  108.04418   105.89083   103.97586   102.291
 100.551445   99.51945    98.3293     96.07653    94.21634    92.69418
  90.83179    89.54486    87.72576    85.40908    83.18829    81.474945
  79.57183    77.35863    75.99156    73.52128    71.462105   69.71561
  67.20345    65.09736    63.00671    60.824364   58.16761    55.507996
  52.319584   49.705566   47.132854   44.49576    41.389862   38.95025
  36.32216    33.988255   31.930971   29.51881    26.500805   24.039919
  21.3941     19.585066   17.750557   15.536905   13.045233   10.931696
   8.813749    7.683957    6.367346    5.753367    4.318176    3.8399014]",517.0689265,22.73914964
3,"[ -4.733108    -3.4641032   -1.8687804   -0.39305362   1.2431802
   3.75981      6.3244696    8.803141    11.830261    14.932357
  17.713825    21.30629     25.356575    29.871418    33.604954
  37.18805     40.896576    44.434895    48.345978    51.42209
  54.418934    57.881348    61.04971     63.95739     67.47741
  70.792175    72.93948     76.0748      78.88769     81.232414
  84.21378     87.00234     88.37557     90.544945    92.620026
  94.38118     96.442314    97.95218     98.67991     99.888855
 101.26167    101.83273    103.4832     105.00356    105.25494
 105.45605    105.41004    105.12853    105.63533    106.10949
 105.49252    104.881676   104.253746   103.9008     103.56739
 103.72132    102.52762    101.044914    99.681046    98.873856
  97.999405    97.636284    96.74255     95.23132     93.48359
  92.49889     91.43537     90.593094    89.36057     87.59251
  85.884186    84.494286    83.35096     82.84731     82.08199
  80.2778      78.840126    77.57592     76.38161     75.76237
  74.33347     72.656586    71.0344      69.618286    68.4011
  66.79514     65.755806    63.72124     62.23376     60.792496
  58.922077    57.273273    55.508472    53.6693      51.66336
  49.40428     46.655067    44.47551     42.18741     39.71037
  37.14106     35.11493     32.76995     30.601768    28.839748
  26.54734     23.955168    21.918896    19.338387    17.63457
  16.15187     14.022962    11.791183     9.957588     7.697128
   6.655746     5.7001395    5.3319936    3.8741715    3.5815678 ]",98.29337724,9.914301652
4,"[-1.5857655   0.35441354  2.6962245   4.955477    7.175778   10.072907
 13.157452   16.11446    19.630644   23.03024    26.123838   29.910143
 34.033226   38.690983   42.41772    45.989735   49.364147   52.647552
 56.245457   59.020084   61.45405    64.56463    67.16769    69.26522
 72.07139    74.857765   76.24097    78.643486   80.67478    82.01177
 84.196945   86.351135   86.965866   88.186104   89.5212     90.345085
 91.79981    92.87563    92.91286    93.33759    94.19963    94.04904
 95.206764   96.38561    96.315506   96.01012    95.77318    95.09006
 95.16359    95.369286   94.48717    93.670425   92.85688    92.48275
 91.663666   91.57739    90.25767    88.539276   87.01501    86.32025
 85.182465   84.53077    83.66003    82.04522    80.014336   79.05968
 77.82487    76.92879    75.67316    73.98294    72.09388    70.61943
 69.61952    69.16673    68.47488    66.84951    65.32713    63.877205
 62.92229    62.529915   61.141483   59.849663   58.42424    56.90404
 56.028606   54.829147   53.80047    52.149277   51.0636     49.764656
 48.39269    47.16727    45.62944    44.210346   42.902203   41.106968
 38.958134   37.356045   35.44837    33.37388    31.641153   30.271446
 28.470873   26.731272   25.379927   23.619547   21.876417   20.682236
 18.612518   17.327564   16.421371   14.875242   13.415226   12.408108
 10.541744    9.972872    9.682919   10.068969    9.171831    9.603151  ]",106.6344312,10.32639488
5,"[ 15.230884  17.812737  20.669846  23.54762   26.314363  29.524843
  32.995842  36.32496   40.061707  43.673153  46.96937   50.79877
  54.904438  59.588646  63.200024  66.65376   69.74326   72.73835
  75.92597   78.37429   80.42161   83.14187   85.29184   86.79125
  88.92885   91.22395   92.144585  93.89217   95.198     95.778496
  97.15984   98.682335  98.85411   99.31003   99.90878  100.03419
 100.78021  101.29679  100.93138  100.7144   100.94406  100.2468
 100.69434  101.35327  101.02051  100.21482   99.52324   98.402214
  97.76422   97.392204  96.31      95.086555  93.81263   93.14284
  91.59864   90.89026   89.28443   87.156624  85.19098   84.19431
  82.50435   81.10847   79.93589   77.96869   75.43137   74.094055
  72.2951    70.80362   69.229706  67.27152   64.98348   63.097485
  61.751114  60.87481   59.875793  58.122303  56.201447  54.35406
  53.181385  52.538536  50.887875  49.62404   48.068577  46.248276
  45.308964  44.203053  43.002792  41.62603   40.73453   39.51655
  38.365116  37.430637  36.038853  35.083702  34.335705  32.99189
  31.47128   30.474586  29.03426   27.626982  26.781773  26.16603
  25.115818  24.091505  23.294117  22.485191  21.80982   21.673056
  20.564953  20.099583  19.989977  19.500212  19.176687  19.34368
  18.4847    18.81747   19.39466   20.853102  21.035158  22.569288]",76.51874013,8.747499079
6,"[ 36.482452   39.298676   42.138855   44.993492   47.89438    51.27411
  54.75758    57.94095    61.2385     64.55294    67.65385    71.17463
  75.17908    79.29263    82.43409    85.3898     88.033554   90.587975
  93.30369    95.17747    96.77747    98.79299   100.37692   101.42284
 103.03241   104.69812   105.23465   106.27462   106.83958   106.9133
 107.55498   108.46661   108.31136   108.18964   108.07739   107.76058
 107.73035   107.638824  107.22581   106.54396   106.09819   105.122215
 104.86518   105.01586   104.603264  103.453865  102.216736  100.89014
  99.73386    98.84462    97.95325    96.3855     94.800125   93.98201
  92.254166   91.15346    89.66358    87.59646    85.62282    84.537544
  82.7756     81.02939    79.88297    77.99521    75.54363    74.06443
  72.06003    70.15535    68.575096   66.603004   64.350105   62.34873
  60.683933   59.39412    58.158955   56.28392    54.219097   52.320473
  50.8109     49.71524    47.785088   46.219917   44.39023    42.357456
  40.980587   39.46043    37.919643   36.313175   35.054943   33.596462
  32.004604   30.705044   28.972      27.878428   26.776917   25.176441
  23.51218    22.430391   20.900211   19.59594    18.604988   17.954441
  17.097641   16.403482   15.7090435  15.323561   14.818098   15.040262
  14.634032   14.855586   15.180325   15.300503   15.600122   16.441214
  16.723812   17.977367   19.06697    21.164751   22.295427   24.762312 ]",54.34942741,7.372206414
7,"[ 57.158577  59.66932   62.023254  64.31492   66.65373   69.528244
  72.38823   74.8437    77.19748   79.60812   81.75971   84.270645
  87.485016  90.5082    92.732574  94.58106   96.090614  97.58646
  99.285736 100.23354  101.02323  101.875984 102.39898  102.58679
 103.31627  104.16604  104.139946 104.2321   103.90641  103.35565
 103.19949  103.428986 102.87425  102.100204 101.383766 100.71277
 100.01592   99.41535   98.87504   97.79092   96.971924  95.926544
  95.284676  95.03373   94.55903   93.2584    91.84256   90.54816
  89.13761   87.91497   87.147026  85.5082    83.86581   83.01417
  81.268456  79.91596   78.47563   76.5154    74.59501   73.41409
  71.66108   69.75974   68.56058   66.70886   64.31551   62.709194
  60.610867  58.546604  56.822468  54.8444    52.62419   50.50272
  48.732777  47.269596  45.819813  43.89548   41.85261   40.005943
  38.466152  37.307156  35.300888  33.725834  31.973711  30.021692
  28.693155  27.264877  25.87951   24.434658  23.335815  22.146162
  20.74878   19.755928  18.340996  17.64472   16.973267  15.923592
  14.839927  14.342379  13.424414  12.739649  12.310855  12.427322
  12.437836  12.615312  12.66441   13.037524  13.334067  14.506787
  15.189314  16.347965  17.424921  18.338644  19.468208  21.168543
  22.577534  24.68755   26.30571   28.928566  30.783916  33.864563]",43.22698643,6.574723297
8,"[ 75.97546    77.847084   79.428444   80.75273    82.16401    84.361206
  86.38336    87.88826    89.10233    90.35399    91.32478    92.71529
  95.142494   96.900055   98.14673    98.71014    99.087364   99.54513
 100.33982   100.31358   100.34115    99.95616    99.43968    98.93053
  98.934814   98.879      98.27134    97.47539    96.32158    95.29472
  94.44486    93.92506    92.88296    91.56714    90.25232    89.26362
  87.90566    86.7298     86.067566   84.670456   83.46101    82.34985
  81.33857    80.71879    80.188805   78.82329    77.223885   75.977325
  74.43136    72.99225    72.47374    70.82698    69.271126   68.46386
  66.991875   65.61476    64.47791    62.9111     61.364223   60.327435
  58.88495    57.141994   56.19238    54.708622   52.81623    51.419205
  49.559307   47.598797   46.09419    44.42855    42.646862   40.821568
  39.191906   37.807266   36.480724   34.743202   33.07472    31.681953
  30.299805   29.246883   27.434649   25.948902   24.428812   22.853436
  21.661766   20.272875   19.188248   17.819462   16.76589    15.851904
  14.52347    13.663157   12.422165   11.899398   11.259733   10.477988
   9.622992    9.376835    8.744819    8.29628     7.8086185   8.223492
   8.69433     9.385043    9.733444   10.301623   10.693571   12.207757
  13.572354   15.3178625  16.601822   17.693111   19.033104   20.994837
  23.238394   25.876606   27.460482   30.0187     32.133213   35.366337 ]",69.34460353,8.327340724
9,"[ 94.58599    95.851326   96.66504    97.03231    97.496826   98.88972
 100.050064  100.81771   101.115105  101.38977   101.34509   101.78199
 103.430984  104.31917   104.876175  104.39327   103.95933   103.6336
 103.65233   102.89257   102.474754  101.21316   100.013176   99.083405
  98.48309    97.70214    96.74673    95.36476    93.61121    92.29456
  90.87664    89.60288    88.18263    86.495834   84.6478     83.35685
  81.385      79.55165    78.62815    76.948006   75.27006    73.92662
  72.38746    71.23636    70.41683    68.860245   66.87883    65.35853
  63.382977   61.516876   60.884285   59.011528   57.227848   56.072388
  54.429375   52.750484   51.556007   49.99962    48.452774   47.21367
  45.70656    43.817753   42.81553    41.41049    39.706272   38.327484
  36.50904    34.507477   33.09619    31.632753   30.205202   28.675007
  27.207106   25.972656   24.877115   23.48568    22.283335   21.461313
  20.430132   19.719753   18.375216   17.367754   16.429506   15.568245
  14.935048   14.054659   13.689009   12.984967   12.540679   12.437018
  11.747207   11.621419   11.03154    11.318239   11.3593855  11.455516
  11.425858   11.954754   12.022116   12.3618     12.4201     13.621157
  14.920003   16.442568   17.286705   18.425869   19.349531   21.435762
  23.613865   26.031445   27.537857   29.03031    30.719927   33.016144
  35.979      39.04765    40.528168   43.043842   45.355495   48.609352 ]",88.80414439,9.423595088
