,predict_data,mse,rmse
0,"[ 18.134344  21.13317   22.636044  27.958334  32.167114  35.904285
  37.103752  42.472958  48.044514  50.617123  53.82192   54.5877
  59.78046   63.861588  73.508286  81.331055  88.44546   97.85437
  94.24021   97.56354  106.37491  112.22967  114.14806  116.16353
 111.041504 109.868744 114.99253  114.76827  115.27163  115.44911
 118.03731  118.67741  118.020164 118.421974 109.3017   108.32762
 114.72373  115.224205 112.163994 113.33755  112.32281  108.68958
 109.917015 108.4399   104.335236 110.912704 113.3722   110.1387
 107.59605  101.807976 103.89878  104.97607  102.49487   99.15009
 103.80348  106.68228  105.630135 107.6156   110.97408  110.22538
 103.0987   105.386986 101.87962   99.65723   95.76404   93.53126
  90.40735   85.88996   86.985054  84.33392   83.89483   87.313995
  83.825615  79.25903   79.80658   73.62451   70.88551   72.7824
  67.018974  63.5281    62.515865  57.91156   55.809727  60.12626
  59.15223   54.01091   59.229904  58.62893   57.867496  53.254963
  51.465813  45.284058  46.000675  45.065617  46.15797   43.701256
  41.219074  45.252907  41.759186  36.411556  38.838806  36.837852
  32.064476  33.372242  29.031164  27.550041  30.147917  30.297623
  31.287197  30.652178  27.640816  24.457125  23.058207  22.09422
  16.641676  17.578781  16.606812  18.040775  14.788008  15.190328]",1847.3806914580907,42.98116670657151
1,"[ 12.448332   15.417218   16.645498   21.264694   25.304811   28.582682
  29.581024   34.598316   39.752594   42.21368    44.601704   44.81314
  50.235367   53.840668   62.563023   70.558174   77.11474    85.81494
  82.23637    84.78827    92.934685   99.56619   101.12528   102.8185
  98.38353    97.66895   102.602715  103.00212   103.95711   104.01931
 106.78215   108.02143   107.70903   108.70718   100.26266    99.38126
 106.663506  108.103676  105.60987   106.86215   106.6596    103.52544
 104.85332   104.164665  100.6484    107.53949   110.74734   108.11274
 105.251854   99.65226   102.10592   103.098755  100.91725    97.765656
 102.38877   105.58372   104.91572   107.25146   110.51796   109.64762
 102.81633   105.18691   101.679375   99.7675     95.62947    93.31443
  90.6528     86.12754    86.82799    85.149254   85.072624   87.82014
  84.66618    80.32035    80.24668    73.958885   71.27028    72.30197
  66.20724    62.881077   61.282696   56.44501    54.538906   58.411995
  56.847893   51.948696   56.57328    55.211746   54.54605    49.543697
  46.81013    40.42095    40.752964   39.177483   40.2039     37.563755
  34.373856   38.25255    34.696526   28.772785   30.666014   28.4657
  22.932165   23.829105   19.638016   17.736427   20.332817   20.516287
  21.020834   20.212961   17.416897   13.826604   12.355586   11.602166
   6.3078117   7.1562114   6.059858    7.4115      4.420746    4.8288746]",1172.2550944443476,34.238211028678876
2,"[  7.9783154   11.153422    12.190379    16.67535     20.806015
  23.823767    25.017143    30.046825    35.01843     37.64584
  39.65451     39.45416     45.364334    48.866886    57.030743
  65.43481     71.846725    80.21771     76.74066     78.93125
  86.81196     94.20955     95.54828     97.02072     93.08537
  92.70677     97.61395     98.52808     99.90274     99.97313
 102.896164   104.5501     104.48833    105.97201     97.90696
  97.14131    105.13917    107.34429    105.19169    106.60434
 107.075195   104.25564    105.72121    105.59636    102.463165
 109.72652    113.5276     111.278656   108.19788    102.74924
 105.454506   106.24433    104.25322    101.178795   105.87052
 109.25122    108.65993    111.06909    114.25052    113.19979
 106.21335    108.57836    104.80533    102.80978     98.1346
  95.45863     92.76803     87.78736     88.0339      86.72395
  86.54025     88.71821     85.483864    80.91174     80.17817
  73.577545    70.51775     70.78827     64.17379     60.630085
  58.512306    53.222977    51.126083    54.63314     52.649483
  47.728615    51.88934     49.929832    49.247925    43.87718
  40.363823    33.70748     33.731308    31.67261     32.719658
  30.009974    26.328709    30.231352    26.762188    20.420723
  22.117851    19.981018    13.875842    14.53284     10.609463
   8.502946    11.247437    11.78727     12.118518    11.382503
   9.114999     5.2917924    3.8385496    3.4603205   -1.7127838
  -0.8652321   -1.7339295   -0.34784374  -3.237709    -2.4581192 ]",843.2426778037831,29.038641114965817
3,"[  3.202227     6.474313     7.2532296   11.835544    15.951077
  18.766592    20.21706     25.312979    30.188557    32.986153
  34.938652    34.470486    40.716854    44.321644    52.264236
  60.9045      67.51512     75.87645     72.284805    74.46845
  82.40553     90.19143     91.388336    92.84883     89.00804
  88.81836     93.87597     95.02642     96.72424     96.8843
  99.84785    101.71544    101.80084    103.7045      95.764175
  95.05482    103.60017    106.41311    104.38228    106.03569
 107.040375   104.2997     106.07246    106.31129    103.23322
 111.13234    115.494965   113.44312    110.52003    105.48952
 108.2984     109.21471    107.615204   104.448746   109.44648
 113.13347    112.47691    115.02976    118.36526    117.12056
 109.91412    112.465614   108.32801    106.17215    100.95295
  97.82289     94.97174     89.49718     89.36625     88.14369
  87.72844     89.51995     86.09838     81.128914    79.89271
  72.98993     69.40983     69.20951     62.2899      58.378986
  55.871525    50.413654    48.115467    51.55937     49.462418
  44.402836    48.32506     46.137577    45.42422     39.81324
  35.94236     29.21637     29.09091     26.864655    28.137518
  25.472126    21.54222     25.707365    22.446207    15.864189
  17.69167     15.845737     9.401267    10.097858     6.5480103
   4.1661887    7.1487703    8.302545     8.377709     7.730831
   6.089079     1.8998567    0.4066572    0.46647063  -4.8739824
  -4.174547    -4.605265    -3.367514    -6.5933657   -5.355484  ]",567.5876615547147,23.82409833665725
4,"[  1.2736443    4.777495     5.3761425   10.131875    14.403549
  17.11254     18.873138    24.134058    28.99162     31.9828
  33.915596    33.233116    39.889446    43.643074    51.421543
  60.386894    67.20465     75.61456     72.0149      74.21701
  82.23866     90.45465     91.58222     93.03073     89.263054
  89.2179      94.41827     95.73761     97.674324    97.89507
 100.888626   102.88816    103.05468    105.219925    97.287766
  96.57437    105.510574   108.66964    106.62975    108.44498
 109.80489    107.06864    108.99626    109.3978     106.28707
 114.60827    119.29525    117.27669    114.3152     109.429924
 112.2258     113.058624   111.609184   108.27639    113.43387
 117.249344   116.39178    118.92084    122.29251    120.8335
 113.24521    115.88025    111.35394    108.91366    103.1287
  99.55237     96.49072     90.489105    90.02471     88.75957
  88.06189     89.55367     85.9192      80.58155     78.93033
  71.76836     67.73918     67.19244     59.948185    55.75322
  53.0203      47.32455     44.846348    48.31287     46.15937
  41.025745    44.823627    42.46164     41.81309     36.09268
  31.945435    25.105795    24.907055    22.586578    24.073887
  21.518976    17.495937    21.94685     18.971466    12.3011265
  14.276999    12.738979     6.089462     6.7951217    3.625276
   1.1756428    4.369604     6.0771956    6.160974     5.644196
   4.5835457    0.20825602  -1.2716119   -0.83112293  -6.2074485
  -5.579754    -5.6161594   -4.4140673   -7.84815     -6.142883  ]",362.1250232742373,19.02958284551286
5,"[ -0.5527315    3.0119886    3.457467     8.417845    12.695923
  15.329167    17.30131     22.66881     27.527006    30.641344
  32.69864     31.92561     38.742958    42.66459     50.47327
  59.53989     66.61935     75.173195    71.45471     73.81219
  82.00832     90.29841     91.39774     92.92403     89.036354
  89.026566    94.383575    95.70293     97.75543     98.063225
 101.025276   103.03727    103.235466   105.56199     97.56149
  96.85286    105.9785     109.35563    107.27343    109.236565
 110.80032    108.0041     110.123726   110.60057    107.377785
 116.09687    121.02251    119.00373    116.223305   111.602516
 114.377426   115.33667    114.113464   110.64931    116.025154
 119.995605   119.0019     121.57129    125.08273    123.50137
 115.69178    118.45966    113.66307    111.04249    104.91918
 101.02997     97.77523     91.43732     90.78388     89.39379
  88.466965    89.8203      85.99885     80.3444      78.47494
  71.14018     66.742325    66.06124     58.706604    54.24215
  51.369366    45.656414    43.040615    46.596863    44.51933
  39.2645      43.04092     40.713158    40.06064     34.28321
  30.130396    23.325096    23.133327    20.872213    22.578012
  20.124977    16.111233    20.825958    18.052498    11.365475
  13.574149    12.322024     5.628878     6.478978     3.585068
   1.027628     4.407574     6.5771346    6.5768247    6.1472454
   5.4998145    0.93739676  -0.5642466    0.15954104  -5.3695226
  -4.8521533   -4.5368285   -3.4366333   -7.1994014   -5.1686363 ]",236.61966040184168,15.382446502485932
6,"[  8.044174    12.036124    12.734092    17.593489    22.309353
  24.784115    26.744398    32.30953     37.07418     40.21658
  41.95466     40.938812    47.96798     51.68696     59.14291
  68.55726     75.02701     83.11052     79.90051     81.76405
  89.47311     98.13174     99.29308    100.55708     97.20947
  97.3077     102.331      103.82331    105.75325    105.99733
 109.03686    111.1487     111.496956   113.409676   105.61608
 105.09444    113.88214    117.00679    115.24876    116.862015
 118.21852    115.76457    117.138824   117.54991    114.84063
 122.38358    126.7279     124.72921    120.87064    115.07259
 117.921      117.77352    115.53246    112.29978    116.8101
 119.92362    118.88698    120.7851     123.47014    121.806656
 113.73384    115.68796    110.918724   108.12446    102.09443
  98.291725    94.950096    88.58714     87.71317     86.373024
  85.42511     86.507774    82.67817     77.35176     75.322876
  68.02923     64.02754     63.02542     55.32266     51.270523
  48.427143    42.156815    39.62873     42.599438    40.27203
  35.450317    39.101185    36.458126    36.09174     30.444407
  26.011522    19.136698    19.056978    16.619379    18.117819
  15.783928    11.965237    16.429052    13.709181     7.239554
   9.215495     7.801375     1.3987842    2.0082157   -0.9564322
  -2.6457803    0.79006004   2.4321368    3.3433726    3.1362176
   2.3181245   -1.2769649   -2.4880283   -1.8969183   -6.374536
  -5.3229394   -5.349118    -3.391949    -6.063479    -4.1896954 ]",274.21443391526725,16.55942130375537
7,"[ 1.66293087e+01  2.09642563e+01  2.17844524e+01  2.64995251e+01
  3.15254726e+01  3.37363205e+01  3.56433868e+01  4.13400726e+01
  4.59422417e+01  4.90524826e+01  5.04463043e+01  4.91209869e+01
  5.62795982e+01  5.97634087e+01  6.68585052e+01  7.65168533e+01
  8.24279861e+01  9.00581970e+01  8.71455002e+01  8.85011902e+01
  9.57547379e+01  1.04629578e+02  1.05752831e+02  1.06812408e+02
  1.03789749e+02  1.03913673e+02  1.08642647e+02  1.10125252e+02
  1.11873802e+02  1.12006111e+02  1.14982002e+02  1.17099289e+02
  1.17532898e+02  1.19020660e+02  1.11317276e+02  1.10875412e+02
  1.19340927e+02  1.22205643e+02  1.20641380e+02  1.21919937e+02
  1.23108086e+02  1.20829796e+02  1.21519852e+02  1.21832527e+02
  1.19425308e+02  1.26012924e+02  1.29891663e+02  1.27833771e+02
  1.23024742e+02  1.16215790e+02  1.19036705e+02  1.17998650e+02
  1.14937340e+02  1.11807091e+02  1.15604004e+02  1.18029320e+02
  1.16923180e+02  1.18267334e+02  1.20289787e+02  1.18497116e+02
  1.10162888e+02  1.11527618e+02  1.06732079e+02  1.03802536e+02
  9.78126297e+01  9.40319061e+01  9.06962357e+01  8.42930450e+01
  8.31873550e+01  8.19895859e+01  8.10726776e+01  8.19296036e+01
  7.81822739e+01  7.32052689e+01  7.10497665e+01  6.38434219e+01
  6.02099113e+01  5.89729691e+01  5.10939522e+01  4.74598618e+01
  4.46789131e+01  3.81216011e+01  3.58417511e+01  3.84212189e+01
  3.60643463e+01  3.17645130e+01  3.53838997e+01  3.26487122e+01
  3.26927147e+01  2.72551498e+01  2.27213573e+01  1.59346752e+01
  1.60375023e+01  1.35948153e+01  1.50944185e+01  1.29577513e+01
  9.49755383e+00  1.39246492e+01  1.14122524e+01  5.25997925e+00
  7.17939663e+00  5.74572468e+00 -3.07557970e-01  2.05712736e-01
 -2.66547751e+00 -3.56353641e+00  5.92674315e-02  1.38905668e+00
  3.10750985e+00  3.09764671e+00  2.26051998e+00 -5.69720745e-01
 -1.55897987e+00 -9.75969553e-01 -4.52574968e+00 -3.07911396e+00
 -3.31426454e+00 -6.59932554e-01 -2.49505258e+00 -7.06375539e-01]",312.2099764651618,17.669464521177822
8,"[ 2.28356838e+01  2.72801723e+01  2.81492558e+01  3.27172775e+01
  3.77723541e+01  3.96560440e+01  4.14250145e+01  4.71448555e+01
  5.15359535e+01  5.45706863e+01  5.56975746e+01  5.40882683e+01
  6.11757469e+01  6.43812943e+01  7.12358551e+01  8.09284592e+01
  8.63481827e+01  9.35619659e+01  9.06567001e+01  9.15595169e+01
  9.84557343e+01  1.07210503e+02  1.08150681e+02  1.09057503e+02
  1.06116577e+02  1.06093613e+02  1.10534996e+02  1.11809425e+02
  1.13303345e+02  1.13288857e+02  1.16054565e+02  1.18042526e+02
  1.18470375e+02  1.19544090e+02  1.11828590e+02  1.11427902e+02
  1.19553345e+02  1.22243172e+02  1.20785194e+02  1.21789246e+02
  1.22856415e+02  1.20568085e+02  1.20746498e+02  1.21026581e+02
  1.18749916e+02  1.24677589e+02  1.28302750e+02  1.26202614e+02
  1.20832809e+02  1.13401581e+02  1.16198174e+02  1.14707085e+02
  1.11197800e+02  1.08183243e+02  1.11584969e+02  1.13617027e+02
  1.12567001e+02  1.13565239e+02  1.15214867e+02  1.13356590e+02
  1.04956619e+02  1.06025551e+02  1.01279793e+02  9.83988571e+01
  9.25625839e+01  8.88420563e+01  8.55834427e+01  7.92027054e+01
  7.79424133e+01  7.69396591e+01  7.61239014e+01  7.69074249e+01
  7.33177261e+01  6.86890335e+01  6.65090866e+01  5.94072838e+01
  5.60683174e+01  5.47174797e+01  4.68992653e+01  4.35461540e+01
  4.07876892e+01  3.42733994e+01  3.22754478e+01  3.45312347e+01
  3.23864326e+01  2.85503845e+01  3.21796036e+01  2.96365108e+01
  3.00034237e+01  2.47186871e+01  2.02804623e+01  1.37646294e+01
  1.40364475e+01  1.17206059e+01  1.33319979e+01  1.13330946e+01
  8.31850147e+00  1.27872391e+01  1.04286413e+01  4.58178759e+00
  6.63422060e+00  5.20159531e+00 -5.07368863e-01  1.05831519e-01
 -2.69460177e+00 -2.99847937e+00  9.39528286e-01  2.07777095e+00
  4.31695557e+00  4.48878527e+00  3.69909477e+00  1.35730660e+00
  4.91627455e-01  1.14445484e+00 -1.74784732e+00 -3.93687859e-02
 -3.57377470e-01  2.76640320e+00  1.44734406e+00  3.15289688e+00]",288.82679524358247,16.994904978951265
9,"[ 4.49445724e+01  4.99034348e+01  5.14633789e+01  5.57106247e+01
  6.12725220e+01  6.26771431e+01  6.41499557e+01  7.00170288e+01
  7.39980240e+01  7.70221863e+01  7.72339249e+01  7.50406418e+01
  8.21174011e+01  8.43735275e+01  9.04046555e+01  1.00487709e+02
  1.04014053e+02  1.09796692e+02  1.07661476e+02  1.07027504e+02
  1.12514107e+02  1.21318596e+02  1.21853142e+02  1.21907372e+02
  1.19882233e+02  1.19550941e+02  1.22786308e+02  1.23941437e+02
  1.24588158e+02  1.24076721e+02  1.26620750e+02  1.28379028e+02
  1.28854691e+02  1.28592102e+02  1.21139145e+02  1.21034355e+02
  1.27986748e+02  1.29961166e+02  1.29154129e+02  1.29118805e+02
  1.29627274e+02  1.27857315e+02  1.26125374e+02  1.26402237e+02
  1.25245995e+02  1.28290466e+02  1.30744461e+02  1.28909744e+02
  1.21354561e+02  1.11556496e+02  1.14757195e+02  1.11208443e+02
  1.05757599e+02  1.03741882e+02  1.05346031e+02  1.05753975e+02
  1.05268036e+02  1.04903305e+02  1.04990463e+02  1.03437157e+02
  9.50221481e+01  9.45652695e+01  9.05326309e+01  8.78149796e+01
  8.27376480e+01  7.97893143e+01  7.66481628e+01  7.05737915e+01
  6.92425156e+01  6.87154388e+01  6.81598129e+01  6.88187332e+01
  6.55465927e+01  6.20078850e+01  5.98775520e+01  5.30682030e+01
  5.07582359e+01  4.89455223e+01  4.08516655e+01  3.83883934e+01
  3.56604233e+01  2.84899025e+01  2.67645359e+01  2.74310780e+01
  2.51293831e+01  2.22705936e+01  2.55417309e+01  2.27897949e+01
  2.35626640e+01  1.83296642e+01  1.35711651e+01  7.13684368e+00
  7.51820183e+00  4.95243025e+00  5.99676943e+00  3.96999192e+00
  1.63365865e+00  5.30812263e+00  2.71849728e+00 -2.63863969e+00
 -1.00123298e+00 -3.13579798e+00 -8.13347340e+00 -7.84090233e+00
 -1.11255207e+01 -9.53948402e+00 -5.26662350e+00 -5.60998297e+00
 -1.56006992e+00 -9.22376335e-01 -2.27391195e+00 -2.56847858e+00
 -2.87160540e+00 -2.47266674e+00 -2.95637703e+00  2.17526313e-02
 -1.07340443e+00  3.89204597e+00  5.10738182e+00  6.29572010e+00]",328.4240326511984,18.122473138377067
