id,predict_data,mse,rmse,norm_corr,smooth,skip,129_pearson
0,"[ 28.296455   34.967503   42.42692    45.850887   53.495197   57.312065
  63.890007   71.463394   78.745544   82.77171    92.14475    96.2061
 105.417206  113.17991   114.2537    119.92661   127.321526  136.74574
 140.97797   145.02458   145.31548   153.04271   157.57121   161.21915
 166.39493   164.9335    164.29427   175.01062   174.67744   176.19514
 177.60577   178.91995   174.076     177.93999   179.84494   176.3569
 178.187     178.45142   174.98692   173.92271   172.64027   168.50386
 170.33084   169.45523   165.93213   163.62999   157.76534   154.31296
 154.19003   156.14009   154.20808   148.14326   143.02443   140.16718
 137.6069    138.78642   136.88284   129.68681   125.42716   125.50322
 122.848     122.05977   120.22348   113.367516  109.44132   109.2296
 105.77084   105.61648   107.51587    98.40613    93.991104   96.8966
  89.814705   90.18759    90.47017    83.7783     81.36133    77.98691
  72.99255    69.259605   71.80918    67.88157    61.58812    60.72105
  55.971264   53.80932    55.509346   51.445534   48.13326    45.612583
  41.454292   37.403008   38.777313   38.018085   33.211784   27.172956
  23.225143   22.219093   21.338959   20.074577   17.353146   13.394064
  11.412959   12.172605   10.512071   11.830641    7.6285663   5.259805
   5.0141573   2.741731    3.4735117   3.5182157   4.75446     2.4185047
   2.7373903   3.7634666   3.69831     5.6950426  10.005341   14.775078 ]",5000.137346,70.71164929,0.0,weighted3,6,0.3119665132881802
1,"[ 11.580599    15.760042    20.854258    26.068298    27.76914
  34.02662     39.642914    43.79341     49.2649      52.478813
  59.173916    65.58275     69.614914    74.08425     78.399704
  82.70746     86.526276    90.692696    96.74475    101.82314
 101.45833    105.05329    110.20231    114.13951    116.99984
 119.61544    118.762085   123.99554    125.14853    125.36653
 127.99168    131.61113    127.52181    130.4685     130.15758
 129.61351    133.25412    134.93932    129.2338     129.71368
 128.9046     125.84422    131.55045    131.38287    125.0882
 124.42276    121.82357    119.102135   120.803894   124.3346
 117.7432     115.222725   113.74324    112.023094   111.54563
 114.24823    108.33996    103.7523     100.883835   101.504105
 101.68371    103.23398    100.405914    93.789406    91.948715
  92.35384     92.65061     91.71714     91.9884      84.91379
  82.79717     84.18987     80.860115    80.83332     83.19177
  72.94799     71.35833     68.35122     66.84389     64.91401
  65.86578     59.73708     58.857727    54.61317     52.69841
  50.39083     53.77708     46.894108    43.127117    42.673916
  36.959106    36.118114    37.451015    33.64557     30.383175
  25.996346    22.843117    22.272295    23.166584    20.050587
  16.431377    12.855729    11.569946     7.1197524   10.054278
   7.597979     5.9205       3.5987387    1.0869619    0.57612294
   1.2893208    0.5054436    3.250041     0.77752286  -0.86107564
  -1.2206635    2.425713     4.2888       4.1455035    6.0288634 ]",1447.020689,38.03972514,0.9988857348121848,weighted3,6,0.31732817901283866
2,"[-5.27371550e+00 -2.66554046e+00  7.75328338e-01  7.00273180e+00
  5.00850391e+00  1.26304007e+01  1.72876854e+01  1.95469112e+01
  2.37681999e+01  2.67409687e+01  3.16277466e+01  3.94240723e+01
  4.01588554e+01  4.28542519e+01  4.92964363e+01  5.30473557e+01
  5.49499855e+01  5.59236908e+01  6.31130486e+01  6.89883804e+01
  6.85370560e+01  7.00472794e+01  7.58997421e+01  8.02263031e+01
  8.19132080e+01  8.74116516e+01  8.65532761e+01  8.87597885e+01
  9.14573746e+01  9.13272552e+01  9.50651321e+01  1.00196892e+02
  9.68292389e+01  9.98591537e+01  9.86504135e+01  1.00439064e+02
  1.05541840e+02  1.08253983e+02  1.01257729e+02  1.03437569e+02
  1.03316605e+02  1.01462257e+02  1.09816650e+02  1.10394203e+02
  1.02393219e+02  1.03309525e+02  1.03213226e+02  1.01217194e+02
  1.04509758e+02  1.09085396e+02  9.95784454e+01  9.97004700e+01
  1.00741905e+02  9.98641968e+01  1.01279945e+02  1.05028976e+02
  9.65209427e+01  9.38394623e+01  9.21029587e+01  9.30519409e+01
  9.53404465e+01  9.86362686e+01  9.48669510e+01  8.85737000e+01
  8.81008682e+01  8.91325989e+01  9.18460999e+01  9.07209320e+01
  8.94927826e+01  8.36840591e+01  8.30564117e+01  8.35548706e+01
  8.27781448e+01  8.25471649e+01  8.57591400e+01  7.33592453e+01
  7.20125809e+01  6.96639557e+01  7.01142731e+01  6.94128876e+01
  6.91351547e+01  6.12927589e+01  6.33422508e+01  5.72972183e+01
  5.68059540e+01  5.43493080e+01  5.85211487e+01  4.97480202e+01
  4.53011932e+01  4.59250412e+01  3.91011505e+01  4.00161934e+01
  4.12214508e+01  3.50433121e+01  3.22065964e+01  2.88170681e+01
  2.58208733e+01  2.51784019e+01  2.71762314e+01  2.25245800e+01
  1.78034286e+01  1.42408123e+01  1.28534622e+01  5.07491493e+00
  1.06979008e+01  5.42528868e+00  4.78247976e+00  2.10838747e+00
 -2.29642391e+00 -1.92396927e+00 -1.20175111e+00 -2.82162118e+00
  8.75294879e-02 -2.73531389e+00 -6.02010727e+00 -7.46745968e+00
 -1.51176178e+00 -1.15837164e-01 -3.40679216e+00 -3.88610363e+00]",332.9838809,18.24784592,0.9986623673417704,weighted3,6,0.32539337837266663
3,"[ -8.361125    -6.098024    -2.5931897    3.481195     1.2990725
   8.752945    13.317943    15.155621    19.415636    22.067377
  26.923807    34.61951     35.274178    37.85468     44.058228
  47.55109     49.204117    50.298683    57.383457    63.420666
  62.545177    64.06302     69.771484    74.121704    75.97788
  81.46007     80.45974     83.02848     85.50772     85.38672
  89.29761     95.12465     91.357056    94.41375     93.61099
  95.37408    100.86988    104.083084    96.83696     99.10786
  99.54752     97.73385    106.892624   107.66913     99.37205
 100.645805   100.97825     99.363434   103.15465    108.19925
  98.45425     98.83593    100.390236    99.90377    101.627464
 105.78566     97.06216     94.598076    93.120316    94.48353
  97.17003    100.68019     96.64779     90.32979     90.22655
  91.34019     94.386086    93.380165    92.04539     86.08666
  85.62768     86.08715     85.38778     85.29691     88.29293
  75.570984    74.47166     71.57264     72.42036     71.73254
  71.159355    63.233707    65.42341     58.907177    58.63396
  56.369316    60.490093    51.038574    46.664837    47.21509
  40.300133    41.413086    42.647808    36.121555    33.468536
  29.841167    26.547993    26.041573    28.121058    22.94972
  18.307196    14.596369    12.85821      4.8767514   10.91456
   5.4270716    4.56863      1.9035578   -3.0059302   -2.923944
  -1.6516963   -3.6085117   -0.79723656  -3.861223    -7.4461927
  -9.150917    -2.713766    -1.5002322   -5.157519    -5.5781455 ]",327.8280005,18.10602111,0.9991413443853864,weighted3,6,0.3348553228796923
4,"[ 8.34237003e+00  1.13292675e+01  1.50045700e+01  2.09369202e+01
  2.02344780e+01  2.73428860e+01  3.24058533e+01  3.47787704e+01
  3.88804054e+01  4.18223190e+01  4.69754982e+01  5.40423775e+01
  5.57725143e+01  5.83407097e+01  6.36606331e+01  6.72444305e+01
  6.93431015e+01  7.07111359e+01  7.73995361e+01  8.25630722e+01
  8.16851120e+01  8.33146896e+01  8.83045731e+01  9.19430161e+01
  9.37563171e+01  9.81451035e+01  9.70388260e+01  9.93185272e+01
  1.00926338e+02  1.00556549e+02  1.03691734e+02  1.08154060e+02
  1.04623405e+02  1.06825966e+02  1.05310127e+02  1.06150581e+02
  1.10425613e+02  1.12840248e+02  1.06487831e+02  1.07455841e+02
  1.06673378e+02  1.04470093e+02  1.11529152e+02  1.11964348e+02
  1.04978722e+02  1.04828423e+02  1.03798080e+02  1.01739426e+02
  1.04208328e+02  1.08240700e+02  1.00116013e+02  9.91774521e+01
  9.93441238e+01  9.84816437e+01  9.89744263e+01  1.02104897e+02
  9.50153351e+01  9.17267532e+01  8.96289368e+01  9.05998840e+01
  9.18470001e+01  9.41854706e+01  9.12317963e+01  8.50173264e+01
  8.39715271e+01  8.47798615e+01  8.64516373e+01  8.51100311e+01
  8.46020203e+01  7.87760620e+01  7.75141830e+01  7.80810242e+01
  7.64388809e+01  7.60596313e+01  7.91054077e+01  6.78266144e+01
  6.61945343e+01  6.35751038e+01  6.33457298e+01  6.22598572e+01
  6.22998047e+01  5.53854828e+01  5.64829941e+01  5.08252792e+01
  5.00359230e+01  4.77276993e+01  5.13846436e+01  4.36295891e+01
  3.94440651e+01  3.95707664e+01  3.35199623e+01  3.41050644e+01
  3.51229553e+01  3.00067577e+01  2.74142246e+01  2.39924049e+01
  2.14074574e+01  2.10618896e+01  2.26470070e+01  1.88707409e+01
  1.50100393e+01  1.18333540e+01  1.09788847e+01  4.72363997e+00
  9.44042873e+00  5.48688030e+00  5.22489643e+00  3.24485755e+00
  1.09884404e-02  6.46511674e-01  1.34829617e+00  3.47875625e-01
  3.77994728e+00  1.80640888e+00 -4.32106733e-01 -1.07593310e+00
  4.09398842e+00  5.98814631e+00  4.23659706e+00  4.98726130e+00]",356.5578271,18.88273887,0.9990900728438656,weighted3,6,0.34338386450509134
5,"[ 39.70749    43.77123    46.59772    52.2067     54.003838   60.117462
  65.40108    68.602615   71.119095   74.931076   79.48059    84.934074
  88.043434   90.27969    93.63081    97.26151    99.84728   100.808075
 106.53077   109.95424   109.057556  110.67245   113.91963   116.070915
 117.80296   120.97269   119.46061   120.09113   120.546715  120.294464
 122.30853   124.23498   121.64063   122.10928   119.186775  119.383194
 121.44205   122.55145   117.976524  116.9102    113.91651   112.20513
 115.123695  115.425964  110.957825  108.33284   105.53824   103.20667
 103.60504   105.27987   100.03945    97.093636   94.95745    93.66645
  92.760445   93.58333    89.34555    84.92894    81.95795    81.84421
  80.798164   81.095566   79.583275   73.85863    70.94052    71.3011
  70.41262    68.649445   68.44726    63.292427   60.618862   60.641823
  58.052357   56.900265   59.171646   51.095684   47.83735    46.49083
  44.13167    42.80407    43.438942   38.14029    36.990906   33.277542
  31.354994   29.193253   31.565239   27.287468   23.27626    22.3123
  18.351677   18.15261    18.864395   15.883266   13.499449   11.300376
  10.228811   10.05329    11.436755   10.186655    7.8456135   6.1580095
   6.6454015   4.0068865   6.755698    5.389053    6.6174884   6.218322
   5.8474174   8.106667    8.360889    9.274878   13.185621   13.905407
  14.069408   15.650562   18.95605    21.990982   23.52309    25.75247  ]",311.2242821,17.64154988,0.9992688166689296,weighted3,6,0.35235377912452875
6,"[ 71.594536   75.95475    76.552055   82.59269    85.127144   90.93488
  95.60652    98.675896   98.29775   103.3988    105.98807   110.392296
 112.78581   113.43704   115.7701    119.33541   121.379036  119.676346
 124.65906   126.21486   125.37438   125.7771    127.278275  127.76974
 128.42401   131.89781   129.86351   126.390015  126.40701   126.109
 127.36309   126.82529   125.99945   124.46023   118.98628   119.96868
 120.15226   120.20989   116.9885    114.654     109.154564  108.95613
 108.273796  109.012024  106.63836   101.948944   98.580925   96.3748
  95.22468    94.62955    91.20213    87.49044    84.10908    82.805
  81.431526   80.08982    77.87613    73.4024     70.2175     68.97481
  66.36625    65.291016   65.08198    60.402954   56.0519     56.4729
  53.83788    51.43928    50.704414   47.49789    44.078762   42.980946
  40.829266   38.513317   40.547897   35.35514    30.05741    31.0902
  27.095253   26.288694   26.983706   22.65686    20.426802   18.185389
  15.570979   13.404935   14.637769   13.794675    9.271098    7.5739703
   5.427963    5.2735243   5.4311795   3.6374354   1.4322878   1.4413275
   2.2975214   2.1068373   3.9032269   4.92037     3.4351056   3.5127416
   5.551136    5.2347693   7.0635676   6.996347   10.584824   11.781248
  13.685065   18.599155   18.157446   20.98921    25.33426    29.26568
  31.221245   34.827568   37.2127     41.301884   44.776012   47.17716  ]",346.6713875,18.6191135,0.999507094457028,weighted3,6,0.360397497537857
7,"[ 82.95635     87.395676    86.57142     90.685875    94.79144
  98.330414   102.68384    105.5363     103.05195    107.1919
 107.99435    109.680305   113.49775    113.614204   113.12774
 115.32687    116.860176   114.7325     118.83271    119.49064
 117.9226     117.9019     117.29637    116.486824   118.041855
 120.96837    118.58738    114.07481    113.34509    113.7764
 114.74488    113.75547    113.592186   110.60587    105.73225
 106.799225   105.76968    105.86242    104.7648     101.10488
  95.63457     96.91121     93.81122     94.94313     94.933716
  89.38059     86.028564    85.05651     83.20816     80.90665
  80.060005    75.77343     71.59749     71.130516    69.76034
  66.647644    66.64792     62.051285    58.638664    56.961636
  53.602924    51.19255     51.23911     47.218185    41.867004
  41.67428     37.691784    35.69955     33.922092    30.96929
  26.610495    24.33179     22.385168    19.974028    19.294779
  16.840853    10.633267    11.882185     7.2858076    6.818985
   6.59627      3.5422728   -0.5007708   -1.376381    -4.24326
  -5.266662    -6.0141      -5.2119017   -8.668592   -11.376498
 -10.947771   -11.11187    -11.210627   -12.12786    -13.005204
 -11.607904    -9.662909    -9.095159    -7.202056    -5.251209
  -4.4637074   -2.5445232   -0.23857413   3.1690238    4.040177
   5.935711    10.624867    13.778426    17.352467    23.17729
  23.670738    27.15587     31.165415    37.122818    40.888638
  46.24241     47.600803    51.909935    57.551964    60.91661   ]",309.9145976,17.60439143,0.9992856360150232,weighted3,6,0.3657305415959016
8,"[ 9.30605927e+01  9.71076202e+01  9.54219818e+01  9.82362289e+01
  1.02089409e+02  1.04570503e+02  1.08698158e+02  1.10675034e+02
  1.07098663e+02  1.09854973e+02  1.09282219e+02  1.09616791e+02
  1.13468933e+02  1.12482307e+02  1.10908081e+02  1.11679268e+02
  1.12065071e+02  1.08900764e+02  1.12590706e+02  1.12569656e+02
  1.10607269e+02  1.09208534e+02  1.07290932e+02  1.05501846e+02
  1.06795036e+02  1.09399796e+02  1.07098358e+02  1.01058655e+02
  9.96891403e+01  9.97516327e+01  1.00188400e+02  9.88863144e+01
  9.94462433e+01  9.51810684e+01  9.00743866e+01  9.09515762e+01
  8.89762039e+01  8.89656296e+01  8.93358307e+01  8.47334213e+01
  7.91116180e+01  8.07750397e+01  7.63146667e+01  7.74109421e+01
  7.90068436e+01  7.30377731e+01  6.97122803e+01  6.93665848e+01
  6.67159653e+01  6.36767044e+01  6.43232193e+01  6.02107162e+01
  5.59576683e+01  5.61511803e+01  5.43169098e+01  5.04056549e+01
  5.17825775e+01  4.76607208e+01  4.42591934e+01  4.26314735e+01
  3.88733025e+01  3.58486443e+01  3.67601013e+01  3.35671844e+01
  2.80934143e+01  2.75577450e+01  2.33924103e+01  2.14494591e+01
  1.97902031e+01  1.77580185e+01  1.32815495e+01  1.06013241e+01
  9.16570473e+00  6.90248251e+00  5.55370331e+00  4.62681103e+00
 -1.42654932e+00 -2.95976922e-02 -4.14362097e+00 -4.14804840e+00
 -4.86796045e+00 -6.79420853e+00 -1.06644726e+01 -1.10416164e+01
 -1.31778870e+01 -1.34573298e+01 -1.51134739e+01 -1.33094215e+01
 -1.57841969e+01 -1.82211571e+01 -1.63623142e+01 -1.58781099e+01
 -1.65029564e+01 -1.66450615e+01 -1.62683620e+01 -1.37884617e+01
 -1.07108812e+01 -9.29991055e+00 -7.87483215e+00 -5.21335506e+00
 -2.99908996e+00  2.39749283e-01  3.44391274e+00  8.34106636e+00
  8.57206535e+00  1.14029312e+01  1.71891346e+01  2.16548119e+01
  2.65163784e+01  3.30754471e+01  3.31240768e+01  3.68571701e+01
  4.13516998e+01  4.83846245e+01  5.32747917e+01  5.94969902e+01
  5.98751068e+01  6.42692184e+01  7.06625290e+01  7.45506973e+01]",333.923203,18.27356569,0.997807840885978,weighted3,6,0.3657234457419583
9,"[103.239174   106.59164    104.78618    105.30196    108.37453
 109.1963     112.84433    113.982765   110.42977    110.570206
 108.88905    107.68723    111.60916    110.30024    107.52696
 106.27404    105.20683    102.43035    105.038956   104.76041
 102.58396     99.86753     96.65041     94.40539     95.404465
  96.90421     95.172195    89.13539     86.74798     86.37786
  85.8346      84.78227     85.56939     80.38542     76.09554
  76.06141     73.081985    72.89998     74.793335    69.32211
  64.45583     65.66939     60.244946    60.638588    63.488132
  57.75833     54.235554    54.389614    50.73674     47.439674
  49.566048    45.69223     41.3976      41.982033    39.23616
  35.092083    37.522987    33.970943    30.435387    29.04186
  25.186537    21.902649    23.342571    21.019783    15.993234
  14.70249     10.929733     9.5518875    8.509234     7.064546
   2.908949     0.34172326  -0.7095147   -1.9682468   -4.0224533
  -3.4386196   -7.8536043   -7.2097874   -9.819828    -9.287838
 -10.279074   -10.434482   -13.316107   -12.936415   -13.653284
 -12.625076   -14.723164   -12.374293   -12.578852   -13.794313
 -10.574668    -9.204796    -9.9125395   -8.669629    -6.443176
  -3.2174256    0.58698404   3.297913     3.9511085    7.1347895
  11.158019    15.675656    19.4709      25.71479     25.262318
  29.287416    35.186783    40.787415    46.57131     52.676918
  52.42958     55.918747    60.469975    67.40376     73.08548
  79.51654     78.5085      82.43176     88.79483     93.38671   ]",352.0374697,18.76266158,0.9952352767452306,weighted3,6,0.36421934516444054
