Unnamed: 0,predict_data,mse,rmse,smooth,skip,result_corr
0,48.983273 63.465187 50.48456  51.00599  67.70947  59.96607  34.25672 64.20041  40.569084 22.579773 25.939444 31.32887 ,1005.7095,31.71292280216773,weighted6,2,-0.3931674596989
1,33.609295 51.645725 52.368835 49.140728 59.06447  60.218422 23.736032 57.451473 46.517376 39.480247 41.30141  28.292763,842.3039,29.02247222486342,weighted6,2,0.3352867929710377
2,46.36003  58.73551  53.189346 52.857067 55.292297 60.92731  12.800078 38.03441  41.379772 46.146202 30.739716 25.91121 ,954.7741,30.899419232191384,weighted6,2,0.5150798344056112
3,52.096775 76.582886 31.105648 49.65002  32.661587 52.188786 26.349941 43.717667 16.692162 29.954355 28.625458 26.50635 ,1066.4427,32.65643503237053,weighted6,2,0.6332048611512198
4,41.652664 54.099464 40.441387 53.728294 44.715927 38.06065  51.017162 48.29092  38.67065  30.982424 52.464783 31.235504,537.087,23.175137002780723,weighted6,2,0.3536714354916515
5,51.92149  64.458176 55.307194 64.07719  50.26609  39.388065 58.706722 45.919888 51.126526 37.350803 38.41333  42.399403,145.91391,12.079483015100829,weighted6,2,0.6338992135221612
6,78.21029  74.88028  61.69975  49.310078 44.3129   66.16637  46.573246 41.997807 58.795414 32.88015  35.69725  50.13138 ,106.630714,10.326214912372484,weighted6,2,0.7827400864435154
7,76.99026  71.98615  71.28851  61.87992  63.119576 54.856167 49.90835 42.31167  50.53948  20.53386  16.006693 38.73787 ,278.15744,16.67805264968146,weighted6,2,0.7080849877579739
8,52.777824 56.326736 65.83513  69.3062   71.711395 50.613255 54.123188 47.907497 39.971535 22.47573  18.423847 24.589632,317.441,17.81687429156653,weighted6,2,-0.033996112798573196
9,66.15059  71.95835  58.680843 79.161285 64.24248  42.38024  35.89442 48.55081  44.989685 21.277527 27.243834 25.953264,370.15027,19.239289710243657,weighted6,2,-0.6669631200365331
10,65.80768   65.20671   48.60634   71.283646  49.27896   26.049084 36.60614   47.164787  32.71214   26.328447  33.035828  13.8639965,442.56992,21.0373457396955,weighted6,2,-0.7449425548204425
11,72.40689  57.791702 59.90891  62.243595 62.70066  35.450844 38.494946 48.170494 44.96607  34.980392 40.706974 15.930425,382.91724,19.568271163496405,weighted6,2,-0.8192760897264835
12,78.71214  95.10332  56.582783 60.887905 66.78118  39.44457  16.58225 41.709976 54.01429  26.776539 10.666749 26.882092,867.18085,29.44793451446075,weighted6,2,-0.7600281604139693
13,77.25348  88.460686 57.73747  53.76425  62.178772 53.230824 25.78545 49.82199  56.26255  26.536324  8.912871 27.266214,686.85785,26.207973006722472,weighted6,2,-0.5999831911030595
14,75.12982   88.96904   59.989155  49.880257  62.75641   58.627487 29.161695  50.577045  54.86261   26.280687   7.6451497 26.683214 ,605.137,24.59953300218891,weighted6,2,-0.17457147954889018
15,69.78478  87.40575  59.62233  48.38992  58.673885 66.21943  32.86152 57.689247 55.877567 22.999443  6.728247 27.645231,508.90442,22.55890996802178,weighted6,2,0.3749096130599457
16,68.75667   81.27675   60.142326  47.2389    57.47854   72.4736 36.183697  59.21016   59.1345    21.299097   2.9642122 26.555378 ,549.71814,23.44606874613392,weighted6,2,0.295447877722509
17,67.85825   77.704     61.775997  47.88001   54.9448    74.239746 38.18949   58.602947  55.85493   15.44324   -1.8732488 23.607258 ,814.2801,28.53559339372552,weighted6,2,-0.46409303317770123
18,69.58269   73.04325   65.32733   48.79552   54.63558   71.89182 39.920036  57.835876  57.638706  11.04404   -3.1830244 22.13427  ,1054.4325,32.47202634756857,weighted6,2,-0.7681809283050965
19,66.14519   68.24142   68.78025   52.63321   55.348698  71.86801 40.216385  55.74183   59.40087    9.789627  -5.9261937 19.778532 ,1269.471,35.6296358003506,weighted6,2,-0.7642313186195775
20,64.9849   66.4436   71.258385 58.834274 55.50912  71.583275 42.237465 53.59915  57.79713  10.811511 -8.88602  16.57809 ,1444.8182,38.01076475558848,weighted6,2,-0.7148537833041719
21,60.303043 66.85268  73.149216 61.013084 51.772625 72.839134 43.6872 58.810207 56.19402   7.470998 -4.844231 13.202424,1537.663,39.21304583766973,weighted6,2,-0.6365579135158673
22,60.3554    63.111176  75.15655   62.811375  49.390415  71.17573 43.023     57.632576  61.0385    15.289571   4.4799056 14.846138 ,1411.2354,37.566412545816775,weighted6,2,-0.671155978570915
23,61.27886   61.429176  76.151375  63.709404  45.98959   67.83631 40.16788   55.44037   67.78433   19.22191    6.9041433 19.772799 ,1442.127,37.97534664917491,weighted6,2,-0.7173670560899327
24,69.71223   66.08387   77.79068   58.952217  43.00984   73.84862 33.721638  49.74474   70.35386   19.92872    2.4521163 25.072073 ,1608.2848,40.10342616334747,weighted6,2,-0.7527249497753862
25,65.831924 71.12769  78.489006 60.271103 44.30907  71.14301  40.33421 50.70772  66.661804 22.138002  2.129916 21.832273,1533.5944,39.16113328737516,weighted6,2,-0.29761408039407206
26,65.39582  75.459885 81.755486 58.58432  46.94479  77.73281  49.60374 53.093437 69.053505 27.660946  7.421116 22.75602 ,1202.4523,34.67639356259259,weighted6,2,0.5378388178363595
27,61.86764   82.13001   79.50982   56.910107  45.922974  81.37708 54.96541   60.03247   70.68365   27.846102   6.5648785 26.39771  ,1015.3344,31.864312508213537,weighted6,2,0.7135993023324027
28,63.94685   78.50433   81.30695   57.85726   51.173744  87.95978 57.448387  57.53324   72.59272   29.448137   4.6658893 22.493856 ,965.51416,31.0727237324997,weighted6,2,0.6360834241779624
29,66.5069   75.09426  82.15963  56.819748 50.854603 83.296135 55.991177 51.59304  70.09889  25.24407  -1.441859 19.196678,1246.4669,35.30533839159897,weighted6,2,0.036443948496115514
30,70.446     75.4409    82.71213   60.45433   56.25103   76.39516 50.35963   49.167927  69.25741   20.18247   -0.5602035 19.562004 ,1473.0211,38.37995724546944,weighted6,2,-0.6130314031918269
31,69.454765  73.12868   81.20409   61.62643   56.77097   72.979965 50.57768   52.77052   66.189     19.93981    1.1765853 22.06753  ,1698.7731,41.216174874544855,weighted6,2,-0.8231209793816419
32,71.47998   72.0166    77.32252   61.40559   58.05548   72.375084 47.750633  55.140656  65.026855  21.307775   2.2452955 22.471518 ,2004.0101,44.76617173531748,weighted6,2,-0.829346675199207
33,68.133095 75.9131   73.85789  65.212845 57.036976 73.01944  44.803074 56.012085 62.811928 21.401657  2.680557 20.709908,2417.0222,49.16322016301287,weighted6,2,-0.8046248278064875
34,65.54909  68.64523  75.53957  65.602585 51.5957   70.75998  49.149853 53.869793 61.164    26.728912  8.035504 22.15571 ,2700.8518,51.96972009392224,weighted6,2,-0.7976689345034095
35,66.74904  72.18698  75.8681   63.70801  47.981174 71.91175  44.81342 51.9468   61.834667 27.608877  8.239057 25.369148,3137.7014,56.01518915451081,weighted6,2,-0.7978584449549231
36,68.128876 74.82548  75.718285 62.306328 44.063828 72.29257  44.466137 53.79979  60.23127  27.022959  9.081432 29.029234,3321.3098,57.6308061235753,weighted6,2,-0.6565165197416301
37,65.08695  78.2893   74.549065 63.910343 51.670944 70.96078  36.43133 50.439915 71.44412  40.72153  21.203522 29.135988,2770.6885,52.63732968685342,weighted6,2,0.20594955298033166
38,65.00064  85.47447  79.16055  62.02894  42.971714 85.6761   32.396275 37.790516 66.33848  53.10908  18.52186  33.979694,2529.364,50.292782918346,weighted6,2,0.4647224187299158
39,78.49766  88.99195  69.513596 57.87593  43.66193  70.31612  29.329197 34.788418 59.662678 51.166252 31.58921  39.483803,2122.2048,46.06739447792088,weighted6,2,0.5818667226325555
40,60.476486 98.45098  60.73052  58.033638 50.203407 70.88594  21.29639 35.859245 72.51146  47.79895  34.970795 22.25512 ,1951.9229,44.18057097370404,weighted6,2,0.596661188138023
41,77.673386 72.369125 67.62223  63.849106 47.601208 66.233574 66.34701 34.175163 62.921524 58.376648 28.140793 32.231647,1280.0785,35.77818457120117,weighted6,2,0.509552627626984
42,79.823425 95.4393   63.707775 51.414818 47.496727 82.0442   32.94869 37.14272  77.229614 42.92206  37.337765 36.09406 ,1365.0643,36.94677700496605,weighted6,2,0.13312667258023342
43,91.87507  81.85149  78.11534  73.58877  56.61575  79.42084  49.04981 48.04216  80.69184  52.293053 32.435272 53.245262,1067.6149,32.67437632402587,weighted6,2,-0.5156996188197537
44,66.183624 70.60064  71.33956  57.474316 60.55448  85.62256  42.08115 46.25945  56.46555  39.409462 29.527729 24.92326 ,2134.6616,46.20239843442925,weighted6,2,-0.8094670746437335
45,87.61397  80.67023  74.39631  75.73648  64.87069  93.10291  31.720423 52.807518 66.21526  27.73112  18.573841 50.984188,2467.6738,49.67568648871397,weighted6,2,-0.7345990313034056
46,46.903233 52.64566  50.35014  70.42911  36.301758 49.95545  55.84044 73.834175 48.431675 37.96182  25.649996 21.582788,3764.2024,61.35309603091049,weighted6,2,-0.4780764912226971
47,65.537315 34.122803 81.61785  79.49814  61.688572 68.28711  50.505493 55.41658  68.139915 61.65497  53.338882 28.904345,3044.799,55.17969800810462,weighted6,2,-0.2799357447128592
48,73.74529  80.06469  67.61815  70.606636 30.912426 60.11443  32.25499 50.054176 53.543877 38.42981  20.52935  35.906754,4517.286,67.21075905547043,weighted6,2,-0.6717178604540723
49,59.33248  40.372948 74.91606  64.31405  48.923737 69.87142  46.644035 60.92934  73.81287  55.535816 46.834763 24.69087 ,3646.1868,60.38366308512697,weighted6,2,0.4672893937043853
50,70.54772  68.253075 81.75674  73.869675 42.689632 79.79255  22.177132 33.82541  76.194305 66.6009   42.83887  40.54284 ,3349.21,57.87235921350969,weighted6,2,0.23909299515576005
51,74.6202   76.35493  68.03794  54.248978 33.15268  67.50453  11.974087 26.534416 75.94769  63.34679  41.55865  38.87343 ,3583.5925,59.863114931457375,weighted6,2,0.2963112044489573
52,78.67076  76.142525 64.266785 66.18318  38.263004 64.46705  26.016584 30.023743 75.22239  70.04991  67.681625 33.691902,2478.6133,49.78567345381601,weighted6,2,0.36549768911802
53,77.02416  77.34693  66.453094 59.174545 42.991184 60.201866 36.2889 13.262164 77.320465 73.09688  66.863045 33.107162,2235.052,47.27633659615691,weighted6,2,0.39281571628888706
54,92.48684  88.202736 68.41428  68.21258  47.551052 77.41018  38.747868 23.938913 83.7732   74.831505 58.12777  48.320515,1733.4658,41.634911076072925,weighted6,2,0.22185850568971424
55,95.07436  87.14734  66.176155 69.50282  40.85977  80.55254  38.613586 30.15478  84.03343  74.15228  80.51641  52.626427,1920.4701,43.8231684474484,weighted6,2,0.04431546581196595
56,82.68733  78.04203  81.46415  74.1571   60.87157  79.144646 46.873158 38.8283   80.27536  63.42416  64.266174 44.971237,2574.147,50.73605200107957,weighted6,2,-0.5877046275286554
57,83.95796  65.89271  69.63041  66.03279  57.951096 81.683014 51.53636 48.77905  70.422165 62.429886 44.962856 43.055378,3522.9714,59.3546243821564,weighted6,2,-0.6188064099459308
58,67.88863  54.007435 68.49295  80.329315 53.478718 76.415276 63.874043 76.75956  76.7396   56.95558  60.325935 41.512493,3445.8914,58.70171511482331,weighted6,2,0.1217922145433982
59,65.99288  37.041878 80.81833  87.862175 60.613907 70.78346  55.61593 70.09053  73.87593  77.82557  68.858185 43.598743,3538.5334,59.485573438150745,weighted6,2,0.30165875685957155
60,62.95942  49.901543 74.421974 78.84698  53.116222 79.388214 24.007538 69.245926 75.83057  77.42783  53.790413 32.717632,4190.247,64.73211776477346,weighted6,2,0.1863817057688514
61,76.18349  55.1444   68.424034 74.59391  39.75319  75.72173  31.141747 53.97127  56.376804 70.65972  50.519943 33.685577,4117.822,64.17025617327509,weighted6,2,0.45347765238746873
62,54.665348 61.355682 68.16541  66.48943  38.44378  73.38592  26.44869 53.250942 63.10182  66.371086 61.208115 30.969776,3750.3447,61.24005818549245,weighted6,2,0.23774282727982832
63,73.00505  57.98476  64.22377  80.22098  45.663364 54.5319   34.03959 44.032684 76.6637   92.031624 63.377747 40.67583 ,2594.1965,50.93325567056483,weighted6,2,0.07182262115194465
64,78.71243  93.15543  58.32292  66.315    29.784111 69.582756 26.419275 34.938503 72.942856 79.293396 74.601265 26.100777,2291.1707,47.866174427218176,weighted6,2,0.27466321274571026
65,100.47844   83.74806   77.87723   62.66785   41.97512   76.47219  47.530857  21.81658   76.63124   74.42409   64.944885  44.361378,1438.2963,37.92487659371402,weighted6,2,0.6011629039485233
66,78.55364  76.1188   67.27795  62.82944  50.83104  76.552895 56.60189 38.159355 75.45344  72.9532   54.879086 44.69365 ,1244.8134,35.28191256851289,weighted6,2,0.32580424864058205
67,100.13678   81.59083   83.75879   82.99247   65.31228   88.047775  39.180565  35.497593  93.23091   77.818016  76.85405   56.4998  ,922.21954,30.368067825547136,weighted6,2,-0.0446746662705276
68,82.5476   89.25719  70.17148  78.58914  54.810978 79.928856 27.45374 39.03742  68.35234  66.005844 62.91598  41.35648 ,1753.1327,41.87042739726557,weighted6,2,-0.4838546168513854
69,78.183136 46.719547 75.019966 67.50901  47.206093 89.64282  49.298763 53.133133 66.10718  82.76948  78.67379  45.026985,1796.7704,42.38832841410696,weighted6,2,-0.03278938007358098
70,74.29429  70.514496 56.67321  73.64525  53.660534 55.020493 37.490887 51.96252  62.319283 63.317013 50.16539  33.363365,3148.3572,56.11022346893991,weighted6,2,-0.6015475355286934
71,64.531784 49.353344 63.237003 81.41622  49.918625 68.852135 64.46067 73.88766  69.41939  69.67517  76.17782  39.789974,2745.947,52.40178452576186,weighted6,2,0.10558842566834434
72,66.63038  47.68866  76.92981  72.99152  54.19884  72.64365  56.231228 62.626907 74.37054  79.806366 63.746124 45.39212 ,3135.6829,55.99716833312311,weighted6,2,0.11759173706455192
73,78.44484  64.665    76.594086 69.67435  50.27492  92.258125 27.949974 63.29849  70.53081  77.590805 56.555702 48.22313 ,3411.0596,58.40427698647164,weighted6,2,-0.04330849061591946
74,67.54666  64.11264  70.07297  61.200005 43.474693 83.4055   26.374336 59.878456 66.52233  66.76043  53.981655 38.005527,3869.3955,62.20446533660184,weighted6,2,0.16611215336083918
75,52.59799  54.168358 66.070335 68.76019  53.586933 70.27065  35.463627 57.425583 63.396152 70.00955  48.967857 31.068188,3587.1301,59.8926550334273,weighted6,2,0.3356801049833617
76,66.42998  61.386135 54.194412 67.09389  35.041695 61.289333 33.489586 46.715515 68.52483  82.28486  70.99307  38.174084,3080.787,55.50483861227776,weighted6,2,-0.03449290232448429
77,75.741714 72.345345 62.563583 71.48373  35.482235 51.598045 39.40352 40.37332  66.136055 81.40627  79.906166 33.208775,2175.0618,46.63755747869012,weighted6,2,0.37570502785105486
