year,month,day,hour,value
2010,1,2,0,129
2010,1,2,1,148
2010,1,2,2,159
2010,1,2,3,181
2010,1,2,4,138
2010,1,2,5,109
2010,1,2,6,105
2010,1,2,7,124
2010,1,2,8,120
2010,1,2,9,132
2010,1,2,10,140
2010,1,2,11,152
2010,1,2,12,148
2010,1,2,13,164
2010,1,2,14,158
2010,1,2,15,154
2010,1,2,16,159
2010,1,2,17,164
2010,1,2,18,170
2010,1,2,19,149
2010,1,2,20,154
2010,1,2,21,164
2010,1,2,22,156
2010,1,2,23,126
2010,1,3,0,90
2010,1,3,1,63
2010,1,3,2,65
2010,1,3,3,55
2010,1,3,4,65
2010,1,3,5,83
2010,1,3,6,91
2010,1,3,7,86
2010,1,3,8,82
2010,1,3,9,86
2010,1,3,10,78
2010,1,3,11,98
2010,1,3,12,107
2010,1,3,13,90
2010,1,3,14,96
2010,1,3,15,95
2010,1,3,16,86
2010,1,3,17,70
2010,1,3,18,61
2010,1,3,19,53
2010,1,3,20,71
2010,1,3,21,72
2010,1,3,22,76
2010,1,3,23,73
2010,1,4,0,79
2010,1,4,1,58
2010,1,4,2,25
2010,1,4,3,26
2010,1,4,4,28
2010,1,4,5,26
2010,1,4,6,20
2010,1,4,7,29
2010,1,4,8,26
2010,1,4,9,27
2010,1,4,10,27
2010,1,4,11,25
2010,1,4,12,29
2010,1,4,13,32
2010,1,4,14,28
2010,1,4,15,29
2010,1,4,16,30
2010,1,4,17,30
2010,1,4,18,28
2010,1,4,19,26
2010,1,4,20,31
2010,1,4,21,33
2010,1,4,22,29
2010,1,4,23,31
2010,1,5,0,30
2010,1,5,1,34
2010,1,5,2,27
2010,1,5,3,25
2010,1,5,4,28
2010,1,5,5,28
2010,1,5,6,27
2010,1,5,7,27
2010,1,5,8,27
2010,1,5,9,29
2010,1,5,10,36
2010,1,5,11,30
2010,1,5,12,27
2010,1,5,13,39
2010,1,5,14,41
2010,1,5,15,33
2010,1,5,16,50
2010,1,5,17,56
2010,1,5,18,59
2010,1,5,19,60
2010,1,5,20,84
2010,1,5,21,106
2010,1,5,22,66
2010,1,5,23,50
2010,1,6,0,56
2010,1,6,1,77
2010,1,6,2,50
2010,1,6,3,44
