,value
0,58.1
1,47.48461538461539
2,45.70210341805434
3,48.88223659826814
4,57.63874079466669
5,58.23541169552958
6,56.340014692941644
7,55.78442323097836
8,54.10972364202647
9,53.946523515961964
10,49.81311313281128
11,49.071977196838574
12,49.6502091139404
13,48.18139454306916
14,44.27970736218563
15,43.33487691842181
16,42.41244591007361
17,43.73029025976766
18,44.434518998257204
19,44.3616820153366
20,42.878474274086514
21,43.10180580098359
22,43.007832025721584
23,43.565179880880734
24,42.76494371968633
25,42.875948532446806
26,40.51646946689169
27,39.97745350661052
28,40.55379740081481
29,39.111544055427586
30,38.79678541802798
31,39.063638690710526
32,37.196934890133626
33,35.84589271849454
34,34.48808953507902
35,33.337079617281525
36,33.49370177079765
37,31.949067313618603
38,30.651019258594165
39,29.764545662032262
40,28.2288278971868
41,26.801886691644107
42,25.537475611652862
43,24.558085159193052
44,23.599898581728766
45,24.030590347521333
46,23.111584834868733
47,21.870165141472803
48,20.68028270015793
49,19.641326073173108
50,20.03288158740865
51,20.122457944702315
52,19.173747989343905
53,18.647051373580357
54,18.357456760045107
55,17.56474696607968
56,16.636639090570057
57,15.791674330913072
58,14.96184860999157
59,14.177627259514225
60,13.43630077240597
61,12.735341242966797
62,12.124444305310828
63,11.494587246071276
64,10.898612620699403
65,10.334580748184804
66,9.84200441756031
67,9.334389638308881
68,8.853713501923544
69,8.398470546059283
70,7.96724701929866
71,9.302115252726319
72,10.669343853935636
73,11.044300853235384
74,10.480042428945271
75,11.593619811810846
76,11.23707071589214
77,10.66474383640181
78,10.12207251827983
79,9.72440120169018
80,10.972767516816424
81,12.547602250132353
82,11.911210919681682
83,11.378484200106344
84,11.227632209998058
85,11.970266414738793
86,13.256588636516007
87,12.899850555100329
88,13.551642401547896
89,14.160076701732596
90,16.044777646440384
91,17.394584779276876
92,17.83862008795295
93,18.2500024122737
94,18.318022744341217
95,19.2438513223957
96,19.75518975981605
97,20.280878867640972
98,22.344696919078917
99,23.232719637578167
100,24.77475684824563
101,26.630937092192024
