predict_data,mse,rmse,mape,smooth,skip,result_corr
 57.946136  60.954376  69.54278   64.27263   48.80194   30.942492  88.695015  63.86208   49.456257  36.836586 105.19746   58.169643,806.8025,28.404268873434763,0.26301396,rolling12,6,-0.1762910675579139
80.45275  83.748276 70.510025 66.94143  42.91741  56.506977 42.51666 64.03599  37.870255 33.525623 68.503494 55.311714,187.30287,13.68586393707396,0.20604067,rolling12,6,0.6848969400664741
62.58521  85.34404  31.055323 32.7827   58.68722  36.961597 57.333675 50.74947  32.575    32.078213 45.450867 51.46986 ,221.72191,14.890329364031404,0.23811604,rolling12,6,0.47084322533136364
79.65538  57.896317 34.266678 63.20925  33.660545 43.027203 37.285305 24.534475 41.949272 33.049046 80.81077  55.412987,330.21277,18.171757442655004,0.31069535,rolling12,6,0.002845309675763283
 82.55914   61.29875   41.156666  51.106422  46.527832  41.044132  43.760365  56.76406   43.185642  45.981274 100.32408   37.11218 ,378.56265,19.4566865778295,0.28340405,rolling12,6,0.05563488298041591
 78.293335  68.24826   69.95373   32.401684  42.876293  40.913795  62.540157  58.210102  47.811253  46.224873 121.78111   67.86087 ,642.8234,25.353962713804105,0.29975334,rolling12,6,-0.2833150006005724
 78.550476  75.99775   76.12122   37.725113  47.21045   42.729084  66.52273   60.346733  40.079937  51.799664 120.77819   74.99752 ,524.9924,22.9127119871365,0.30726844,rolling12,6,0.20192215113725537
 87.21472   76.67243   56.405666  52.219337  49.855667  47.232594  54.264767  52.17383   34.95988   45.390644 110.426056  65.681404,737.0181,27.14807778538669,0.33137813,rolling12,6,-0.3158569761237125
100.383316  71.25572   41.461823  56.918575  49.877705  53.9654  42.82021   51.332012  37.998104  33.930363  96.86104   53.310993,1083.4261,32.91543934783398,0.36605334,rolling12,6,-0.38868768216715427
92.2094   69.801346 41.120464 48.017185 54.384888 61.150208 29.253265 45.91607  44.352406 31.83012  91.44447  52.769516,926.3938,30.436717937848112,0.36279407,rolling12,6,0.03419872368695445
80.83067  68.93752  29.568554 50.609993 67.47247  64.17248  27.808039 42.88899  52.135487 31.948067 90.53018  50.91783 ,1043.104,32.297120675166234,0.3065145,rolling12,6,0.035356301243054326
83.49993  69.74379  36.082176 47.293327 65.43914  62.127758 41.63872 40.37341  54.55878  36.69389  88.436646 58.781876,1991.9994,44.6318203712154,0.41419268,rolling12,6,-0.2315364396498447
81.07785  69.57084  42.208298 45.45567  52.655346 67.567245 43.43308 39.82799  52.061962 38.992287 81.97539  61.022793,2939.5076,54.21722575307017,0.46640995,rolling12,6,-0.46933172543190255
95.295456  77.23834   42.130226  58.745136  57.988087  76.99696 13.9180975 56.723625  36.26205   33.940765  83.484764  51.67121  ,1812.334,42.57151611553199,0.39898953,rolling12,6,0.3667633765614967
69.89702  66.692795 53.79285  29.62788  88.17913  28.08891  84.54182 46.83972  66.70745  31.782047 66.81033  45.892876,1437.5592,37.91515797278922,0.36514828,rolling12,6,-0.1320175085782987
56.84427  40.644886 39.844368 74.31385  65.30531  46.463284 70.804634 37.021    69.67201  24.26524  69.75738  30.604326,3333.1995,57.733867555280106,0.4949863,rolling12,6,-0.10342336630628052
62.818253 62.176014 49.32219  77.66981  65.96713  52.67453  55.231354 44.835476 45.759117 44.879307 49.60625  17.624   ,4475.572,66.89971432931347,0.5530091,rolling12,6,0.11256578091562564
115.60427   55.089176  49.267128  70.86522   74.30105   68.72368  35.42877   58.52726   41.239017  45.745197  68.263954  43.362022,2198.2874,46.88589717085112,0.41534653,rolling12,6,0.5124199894553967
86.16987  48.630608 53.238396 43.828995 87.63584  75.17383  50.487442 47.405083 64.80014  23.836863 47.008015 47.612545,3007.3542,54.83934944952279,0.41931394,rolling12,6,-0.459615871690116
 55.987766  43.7686    59.58201   63.79664  100.16008   62.5427  82.76793   36.81122   76.52391   26.399902  49.9514    46.148815,4884.3726,69.88828627598298,0.52380615,rolling12,6,0.1357489511071444
 83.42843   60.587536  68.15915   86.19622   87.916275  53.200882 103.46585   61.339832  61.86033   40.871773  58.9305    65.93702 ,2957.3665,54.38167388999832,0.42830315,rolling12,6,0.44379896921111034
