predict_data,mse,rmse,mape,smooth,skip,result_corr
80.388626 16.633007 35.94575  36.336838 33.299572 66.61959  37.650627 26.7246   57.934135 26.154787 13.073567  8.415195,1989.5474,44.604342426284575,0.5792836,weighted6,6,0.1457358724516288
81.62605  61.119884 52.4628   41.94271  42.62031  42.248146 29.909466 49.95395  46.028133 19.329348 30.397017 34.024616,499.308,22.34520113841036,0.31957102,weighted6,6,0.8093563086593109
 64.50663   30.240067  98.60231   24.634724  60.90863   50.676903  19.222084  37.286583  58.472145  42.78241  106.04946   59.376476,661.82214,25.72590413483436,0.39515865,weighted6,6,0.15563133345949462
 36.9617    44.97865  100.34976   63.047947  58.58272   88.25404  34.838303  46.88636   55.111385  66.25774   58.518036  50.020935,398.8497,19.97122181860024,0.2795917,weighted6,6,-0.02301715927394731
67.08795  10.257647 81.28169  61.791798 35.62865  93.94538  24.096003 37.38996  38.20823  46.360428 24.812885 47.29    ,815.6167,28.55900382048978,0.45105588,weighted6,6,-0.3149031324502247
81.85216    3.0602813 78.64429   39.109585  56.195328  76.52822 24.598503  41.229137  70.9092    38.768867  14.999925  30.791655 ,783.33466,27.98811633107378,0.41749272,weighted6,6,0.1222615242246393
87.32297    7.5361543 65.894554  16.97254   67.76657   61.1899 14.638488  43.60847   68.3444    28.055538  16.656357   5.309459 ,1602.3729,40.02965057060438,0.5333471,weighted6,6,-0.29861591040558044
90.78421   32.36594   73.190384  10.639328  75.78355   67.93815 14.963264  45.141144  59.130363  31.91433   28.35442    3.1929216,1968.3541,44.36613715410169,0.47862625,weighted6,6,-0.5656392019524772
93.77401  51.135464 76.61268  16.371494 59.37164  65.21125  13.283554 52.038002 37.34406  27.046513 53.439926 25.999308,1808.5109,42.52659008500226,0.44649637,weighted6,6,-0.4619188098005547
86.78294  50.220325 90.68861  25.588787 54.94316  59.21236  14.593108 46.776073 53.55064  35.08903  56.661777 30.185009,1168.4508,34.1826096965118,0.37225345,weighted6,6,0.2864637458366677
87.27597   39.267956  73.06849   26.077347  51.409977  76.1235  4.9686327 46.990993  61.877262  34.226677  35.260155  22.368727 ,1837.2539,42.8631999067965,0.4405516,weighted6,6,-0.2959680715559788
