,predict_data,mse,rmse
0,"[53.65548  30.345625 52.71472  57.63967  63.63087  14.442843 55.298225
 77.16065  58.926056 47.19324  65.40558  46.046013]",911.1351,30.18501401027969
1,"[58.383766 40.458958 53.853603 60.024693 60.30378  12.230298 28.547512
 63.215057 66.19892  46.261944 70.995705 56.46672 ]",1102.9967,33.21139419087314
2,"[44.270638 59.688637 29.655283 50.50275  48.292297 28.357977 46.805103
 72.67529  50.810303 69.70999  74.81627  31.092667]",1081.9064,32.892345189577355
3,"[45.762432  32.48502   57.192688  49.8414    83.47576   39.976013
 70.62177   71.656204  65.64598   61.953854  81.02945    2.6666784]",906.58673,30.109578724336732
4,"[71.091034 22.52568  64.19867  51.097023 57.663128 60.36098  61.835506
 56.38814  55.446415 58.91133  71.16317  11.285297]",450.2656,21.219462634157868
5,"[45.512768  81.152794  42.72147   27.916653  15.528116  52.322968
 40.69968   39.533497  56.26259   66.33188   29.013466  -1.6407368]",563.26447,23.733193323529626
6,"[35.978363 76.59684  33.898006 34.559612 63.77094  64.557365 30.869957
 35.095856 23.714296 73.102516 39.438015 10.967027]",457.99466,21.400809784300876
7,"[53.48202  53.139412 44.06341  62.99413  73.51837  64.97142  14.311546
 34.913517 31.220629 67.40375  65.37025  22.089542]",367.74808,19.176758782249365
8,"[57.76938  56.267307 49.455444 78.58456  61.274845 53.189407 -8.468883
 40.698193 49.559307 63.487877 75.34524  38.668926]",462.92822,21.51576683867554
9,"[71.54343  49.754955 41.82452  71.068375 51.521076 45.454323  9.177833
 78.78539  67.38231  72.96447  74.82514  38.062862]",407.31284,20.181992857330997
10,"[70.574974 31.269312 49.164127 89.25884  58.581177 44.53121  25.795147
 86.68813  71.78685  62.58434  87.05706  40.21072 ]",477.6959,21.8562552221094
11,"[ 69.53424   33.4998    41.08768   91.2506    63.546993  46.34091
  24.317883  79.01251   42.034786  67.06223  111.62843   40.640087]",611.82074,24.73501040521499
12,"[63.191475 39.282402 51.412846 75.403435 52.884098 30.371836 35.254784
 71.934616 42.212887 57.633923 73.55249  30.652466]",303.9432,17.43396704101248
13,"[56.578045 22.773378 60.226585 81.159904 57.58674  31.101923 32.701317
 82.2227   38.852142 66.261284 67.13185  41.940308]",409.85806,20.24495153721393
14,"[49.490562 12.523362 64.81152  83.28805  65.33011  29.306067 33.285667
 93.107086 40.229618 64.596924 62.818634 40.145416]",593.33655,24.358500525515986
