Unnamed: 0,predict_data,mse,rmse,smooth,skip
0,"[62.41982  43.021584 74.300125 68.24084  56.80783  47.950268 48.616776
 55.576923 45.402416 30.47621  82.02115  72.78742 ]",785.58624,28.028311448886484,rolling3,2
1,"[52.18774  60.051407 63.153877 76.31921  57.60431  52.896828 68.5197
 56.57427  52.675846 42.132435 58.758587 78.49625 ]",445.96326,21.117842144403333,rolling3,2
2,"[ 46.511837  66.56561   61.90988  102.41412   43.66872   67.28669
  46.435177  44.60742   45.784443  44.86545   46.61268   78.64744 ]",567.34296,23.81896212144788,rolling3,2
3,"[61.491627 37.171375 21.285648 79.78848  57.11561  49.371136 30.699442
 39.489227 35.078    46.216423 55.80282  81.68786 ]",959.20026,30.97095827299595,rolling3,2
4,"[62.404705 45.227997 44.564156 65.346695 47.75257  50.78534  49.280922
 18.404943 54.493042 61.869564 35.10081  64.79701 ]",405.6335,20.14034543905086,rolling3,2
5,"[53.163734 64.33203  44.33438  39.126575 35.81475  39.35475  68.21554
 22.622746 68.22627  53.089634 30.83968  71.30756 ]",328.3364,18.120055056860945,rolling3,2
6,"[62.305607  50.721287  48.569317   4.7747364 53.76612   24.64414
 67.26157   20.677305  72.796715  56.101334  50.515244  74.41008  ]",431.03162,20.76130092771013,rolling3,2
7,"[79.18257  41.88136  45.03257  -5.031795 70.40487  31.71133  53.9375
 17.067291 43.452587 58.11758  59.088352 67.39666 ]",492.69983,22.196842773276614,rolling3,2
8,"[61.377926  50.875767  36.142315  -2.9814482 70.57868   25.77442
 65.29252   16.507343  49.694298  66.33319   31.895945  69.17959  ]",521.9236,22.845646937313354,rolling3,2
9,"[64.193375 41.615704 42.9717   30.767614 68.56495  34.585888 43.114975
 24.164188 32.68069  61.30105  39.38561  61.564564]",234.5816,15.31605706452892,rolling3,2
10,"[69.34024   34.43019   24.770136  49.874275  76.25452   57.363018
 20.874762  35.893585   5.6934514 70.40125   66.547455  72.82023  ]",504.43692,22.45967319811256,rolling3,2
11,"[64.36168  58.114452 47.33736  67.587105 67.260315 66.41548  37.80146
 35.214325  8.794418 89.00918  68.84665  87.682785]",437.92874,20.926747034717987,rolling3,2
12,"[62.14091  52.54072  54.9856   59.957836 59.1745   54.644363 50.945942
 26.590803 21.228403 87.58409  73.64296  93.19964 ]",356.99307,18.89426030597032,rolling3,2
13,"[48.174656 43.770046 59.22512  71.22854  59.127747 57.91563  40.22628
 26.019133 30.63704  87.057396 66.49777  95.74906 ]",515.718,22.70942574302849,rolling3,2
14,"[47.498524 43.71591  67.6976   82.31767  55.01272  56.300625 32.060482
 25.117294 34.520123 86.947754 72.70055  94.128265]",647.1826,25.43978414192031,rolling3,2
15,"[50.271004 38.34616  73.32752  79.608444 57.05408  54.245335 30.081064
 16.550638 39.11822  90.2998   74.24     88.460175]",551.0041,23.47347629464943,rolling3,2
16,"[49.016758 33.875885 75.80414  75.73452  59.698273 49.30006  34.0733
 17.197624 49.406948 88.68526  68.48249  91.094536]",419.81702,20.48943670776633,rolling3,2
17,"[49.323128 26.448421 85.288826 74.53619  62.903988 45.465153 36.979527
 17.14601  54.741833 85.44068  73.97653  92.14377 ]",453.63318,21.29866612515764,rolling3,2
18,"[49.167446 27.283663 86.42206  72.93977  59.475685 45.599407 41.710278
 17.26126  53.56976  80.929054 74.277794 93.84724 ]",467.8457,21.629741171012657,rolling3,2
19,"[48.891926 32.524292 87.1154   66.11722  59.064026 46.179134 49.18916
  8.783483 53.573544 83.57129  71.648834 91.427635]",643.77985,25.3728170724381,rolling3,2
20,"[54.461773  36.316246  79.10614   61.868023  59.637505  39.985092
 48.075      2.7750497 59.147232  85.01871   71.95689   89.955376 ]",757.66815,27.52577250242886,rolling3,2
21,"[65.647446 26.847479 68.68032  61.971004 62.403374 39.962696 45.299908
  4.560825 51.93645  88.043724 79.190384 88.76782 ]",879.2679,29.652451556334785,rolling3,2
22,"[65.406105 32.62292  64.29784  62.543545 59.162037 48.835148 51.945652
 12.277984 35.227955 92.31467  75.41493  92.11463 ]",906.28033,30.10449027093228,rolling3,2
23,"[ 54.818684  45.51072   67.12469   64.829544  54.003822  53.417835
  68.245575  12.388125  37.57065   93.10558   61.320774 102.26077 ]",890.7309,29.845115111121515,rolling3,2
24,"[ 49.287174  43.114834  69.89415   64.96076   50.603527  44.76911
  65.58372    8.540145  37.149033  95.20843   58.890064 105.39649 ]",1134.2316,33.67835458247348,rolling3,2
25,"[ 53.283604  44.191586  61.00792   65.40129   44.86801   37.66751
  61.89922    5.171431  42.28366   91.86524   54.5349   105.64199 ]",1358.1823,36.85352426806102,rolling3,2
26,"[55.189533  46.292507  58.059063  67.42244   35.043102  38.305695
 58.498158   4.6911454 41.98058   91.21689   59.935173  99.026054 ]",1421.8973,37.70805403182704,rolling3,2
27,"[62.961845  37.007122  53.751488  58.789608  36.429497  40.08638
 50.882206  -4.9384923 40.252384  95.63431   57.061203  85.88943  ]",1523.5059,39.032113181007766,rolling3,2
28,"[63.06       27.167406   59.424885   59.82357    40.592865   46.42022
 54.348747    0.31150353 40.817963   95.93793    46.86251    94.48527   ]",1306.7589,36.149120475231655,rolling3,2
29,"[ 58.790455  16.722647  65.14784   63.881954  41.25394   46.446365
  54.369175   8.965762  39.981026  96.29704   56.508144 102.25814 ]",1109.0173,33.301911866803906,rolling3,2
30,"[ 56.200138  19.385555  62.771267  64.14119   42.22682   44.86287
  52.722237  13.84926   41.023003  89.5371    58.853474 106.86594 ]",997.8364,31.58854896606126,rolling3,2
31,"[ 54.605236  28.3236    60.384624  63.55895   42.7755    48.778194
  49.720364   9.839794  44.12601   87.17697   53.77325  103.816864]",1209.8912,34.78349084481836,rolling3,2
