,predict_data,mse,rmse
0,"[64.27629  11.058796 17.376465 58.435135 54.196632 41.63418  23.606134
 47.252438 45.334103 33.87147  25.810755 38.49665 ]",1451.378,38.096955938208666
1,"[47.520042 36.28716  34.648415 39.54719  49.690716 24.77002  58.553978
 45.584023 37.664833 37.63777  46.713757 49.470776]",1114.2837,33.38088811590024
2,"[22.630983 14.018316 41.907394 49.083786 34.682323 33.691196 20.601437
 33.735382 50.070377 21.759485 26.542492 55.15844 ]",729.6758,27.01251156871571
3,"[ 9.172144 28.721022 52.630993 34.105225 59.909286 22.25195  40.281425
 56.919334 54.73202  48.2748   15.12912  52.338474]",397.82654,19.945589439420875
4,"[10.683436 42.652203 40.765057 53.31247  47.80774  31.751945 26.239208
 65.01976  61.574852 36.673447  8.642587 45.58687 ]",594.60034,24.384428264711786
5,"[12.858479  40.401752  42.57646   51.09681   62.33954   29.160147
 46.35708   54.77911   56.539925  39.793552   1.8226583 44.07441  ]",573.7161,23.95237202216685
6,"[27.736713  23.934977  30.38144   56.573917  65.19774   29.30016
 41.229443  45.30807   36.397514  27.617537   4.8222756 46.382248 ]",976.409,31.24754384878964
7,"[29.50725  14.465926 24.232304 60.802868 63.276196 20.32142  38.126072
 46.72748  36.686916 17.776943  9.790174 50.728436]",1697.6447,41.20248358194336
8,"[35.769745 16.476782 16.458738 59.852364 45.229836 12.417915 28.35712
 47.273884 54.22572  13.401178  5.89657  42.175774]",2725.7395,52.20861520815434
9,"[31.008387 33.743    21.174164 36.49058  51.616722 15.045368 38.308445
 41.335556 51.9094   17.290163 16.171347 44.225414]",2356.3298,48.54204192227986
10,"[40.58091  21.86163  22.064192 42.20137  49.31778  27.490576 31.9932
 44.44634  44.862247 17.465965  9.950694 40.6349  ]",2191.8904,46.81762895383933
11,"[39.996326 19.420847 14.18816  48.060654 51.94504  19.319962 29.852816
 47.522686 40.4533   12.926548 19.912746 48.824974]",3363.3623,57.994502366064836
12,"[42.857338 25.86562  13.242108 46.70561  44.390057 17.507378 26.020695
 46.95351  46.441334 12.464898 22.285    42.424454]",5438.8223,73.74837127438815
13,"[25.406862 48.669147 21.585894 18.141043 41.67183  15.979827 50.34734
 53.746002 68.6905   30.633791 16.955263 33.56483 ]",4583.2866,67.69997504500094
14,"[36.263676 37.26351  38.461746 27.223448 56.118893 30.73276  52.916744
 39.85416  60.619186 19.38195  18.808409 61.572437]",2483.1243,49.83095692015281
15,"[59.894318  9.055488 19.316006 41.810047 75.34403  29.170906 43.59034
 41.63465  54.89072  38.090057 32.645195 56.118233]",3323.1592,57.64684882703911
16,"[49.71854  38.42353   2.637276 51.999332 67.112724 32.39058  14.659067
 31.183336 27.936646 40.792946 47.686115 50.69425 ]",6307.108,79.417302334921
17,"[38.94712  50.10638  18.88823  37.660046 73.09787  25.803158 56.338028
 40.141415 73.85277  50.936977 21.462713 49.093033]",4853.3545,69.6660210733145
18,"[38.95966  48.686474 33.105083 32.653442 64.74397  31.816872 86.41541
 27.6608   90.051254 44.22589  31.104984 60.33478 ]",3064.4958,55.35788877485643
19,"[50.6716   19.901056 30.80977  39.93308  65.52108  39.16533  60.17076
 47.640953 77.63977  49.319927 26.796324 51.724342]",4979.045,70.56234776334331
20,"[54.074566  24.590513   9.8410635 40.77893   76.62288   39.45962
 40.195854  32.24206   61.198753  55.08417   22.84807   71.37843  ]",7162.894,84.63388235788756
21,"[68.293686  64.601364   4.8468432 19.938267  74.56107   16.272665
 60.348537  35.514942  75.123474  54.09545   35.6471    31.199087 ]",4717.987,68.68760307658326
22,"[47.12991  51.230206 38.641457 24.803503 56.059067 37.647243 75.430786
 39.531685 77.7522   37.671024 36.28223  61.104427]",2426.537,49.25989351769855
23,"[28.786993 32.16199  47.684746 20.526512 65.149    35.34581  80.401146
 45.083755 81.00874  52.038483 13.871157 55.622986]",3465.251,58.86638239744736
24,"[48.85092  39.089706 10.626371 30.743128 69.301796 30.172846 21.845493
 34.326843 62.30995  35.065273 19.128996 39.57975 ]",7196.9004,84.83454715282566
25,"[68.552826 45.46463  18.85664  30.371902 74.0111   26.703259 48.16622
 48.207108 65.02282  45.46763  27.72417  52.71447 ]",5431.984,73.70199377709365
26,"[55.225048 52.164375 36.315056 42.6218   56.592655 45.721016 72.59003
 39.481583 74.69243  37.284332 32.96675  58.279736]",2480.3328,49.80293930755368
27,"[45.907974 42.16744  43.187485 37.436565 74.356476 40.480408 77.93286
 38.70431  97.45055  59.665394 22.716066 61.373146]",2519.445,50.194074036278174
