Unnamed: 0,predict_data,mse,rmse,smooth,skip,result_corr
0,45.732285 66.95371  39.892014 51.886074 31.101597 67.10357  54.118484 37.92068  60.147026 53.454494 25.491192 30.077198,998.2327,31.594821206184744,weighted3,2,0.06545382191271089
1,47.35637  58.089508 43.962025 30.866262 34.658257 63.440292 61.61228 46.25477  49.873302 55.92156  30.71898  44.15106 ,944.8527,30.73845673042108,weighted3,2,0.08255658463732794
2,53.745106 51.73856  62.81859  23.30463  30.20899  61.52152  58.70216 46.003407 44.592575 60.43855  46.757153 62.840416,908.0358,30.133632831716767,weighted3,2,-0.3125171481134845
3,45.388107 61.980396 60.307262 27.519566 39.307034 45.303482 63.144382 44.692142 59.71534  52.960587 40.860462 69.00706 ,686.28595,26.19705994395232,weighted3,2,-0.20443449014454854
4,36.467445 48.630665 51.081287 45.105038 49.710903 42.666374 48.567066 37.65111  68.214836 54.83911  44.732815 49.191982,450.24112,21.218885912902348,weighted3,2,-0.3508262195430839
5,61.133766 49.963806 45.790512 69.177376 65.65574  85.6514   52.9264 33.16558  63.28848  57.706207 29.92027  29.927124,290.88336,17.055303040884564,weighted3,2,0.17480568078307235
6,63.59243  71.39376  47.725838 72.32112  71.14386  83.19266  51.64304 25.010052 59.69844  49.28349  36.30954  28.600746,299.92435,17.31832402179345,weighted3,2,0.2603732562560743
7,44.75623  60.740463 35.005608 93.03354  60.21578  68.076546 34.238575 46.29788  66.90674  50.115288 46.075523  9.70659 ,429.86118,20.73309372807419,weighted3,2,-0.377688308369456
8,46.35135  65.450165 63.490185 92.16657  60.85666  62.46089  41.506058 66.53271  71.5723   50.67908  39.05095  40.863644,306.46652,17.50618525598301,weighted3,2,-0.5961882777905291
9,47.471344 59.500645 62.5748   84.02986  50.074265 82.976456 48.121197 62.638332 79.220055 56.58664  39.71796  64.984856,305.3297,17.47368627147868,weighted3,2,-0.10547120456056172
10,42.804676 65.94689  47.25228  84.56135  49.43899  73.363556 44.801674 60.052135 74.92846  65.18232  37.156075 57.048725,250.34718,15.822363389441511,weighted3,2,-0.13347049118650706
11,48.94739  69.20104  62.831486 90.32634  52.490982 64.686104 43.068146 72.272285 73.499344 78.75371  49.130646 49.99774 ,306.26572,17.50044903860282,weighted3,2,-0.20546427548127266
12,48.88497  71.14141  46.164013 81.09439  43.128883 83.068954 31.88181 64.37571  82.27713  65.08909  31.223507 39.752415,409.75684,20.24245133222506,weighted3,2,-0.13618381846750618
13,48.64028  76.46422  55.46342  66.89959  35.874615 90.70513  38.27887 50.66429  86.12386  64.93388  21.700996 53.317974,392.65775,19.81559349001004,weighted3,2,0.12414187024425435
14,49.44642  82.24659  62.69424  64.77646  29.322502 96.19122  43.640167 47.550674 86.900635 70.79978  14.404677 52.66025 ,508.50626,22.550083283737905,weighted3,2,0.16379621600424732
15,46.871754 80.94844  60.807865 60.212456 27.77841  98.85271  47.992188 47.83717  91.03821  69.971695  2.915558 51.31104 ,656.847,25.629026217616644,weighted3,2,0.06427207478275097
16,46.477436  76.66311   67.70027   54.98521   27.307894  98.81135 52.373642  47.39897   92.68212   62.74339   -3.8894696 47.316345 ,767.8377,27.709884653667025,weighted3,2,-0.0852479668887309
17,46.2745    77.845055  75.337105  54.112823  33.625385  94.9792 52.446716  46.53253   86.64966   55.778675  -2.4470155 51.732067 ,831.46173,28.83507813336096,weighted3,2,-0.39907556908364444
18,45.61954  84.046364 77.72674  60.83991  34.76929  84.889725 53.268898 47.11426  82.86071  57.341732  4.139366 49.41938 ,797.3205,28.23686412485404,weighted3,2,-0.3923743564182797
19,44.596985  78.02575   75.95404   59.667347  41.82261   84.95787 53.334602  48.862427  84.10259   53.22864    7.6368575 52.508224 ,752.9936,27.440728694927067,weighted3,2,-0.3040471905770264
20,45.302895 75.061295 90.34177  67.26008  49.60516  80.57698  55.610847 43.075348 81.440575 51.57188   8.386294 60.001976,790.708,28.11953071821256,weighted3,2,-0.31868611403062813
21,44.844303  78.971855  79.49223   63.624397  56.595413  79.72051 51.411972  37.111996  79.2884    49.479774   3.4672022 65.508736 ,855.4545,29.24815428037457,weighted3,2,-0.19555408916186295
22,44.090057 77.38484  75.11116  78.66186  46.598133 73.181915 43.037075 44.943283 73.23591  55.358612  8.77655  54.74031 ,909.7769,30.16250845841417,weighted3,2,-0.3087803666972729
23,44.93263  77.60675  65.69537  83.54896  43.098064 70.844376 42.459686 38.280228 72.09994  54.954266 15.963872 50.577198,1032.0109,32.12492590275988,weighted3,2,-0.39058324377299436
24,53.126026 82.613884 63.96846  78.7491   40.46721  75.41187  32.233173 36.059082 65.40771  51.136864 18.032576 53.407665,1170.6172,34.21428338428265,weighted3,2,-0.5117922689539107
25,48.897194 85.99622  57.551727 71.89024  45.20223  80.37568  26.274889 29.836197 61.9073   45.688416 14.686632 51.756683,1346.2443,36.69120143433999,weighted3,2,-0.18978378761149728
26,52.506954 88.94263  57.30373  72.10195  45.62149  90.19297  31.733263 31.611103 58.419403 50.05262  19.919235 54.2838  ,1077.3495,32.82300241149014,weighted3,2,0.28426152351760064
27,53.33466  75.40638  54.72307  67.168755 44.48763  99.73044  38.59395 29.954407 66.08058  55.45897   8.225352 47.49404 ,1028.1105,32.06416182645061,weighted3,2,0.4915383958183658
28, 52.094193  59.849545  56.694225  61.91819   38.41015  101.03847  41.451797  35.6698    67.458755  50.669      3.224241  39.348434,1157.4863,34.021850745146125,weighted3,2,0.2639113843082076
29, 56.54416   62.726494  66.74988   63.311436  47.42286  101.16539  36.089256  39.95611   57.83041   46.815834   8.062072  43.97255 ,1109.6849,33.311933845447,weighted3,2,-0.1244730720109787
30,52.54012  66.09425  60.523785 71.942535 47.69287  87.79362  32.350487 35.506454 59.218746 50.35411  11.888733 43.951523,1275.2988,35.71132632828134,weighted3,2,-0.5054506620502559
31,49.605892 65.33299  62.283306 73.24004  47.779587 79.17708  31.459562 32.158665 55.037876 52.25254  18.632858 49.192707,1498.9796,38.71665809774667,weighted3,2,-0.564270268278854
32,52.045742 66.556465 69.74     70.317696 47.191044 75.65387  37.660522 36.48965  58.150467 51.57078  20.01675  51.209526,1708.576,41.33492530300119,weighted3,2,-0.5623297578793288
