,predict_data,mse,rmse
0,"[62.335648 39.499218 55.13458  59.16233  50.915382 72.57366  54.84128
 54.21934  51.359833 48.51131  79.96744  37.923264]",426.74655,20.657844793532355
1,"[52.865498 39.61442  57.885723 56.41359  46.688408 69.37878  52.647427
 34.99792  43.82874  40.264553 70.39441  49.65289 ]",599.88434,24.492536381087735
2,"[53.925922 30.117233 48.75148  60.96466  48.20217  72.82517  51.875286
 40.343506 36.3708   41.37076  76.64678  51.1824  ]",647.13605,25.438868830262113
3,"[59.8039   42.02027  48.87254  71.66554  46.936592 72.070496 51.022213
 42.379417 36.48757  46.482285 70.50246  44.527786]",561.1363,23.688315505833383
4,"[75.324936 41.85008  45.301094 68.19353  37.19529  73.91965  61.34769
 50.241627 40.681625 58.12073  77.54482  43.18946 ]",541.2022,23.263753125251657
5,"[74.787766 47.19786  41.0642   63.624527 48.579197 65.42909  61.09159
 60.32006  39.58274  68.14282  68.7066   58.29222 ]",424.40894,20.601187721752233
6,"[89.76481  63.014668 58.92653  66.80622  47.18922  70.47936  70.21302
 78.40645  38.018173 74.6863   76.44541  57.070248]",291.11212,17.062008134508414
7,"[81.24429  72.73481  71.59266  54.83891  47.22677  54.696617 63.963676
 51.61317  45.42598  70.34561  63.034992 50.587376]",167.58992,12.945652553809149
8,"[71.35523  60.119846 65.87498  60.762352 52.100197 50.84038  41.846954
 48.552067 48.939182 73.18971  53.610184 44.85756 ]",175.68958,13.25479442297437
9,"[57.18401  54.23471  37.818367 56.43141  61.95967  48.24859  41.24545
 48.789177 51.000072 72.605576 47.086967 41.723297]",279.2987,16.712232228361582
10,"[56.61602  62.719303 29.69403  54.250973 76.04692  45.581184 55.869587
 51.7655   64.88219  77.65103  40.97847  16.849205]",382.9042,19.567938198038792
11,"[62.19329  55.997627 40.537174 62.596256 84.517334 36.275654 54.577694
 47.258823 62.216724 75.80284  55.9305   23.515867]",285.45676,16.89546556303782
12,"[72.81581  51.91624  40.495438 67.907    84.80687  37.74147  56.956913
 48.938095 64.43406  81.694725 57.50271  17.912775]",342.33264,18.50223342198348
13,"[64.08863  63.024887 49.61811  54.34282  80.42714  42.49132  73.87986
 43.155895 66.72835  73.08195  53.292618 26.92008 ]",236.48816,15.378171516135705
14,"[68.77952  62.41442  64.03901  57.102554 66.7614   42.71895  62.48741
 46.494755 72.284294 69.23358  70.17151  26.523283]",203.67163,14.271357008335787
15,"[66.920456 55.21868  58.713627 61.35067  61.20513  52.184578 56.200085
 32.371883 67.02112  54.011112 67.990524 32.838955]",133.13765,11.538528915599805
16,"[66.625206 45.3021   43.681232 63.53252  68.93473  63.59945  55.278305
 36.38702  63.14588  56.336308 72.97464  26.884235]",199.9575,14.140633093057076
17,"[69.70646  57.75931  34.463387 66.23986  72.78292  69.44189  50.64289
 40.763397 61.649616 60.065994 63.48604  16.149769]",287.0431,16.942346083713215
18,"[72.88791  57.458717 30.39702  57.262638 68.308464 69.83941  50.028244
 41.482456 62.581436 70.08147  66.092964 13.700777]",330.34583,18.17541815737158
19,"[68.07119  64.31587  24.604244 47.169468 67.40294  76.7142   52.645714
 52.843822 67.49047  74.79978  52.441177 36.199913]",266.1071,16.312789037489594
20,"[67.46369  65.35301  23.260847 49.711742 57.676445 96.24687  63.068077
 64.32198  73.56611  79.15943  61.02895  31.463245]",446.1699,21.122733993435176
21,"[71.67897  51.152424 23.147602 57.981003 50.014675 91.98595  59.961742
 59.770073 72.635506 67.9245   68.11337  20.100515]",432.67563,20.8008564405918
22,"[61.13657  40.45875  19.156525 65.56909  53.659805 94.02232  55.22251
 58.968834 76.21343  71.22306  65.715996  9.427221]",564.32477,23.75552079131094
23,"[56.735645 39.181854 10.275476 62.256195 63.908745 91.617676 62.136456
 60.42194  72.378624 71.32243  65.69802   9.138122]",588.37933,24.256531769733567
24,"[51.57423   44.709034  23.442955  62.272472  70.002     69.82695
 60.727837  51.75187   64.85034   65.22439   58.769196  -2.2324636]",479.03394,21.886843891865155
25,"[62.55211   44.201176  31.72721   66.84315   69.25435   69.710945
 54.83691   55.076954  50.53322   54.367466  54.905468  13.5135565]",309.67798,17.597669689922725
26,"[63.21095  43.364777 28.861979 67.5952   68.15976  72.90738  57.591
 62.49916  47.5091   57.468857 57.637733 16.259508]",282.68045,16.813103533834944
27,"[66.408966 41.777668 29.737957 69.83728  65.63776  76.44092  59.981136
 68.07252  44.16979  59.09345  63.309765 17.499811]",275.52487,16.598941888752183
28,"[68.75898  40.782692 32.27364  72.205124 64.999016 74.73271  58.932354
 69.872795 40.7452   58.43958  65.625404 21.316153]",248.66724,15.7691862925176
29,"[71.38393  38.393555 34.239975 75.15603  64.42747  72.896324 57.49258
 73.89061  37.298935 59.2042   68.40049  23.485603]",268.88156,16.397608401205858
30,"[75.761055 37.051918 34.517147 76.554924 65.18375  71.30157  56.29263
 76.89691  35.230076 56.944874 70.57575  26.178343]",303.56274,17.42305209028042
31,"[78.40764  37.007557 36.37351  78.69001  65.68719  70.5654   56.274483
 78.697914 36.703217 55.89396  72.6218   26.338713]",345.59473,18.590178228368334
32,"[83.141785 36.161743 38.13806  81.7429   66.11581  70.341064 55.984024
 79.492836 37.657066 54.053345 75.9619   28.644518]",405.06815,20.12630482110298
33,"[85.417915 34.616837 37.76712  83.93738  67.295815 71.405525 56.736534
 80.24817  39.47792  53.829445 77.49226  27.89149 ]",458.25473,21.406885112612937
34,"[87.50621  34.697987 39.469643 84.7919   69.0248   71.11029  56.761227
 81.457886 39.364777 52.34884  79.15243  28.277134]",489.23447,22.118645224170816
35,"[87.85551  36.963036 43.551334 85.089325 69.62197  69.06643  55.658154
 81.62229  39.9354   52.537766 79.49515  28.334146]",489.99686,22.135872620916782
36,"[85.743225 40.596886 47.88154  83.73861  72.34106  65.76912  54.017647
 79.83746  39.33863  52.261024 76.34578  31.35506 ]",450.78125,21.231609689328785
37,"[84.7118   42.584877 51.59148  83.94315  74.14568  61.481808 49.98722
 77.96808  37.363155 50.87476  75.8233   32.674248]",471.32114,21.70993174735032
38,"[86.69828  42.199146 49.684147 86.74217  75.464645 60.546715 47.46119
 75.38679  36.561577 51.004074 75.16556  29.974127]",554.6255,23.550488068854328
