Unnamed: 0,predict_data,mse,rmse,smooth,skip
0,"[52.710712 80.82679  30.056551 53.98572  53.567474 44.161785 29.243633
 47.902206 53.571453 29.385565 51.55093  53.420395]",896.0175,29.93355169521057,weighted6,3
1,"[48.8054   97.31328  26.003916 51.55255  55.570618 29.580366 35.906834
 37.579792 51.61896  36.512978 62.64565  61.02836 ]",1034.8427,32.16897031872776,weighted6,3
2,"[68.74299  51.872417 38.24651  56.35663  67.68729  68.28275  52.663403
 30.112495 63.199154 50.41597  50.451946 64.994095]",428.59143,20.702449871067493,weighted6,3
3,"[39.74931  69.209595 46.286777 69.15287  73.111336 88.99581  66.007484
 49.25651  62.217857 41.17611  32.870556 64.90624 ]",336.97348,18.35683742436614,weighted6,3
4,"[68.239075 43.367905 32.50147  47.562008 51.306217 69.16226  31.79359
 53.613087 46.378662 48.10103  17.313574 28.411945]",303.36118,17.4172665920089,weighted6,3
5,"[64.7002   49.116596 55.34398  66.9662   52.325214 78.32275  32.19519
 57.627495 69.32149  58.911495 40.821598 55.64608 ]",167.67618,12.94898366585253,weighted6,3
6,"[64.9055   58.07942  55.97921  80.68698  46.89887  76.514595 40.983337
 53.02678  62.47031  66.865395 37.199333 62.011616]",215.3542,14.674951525320546,weighted6,3
7,"[59.19653  59.466988 39.408382 80.92979  45.31628  73.56374  65.67012
 65.55452  53.176723 69.22077  34.269753 60.942352]",230.3056,15.175822976937486,weighted6,3
8,"[66.54165  78.07359  47.302383 70.65254  44.293427 69.55384  55.865334
 87.57037  42.008865 66.03678  31.351614 53.24074 ]",335.6804,18.32158261188964,weighted6,3
9,"[66.05227  72.14678  41.342373 74.70929  45.885586 67.76403  57.59542
 88.935295 49.03998  62.154457 27.769438 55.451008]",249.87038,15.8072887171366,weighted6,3
10,"[65.62178  71.00688  43.142372 72.247635 55.075726 69.83602  59.975735
 94.6431   48.9507   55.43285  29.522146 62.601368]",240.56606,15.510191981334453,weighted6,3
11,"[64.9007   72.55849  39.95478  67.65907  67.04796  73.679596 55.061028
 91.93674  47.378933 48.857044 27.860693 68.418106]",311.03543,17.636196611180175,weighted6,3
12,"[67.60191  74.00396  42.52183  65.80254  75.70254  73.7598   49.1706
 82.968346 44.173084 42.089863 33.31528  70.31609 ]",384.80154,19.616359096158828,weighted6,3
13,"[68.66458  84.693596 42.2545   69.326836 79.673805 68.8899   49.01747
 76.550385 39.091053 39.727116 42.600197 73.79443 ]",473.92154,21.76973907300316,weighted6,3
14,"[71.17763  78.70368  46.495766 81.84828  81.99014  74.24417  47.929325
 68.27081  38.04468  42.37491  57.449318 81.86277 ]",424.26468,20.597686252467245,weighted6,3
15,"[64.95773  87.28234  54.091183 87.404655 84.09719  70.294136 45.771435
 68.72745  31.789248 42.801952 62.354183 83.142624]",503.4836,22.43844049974389,weighted6,3
16,"[68.16043  91.299164 53.95196  89.90734  73.90065  60.18982  48.403896
 67.389114 27.87319  43.5498   57.562443 84.14015 ]",656.25616,25.61749723432758,weighted6,3
17,"[73.830826 89.88023  63.2721   93.110985 64.55692  59.895508 55.185658
 70.38335  33.669384 48.3677   57.317715 83.24028 ]",537.71313,23.188642365727773,weighted6,3
18,"[70.87315  78.254105 65.77081  89.38665  65.97602  60.433537 61.326424
 78.12391  36.652027 39.06152  48.515373 82.7988  ]",439.15503,20.956026085517145,weighted6,3
19,"[67.91334  80.18404  66.42116  82.24121  75.20429  68.72025  53.314358
 78.60577  41.26389  36.080467 34.46885  83.919495]",410.28113,20.25539750115232,weighted6,3
20,"[72.316216 85.9073   65.273155 77.44925  77.54321  71.634995 42.759174
 75.1129   41.803753 37.86115  31.747145 74.87435 ]",615.9474,24.818287364266546,weighted6,3
21,"[75.14499  80.9499   59.547127 77.22195  79.63272  74.87542  48.728004
 77.13038  39.23141  44.45463  42.669857 71.801414]",774.6157,27.83191913354611,weighted6,3
22,"[70.05051  80.59316  54.28712  80.17109  79.779526 71.78104  47.61145
 70.53947  35.87721  43.572414 50.15403  74.62954 ]",1146.9211,33.866224214962685,weighted6,3
23,"[62.392124 79.58511  54.461067 84.30853  81.146484 72.07459  43.600403
 66.835045 32.04504  46.917603 48.346806 76.2724  ]",1704.5406,41.28608299916647,weighted6,3
24,"[59.521435 75.24983  55.890465 89.0786   72.8522   65.216515 50.230625
 65.39134  33.27942  46.3256   50.787273 74.980156]",2121.0696,46.0550711657047,weighted6,3
25,"[54.19986  96.94538  49.476383 83.07681  59.666412 44.00481  45.35094
 55.590862 38.626644 47.227722 50.799965 75.83301 ]",2405.7463,49.04840810760962,weighted6,3
26,"[72.12314  53.9738   75.07434  68.741005 71.478195 67.24619  47.56381
 49.715435 60.7143   52.005413 28.438753 74.91859 ]",1603.2651,40.04079340770797,weighted6,3
27,"[45.092415 77.69191  64.3398   80.211494 78.14316  84.56697  86.750725
 71.04108  73.45418  42.75877  34.68007  81.99196 ]",950.6137,30.832024073941263,weighted6,3
28,"[74.28362  72.46711  52.314312 41.041523 69.979    74.503365 19.874474
 57.47297  46.61961  48.437183  4.227751 36.867767]",1925.2333,43.87748028735455,weighted6,3
29,"[ 57.41593   56.673386  56.494038  56.947853  87.96885  112.34305
  24.779085  80.04916   60.826805  65.63272   35.942257  62.489883]",1360.8271,36.88939073009339,weighted6,3
30,"[70.18243  67.62929  72.36623  80.95891  77.2217   83.86072  26.090958
 35.61958  54.243088 47.889484 52.834747 65.23316 ]",1955.9756,44.22641276361333,weighted6,3
31,"[49.888172 69.49574  53.290264 78.25999  80.04523  65.390495 41.411304
 49.091576 41.013126 58.725338 39.431652 73.51725 ]",2837.0244,53.26372512378852,weighted6,3
32,"[66.73183  57.192116 61.077187 60.996674 77.57957  56.69272  45.944485
 54.693542 28.745584 52.50703  46.97346  72.02472 ]",3566.031,59.71625411778082,weighted6,3
33,"[ 52.27798  110.17448   67.101944  70.8107    73.78974   48.303993
  55.656643  39.409336  46.775448  45.11403   50.88666   84.481895]",3176.886,56.3638712858523,weighted6,3
34,"[62.02184  65.35023  61.203197 64.44261  76.94709  56.9833   38.806984
 31.33847  51.070763 59.852695 34.31027  76.306015]",2973.9895,54.53429656604296,weighted6,3
35,"[43.855625 75.4112   78.037    77.11888  84.54974  85.563484 71.4601
 31.723162 74.68621  56.76239  32.390045 91.222755]",1642.951,40.53333257708633,weighted6,3
36,"[57.78751  57.237026 70.004974 66.33439  77.43115  84.51205  50.841824
 36.31738  69.56639  55.042004 14.009121 66.17595 ]",2284.5066,47.79651233925834,weighted6,3
37,"[ 55.280132  53.718643  72.69881   66.68423   85.93911  103.27291
  39.477463  44.589832  73.21439   68.98082   29.344717  59.8484  ]",2679.8975,51.76772605530882,weighted6,3
38,"[ 66.609886  49.662666  87.499435  70.75932   84.098    107.376205
  27.050743  48.388577  68.87982   72.258514  41.486393  63.6562  ]",3319.79,57.61761917211175,weighted6,3
39,"[61.333282 53.919495 83.48015  75.58807  82.66282  88.359924 49.28748
 48.139362 60.536297 62.959328 60.67102  67.98685 ]",3494.0652,59.11061821320156,weighted6,3
40,"[60.176548 86.448265 66.79211  69.70347  60.499264 47.400066 53.37235
 42.8671   39.60252  59.51278  75.112045 71.56569 ]",4103.409,64.05785806353113,weighted6,3
41,"[67.95559  69.02056  67.72308  67.48031  71.10144  59.270752 60.793144
 28.505127 58.241062 73.6679   64.8832   97.84732 ]",3077.8123,55.47803399417985,weighted6,3
42,"[ 48.68016   72.99024   89.20902   73.09242   82.52169   84.71324
  83.73939   28.050726  70.493965  52.981472  56.432907 102.29049 ]",1891.7941,43.49475907948925,weighted6,3
43,"[46.069817 69.422195 71.7713   71.7373   68.19064  65.720345 80.34771
 32.58996  71.24004  45.92015  29.358871 85.288155]",1779.7155,42.18667389237462,weighted6,3
