id,date,pm25,temp,rh,psfc,wnd_dir,wnd_spd
0,20130101 00:00:00,30.37,275.43,37.25,95350.46,214.8798663,6.277786234
1,20130101 01:00:00,30.415,275.35,36.19,95345.575,216.06848,6.213193851
2,20130101 02:00:00,30.39666667,275.28,35.29666667,95349.85333,217.1535378,6.162153986
3,20130101 03:00:00,30.2,275.2125,34.5,95357.7075,216.8698976,6.121615489
4,20130101 04:00:00,30.034,275.168,33.564,95365.254,215.5964186,6.031172456
5,20130101 05:00:00,29.76,275.1266667,32.59666667,95373.10667,214.3543367,5.982899196
6,20130101 06:00:00,29.52,275.0585714,31.78428571,95383.78143,215.1834215,5.933976917
7,20130101 07:00:00,29.10625,274.9925,31.06,95395.40875,206.7026709,5.890444043
8,20130101 08:00:00,28.54555556,274.9222222,30.46333333,95397.44222,199.9292824,5.842259679
9,20130101 09:00:00,28.792,274.957,30.971,95395.855,223.4088597,5.461759016
10,20130101 10:00:00,29.60545455,274.9809091,31.56909091,95392.61,245.6298799,5.082003233
11,20130101 11:00:00,30.24916667,275.07,32.07166667,95386.76917,7.016501745,4.713078345
12,20130101 12:00:00,30.6625,275.2058333,32.00583333,95377.935,37.51911382,4.307603713
13,20130101 13:00:00,30.83333333,275.4325,32.00083333,95365.7475,39.06583454,3.960508306
14,20130101 14:00:00,30.915,275.7258333,32.03916667,95349.88667,38.61288297,3.614408974
15,20130101 15:00:00,31.02,276.08,32.12666667,95330.1525,31.42956561,3.307780019
16,20130101 16:00:00,31.10083333,276.4675,32.35666667,95307.71667,35.20707998,3.053588567
17,20130101 17:00:00,31.20666667,276.8725,32.73,95285.035,34.78312037,2.78109742
18,20130101 18:00:00,31.61666667,277.2825,33.24,95261.8475,23.93957066,2.522590951
19,20130101 19:00:00,32.45333333,277.6433333,33.965,95238.775,20.59072789,2.218241466
20,20130101 20:00:00,33.58916667,277.9133333,35.22166667,95223.57417,145.6697828,1.804883374
21,20130101 21:00:00,34.30916667,278.0366667,35.83083333,95213.79,241.5429834,1.75928175
22,20130101 22:00:00,34.84166667,278.1158333,36.2525,95208.48,299.335267,1.767909978
23,20130101 23:00:00,35.8475,278.0616667,36.78833333,95210.83,334.6803131,1.799070788
24,20130102 00:00:00,37.47083333,277.8725,37.52666667,95221.10833,330.1540681,1.798609574
25,20130102 01:00:00,39.78833333,277.5525,38.5125,95237.78417,18.3056132,1.866803621
26,20130102 02:00:00,42.68166667,277.1175,39.72833333,95260.91917,42.18180757,2.127364848
