date,pm25,temp,rh,psfc,wnd_dir,wnd_spd
20130101 00:00:00,30.37,275.43,37.25,95350.46,214.8798663,6.277786234
20130101 01:00:00,30.415,275.35,36.19,95345.575,216.06848,6.213193851
20130101 02:00:00,30.39666667,275.28,35.29666667,95349.85333,217.1535378,6.162153986
20130101 03:00:00,30.2,275.2125,34.5,95357.7075,216.8698976,6.121615489
20130101 04:00:00,30.034,275.168,33.564,95365.254,215.5964186,6.031172456
20130101 05:00:00,29.76,275.1266667,32.59666667,95373.10667,214.3543367,5.982899196
20130101 06:00:00,29.37833333,274.9966667,30.87333333,95389.335,215.1834215,5.876675364
20130101 07:00:00,28.67,274.8733333,29.35,95412.02,206.7026709,5.782860773
20130101 08:00:00,27.62,274.7433333,28.04666667,95421.23667,199.9292824,5.682312525
20130101 09:00:00,27.85333333,274.7866667,28.61833333,95421.28667,223.4088597,5.021854701
20130101 10:00:00,29.24833333,274.825,29.90666667,95415.40667,245.6298799,4.291028881
20130101 11:00:00,30.73833333,275.0133333,31.54666667,95400.43167,7.016501745,3.443257494
20130101 12:00:00,31.94666667,275.415,33.13833333,95366.535,37.51911382,2.738532062
20130101 13:00:00,32.99666667,275.9916667,34.65166667,95319.475,39.06583454,2.138155838
20130101 14:00:00,34.21,276.7083333,36.03166667,95278.53667,38.61288297,1.546505422
20130101 15:00:00,34.18666667,277.3733333,35.635,95239.01833,31.42956561,1.593705337
20130101 16:00:00,32.95333333,278.11,34.80666667,95200.02667,35.20707998,1.816148253
20130101 17:00:00,31.675,278.7316667,33.91333333,95169.63833,34.78312037,2.118937346
20130101 18:00:00,31.28666667,279.15,33.34166667,95157.16,23.93957066,2.30664984
20130101 19:00:00,31.91,279.295,33.27833333,95158.075,20.59072789,2.298327095
20130101 20:00:00,32.96833333,279.1183333,34.41166667,95168.61167,145.6697828,2.063261327
20130101 21:00:00,34.43166667,278.7,36.02666667,95188.56167,241.5429834,1.924858162
20130101 22:00:00,36.73,278.1216667,37.69833333,95216.93333,299.335267,1.719671704
20130101 23:00:00,40.02,277.3916667,39.66333333,95252.02167,334.6803131,1.479204231
20130102 00:00:00,43.655,276.595,41.71166667,95285.05667,330.1540681,1.290569308
20130102 01:00:00,47.66666667,275.81,43.74666667,95317.49333,18.3056132,1.435280148
20130102 02:00:00,52.395,275.1166667,45.045,95353.22667,42.18180757,2.191468369
20130102 03:00:00,58.33333333,274.4466667,46.185,95392.55333,47.33450644,2.926824291
