date,pm25,temp,rh,psfc,wnd_dir,wnd_spd
20130101 00:00:00,30.37,275.43,37.25,95350.46,214.8798663,6.277786234
20130101 01:00:00,30.41875,275.3433333,36.10166667,95345.16792,216.06848,6.207811152
20130101 02:00:00,30.39581986,275.2639723,35.09013857,95350.3363,217.1535378,6.150149408
20130101 03:00:00,30.14776724,275.1838032,34.14942529,95360.10086,216.8698976,6.102753108
20130101 04:00:00,29.93645066,275.1311475,32.97313591,95369.70238,215.5964186,5.985012704
20130101 05:00:00,29.56058179,275.0798276,31.70606962,95380.07286,214.3543367,5.925834301
20130101 06:00:00,29.23019515,274.9839131,30.63584347,95395.19263,215.1834215,5.862150286
20130101 07:00:00,28.59992697,274.8891884,29.66632754,95412.22283,206.7026709,5.804462277
20130101 08:00:00,27.70176783,274.7844961,28.87966842,95412.51704,199.9292824,5.735679291
20130101 09:00:00,28.32867654,274.8764989,30.14179867,95406.65259,223.4088597,5.034828956
20130101 10:00:00,30.05072181,274.9393513,31.49732089,95398.14557,245.6298799,4.348599195
20130101 11:00:00,31.34495357,275.136821,32.5823572,95384.69959,7.016501745,3.691872417
20130101 12:00:00,32.03690902,275.4707579,33.2556633,95360.34693,37.51911382,3.296015694
20130101 13:00:00,32.11746131,275.8997044,33.56458691,95332.09828,39.06583454,3.072528784
20130101 14:00:00,31.98722323,276.3621012,33.63250054,95304.62241,38.61288297,2.877263038
20130101 15:00:00,31.80259328,276.8410018,33.5544161,95278.15431,31.42956561,2.785245714
20130101 16:00:00,31.56361536,277.2983393,33.39520306,95253.32763,35.20707998,2.758099094
20130101 17:00:00,31.25551883,277.6999914,33.20823564,95235.01652,34.78312037,2.711736093
20130101 18:00:00,31.53561845,278.0002461,33.17961754,95224.50982,23.93957066,2.683899161
20130101 19:00:00,32.28752437,278.1373699,33.42051139,95220.58953,20.59072789,2.56421974
20130101 20:00:00,33.14433836,278.0521449,34.58611492,95222.28818,145.6697828,2.236284568
20130101 21:00:00,34.17123568,277.8466056,35.89054203,95228.89751,241.5429834,2.118491298
20130101 22:00:00,35.73693025,277.5830134,36.94696013,95239.51639,299.335267,2.003642604
20130101 23:00:00,37.87778929,277.2409582,38.05679783,95256.94082,334.6803131,1.850900415
20130102 00:00:00,40.52336607,276.8580078,39.19163836,95274.26047,330.1540681,1.781473742
20130102 01:00:00,43.60909243,276.4359072,40.39315043,95293.01015,18.3056132,1.94051097
20130102 02:00:00,47.10147132,275.9698751,41.66355489,95316.76201,42.18180757,2.42166293
20130102 03:00:00,51.47733433,275.4667527,42.90998705,95345.2358,47.33450644,2.962153114
20130102 04:00:00,56.86166301,274.8935095,44.47151058,95378.27806,48.17983012,3.491181919
20130102 05:00:00,62.36265967,274.2331871,46.47384467,95416.96215,48.71197376,3.931598589
20130102 06:00:00,66.86609094,273.5318212,48.76771868,95467.66138,45.4053879,4.251063073
20130102 07:00:00,69.90734831,272.8359149,51.07754552,95524.64366,45.77327032,4.484852054
20130102 08:00:00,71.6810668,272.1429783,53.14009136,95585.46388,39.58493862,4.613852513
20130102 09:00:00,72.23510191,271.9387459,56.36030222,95653.41373,54.21102654,5.047250354
20130102 10:00:00,71.69429314,271.6766432,58.7795523,95724.79012,52.41194774,5.376403337
20130102 11:00:00,70.22851121,271.4705019,59.81445861,95797.05598,55.28495555,5.671085162
20130102 12:00:00,68.3001363,271.3779255,59.31735988,95865.61533,55.50330195,5.950946458
20130102 13:00:00,66.16406921,271.3705394,57.94613544,95925.16026,59.04990158,6.142577131
20130102 14:00:00,63.92166087,271.4028119,56.26269853,95982.82254,54.05072168,6.193461472
20130102 15:00:00,61.66319073,271.4670752,54.48775156,96038.10989,51.88394156,6.202706528
