timestamp,value
181801,57
181802,54.6
181803,52.9
181804,52.6
181805,51.7
181806,50.3
181807,50
181808,49.7
181809,48.1
181810,45.6
181811,42.3
181812,39.9
181901,40
181902,39.9
181903,38.7
181904,37.6
181905,38.3
181906,39.6
181907,39
181908,38.5
181909,38.9
181910,38.9
181911,39.6
181912,38.6
182001,36.1
182002,35.3
182003,34.6
182004,32.7
182005,30.2
182006,27.5
182007,26.2
182008,24.8
182009,23.3
182010,22.7
182011,20
182012,17.5
182101,15.6
182102,12.9
182103,11.4
182104,12
182105,12.5
182106,11.6
182107,9.5
182108,7.8
182109,8.3
182110,9.3
182111,9.5
182112,9.8
182201,10.4
182202,10.6
182203,10.1
182204,8.5
182205,6.9
182206,6.6
182207,6.6
182208,6.5
182209,5.4
182210,3.4
182211,2.4
182212,1.9
182301,1
182302,0.3
182303,0.2
182304,0.2
182305,0.2
182306,1.6
182307,4.5
182308,6.7
182309,7.4
182310,8.7
182311,10.3
182312,10.5
182401,10.4
182402,10.5
182403,12
182404,15.2
182405,17
182406,15.6
182407,13.1
182408,12.3
182409,14.2
182410,14.6
182411,14.4
182412,16.4
182501,19.6
182502,23.4
182503,24.8
182504,23.8
182505,23.9
182506,26.2
182507,28.6
182508,29.6
182509,30.8
182510,33.2
182511,35.8
182512,38.4
182601,41.4
182602,43.9
182603,45.1
182604,47.8
182605,52.1
182606,57.2
182607,61.6
182608,64.8
182609,68.3
182610,71.3
182611,74.5
182612,77.5
182701,78.2
182702,78.5
182703,81.6
182704,84.1
182705,85
182706,84.1
182707,83.8
182708,86.3
182709,88
182710,89.5
182711,92.9
182712,98
182801,101.7
182802,104.1
182803,105.8
182804,105.7
182805,106.2
182806,106.9
182807,106.3
182808,104.6
182809,104
182810,106.9
182811,107.7
182812,104.5
182901,105.4
182902,108
182903,108.3
182904,108.6
182905,109.5
182906,110.9
182907,112.3
182908,114.5
182909,116.9
182910,118.5
182911,119.2
182912,118.6
183001,114.7
183002,109.5
183003,108.3
183004,110.9
183005,113.7
183006,116.4
183007,117.9
