Unnamed: 0,predict_data,mse,rmse,smooth,skip,result_corr
0,38.45834   37.634468  25.007418  20.932653  32.021828  53.10171 37.113323  36.246155  58.577286  13.2543545 23.186346  73.31087  ,1330.9031,36.4815443227377,weighted6,6,0.16214748945187524
1,56.602726 64.71016  41.21545  41.945263 37.20713  71.281456 57.569237 26.627102 51.655666 12.080221 44.692074 63.12021 ,773.87726,27.8186494693898,weighted6,6,0.21141469792026568
2,66.537254 47.120018 51.677578 52.049637 41.65382  58.836273 22.97916 39.83443  50.488663 46.69395  38.42628  58.37713 ,148.7738,12.197286735620242,weighted6,6,0.4683268616242842
3,65.24134   62.84016   54.932503  57.62943   57.287205  45.616814  4.9229712 48.114197  70.61227   18.068113  39.27644   39.85753  ,374.66586,19.35628742907868,weighted6,6,-0.22677877060490909
4,49.48502  59.31886  53.89333  50.314194 32.21306  73.8218   20.2815 66.9792   66.13646  14.106147 33.08959  62.39192 ,470.29636,21.68631725768974,weighted6,6,-0.2551946245449152
5,50.116344 46.944576 35.75231  42.932682 29.760574 80.39166  37.4872 67.67338  55.093853 19.6758   15.788451 68.226204,509.54636,22.57313350426059,weighted6,6,0.11631152778551271
6,57.131027 46.947567 28.064856 42.210365 23.584396 89.82577  38.398758 63.35272  59.391167 15.040893  9.577751 70.36067 ,860.6345,29.33657310396657,weighted6,6,-0.1302042302167793
7,66.02861    50.541412   29.512495   48.70549    19.663149   86.09441 26.16025    67.41942    58.27639     0.44020066 14.825575   54.641598  ,1512.0148,38.88463411821966,weighted6,6,-0.25563406298566205
8,68.84561  46.909595 34.191574 55.462673 15.842279 89.55818  21.17677 71.81068  52.332817 -2.146353 21.47522  52.472553,2003.4293,44.75968410622513,weighted6,6,-0.3578164891479898
9,70.00882  42.791187 31.06727  59.877625 14.388495 79.48363  29.365501 73.71233  40.451393  8.517295 25.355827 53.899647,1721.0684,41.48576092317701,weighted6,6,0.19839513979456974
10,66.424355 36.909588 24.383425 58.255928 18.094704 75.343094 29.438438 79.47364  38.750618 20.524887 20.831131 57.667385,1679.1932,40.97796038487869,weighted6,6,-0.12789686378068665
11,63.890358  43.74407   26.978504  54.51014   15.409301  75.59129 33.330223  72.47201   40.530716   8.7780075 22.637571  50.63349  ,2812.7783,53.0356325531477,weighted6,6,-0.2265552257884645
12,66.01707   39.289036  39.726753  50.71529   18.367586  78.33494 27.81287   67.489426  43.445633   4.6381516 30.539701  44.09342  ,4253.94,65.22223502308282,weighted6,6,-0.3077699387991175
13,55.451393 39.71016  28.544327 70.24154  31.66969  76.21038  48.824238 51.55428  48.379684 30.92889  35.57568  60.23918 ,2825.9685,53.159839219653165,weighted6,6,0.09914169911802818
14,45.44772  29.891132 22.116917 58.87371  27.172127 64.6127   57.101803 55.577335 11.828368 43.677044 11.4834   52.228394,2673.4902,51.70580464875293,weighted6,6,-0.26714587495312797
