date,pm25,temp,rh,psfc,wnd_dir,wnd_spd
20130101 00:00:00,30.37,275.43,37.25,95350.46,214.8798663,6.277786234
20130101 01:00:00,30.43,275.3233333,35.83666667,95343.94667,216.06848,6.191663056
20130101 02:00:00,30.39,275.2185714,34.50714286,95352.21143,217.1535378,6.116469457
20130101 03:00:00,29.974,275.1073333,33.22866667,95367.70933,216.8698976,6.054352413
20130101 04:00:00,29.66225806,275.0467742,31.46935484,95382.02194,215.5964186,5.855667462
20130101 05:00:00,29.01603175,274.982381,29.5852381,95397.43683,214.3543367,5.797694349
20130101 06:00:00,28.54433071,274.8148819,28.23708661,95422.83181,215.1834215,5.718449698
20130101 07:00:00,27.37258824,274.6718824,27.10913725,95449.92173,206.7026709,5.651821543
20130101 08:00:00,25.71305284,274.515636,26.39818004,95431.78043,199.9292824,5.554112317
20130101 09:00:00,28.36411535,274.8931867,30.97355816,95406.65067,223.4088597,3.79396379
20130101 10:00:00,33.05434783,275.0566732,34.26338544,95383.39398,245.6298799,2.538591623
20130101 11:00:00,35.19269597,275.5534579,35.93210012,95352.94956,7.016501745,1.5965181
20130101 12:00:00,35.26135637,276.3068209,36.19608229,95298.69316,37.51911382,1.504293116
20130101 13:00:00,33.88559421,277.1484618,35.63300678,95246.5634,39.06583454,1.743889472
20130101 14:00:00,32.61275826,277.904254,34.80147801,95207.3205,38.61288297,1.825388359
20130101 15:00:00,31.74136584,278.5821373,33.98072648,95175.88977,31.42956561,2.072924228
20130101 16:00:00,31.04067757,279.1110727,33.2803579,95151.0497,35.20707998,2.346015647
20130101 17:00:00,30.35033615,279.4455376,32.76017696,95145.61983,34.78312037,2.408827629
20130101 18:00:00,31.6751706,279.5077689,32.89508874,95157.59994,23.93957066,2.473596746
20130101 19:00:00,33.96258748,279.1838842,33.79254523,95178.76499,20.59072789,2.203558169
20130101 20:00:00,35.82629463,278.3919417,37.28127428,95205.03251,145.6697828,1.350022509
20130101 21:00:00,37.73814777,277.5709707,40.0656378,95234.59626,241.5429834,1.42002805
20130101 22:00:00,40.93407427,276.8704852,41.33781905,95265.51813,299.335267,1.404006098
20130101 23:00:00,45.16703739,276.1352426,42.68390961,95308.11907,334.6803131,1.216420184
20130102 00:00:00,49.98851884,275.4626213,44.00195484,95337.95454,330.1540681,1.311488134
20130102 01:00:00,55.1542595,274.8063106,45.45097744,95366.25227,18.3056132,2.05663665
20130102 02:00:00,60.60712979,274.1231553,47.00548873,95405.97613,42.18180757,3.545126831
20130102 03:00:00,67.94356492,273.4265777,48.34774437,95453.04807,47.33450644,4.723647967
20130102 04:00:00,77.07178248,272.5982888,50.66387219,95505.68403,48.17983012,5.548711181
20130102 05:00:00,84.72589125,271.6141444,54.0319361,95566.86702,48.71197376,5.941767784
20130102 06:00:00,88.09794562,270.6570722,57.66596805,95655.75851,45.4053879,5.96909169
20130102 07:00:00,87.31897281,269.8435361,60.68798403,95746.01925,45.77327032,5.86626842
20130102 08:00:00,84.35448641,269.0967681,62.55899201,95832.19963,39.58493862,5.593120112
20130102 09:00:00,79.8122432,269.958384,68.27949601,95928.91481,54.21102654,6.507220375
20130102 10:00:00,74.2711216,270.099192,70.159748,96022.46741,52.41194774,6.84389221
20130102 11:00:00,68.2305608,270.219596,67.824874,96107.9187,55.28495555,7.065522644
20130102 12:00:00,62.9752804,270.544798,62.207437,96174.84435,55.50330195,7.275971843
20130102 13:00:00,58.7076402,270.937399,56.3137185,96213.41218,59.04990158,7.235168847
20130102 14:00:00,55.1588201,271.2586995,51.66685925,96256.41109,54.05072168,6.854002196
20130102 15:00:00,52.20941005,271.5393498,48.20342963,96299.07554,51.88394156,6.553740614
20130102 16:00:00,50.18470503,271.6946749,45.98171481,96354.11277,52.71050029,6.280950865
20130102 17:00:00,48.91735251,271.6223374,45.25585741,96415.41639,53.0920826,6.154476096
20130102 18:00:00,48.73867626,271.2211687,45.7779287,96488.54319,51.10803832,5.968038111
20130102 19:00:00,49.31433813,270.6305844,46.68396435,96559.5166,53.21507935,5.681022022
20130102 20:00:00,50.01216906,270.0852922,47.42198218,96624.5133,62.61649336,5.188621954
20130102 21:00:00,50.16108453,269.6576461,47.54099109,96692.73165,64.97444241,4.591840701
20130102 22:00:00,50.21554227,269.363823,47.72049554,96753.55582,52.39792778,3.861048141
20130102 23:00:00,50.43777113,269.1319115,47.44524777,96812.51291,48.91033781,3.330318699
20130103 00:00:00,51.02888557,268.9359558,46.82262389,96848.12146,46.62812384,3.033963572
20130103 01:00:00,51.53944278,268.7429779,46.32131194,96866.72073,45.1465362,2.899380064
20130103 02:00:00,51.91472139,268.5664889,46.02065597,96885.05036,41.51672853,2.671706808
20130103 03:00:00,52.8473607,268.4082445,46.17532799,96911.85518,35.80641775,2.575066864
20130103 04:00:00,53.97368035,268.2341222,46.71266399,96921.31759,39.27216468,2.456560805
20130103 05:00:00,54.96184017,268.0270611,47.556332,96921.8238,31.3902681,2.265018074
20130103 06:00:00,57.09092009,267.7885306,48.768166,96941.5969,16.73359422,1.931336303
20130103 07:00:00,59.79546004,267.5642653,49.874083,96951.33345,10.59942372,1.835510091
20130103 08:00:00,62.89773002,267.3271326,51.1020415,96987.99672,15.69779252,1.712393328
20130103 09:00:00,67.33386501,267.8235663,65.99102075,96993.38336,34.96512077,1.728678755
20130103 10:00:00,66.58193251,268.0667832,70.06551037,96993.08168,34.1458198,2.084718417
20130103 11:00:00,62.16596625,268.3833916,58.58775519,96975.64084,27.89727103,2.292659173
20130103 12:00:00,57.99798313,268.8466958,47.36887759,96917.01542,27.22867918,2.304690497
20130103 13:00:00,54.78899156,269.3933479,39.7244388,96843.98771,18.27490516,2.284445068
20130103 14:00:00,52.99449578,269.9916739,34.9022194,96777.39886,20.23527117,2.501091549
20130103 15:00:00,52.42224789,270.590837,32.3261097,96678.54443,26.37842063,2.623498796
20130103 16:00:00,52.98612395,271.0904185,31.73305485,96598.67221,30.22698675,2.712151126
20130103 17:00:00,54.88306197,271.4252092,32.72652742,96536.57611,39.72828367,2.779846963
