id,predict_data,mse,rmse,mape,shap,smooth,skip,result_corr
0,1.18000001e-15 1.18000001e-15 1.18000001e-15 3.53892708e+00 1.20371580e+01 2.57925014e+01 3.71406326e+01 3.80332146e+01 4.55953484e+01 5.00479393e+01 6.06143570e+01 6.76144638e+01 7.10314789e+01 7.75295639e+01 7.95144501e+01 8.57528687e+01 8.28429413e+01 8.82531738e+01 8.94924164e+01 9.48050613e+01 9.96882858e+01 1.07041618e+02 1.13038208e+02 1.21745857e+02 1.28607468e+02 1.33565186e+02 1.35980942e+02 1.30373535e+02 1.25406052e+02 1.23680428e+02 1.22477943e+02 1.28113022e+02 1.31125854e+02 1.40962265e+02 1.42531189e+02 1.45595322e+02 1.43919495e+02 1.44935791e+02 1.36170761e+02 1.26025154e+02 1.21382149e+02 1.26502419e+02 1.31595078e+02 1.33380646e+02 1.29790939e+02 1.28541687e+02 1.28591812e+02 1.27195641e+02 1.28733276e+02 1.26651161e+02 1.27540558e+02 1.29557861e+02 1.27011581e+02 1.23667580e+02 1.25309059e+02 1.34026520e+02 1.44187851e+02 1.43064758e+02 1.43721634e+02 1.33226334e+02 1.33951233e+02 1.28688416e+02 1.28881592e+02 1.24577744e+02 1.20740997e+02 1.18370125e+02 1.17665085e+02 1.17838631e+02 1.12639069e+02 1.13495712e+02 1.15638062e+02 1.13876266e+02 1.11467979e+02 1.03572708e+02 1.02948341e+02 9.91495056e+01 9.60556335e+01 8.93568726e+01 8.15522995e+01 7.78271790e+01 7.70604095e+01 7.84160767e+01 8.05534973e+01 8.09705734e+01 7.59761810e+01 7.49543228e+01 7.48557510e+01 7.27876663e+01 6.55968399e+01 6.39718666e+01 6.02771339e+01 5.40822296e+01 4.65871468e+01 4.01128464e+01 3.88945885e+01 3.83968925e+01 4.43328438e+01 4.03582611e+01 3.77361908e+01 3.18374290e+01 3.79587440e+01 3.45091705e+01 3.62467575e+01 3.70717735e+01 3.72567825e+01 3.59136162e+01 3.14242058e+01 2.90544281e+01 1.80017033e+01 1.71887093e+01 1.47689037e+01 2.53976784e+01 3.29105072e+01 2.95148640e+01 2.67915516e+01 2.69496040e+01 2.27457066e+01 2.67041454e+01 2.66983376e+01 2.80587025e+01,2216.146164,47.07596164,193503000000000.0,-1.30562064,rolling3,1,0.5376524267842259
1,1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 7.58201790e+00 1.98313065e+01 2.10404034e+01 2.89333382e+01 3.36323204e+01 4.43672180e+01 5.12509308e+01 5.44953575e+01 6.07530365e+01 6.24164009e+01 6.84529724e+01 6.50775757e+01 7.06429138e+01 7.10329819e+01 7.65797424e+01 8.14071274e+01 8.90416870e+01 9.51387558e+01 1.04342377e+02 1.11565979e+02 1.16687340e+02 1.19339409e+02 1.13721092e+02 1.08457718e+02 1.06286369e+02 1.04860703e+02 1.10917831e+02 1.14573692e+02 1.25536751e+02 1.27664337e+02 1.31603271e+02 1.30306351e+02 1.31645294e+02 1.22273949e+02 1.11507362e+02 1.06717567e+02 1.12051353e+02 1.17595268e+02 1.19560905e+02 1.16400665e+02 1.15338593e+02 1.15834572e+02 1.14151497e+02 1.16477798e+02 1.14847626e+02 1.16054497e+02 1.18152931e+02 1.15193565e+02 1.11980896e+02 1.14285507e+02 1.24365288e+02 1.35422272e+02 1.34183762e+02 1.34696869e+02 1.23689674e+02 1.24975632e+02 1.19724945e+02 1.20372231e+02 1.16839752e+02 1.14315102e+02 1.13495361e+02 1.12621368e+02 1.13099274e+02 1.07861984e+02 1.09757874e+02 1.12903572e+02 1.11942535e+02 1.10235428e+02 1.02687706e+02 1.03444122e+02 1.00435936e+02 9.75974808e+01 9.09426804e+01 8.30328903e+01 7.93386154e+01 7.89693680e+01 8.09031448e+01 8.37668762e+01 8.45663223e+01 7.94009857e+01 7.85163574e+01 7.83145676e+01 7.63873444e+01 6.85906372e+01 6.69950943e+01 6.35133667e+01 5.73050423e+01 4.91524086e+01 4.18736725e+01 4.00795822e+01 3.92930717e+01 4.52137070e+01 4.11605453e+01 3.80518112e+01 3.16433544e+01 3.77925148e+01 3.37019539e+01 3.46491814e+01 3.47509079e+01 3.42382431e+01 3.24959641e+01 2.71722527e+01 2.38106537e+01 1.08810377e+01 9.90388870e+00 7.03452301e+00 1.84405880e+01 2.59775810e+01 2.17046661e+01 1.78898697e+01 1.69267998e+01 1.18302670e+01 1.58642006e+01 1.58399305e+01 1.68262310e+01,1318.138814,36.30618149,277542000000000.0,0.267858,rolling3,1,0.6803401120510071
2,1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 2.97986364e+00 4.50058079e+00 1.27874432e+01 1.78166790e+01 2.88529263e+01 3.57671280e+01 3.89622231e+01 4.50814056e+01 4.65994568e+01 5.26202278e+01 4.89283333e+01 5.46917000e+01 5.43584976e+01 6.02226410e+01 6.50946655e+01 7.30811996e+01 7.94051056e+01 8.92340546e+01 9.69730148e+01 1.02351845e+02 1.05373688e+02 9.98298111e+01 9.43668518e+01 9.18231125e+01 9.02326584e+01 9.67512817e+01 1.01067749e+02 1.13155060e+02 1.15857117e+02 1.20637619e+02 1.19656960e+02 1.21255875e+02 1.11295479e+02 9.98790741e+01 9.49213638e+01 1.00495171e+02 1.06469688e+02 1.08591415e+02 1.05765739e+02 1.04822968e+02 1.05741920e+02 1.03773994e+02 1.06800201e+02 1.05524193e+02 1.06926010e+02 1.09052551e+02 1.05698372e+02 1.02545700e+02 1.05452148e+02 1.16788696e+02 1.28740692e+02 1.27477043e+02 1.27861351e+02 1.16365730e+02 1.18095825e+02 1.12865379e+02 1.13857117e+02 1.11025635e+02 1.09611877e+02 1.10174652e+02 1.09240921e+02 1.10027679e+02 1.04801247e+02 1.07696350e+02 1.11807205e+02 1.11640717e+02 1.10612625e+02 1.03466156e+02 1.05588409e+02 1.03347076e+02 1.00786545e+02 9.42106247e+01 8.62570953e+01 8.26648254e+01 8.27385864e+01 8.52686386e+01 8.88737106e+01 9.00689468e+01 8.47963028e+01 8.41431732e+01 8.39599228e+01 8.23091049e+01 7.39619370e+01 7.24750671e+01 6.91666260e+01 6.30010185e+01 5.44133530e+01 4.65430222e+01 4.42650528e+01 4.32365952e+01 4.92633705e+01 4.51570930e+01 4.15910378e+01 3.46201630e+01 4.07754936e+01 3.60385704e+01 3.62549896e+01 3.56364861e+01 3.42881050e+01 3.19856262e+01 2.57831497e+01 2.14278011e+01 6.57401228e+00 5.29085016e+00 1.88084733e+00 1.39446077e+01 2.14265232e+01 1.61211777e+01 1.11175528e+01 8.94838142e+00 2.86439443e+00 6.93447924e+00 6.91850376e+00 7.47725010e+00,754.2309141,27.46326481,305085000000000.0,-1.08692856,rolling3,1,0.797446262470398
3,1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 6.15443587e-01 8.87328720e+00 1.39374695e+01 2.49051533e+01 3.16923370e+01 3.47524757e+01 4.07535896e+01 4.20499153e+01 4.78294258e+01 4.39376717e+01 4.96905670e+01 4.90704002e+01 5.48876305e+01 5.96955643e+01 6.76746979e+01 7.38526382e+01 8.35377426e+01 9.11502151e+01 9.64862289e+01 9.93880768e+01 9.37715454e+01 8.82040939e+01 8.56039810e+01 8.40428314e+01 9.05677109e+01 9.49907379e+01 1.07212738e+02 1.10021492e+02 1.14981476e+02 1.14223610e+02 1.16020470e+02 1.06022942e+02 9.46180420e+01 8.97286682e+01 9.53357925e+01 1.01443481e+02 1.03672386e+02 1.01072723e+02 1.00193977e+02 1.01138069e+02 9.91732101e+01 1.02422905e+02 1.01365570e+02 1.02953354e+02 1.05219078e+02 1.01795586e+02 9.88028259e+01 1.01872139e+02 1.13457146e+02 1.25469978e+02 1.24025154e+02 1.24356422e+02 1.12761475e+02 1.14678802e+02 1.09468552e+02 1.10750023e+02 1.08184570e+02 1.07328438e+02 1.08428947e+02 1.07363487e+02 1.08181885e+02 1.02946480e+02 1.06116585e+02 1.10365929e+02 1.10250122e+02 1.09288322e+02 1.02084343e+02 1.04330284e+02 1.02242569e+02 9.96279297e+01 9.30095978e+01 8.49105911e+01 8.11617279e+01 8.11195831e+01 8.36420135e+01 8.72172241e+01 8.83399048e+01 8.28402328e+01 8.19332275e+01 8.14051514e+01 7.94147949e+01 7.07842560e+01 6.88991623e+01 6.54927597e+01 5.88977165e+01 4.95109978e+01 4.07921143e+01 3.80875740e+01 3.67296295e+01 4.23096275e+01 3.79844666e+01 3.41901703e+01 2.72064667e+01 3.32493362e+01 2.83629837e+01 2.82204895e+01 2.73203430e+01 2.60793629e+01 2.39746685e+01 1.77158852e+01 1.32470331e+01 1.18000001e-15 1.18000001e-15 1.18000001e-15 6.08753252e+00 1.36076784e+01 8.57184887e+00 3.64522004e+00 1.51960766e+00 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.76321387e-01,607.4290572,24.6460759,1118880000000000.0,-5.47910136,rolling3,1,0.8265396886609971
4,1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 5.53766060e+00 1.06386156e+01 2.15760555e+01 2.83345108e+01 3.13258324e+01 3.72681313e+01 3.85250397e+01 4.42473946e+01 4.03222008e+01 4.61064529e+01 4.53756065e+01 5.12453880e+01 5.60452919e+01 6.40415421e+01 7.02221756e+01 7.99430618e+01 8.75910721e+01 9.29282227e+01 9.58527527e+01 9.03145294e+01 8.47592773e+01 8.21342010e+01 8.06255112e+01 8.71973267e+01 9.17607422e+01 1.04063187e+02 1.06979507e+02 1.12004616e+02 1.11368713e+02 1.13307678e+02 1.03352127e+02 9.19342880e+01 8.70696106e+01 9.26699677e+01 9.87924194e+01 1.01075432e+02 9.86515350e+01 9.78153839e+01 9.88082962e+01 9.68280411e+01 1.00201797e+02 9.92771606e+01 1.00947342e+02 1.03320442e+02 9.99391937e+01 9.70781784e+01 1.00302460e+02 1.12034592e+02 1.24130714e+02 1.22699203e+02 1.22996948e+02 1.11474205e+02 1.13437233e+02 1.08337280e+02 1.09731117e+02 1.07309990e+02 1.06713203e+02 1.08114204e+02 1.07007973e+02 1.07808472e+02 1.02577354e+02 1.05947395e+02 1.10340889e+02 1.10297493e+02 1.09362823e+02 1.02201057e+02 1.04638992e+02 1.02691025e+02 1.00099937e+02 9.35297394e+01 8.54431763e+01 8.17107391e+01 8.17329178e+01 8.43074493e+01 8.79721909e+01 8.91312866e+01 8.36410446e+01 8.27547760e+01 8.21924286e+01 8.01784134e+01 7.14530258e+01 6.94777832e+01 6.61209335e+01 5.94933243e+01 5.00338860e+01 4.11469193e+01 3.83944359e+01 3.69957504e+01 4.24623146e+01 3.80441399e+01 3.40977440e+01 2.70606861e+01 3.30878410e+01 2.81495609e+01 2.78595829e+01 2.68003063e+01 2.54959145e+01 2.33701382e+01 1.70293427e+01 1.24754229e+01 1.18000001e-15 1.18000001e-15 1.18000001e-15 5.16421366e+00 1.26097450e+01 7.56643867e+00 2.55315161e+00 3.58654708e-01 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15,492.1987804,22.18555342,1314270000000000.0,-12.30875928,rolling3,1,0.856787956202038
5,1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 4.56674623e+00 9.67040539e+00 2.05815372e+01 2.73127785e+01 3.02951031e+01 3.62190666e+01 3.74477997e+01 4.31303253e+01 3.92091141e+01 4.50106544e+01 4.42717628e+01 5.01426010e+01 5.49402733e+01 6.29315491e+01 6.91015015e+01 7.87956772e+01 8.64487000e+01 9.17933197e+01 9.47005615e+01 8.91553650e+01 8.36026230e+01 8.10105972e+01 7.95268478e+01 8.60954895e+01 9.06664429e+01 1.02997070e+02 1.05952965e+02 1.11038078e+02 1.10448654e+02 1.12433594e+02 1.02499298e+02 9.11213379e+01 8.62948303e+01 9.19177170e+01 9.80885468e+01 1.00394386e+02 9.80071793e+01 9.71808243e+01 9.81776199e+01 9.62181854e+01 9.96335068e+01 9.87267075e+01 1.00411194e+02 1.02795578e+02 9.94422379e+01 9.66017227e+01 9.98294067e+01 1.11576591e+02 1.23676300e+02 1.22242714e+02 1.22524345e+02 1.11026291e+02 1.12975815e+02 1.07868164e+02 1.09274048e+02 1.06857719e+02 1.06299698e+02 1.07726738e+02 1.06614891e+02 1.07372711e+02 1.02116875e+02 1.05457832e+02 1.09807434e+02 1.09771576e+02 1.08839966e+02 1.01691185e+02 1.04078659e+02 1.02133598e+02 9.95064011e+01 9.29210358e+01 8.48319855e+01 8.10876389e+01 8.10607529e+01 8.36041718e+01 8.72380295e+01 8.83477402e+01 8.28254929e+01 8.18638840e+01 8.12437286e+01 7.91835861e+01 7.04430313e+01 6.84103851e+01 6.50201187e+01 5.83429108e+01 4.88003922e+01 3.98215332e+01 3.69597816e+01 3.54638252e+01 4.08265610e+01 3.63811455e+01 3.23840981e+01 2.53439140e+01 3.13321304e+01 2.64004498e+01 2.60390415e+01 2.49272385e+01 2.36350040e+01 2.15423088e+01 1.51941404e+01 1.06234961e+01 1.18000001e-15 1.18000001e-15 1.18000001e-15 3.32787633e+00 1.07283678e+01 5.70792055e+00 7.07157493e-01 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15,434.9953067,20.8565411,1474340000000000.0,3.2936637600000003,rolling3,1,0.872579511974675
6,1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 2.90487337e+00 8.02497768e+00 1.89526386e+01 2.56819229e+01 2.86870575e+01 3.46038437e+01 3.58424416e+01 4.15405617e+01 3.76358261e+01 4.34715805e+01 4.27214127e+01 4.86255760e+01 5.34399605e+01 6.14618607e+01 6.76861572e+01 7.74587631e+01 8.52125244e+01 9.06081009e+01 9.35756378e+01 8.80423965e+01 8.25027924e+01 7.99281158e+01 7.84379349e+01 8.50582733e+01 8.96708679e+01 1.02133652e+02 1.05171219e+02 1.10388382e+02 1.09827362e+02 1.11826660e+02 1.01859421e+02 9.04626923e+01 8.56522751e+01 9.13319092e+01 9.75865479e+01 9.99097977e+01 9.75272369e+01 9.67096405e+01 9.77611084e+01 9.57993851e+01 9.92762070e+01 9.83528595e+01 1.00007988e+02 1.02350883e+02 9.89975128e+01 9.61271744e+01 9.93635941e+01 1.11193237e+02 1.23377541e+02 1.21992119e+02 1.22262245e+02 1.10748070e+02 1.12675133e+02 1.07535568e+02 1.08894119e+02 1.06479996e+02 1.05906509e+02 1.07342110e+02 1.06269943e+02 1.07018990e+02 1.01749107e+02 1.05079231e+02 1.09434853e+02 1.09487846e+02 1.08627518e+02 1.01568810e+02 1.04012299e+02 1.02113586e+02 9.94961700e+01 9.29139328e+01 8.48645859e+01 8.11677933e+01 8.11650467e+01 8.37415466e+01 8.74287491e+01 8.85410538e+01 8.30352402e+01 8.20842133e+01 8.15026016e+01 7.95251999e+01 7.07944794e+01 6.88382034e+01 6.54493103e+01 5.88511276e+01 4.94011536e+01 4.05140419e+01 3.75817337e+01 3.60269737e+01 4.14164696e+01 3.70105476e+01 3.29800644e+01 2.58740215e+01 3.18454800e+01 2.68897285e+01 2.64654427e+01 2.52940197e+01 2.38795071e+01 2.16969204e+01 1.52545862e+01 1.05744009e+01 1.18000001e-15 1.18000001e-15 1.18000001e-15 2.93427920e+00 1.02612019e+01 5.04745197e+00 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15,375.774956,19.38491568,1546140000000000.0,-0.35876016,rolling3,1,0.8894060104760075
7,1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 2.05682206e+00 7.16992474e+00 1.80981789e+01 2.48080368e+01 2.78410778e+01 3.37520599e+01 3.49845047e+01 4.06790771e+01 3.67843628e+01 4.26381035e+01 4.18938255e+01 4.77952385e+01 5.26163635e+01 6.06494217e+01 6.69035950e+01 7.67081070e+01 8.45292435e+01 8.99667053e+01 9.29662247e+01 8.74075165e+01 8.18732910e+01 7.93337021e+01 7.78267517e+01 8.44752350e+01 8.90777817e+01 1.01646233e+02 1.04738708e+02 1.10089508e+02 1.09546219e+02 1.11534401e+02 1.01533714e+02 9.01511078e+01 8.53722992e+01 9.11177063e+01 9.74705582e+01 9.98071060e+01 9.73945084e+01 9.65800552e+01 9.76718674e+01 9.57254028e+01 9.92409363e+01 9.82710724e+01 9.98804016e+01 1.02155647e+02 9.87951889e+01 9.58688202e+01 9.90653381e+01 1.10931992e+02 1.23163002e+02 1.21807777e+02 1.22075020e+02 1.10524277e+02 1.12421707e+02 1.07211174e+02 1.08505287e+02 1.06061935e+02 1.05424858e+02 1.06800186e+02 1.05779541e+02 1.06523544e+02 1.01241707e+02 1.04499458e+02 1.08800453e+02 1.08918419e+02 1.08124207e+02 1.01144020e+02 1.03562057e+02 1.01673225e+02 9.90470886e+01 9.24481430e+01 8.44286041e+01 8.07620850e+01 8.07377396e+01 8.33149948e+01 8.70063171e+01 8.80845490e+01 8.25711288e+01 8.15828247e+01 8.10096970e+01 7.90806503e+01 7.03759003e+01 6.84820480e+01 6.50587082e+01 5.85039673e+01 4.90908470e+01 4.02720299e+01 3.72244682e+01 3.55689430e+01 4.09554558e+01 3.65981865e+01 3.25603294e+01 2.54112129e+01 3.13475475e+01 2.63834743e+01 2.59032001e+01 2.46952457e+01 2.31996422e+01 2.09659138e+01 1.44628954e+01 9.69689369e+00 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.81064558e+00 9.07452202e+00 3.70370507e+00 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15,323.8880211,17.9968892,1319440000000000.0,-21.4065648,rolling3,1,0.9044028990013582
8,1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 2.17998219e+00 1.32770376e+01 2.00500393e+01 2.31876602e+01 2.91066952e+01 3.04106312e+01 3.62429161e+01 3.23466492e+01 3.82986488e+01 3.74338226e+01 4.34701042e+01 4.83537674e+01 5.65452385e+01 6.30192528e+01 7.32074356e+01 8.14083252e+01 8.70337448e+01 9.03089905e+01 8.47830124e+01 7.92416840e+01 7.66297836e+01 7.50034866e+01 8.18755646e+01 8.66549377e+01 9.97416000e+01 1.03070023e+02 1.08844231e+02 1.08316322e+02 1.10253494e+02 9.99811707e+01 8.83480530e+01 8.35076447e+01 8.94301529e+01 9.60164337e+01 9.83711243e+01 9.59029694e+01 9.50990982e+01 9.64126968e+01 9.43732910e+01 9.80831757e+01 9.70456314e+01 9.85377655e+01 1.00633949e+02 9.71365128e+01 9.40530243e+01 9.73332977e+01 1.09606506e+02 1.22228279e+02 1.21019653e+02 1.21278641e+02 1.09521194e+02 1.11453613e+02 1.06136932e+02 1.07301796e+02 1.04954155e+02 1.04333191e+02 1.05861542e+02 1.05001900e+02 1.05885162e+02 1.00631790e+02 1.04052811e+02 1.08599159e+02 1.09112656e+02 1.08664925e+02 1.02010185e+02 1.04893829e+02 1.03253799e+02 1.00781555e+02 9.42265091e+01 8.63274689e+01 8.28498306e+01 8.30594482e+01 8.58946686e+01 8.99148865e+01 9.11519852e+01 8.57251892e+01 8.49457321e+01 8.46076889e+01 8.30686493e+01 7.43432922e+01 7.28254471e+01 6.94678726e+01 6.32355576e+01 5.41666756e+01 4.57152901e+01 4.25609131e+01 4.08511772e+01 4.65531120e+01 4.23743896e+01 3.82827644e+01 3.08390751e+01 3.67818108e+01 3.16172905e+01 3.09694996e+01 2.95760479e+01 2.75386086e+01 2.48656445e+01 1.79461956e+01 1.27091846e+01 1.18000001e-15 1.18000001e-15 1.18000001e-15 3.36143208e+00 1.04844942e+01 4.28175974e+00 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15,282.8805231,16.81905238,1090870000000000.0,-0.42931872,rolling3,1,0.9158101483179539
9,1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.10740881e+01 1.78459549e+01 2.10698166e+01 2.69916992e+01 2.82903328e+01 3.41555519e+01 3.02316418e+01 3.62244110e+01 3.52850380e+01 4.13329048e+01 4.62398567e+01 5.45066795e+01 6.10728607e+01 7.14153824e+01 7.98117065e+01 8.55555344e+01 8.89504242e+01 8.33437500e+01 7.77661743e+01 7.51481171e+01 7.34196243e+01 8.03986130e+01 8.51952591e+01 9.86216736e+01 1.02079056e+02 1.08201424e+02 1.07686333e+02 1.09548813e+02 9.90683365e+01 8.73338165e+01 8.24999008e+01 8.85912857e+01 9.54164734e+01 9.77929993e+01 9.52244949e+01 9.44182053e+01 9.58608704e+01 9.38038940e+01 9.76350555e+01 9.64991226e+01 9.78866806e+01 9.98067398e+01 9.61922989e+01 9.29485092e+01 9.61884537e+01 1.08681808e+02 1.21511261e+02 1.20348854e+02 1.20616165e+02 1.08647362e+02 1.10603127e+02 1.05111145e+02 1.06171127e+02 1.03844093e+02 1.03179657e+02 1.04710510e+02 1.03986893e+02 1.04973343e+02 9.97358475e+01 1.03145447e+02 1.07722183e+02 1.08471001e+02 1.08268608e+02 1.01813812e+02 1.04830490e+02 1.03290611e+02 1.00862801e+02 9.42743988e+01 8.64151840e+01 8.30068359e+01 8.32424164e+01 8.61730804e+01 9.02934036e+01 9.15273666e+01 8.60598068e+01 8.52611847e+01 8.49632263e+01 8.35714569e+01 7.48232193e+01 7.34747009e+01 7.00393372e+01 6.38760147e+01 5.47975006e+01 4.64256439e+01 4.29991646e+01 4.10770073e+01 4.68614120e+01 4.27989006e+01 3.86917915e+01 3.10775547e+01 3.69505424e+01 3.16541843e+01 3.08409271e+01 2.93200417e+01 2.69934120e+01 2.41139870e+01 1.69571953e+01 1.14153452e+01 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.26318514e+00 8.30568123e+00 1.61559021e+00 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15 1.18000001e-15,282.8150108,16.81710471,1058140000000000.0,-19.22030208,rolling3,1,0.915370701908544
