predict_data,mse,rmse,mape,smooth,skip,result_corr
42.8761     22.988266   31.58026     0.99275595 39.522423   28.607588 -6.195591    2.0239053  38.45852     8.058349   42.05866    33.177593  ,3257.031,57.070403939865145,0.6580462,raw,48,-0.4344149808446853
 57.58996     -2.1806896   27.81281      5.584141    90.485085   0.24152029  59.813908   -20.559183     1.7195876   50.313675  74.285126    65.737274  ,3494.8577,59.11732120128266,0.60257447,raw,48,0.058541295510221095
 43.71976     5.8705173  21.118837  -16.067295   56.63335    27.756426  23.0623    -18.969767    8.551441   32.712517   51.13676    38.61933  ,9716.22,98.57088681026715,0.79887277,raw,48,-0.41860736897978174
26.693092  27.222757  24.86295   -7.7141194 40.87237   32.29248 -2.3617833 -5.751635  47.30688   31.841753  61.20481   24.044708 ,10197.254,100.98145327856002,0.796109,raw,48,-0.023160214058042847
 62.091305  14.342401  42.670696 -13.323868  53.12591   22.53457  15.879291 -29.487112  34.880486  35.853024  74.23798   60.72633 ,15332.965,123.82634955351789,0.78938454,raw,48,-0.3589786146485815
 40.1599    19.486282  33.176716  -0.985021  33.12524   37.947105 -18.247494 -35.161243  34.88999   32.47006   84.96823   24.849524,2267.1824,47.61493854922922,0.6386263,raw,48,0.2015736155457694
56.506786  21.412758  28.495604  -6.3061733 46.925087  20.076279  2.412034  -7.0730815 43.25573   16.518148  42.586555  35.93566  ,22821.93,151.06928770435107,0.8526134,raw,48,-0.11498607108092103
 61.34947   22.550568  35.13865    4.976592  38.04049   22.94372 -20.491512 -29.508123  35.875984  39.393356  69.13125   38.96174 ,2366.6155,48.64787229176241,0.6026281,raw,48,0.025551699869409385
 70.33589   14.819164  17.124453  19.444021 101.900665 -17.635216  35.870914 -43.74105   22.565966  62.41485   61.474327  44.448704,9079.854,95.28826536161208,0.7261122,raw,48,-0.07836796877952461
 36.83114     42.997513     3.6161742   -0.22067966  53.11137 -24.931808    35.191204     4.586457    29.118368    32.990128  35.894417    57.465816  ,8719.21,93.37670994920254,0.78522795,raw,48,0.46848777180873685
 12.426896    26.551659    21.645021    14.162752    56.175007 -34.042152    39.595886     0.95632696  -6.979715    35.836006  55.897995    85.83386   ,12895.441,113.55809705278617,0.80338174,raw,48,0.22225802861376104
 61.32172    16.410097   39.381298    6.823322   24.483423   29.598059 -14.919915    6.403041   38.016632    5.7347636  69.490074   52.145973 ,680.6592,26.089445752784783,0.8031365,raw,48,-0.15798472922639317
 42.288734    7.895036   29.42887     3.4228315  47.56925    42.60779  -1.3877938 -36.992817   57.675274   19.89688    63.320194   12.030281 ,993.5615,31.520810957802148,0.6353774,raw,48,-0.13054156795751673
 81.863434    6.6602726  41.867043   -9.461683   60.64882    23.85957  -3.3684263 -17.292862   48.2303     25.797228   53.96203    47.773884 ,9631.29,98.13913612347775,0.7453606,raw,48,-0.19767576450458824
55.356106  40.66666   19.494158   1.3049663 40.258156  -5.7874374  4.6578107  5.992905  42.830246  12.151381  34.318165  59.758263 ,8985.439,94.79155792118304,0.75887364,raw,48,-0.2122587866068087
