predict_data,mse,rmse,mape,smooth,skip,result_corr
13.795359  14.7336855 44.930943   9.380599  32.01498    8.151861 61.580788   6.5458336  3.0963125 32.72646   25.822033  68.02096  ,1411.7252,37.57293200864903,0.5409796,rolling12,48,0.2648580103480341
12.164599   7.669612  39.13347    6.9499416 36.455757  16.595655 53.557404   4.1427298 16.919773   8.5845375 27.724184  68.06866  ,2953.7344,54.3482692916711,0.67680264,rolling12,48,0.30480986853281306
20.211308   5.750828  36.266125  17.563816  18.82324    6.2534304 53.510376   8.423518  26.863153  11.549879  36.21197   58.85625  ,6759.8345,82.21821253625166,0.765819,rolling12,48,0.3321587611306685
41.353916  18.031416  38.2755    25.535685   9.178103  -5.6562657 46.076065  28.59714   13.058741  19.273848  26.458666  62.63326  ,7339.7944,85.67260024998512,0.7552729,rolling12,48,0.10451568818436299
49.30829    22.532381   46.74954    25.681908    0.99045706 -4.372935 55.480213   12.728995   17.904108   20.029535   24.744177   65.4862    ,13347.685,115.53217980421084,0.80075717,rolling12,48,-0.0022961121258892048
44.895863 30.133133 23.474968 44.746616 23.429514  4.514331 53.221558 28.568644 14.663221 34.696747 21.92445  84.66524 ,951.57635,30.8476312701716,0.48244914,rolling12,48,0.4927672240204969
41.71099  27.54794  40.0714   32.418846 26.518015  6.403533 42.849957  8.560266 22.949871 30.368319 38.328453 48.930935,13938.68,118.0621856798357,0.78893346,rolling12,48,0.05907299327269622
59.887543  26.711588  15.986161  57.839848  25.810326   3.0984423 48.425285  26.700293  26.250334  41.984917  17.242746  88.203094 ,957.9832,30.95130393589309,0.45871422,rolling12,48,0.3079210012510393
53.245983  18.078915  38.932724  42.276077  39.028408  -0.5229048 44.828285   8.944154   9.948817  20.86504   37.894226  41.914783 ,6533.086,80.82750730722803,0.72325236,rolling12,48,-0.15714803751704653
56.523346   7.3011093 39.044285  51.73062   21.004614   8.019146 48.08711   -1.5195256 35.350178  26.838572  24.252924  50.757893 ,7726.055,87.8979816365612,0.73753405,rolling12,48,0.18057117659310773
46.457855 17.550472 51.46231  42.995075 33.629414 14.104573 61.96069 25.780094 55.69577  37.908962 27.938255 79.91259 ,3036.4531,55.10402095128812,0.5290728,rolling12,48,0.3324306446877575
42.753002 22.60844  33.451397 31.474913 22.012468 16.837193 38.59315 18.91275  24.795076 36.078358 13.880732 62.243683,392.02792,19.79969503765107,0.42414007,rolling12,48,-0.21060740287639423
21.80944   24.246487  46.710938  12.497379  -1.4777266  6.5217824 50.696457  20.846539   7.166077  18.40482   24.988602  63.419235 ,426.20847,20.644816917962046,0.55641085,rolling12,48,0.19289852691596343
40.582577  36.682034  48.765232  16.480999  13.877715   1.542873 53.550137   1.0794944 20.287657  18.933224  45.898323  48.064835 ,4959.236,70.42184206511322,0.67002296,rolling12,48,-0.03371540352142659
40.040752  24.179739  41.84446   44.333477  32.608456  15.870436 56.225887  -1.0888591 26.993483  48.02935   30.738214  67.389595 ,3406.432,58.364645846313714,0.5936369,rolling12,48,0.16701274209945566
60.139725 27.347485 29.91399  82.7475   64.64427  39.739574 38.705166  6.094438 50.523952 49.049534 25.738974 56.85557 ,5009.4653,70.77757647752041,0.60363966,rolling12,48,-0.09460924755426801
60.44575   23.608448  27.502016  59.508873  67.860855  28.987003 45.646736   5.4647894 48.623363  43.71634   24.542925  66.62913  ,8038.6157,89.65832768157262,0.6757639,rolling12,48,-0.019261600909362575
57.94379   33.14509   40.24645   52.62117   44.889973  26.414543 66.87366    1.5701326 55.398476  35.58372   24.53646   71.907814 ,10990.628,104.83619570400052,0.70506257,rolling12,48,-0.2651434823505894
46.231308 32.211018 35.43598  40.425667 15.411656 10.404389 63.098125 13.27184  32.737183 26.693003 25.896257 62.829067,9371.156,96.80473258059236,0.72957206,rolling12,48,-0.1345310956287047
 5.201617 15.095893 41.593895 16.409727 43.810265 31.290836 58.478428  4.302418 16.589333 22.296173 20.008863 75.539635,871.9148,29.52820338120616,0.50658417,rolling12,48,0.3039342162264934
27.868313 32.37603  34.714638 45.895714 23.404493 12.013055 56.19861  9.196617 20.89369  32.308136 39.92243  76.68884 ,6516.5723,80.72528888536107,0.6940608,rolling12,48,0.28028255299310323
32.3441    24.434233  30.638191  41.07803   23.354889  16.830072 62.706913  14.312591  52.525345  52.188995   9.5369005 94.07955  ,1977.5488,44.46963939728992,0.5235683,rolling12,48,0.41342633061097933
55.425613 27.136896 54.47795  61.678314 27.79806  11.37886  74.51655 12.699177 38.41922  44.649635 17.456455 77.53533 ,2453.4211,49.53202138594916,0.5163274,rolling12,48,0.24547291166494734
60.301556 24.875696 34.714535 44.102642 33.686966 10.694058 39.4571  3.995512 20.972256 24.614166 27.664276 45.120125,10615.063,103.02943014771311,0.7599947,rolling12,48,-0.48346613296767665
40.14535  53.180798 15.864112 42.35094  72.905136 45.27848  65.11322  3.144665 24.421026 51.572506 18.678162 95.01394 ,2654.5784,51.52260056655356,0.5291853,rolling12,48,-0.09707314848157882
44.580296 13.90974  61.53272  37.319363 18.740644 14.152286 58.13296 13.858466 32.35756  27.109306 32.517094 57.920574,1187.8838,34.46569002736635,0.46898732,rolling12,48,0.02961532150519164
32.66714  24.803085 51.879517 40.678493 47.932735 16.371187 70.87762 12.136218 41.445618 41.274788 33.740135 90.39248 ,1106.8413,33.269224646717426,0.38696387,rolling12,48,0.3228216119601263
5.0489361e+01 3.7982052e+01 3.9005787e+01 4.8112564e+01 2.6928114e+01 1.6395222e+01 4.6050838e+01 1.9140242e-02 2.7646587e+01 3.4568127e+01 3.4486324e+01 5.0994663e+01,4063.4133,63.744908267861874,0.6166892,rolling12,48,-0.2469747444483389
72.7314   38.708046 37.40857  69.32567  46.04328  27.708307 43.993168 11.817259 54.837887 50.87546  24.07879  54.14186 ,11184.731,105.75789069999696,0.68994075,rolling12,48,-0.30797957087553024
82.01466  38.266613 23.188936 66.77181  32.0667   19.651043 43.620155  6.34169  46.38199  53.390102 22.42728  52.51862 ,1410.1056,37.551372688895306,0.44144762,rolling12,48,0.00610468126902225
20.832548  6.407917 45.20927  -8.629679 37.244198 12.520463 49.09963 18.774149 -8.794116 19.250628  8.383683 61.806362,537.0702,23.17477487333345,0.673204,rolling12,48,-0.0673682937536016
33.482655  29.651793  45.087738   7.019856  26.39427    2.4548726 55.96314   16.386608  -8.63615   33.59357   21.344522  57.835384 ,432.0299,20.785329134429468,0.5208151,rolling12,48,-0.006086929369644167
