predict_data,mse,rmse,mape,smooth,skip,result_corr
81.4987   51.805565 34.999714 43.546665 29.072296 72.83027  63.574112 49.769356 35.0247   49.501682 45.21172  57.503418,750.5048,27.39534306734164,0.3525728,weighted6,8,-0.1799336573182409
79.190765 52.1429   53.84284  42.152164 39.9804   76.184555 71.67496 66.41559  11.152931 48.451992 39.17949  64.35619 ,466.09717,21.58928363722961,0.28364238,weighted6,8,0.2612079271168565
90.59962  43.30138  58.59365  51.218727 67.77534  58.45323  87.373566 86.20818  18.359608 53.232754 40.781147 52.7621  ,463.24435,21.523112094863208,0.3149752,weighted6,8,0.19797499733148585
73.425385 38.468792 88.397995 40.230766 44.748844 56.56923  75.864426 47.680573 42.469875 34.335377 29.16046  36.51765 ,481.25272,21.93747287324712,0.34053192,weighted6,8,-0.596345238673878
55.833836 46.370827 64.3015   64.929184 40.81389  81.54984  88.11296 48.36116  17.484276 60.51917  31.62797  43.609943,391.715,19.79179113516234,0.27770725,weighted6,8,0.09499516384830775
66.77071  46.159298 52.978447 63.239147 49.811497 82.866486 94.652084 75.17411  15.112968 65.498344 36.208042 55.725063,583.8255,24.16248125686353,0.25270805,weighted6,8,-0.060260534594579335
63.50166  38.933056 63.168602 55.173855 54.58127  74.4006   99.43189 78.243385 14.250712 53.558506 25.430292 56.286095,1075.6421,32.796982938126334,0.32980326,weighted6,8,-0.23289676083358607
50.133564 47.571194 44.41407  62.13161  61.83275  86.03138  91.84264 76.80789  10.363264 50.26112  20.88292  49.71545 ,1044.7964,32.32331026857785,0.3577917,weighted6,8,0.274233962790061
61.580746 48.614838 51.27612  65.75332  48.059784 82.425026 86.34733 75.15264  16.87567  49.134872 27.664484 47.86387 ,1431.8944,37.8403806690642,0.32914236,weighted6,8,-0.31961664274424134
60.534023 48.604404 47.09368  52.069637 57.627308 74.800766 95.39158 71.516754 22.401806 45.50318  21.048277 49.179516,2957.25,54.38060315958256,0.47593686,weighted6,8,-0.17669655875418333
51.866688 85.337166 31.636051 45.63348  43.96627  85.2564   67.17921 46.92237  34.55932  42.94374  11.955592 29.898092,2458.3281,49.58153007925432,0.48858407,weighted6,8,0.38031267657754186
65.05135  57.862576 32.684334 90.40884  44.19808  83.59757  82.10895 50.16035  26.21493  56.460228 36.881344 31.42748 ,2118.4202,46.02629863475473,0.40642372,weighted6,8,-0.41779650882723873
76.73372  52.803616 45.469307 31.621714 61.55665  70.40328  86.580475 51.35986  62.56789  17.909994 27.263762 46.437054,4224.4497,64.99576683932,0.53434163,weighted6,8,-0.1198099938138095
59.51711  83.32936  40.695107 34.236618 16.552862 92.41289  66.04425 52.233135 40.310535 35.79943  32.46241  28.507057,3538.4343,59.48474027993965,0.5338648,weighted6,8,0.2900867980069364
73.04929  68.50103  36.034977 79.4912   46.008934 79.50572  85.65738 59.621445 28.659092 39.765156 31.190788 43.219624,3756.7405,61.29225463723476,0.46558765,weighted6,8,-0.4706326366559299
94.42001  77.66671  63.162853 53.01247  58.739243 79.85648  59.826 44.81457  76.50491  38.140953 30.776098 42.622654,4258.53,65.25741172584345,0.5159598,weighted6,8,0.4804486469623066
47.875984 78.52908  47.742798 48.809498 32.16868  89.82036  55.52699 29.326042 55.125996 36.17763  31.78786  18.143015,3246.257,56.975934218563935,0.5358049,weighted6,8,0.4231963676039705
86.430855 77.638245 48.34747  62.163048 42.4447   75.84285  74.99267 47.225864 48.008057 20.139925 37.36356  27.936195,2645.9214,51.4385204561596,0.43713906,weighted6,8,-0.700129013077057
