,predict_data,mse,rmse,mape,smooth,skip
0,"[ 23.679655   29.197071   24.600262   32.004932   31.479588   35.75855
  40.736107   49.846085   46.767254   51.01886    55.425285   48.220985
  55.575684   62.96013    76.387184   74.69806    73.59214    78.15712
  86.65362    92.38056    98.03621    93.7124     95.261955  115.36639
 117.065315  122.96691   118.826485  114.95026   114.35709   118.76704
 118.13568   110.28821   115.34098   124.52262   127.93362   132.60559
 122.612434  115.77279   128.29617   132.04536   126.67152   124.3773
 120.05643   123.88989   125.14417   118.68682   109.58091   113.963135
 129.97871   121.86942   116.77371   123.94594   120.90295   126.77124
 118.85512   119.89534   122.76808   119.71867   123.833275  117.176926
 116.42219   111.31919   126.46772   115.04923   113.437645  107.562126
 115.64541   112.89025   114.78383   119.836365  120.37198   113.502045
 105.73936   103.47065   104.57363   103.153404   98.486664  102.08965
 103.94036    91.9114     83.555595   90.165016   85.055046   80.561745
  80.801414   85.18133    73.77951    64.75699    65.84183    65.35466
  63.740105   61.579594   53.568607   50.135506   47.42477    44.4151
  47.03549    43.666092   36.474426   37.688465   37.999947   33.616154
  27.448406   23.843275   23.445723   21.51404    13.309813    0.
  18.776636   15.382896   13.820249    4.8350534   5.046852    0.
   0.          0.          0.          0.          0.          0.       ]",1824.4163591748506,42.713187181183876,7198253404413843.0,rolling9,1
1,"[ 21.330801   26.38356    20.893475   28.221561   27.610077   31.228308
  35.909946   44.647003   41.47562    45.529537   49.373466   41.839085
  49.02042    56.084385   69.11885    67.55292    66.030945   70.10803
  78.46437    83.86377    89.45116    85.18329    86.59233   106.503685
 108.286606  114.0869    109.85971   106.06415   105.552505  110.076065
 109.5927    102.12969   106.74804   116.368065  120.009094  124.97753
 115.299164  108.84219   121.54196   125.676346  120.5713    118.390945
 114.52342   118.71569   120.215675  113.96019   105.76184   110.29024
 126.39397   118.410286  113.75502   121.15496   118.26374   124.6882
 117.10287   118.60246   121.33561   118.56117   123.00281   116.55417
 115.9485    111.23961   126.58025   115.412155  113.650345  107.92861
 116.12179   113.61522   115.45579   120.81507   121.002426  114.46163
 106.715515  104.5789    105.23176   103.85637    99.32852   102.99897
 104.60996    92.56709    84.10847    90.3635     84.91795    80.52894
  80.67086    84.832054   73.29089    64.5014     65.29437    64.81203
  63.11737    60.997475   52.8085     49.49594    46.36259    42.983593
  45.781036   42.283722   35.04695    36.016384   36.18813    31.925365
  25.53377    21.567429   21.11375    18.939293   10.825016    0.
  15.846686   12.256      10.534084    1.6521219   1.5636173   0.
   0.          0.          0.          0.          0.          0.       ]",1426.3333471926487,37.76682866210305,6837965434224204.0,rolling9,1
2,"[ 18.198153   22.825012   16.571936   23.90638    23.206049   26.261156
  30.7467     39.14565    35.896236   39.797268   43.116158   35.306774
  42.37021    49.192074   61.931767   60.54978    58.660732   62.31582
  70.67366    75.777725   81.31512    77.13477    78.53109    98.281525
 100.19822   105.975815  101.70932    97.92194    97.52469   102.25239
 101.94218    94.81777    99.095726  109.18125   113.04766   118.297104
 108.93207   102.74599   115.71445   120.238144  115.3232    113.23333
 109.7556    114.31904   116.03621   109.95782   102.45964   107.12772
 123.38103   115.51221   111.19909   118.812225  116.03094   122.93084
 115.64719   117.49745   120.09669   117.50427   122.19573   115.94703
 115.43978   111.07388   126.56588   115.584625  113.66045   108.077774
 116.39955   114.069725  115.85626   121.47114   121.43474   115.124985
 107.327225  105.2491    105.54443   104.23798    99.855095  103.58865
 104.9346     92.87415    84.310936   90.28288    84.587524   80.30836
  80.32403    84.35631    72.711464   64.083694   64.62506    64.18223
  62.438118   60.345154   52.06846    48.82267    45.341778   41.666737
  44.628506   40.991787   33.769432   34.48224    34.47683    30.351273
  23.737635   19.437336   18.909231   16.55227     8.536417    0.
  13.072485    9.282027    7.4072037   0.          0.          0.
   0.          0.          0.          0.          0.          0.       ]",1109.372355740885,33.30724179125142,8448002301009155.0,rolling9,1
3,"[ 15.532491   19.844303   13.031429   20.3625     19.5772     22.229254
  26.560982   34.69297    31.375113   35.13104    38.066128   30.02766
  37.009842   43.637714   56.20343    54.954193   52.768703   56.103947
  64.48421    69.386154   74.904686   70.77757    72.18854    91.81427
  93.846886   99.60734    95.32043    91.53897    91.24675    96.122314
  95.96964    89.108696   93.16549   103.62404   107.67229   113.167984
 104.08158    98.082344  111.29552   116.134476  111.403786  109.38389
 106.231026  111.12984   113.03104   107.16098   100.143166  104.91717
 121.32022   113.52731   109.450836  117.21214   114.5078    121.7417
 114.68351   116.77459   119.25685   116.78138   121.61431   115.469444
 115.02329   110.89822   126.454796  115.54191   113.47605   107.98236
 116.354576  114.094215  115.796814  121.54072   121.34066   115.16352
 107.27092   105.17931   105.19341   103.95058    99.644554  103.395805
 104.52284    92.43493    83.78436    89.54675    83.70666    79.49059
  79.42245    83.35703    71.66912    63.16055    63.51868    63.14066
  61.407734   59.352848   51.05671    47.84213    44.124603   40.28233
  43.40028    39.678722   32.49233    33.054813   32.92409    28.939264
  22.19063    17.62404    17.068157   14.617042    6.6841393   0.
  10.911902    6.9831676   4.990277    0.          0.          0.
   0.          0.          0.          0.          0.          0.       ]",863.2929912619477,29.381847989225385,7400915387645516.0,rolling9,1
4,"[ 13.285102   17.377565   10.165793   17.51125    16.665752   19.039755
  23.273699   31.198757   27.835596   31.460558   34.117107   25.879183
  32.822258   39.310886   51.76644    50.63623    48.198963   51.293755
  59.72096    64.48763    70.021515   65.916916   67.36173    86.88763
  89.041664   94.76681    90.45984    86.66762    86.47631    91.456406
  91.44489    84.784195   88.67706    99.42442   103.6103    109.30123
 100.43959    94.546875  107.9657    113.038795  108.472206  106.47611
 103.567635  108.74941   110.79342   105.12033    98.39487   103.24131
 119.76796   112.01855   108.09255   115.945045  113.28954   120.7519
 113.87407   116.11358   118.48381   116.07395   120.97789   114.88091
 114.46259   110.498665  126.070145  115.1592    112.98031   107.53036
 115.92409   113.66134   115.26904   121.08925   120.78029   114.679085
 106.671745  104.53006   104.33985   103.136154   98.8783    102.6381
 103.579506   91.449745   82.730034   88.33643    82.44524    78.262596
  78.14315    82.010826   70.31655    61.89451    62.112934   61.80188
  60.139156   58.117344   49.84361    46.645275   42.781113   38.85554
  42.118927   38.35203    31.213902   31.698229   31.473349   27.638344
  20.812119   16.016727   15.469387   12.989764    5.13827     0.
   9.165171    5.154315    3.0838873   0.          0.          0.
   0.          0.          0.          0.          0.          0.       ]",746.2750714627105,27.31803564429021,6428888468071383.0,rolling9,1
5,"[ 11.76676    15.738388    8.263726   15.612785   14.736945   16.945747
  21.109106   28.889774   25.498354   28.99749    31.484327   23.064732
  29.994095   36.38514    48.77169    47.72207    45.072662   47.997353
  56.450706   61.147755   66.73407    62.60621    64.0651     83.5148
  85.77774    91.42381    87.08373    83.28955    83.183495   88.19065
  88.295975   81.78197    85.548805   96.484344  100.764305  106.60105
  97.90481    92.073006  105.62625   110.84338   106.4436    104.433716
 101.70604   107.1068    109.26049   103.78351    97.20992   102.09862
 118.70026   110.96068   107.12338   115.00812   112.38575   119.98476
 113.2424    115.56801   117.83082   115.45737   120.38269   114.268906
 113.85885   109.98292   125.5247    114.562035  112.30351   106.84549
 115.21719   112.894585  114.39589   120.243675  119.83981   113.78178
 105.65869   103.44814   103.10106   101.89877    97.650475  101.40452
 102.19997    90.01065    81.23851    86.72339    80.844124   76.65647
  76.528145   80.328735   68.65302    60.30158    60.413357   60.15102
  58.609497   56.618156   48.376007   45.19409    41.254967   37.314022
  40.713264   36.945396   29.843      30.337349   30.0671     26.381344
  19.54121    14.554709   14.058899   11.600468    3.8252568   0.
   7.793837    3.7645042   1.658677    0.          0.          0.
   0.          0.          0.          0.          0.          0.       ]",680.7740455180457,26.09164704494612,6346322474902925.0,rolling9,1
6,"[  9.81493     13.669819     5.982502    13.423905    12.535255
  14.602116    18.78403     26.431429    23.034887    26.443558
  28.745161    20.161064    27.11845     33.47775     45.793198
  44.905144    42.048058    44.82565     53.405014    58.0225
  63.67109     59.53891     61.093754    80.48093     82.90552
  88.503044    84.1424      80.27039     80.27233     85.3775
  85.60772     79.20915     82.85232     93.99606     98.356705
 104.29982     95.735466    89.8729     103.60324    108.9491
 104.62818    102.54977     99.92312    105.51922    107.7469
 102.37743     95.83583    100.7553     117.443794   109.70956
 105.90958    113.82386    111.196014   118.91261    112.315186
 114.6676     116.811676   114.42624    119.364655   113.28191
 112.84599    109.047264   124.57931    113.584465   111.25977
 105.788155   114.21926    111.83231    113.258736   119.190865
 118.78274    112.75103    104.49606    102.20805    101.7827
 100.57339     96.38949    100.184746   100.8109      88.559525
  79.740326    85.13557     79.32581     75.15766     74.99135
  78.79561     67.13902     58.817825    58.82746     58.61627
  57.214428    55.22549     47.052834    43.872147    39.894325
  35.93976     39.4574      35.66351     28.628813    29.082085
  28.720274    25.202684    18.314116    13.128144    12.660648
  10.241472     2.5575724    0.           6.3543167    2.3013556
   0.17780185   0.           0.           0.           0.
   0.           0.           0.           0.           0.        ]",602.8550544608554,24.553106818911033,6049835499434367.0,rolling9,1
7,"[  7.8812757   11.642438     3.8155527   11.370182    10.461813
  12.435927    16.67483     24.215176    20.808573    24.14102
  26.2879      17.560139    24.558939    30.930307    43.215107
  42.492817    39.456722    42.12685     50.875004    55.432487
  61.15048     57.005466    58.70521     78.057434    80.64307
  86.2235      81.86355     77.881165    77.990234    83.20687
  83.55934     77.23677     80.81888     92.160965    96.58796
 102.61884     94.17005     88.21185    102.14698    107.60408
 103.31255    101.14962     98.57899    104.35345    106.63758
 101.34698     94.729515    99.669586   116.46706    108.72305
 104.913376   112.844246   110.17435    117.961266   111.47842
 113.81344    115.84144    113.40418    118.32786    112.266525
 111.782074   108.031075   123.5353     112.47829    110.10178
 104.596725   113.09558    110.61503    111.976425   117.96511
 117.60594    111.559784   103.149414   100.75115    100.29306
  99.075745    94.950874    98.784546    99.24317     86.93072
  78.06769     83.40744     77.70872     73.55167     73.3414
  77.18603     65.56727     57.241596    57.172634    57.02342
  55.771114    53.7787      45.71083     42.506065    38.531948
  34.602985    38.224564    34.40266     27.449514    27.869272
  27.41622     24.067825    17.13991     11.785109    11.342697
   8.991536     1.388686     0.           5.0237055    0.95755935
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.        ]",509.37909925416676,22.569428421078076,6717869444160990.0,rolling9,1
8,"[  5.416246    9.06255     1.1424626   8.8862095   7.9446044   9.835141
  14.20836    21.639753   18.227196   21.510473   23.476254   14.626585
  21.695896   28.133049   40.40961    39.91851    36.713333   39.295643
  48.319584   52.80256    58.5788     54.44324    56.388687   75.7235
  78.503235   84.1327     79.80582    75.63213    75.86446    81.2762
  81.75865    75.47425    79.04173    90.621284   95.1056    101.20229
  92.86009    86.7012    100.91947   106.49849   102.138435   99.85563
  97.27332   103.22538   105.53856   100.24704    93.43836    98.38879
 115.34549   107.59032   103.719444  111.67858   108.913216  116.75084
 110.37914   112.64066   114.54841   112.00868   116.900955  110.90974
 110.34387   106.63685   122.12758   111.01065   108.593506  103.063
 111.70494   109.12496   110.45256   116.526085  116.32114   110.22409
 101.62838    99.09225    98.67999    97.469894   93.4482     97.353615
  97.62663    85.26514    76.36291    81.68799    76.16306    72.04174
  71.751816   75.71799    64.15202    55.7745     55.64362    55.589428
  54.488346   52.474594   44.573624   41.310707   37.37742    33.488876
  37.19513    33.315357   26.488417   26.812513   26.22144    23.057766
  16.054527   10.537898   10.089966    7.829172    0.3058513   0.
   3.6572769   0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.       ]",491.2626007134571,22.164444516239453,6770411439813647.0,rolling9,1
9,"[  4.075593    7.6945624   0.          7.6410503   6.6619406   8.565877
  13.031697   20.409842   16.97514    20.186535   22.094435   13.136381
  20.261244   26.760473   39.090103   38.715317   35.390396   37.946632
  47.155052   51.63808    57.48893    53.297165   55.42229    74.76407
  77.665474   83.30339    79.00272    74.69532    75.00677    80.4857
  81.0606     74.766426   78.39822    90.10039    94.603905  100.74806
  92.48325    86.12398   100.54227   106.17013   101.78828    99.39713
  96.79209   102.87629   105.21013    99.97407    92.90679    97.84265
 114.924065  107.125046  103.16271   111.09979   108.23303   116.03316
 109.70203   111.87017   113.678566  111.03644   115.85027   109.828606
 109.1867    105.457146  120.871666  109.61568   107.189705  101.58837
 110.26958   107.536896  108.80278   114.85025   114.76232   108.5778
  99.80214    97.103386   96.734764   95.51078    91.50328    95.42249
  95.57678    83.161644   74.234505   79.566795   74.24382    70.0971
  69.7874     73.83234    62.353878   53.92714    53.777004   53.81406
  52.88611    50.87276    43.135075   39.810085   35.970257   32.201008
  35.98629    32.107437   25.373346   25.72347    25.081902   22.079605
  15.092496    9.480277    9.080373    6.950885    0.          0.
   2.7704742   0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.       ]",504.5474220305259,22.462133069468845,7404668387334991.0,rolling9,1
10,"[  3.1326597   6.755003    0.          6.8818846   5.8911695   7.8305807
  12.412941   19.751509   16.319494   19.462303   21.338995   12.271766
  19.472109   26.045218   38.404144   38.150414   34.704464   37.250538
  46.62973    51.12434    57.054512   52.78879    55.069954   74.4116
  77.43861    83.045235   78.74772    74.298515   74.677826   80.18892
  80.831795   74.50154    78.16758    89.93483    94.423836  100.57067
  92.33469    85.74445   100.30316   105.92321   101.508995   98.9656
  96.282364  102.44956   104.77337    99.549324   92.18106    97.07674
 114.236275  106.385056  102.31298   110.20648   107.23121   114.973976
 108.68546   110.73558   112.44331   109.70358   114.437256  108.39249
 107.66977   103.89921   119.25099   107.871704  105.468094   99.789604
 108.53196   105.65267   106.86857   112.92953   112.972786  106.718605
  97.790375   94.955025   94.67113    93.40747    89.42982    93.39078
  93.45733    80.98683    72.05442    77.403595   72.325134   68.15299
  67.844734   71.975914   60.58695    52.115627   51.953175   52.07261
  51.340828   49.317867   41.73813    38.367958   34.64815    31.000015
  34.854168   30.994284   24.349298   24.735445   24.05291    21.215874
  14.254385    8.543015    8.208769    6.221383    0.          0.
   2.0395372   0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.       ]",489.0049278310272,22.113455809326304,6199955487013382.0,rolling9,1
11,"[  2.3607693   5.995746    0.          6.33584     5.343085    7.327723
  12.04245    19.351439   15.930366   19.012115   20.86737    11.695227
  18.978006   25.63945    38.017086   37.888916   34.327606   36.87442
  46.424637   50.93272    56.941833   52.595844   55.032516   74.37822
  77.5292     83.098015   78.79825    74.1966     74.63719    80.172615
  80.87097    74.48786    78.18343    89.99373    94.453064  100.57934
  92.34612    85.5041    100.18356   105.771576  101.30452    98.58983
  95.79649   102.01855   104.31791    99.07243    91.37676    96.22221
 113.44494   105.53731   101.34465   109.18728   106.092995  113.76933
 107.51968   109.4404    111.047806  108.20931   112.865654  106.80783
 105.99937   102.180336  117.48015   105.98918   103.62506    97.86571
 106.68765   103.66827   104.847984  110.94237   111.13169   104.8145
  95.74628    92.7849     92.609604   91.2951     87.35906    91.37737
  91.36772    78.84345    69.91413    75.28907    70.46963    66.27475
  65.971306   70.19931    58.89836    50.37815    50.20774    50.40361
  49.87119    47.831352   40.40635    36.995117   33.407394   29.87861
  33.790287   29.951048   23.393545   23.811464   23.089016   20.414608
  13.475762    7.66989     7.402169    5.5585465   0.          0.
   1.3619515   0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.       ]",504.32985905113065,22.457289663962804,5516909543528858.0,rolling9,1
12,"[  1.3259358    4.951867     0.           5.5471554    4.5493817
   6.5662007   11.447263    18.71988     15.315235    18.351501
  20.15965     10.890759    18.267614    25.037916    37.426018
  37.46029     33.783062    36.330032    46.095573    50.599102
  56.67511     52.263996    54.896507    74.24949     77.53929
  83.098656    78.80672     74.014496    74.521454    80.12403
  80.87748     74.428795    78.15678     90.03038     94.45597
 100.54805     92.30871     85.17362    100.00291    105.56561
 100.99702     98.09303     95.156975   101.42808    103.69067
  98.3728      90.320274    95.11168    112.4155     104.45637
 100.13034    107.93397    104.69951    112.31642    106.11274
 107.888695   109.39399    106.4446     111.02967    104.99782
 104.092606   100.23413    115.50502    103.92319    101.606544
  95.778854   104.72971    101.58485    102.75113    108.91433
 109.29574    102.913925    93.704346    90.61903     90.58761
  89.22853     85.36753     89.46965     89.37636     76.80718
  67.88501     73.29984     68.758286    64.56068     64.24216
  68.60379     57.389423    48.803757    48.626995    48.910606
  48.56998     46.50166     39.248383    35.787304    32.33747
  28.916712    32.872746    29.035187    22.583641    22.987743
  22.197313    19.68893     12.742994     6.8385053    6.6172385
   4.9154925    0.           0.           0.61879325   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.        ]",483.16087589741,21.98092072451493,5986034504713284.0,rolling9,1
13,"[  0.8295581    4.4775004    0.           5.3230124    4.3159204
   6.398467    11.417256    18.673693    15.27899     18.25836
  20.071777    10.7136      18.173212    25.038805    37.460823
  37.598515    33.828217    36.39787     46.32527     50.854103
  56.9951      52.493423    55.281605    74.64822     78.03559
  83.56808     79.27903     74.32973     74.87874     80.48688
  81.27353     74.74113     78.53175     90.41425     94.78879
 100.84023     92.58282     85.16646    100.0995     105.607086
 100.96426     97.88314     94.805336   101.104416   103.32954
  97.96584     89.549126    94.275566   111.64349    103.62252
  99.15767    106.90343    103.53123    111.0564     104.867935
 106.497696   107.914215   104.86517    109.36065    103.31361
 102.3188      98.39614    113.61579    101.91325     99.658394
  93.75152    102.78194     99.496155   100.63792    106.82149
 107.37234    100.91586     91.57594     88.36323     88.471115
  87.063156    83.23792     87.39816     87.25904     74.64813
  65.74219     71.206       66.94687     62.72302     62.418724
  66.89111     55.77729     47.133797    46.97084     47.343822
  47.197086    45.113182    38.024426    34.515175    31.220049
  27.936522    31.93235     28.12462     21.763931    22.203997
  21.386713    19.028675    12.1138115    6.140762     5.989491
   4.4412975    0.           0.           0.12480404   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.        ]",506.70209046885986,22.51004421294769,6346322474902925.0,rolling9,1
14,"[  0.22815405   3.8892066    0.           5.013043     4.0052114
   6.1420417   11.322015    18.55704     15.185408    18.118816
  19.921358    10.4763365   18.031683    25.002186    37.435757
  37.704994    33.835186    36.423195    46.531136    51.07191
  57.26993     52.68482     55.63893     75.01252     78.5102
  84.015854    79.72459     74.59637     75.18684     80.81834
  81.63092     75.00689     78.83801     90.72759     95.04126
 101.03265     92.73966     85.01828    100.05142    105.49561
 100.75282     97.47189     94.22274    100.53498    102.7084
  97.257416    88.46659     93.12017    110.54587    102.46863
  97.861626   105.5553     102.03847    109.48195    103.32215
 104.798004   106.124825   102.97805    107.39516    101.36522
 100.278046    96.29868    111.49255     99.696175    97.51506
  91.540764   100.69076     97.28374     98.41768    104.665886
 105.41148     98.89299     89.436035    86.11347     86.38752
  84.927246    81.167145    85.41285     85.231285    72.58363
  63.70169     69.219574    65.259705    61.025227    60.728016
  65.33002     54.31152     45.606876    45.454838    45.918938
  45.96485     43.853783    36.92985     33.37719     30.238369
  27.074429    31.099813    27.31385     21.05191     21.49567
  20.633038    18.42672     11.522277     5.4684563    5.3776064
   3.9779415    0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.        ]",535.4543137786479,23.139885777130534,5787125521171087.0,rolling9,1
15,"[  0.          3.1154685   0.          4.5347342   3.5180237   5.7013555
  11.055826   18.265894   14.915481   17.812586   19.59077    10.068148
  17.721537   24.805817   37.253353   37.667583   33.70377    36.31062
  46.621777   51.164463   57.407513   52.74895    55.893253   75.27788
  78.88596    84.38998    80.107025   74.78148    75.4125     81.09307
  81.930046   75.20652    79.09144    91.001686   95.254135  101.182526
  92.85418    84.80726    99.96251   105.35361   100.48326    97.00143
  93.568375   99.894264  102.01278    96.450745   87.2746     91.85526
 109.35737   101.22849    96.47417   104.12637   100.45275   107.81844
 101.686195  103.003136  104.24374   100.993744  105.335045   99.3425
  98.15898    94.129166  109.3091     97.426865   95.322784   89.2915
  98.58335    95.064186   96.20301   102.525375  103.4919     96.90541
  87.32972    83.89525    84.35222    82.84926    79.16796    83.5079
  83.281906   70.6061     61.74969    67.33209    63.676624   59.442013
  59.13892    63.890495   52.96809    44.19122    44.054104   44.61982
  44.84624    42.70358    35.95439    32.349438   29.36773    26.318588
  30.363382   26.587208   20.434595   20.854546   19.932      17.87338
  10.962426    4.831583    4.786501    3.5325692   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.       ]",560.642986048806,23.677900794808775,5948504507818530.0,rolling9,1
