,predict_data,mse,rmse,mape,smooth,skip
0,"[ 19.442064   31.92167    32.746094   38.99924    45.18383    50.224667
  55.42656    63.174572   62.45928    77.083      77.964264   80.46188
  87.476166   93.46384    95.14729   103.89776   108.61483   110.22104
 121.80466   130.49304   123.07213   131.83357   134.51538   138.93059
 138.08437   137.05638   134.89438   153.31773   149.65459   153.18932
 156.47812   155.72124   149.61952   164.06508   156.95583   156.99742
 167.42986   164.35829   155.94844   161.61171   159.24937   157.34251
 169.16534   170.00806   156.02902   157.94229   155.32735   150.64413
 157.60904   150.81999   147.80151   147.09404   143.67682   140.95413
 139.24548   140.8558    130.08733   131.79456   121.98174   125.84174
 119.08932   125.52946   116.555214  107.255066  103.9471    111.38668
 106.110504  104.79884   104.28904    90.1215     89.78369    93.87726
  86.335396   86.45269    95.152596   73.80707    66.89425    83.23969
  69.74362    75.91091    71.82477    67.11122    54.610535   56.570812
  48.37233    56.249863   56.143764   51.75018    36.96133    39.443813
  41.83011    46.73839    44.38149    32.82938    30.048063   23.178019
  20.790253   21.006613   26.148733   24.473654   14.445832    6.439501
  12.094601   10.30689    11.088591    7.239352    0.          0.
   0.          0.          0.9753556   0.          0.          0.
   0.          0.          1.5356402  10.026755    1.6752255   0.       ]",3858.4297358552913,62.116259834726776,9063494250083124.0,weighted6,6
1,"[  0.         14.946029   15.716232   27.343006   26.142918   31.568316
  38.001583   43.3988     40.922363   55.13405    50.432133   56.551292
  61.594185   66.7962     69.999664   71.83532    76.739494   77.85482
  92.96476   100.76498    90.211174   94.42305    90.958916   97.54834
  99.62465    97.96176    88.41163   110.53226   103.3634    110.31166
 113.162285  114.29164    97.03529   120.41009   109.060715  103.617165
 125.074905  114.49449   106.237816  116.68971   117.22999   110.907104
 125.89547   129.95282   112.43438   117.15351   118.48498   110.212135
 119.66916   118.91499   105.427155  105.06536   112.26047   112.40161
 114.972725  116.44267   101.85108   100.82673   100.13145   104.4256
 102.33141   104.39476    98.55221    87.02949    89.85795   100.18916
  85.24332    93.63683    93.0627     78.15818    79.32232    84.52265
  71.665764   76.795425   84.639786   64.514465   61.54174    67.42518
  65.73807    66.28594    67.241486   56.080555   49.380753   50.042843
  45.25669    44.81505    50.873608   39.919277   27.843565   31.20356
  38.80908    41.144997   37.571438   24.734539   20.334839   14.345331
  15.131264   13.592989   21.69242    16.831928    7.8084197   0.
   5.91558     8.29135     6.1213694   0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.       ]",1295.3456696138733,35.990910930592925,1.1825702021537028e+16,weighted6,6
2,"[  0.         10.327513   10.753526   23.79505    21.41394    25.473194
  32.18255    35.1255     29.402182   46.126      40.041172   45.305763
  49.004242   52.00766    57.08806    58.229538   60.802383   61.843884
  78.09708    84.61203    73.88135    77.10368    69.03475    76.46035
  78.681625   80.873276   69.114555   89.44831    79.953896   88.7805
  91.17016    95.07015    74.01991    97.681656   86.07258    81.7114
 103.62045    92.59146    81.09037    93.90851    96.074745   88.97046
 105.26929   110.46078    89.644485   97.08748   100.135345   90.84701
 102.95568   104.28132    84.735275   85.37533    96.69231    97.751366
 103.66061   105.854744   86.97296    86.431816   90.20574    93.792786
  95.41093    96.5412     88.42877    77.55407    84.45055    93.7651
  77.68606    88.81209    85.76563    72.87067    74.9184     79.483406
  66.84193    72.37031    75.9568     59.96566    59.025368   60.96925
  63.459038   62.76626    64.54413    49.903614   46.38867    47.962063
  43.716846   40.207638   48.642086   33.988335   24.517649   28.152967
  37.634605   38.10561    35.65377    21.998898   17.238575   13.837054
  13.483844   13.075232   23.845873   14.906537    7.926808    0.
   6.1237044  10.909284   11.576737    0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.       ]",670.39702387188,25.89202626045092,8234081318709057.0,weighted6,6
3,"[  0.         10.392748    9.547333   23.328556   21.606453   24.249805
  30.962633   32.412952   23.934935   42.62936    37.08359    40.99829
  44.13907    45.25771    51.11635    53.427387   54.112644   55.034286
  71.83887    77.27452    66.88296    70.63534    60.327717   67.645515
  69.87462    75.91528    63.500675   81.20507    71.01437    80.19755
  82.588165   88.67485    66.876236   88.037964   77.61999    75.4701
  94.57963    84.96828    71.23798    84.70561    87.37307    80.76105
  96.96517   102.251854   80.06327    88.86295    92.31536    83.42242
  96.47506    98.13931    76.24962    77.19939    89.492325   91.16489
  98.72215   101.41757    80.503624   80.20171    85.77355    88.616135
  92.20685    93.64488    83.38246    73.1364     82.07087    89.62083
  74.32588    86.08827    81.52971    70.14805    72.41853    76.211815
  64.2938     69.71898    69.39798    57.025707   56.94228    57.134598
  60.725197   59.954655   61.982258   45.04339    43.633656   46.57295
  41.721867   36.046936   45.874714   29.405651   22.102837   25.853214
  35.675655   34.302593   33.092987   19.905731   14.127042   13.594949
  11.531912   12.113677   24.389406   13.499268    7.644617    0.
   6.2292876  12.291677   15.558862    0.          0.          0.
   0.          0.          3.151045    0.          0.          0.
   0.          0.          3.3924484   0.          0.          0.       ]",638.0315592122919,25.25928659349452,5956010507197481.0,weighted6,6
4,"[ 7.8114405  20.347044   17.976795   31.15052    31.578459   33.50603
 40.480408   41.36312    32.109592   50.42859    47.220455   50.36611
 54.114376   53.75526    57.803093   62.17889    62.47075    62.52787
 79.56706    83.73224    72.86917    78.42234    68.60394    74.324486
 76.98187    83.49478    71.34781    86.78733    77.53547    84.562614
 87.95985    93.847374   74.06534    90.02493    80.91305    80.10841
 94.60807    87.345406   74.44889    85.11962    86.14866    80.829895
 95.50426    99.96568    80.592804   86.47068    89.25543    82.219925
 92.92112    93.28704    75.26696    74.11338    84.31852    87.092354
 92.741745   95.387535   78.03467    76.21204    80.09768    83.30654
 85.42099    87.801186   79.55842    68.49618    76.33071    83.01113
 67.964325   79.52227    77.11175    65.39647    66.868126   70.74024
 58.34725    63.809387   62.67863    52.318226   51.16245    51.800003
 53.67678    53.176678   55.953663   38.779938   38.107506   41.869415
 35.928635   27.52914    37.629837   23.571115   17.042816   20.101313
 29.94941    25.903442   24.053093   15.648217    6.382085    8.435889
  5.5431013   6.494009   17.014149    9.360121    3.336714    0.
  3.4616787   9.404684   11.405619    0.          0.          0.
  0.          0.          3.1986659   0.10008316  0.          0.
  0.          0.          7.545375    6.4144106   0.2093831   0.10270734]",716.6606783827524,26.77051882916639,4676237613086366.0,weighted6,6
5,"[ 35.603714    45.38496     40.396828    52.938282    56.533443
  57.5085      65.16761     64.80053     54.781055    72.04822
  72.32196     74.706024    79.51109     76.500496    76.78602
  84.362656    84.364746    82.28339     99.74207    101.73502
  89.57537     97.47318     88.78475     91.4473      95.16152
 101.2078      89.19434    100.979454    93.14742     96.15831
 101.009636   106.22716     89.85644     96.56758     89.13714
  89.67049     96.46477     92.90208     82.89333     87.589676
  85.03929     82.00092     92.836044    96.23176     83.255775
  82.53203     83.97828     80.71982     85.669266    83.87762
  74.09084     68.169716    74.54814     79.70801     80.62627
  82.98122     73.88378     68.22617     68.709236    72.72222
  71.32905     75.12577     72.28249     59.21018     64.21883
  69.811005    53.924156    65.712875    68.467964    55.750465
  55.293484    59.480934    45.184456    51.195843    49.955147
  42.841488    39.27035     40.24103     39.35824     38.576504
  43.608185    26.676924    26.94099     31.614878    24.22382
  10.438109    20.978712    12.603163     6.7259064    8.3353615
  18.883451     9.944205     6.3667574    7.7897344    0.
   0.           0.           0.           2.5713038    2.6568096
   0.           0.           0.           5.2950673    3.5643647
   0.22626892   0.           0.           0.           1.5032611
   4.046545     7.4342647    7.6400223    0.          13.016921
  11.392455    17.2483      21.558468    18.816807    20.567127  ]",641.4471198105908,25.326806348424405,3948155673328135.5,weighted6,6
6,"[ 65.31419     71.20744     64.48538     73.76703     81.48101
  80.601715    88.88321     86.00585     75.5445      90.80858
  95.24665     95.35469    100.65123     94.36715     90.50359
 101.25743     99.404945    95.41791    112.34849    111.18284
  97.94432    108.37614     99.29884     98.971436   102.70477
 108.16749     97.39351    103.56548     96.86748     95.82714
 102.434      106.47659     95.07689     90.04751     84.45291
  87.4861      85.26854     86.91307     79.451256    77.22353
  71.489296    71.55608     79.29104     81.38771     76.11069
  67.69778     69.06465     70.028305    69.49604     65.32223
  65.22427     54.45587     57.127327    65.48238     61.26612
  63.412537    63.01605     54.92486     51.77991     57.39795
  52.350662    57.394173    60.411583    46.3006      48.697105
  53.094067    37.178703    48.8002      55.62518     43.648563
  41.250896    45.715378    31.063932    36.420185    33.78234
  31.983826    25.631298    27.703161    24.272785    23.834274
  29.096989    13.769297    15.044141    20.357697    12.383411
   0.           2.78962      1.4971237    0.           0.
   8.565609     0.           0.           0.37837517   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           3.433418     0.
   3.2891147    0.2811197    1.7210362    3.3492513   11.37896
   8.723794    16.610767    23.489649    19.177038    31.24075
  32.935986    31.940168    40.841656    41.65815     45.48115   ]",674.5641221362924,25.972372285493915,5963516506576432.0,weighted6,6
7,"[ 84.92704    87.4816     76.1615     86.04722    94.44779    90.72178
  98.65808    93.96905    80.85467    94.553955  101.06156    99.42421
 103.11596    95.173065   89.48507   100.91165    96.13563    91.87311
 107.80081   105.083916   92.590965  102.76162    92.26163    91.01474
  94.373344  104.36467    93.88649    93.3714     87.80719    85.734344
  91.94031    97.994446   89.47734    75.60519    72.82195    78.97113
  69.01032    73.66985    68.23582    62.975185   56.098927   58.75537
  62.358326   63.364292   62.850983   52.188114   53.518356   57.300278
  52.621952   47.40764    50.631485   37.955532   38.993507   49.329365
  44.012367   45.688633   48.317078   38.87271    35.47187    39.833935
  35.111298   40.958504   44.657238   31.151419   33.60251    34.50738
  19.290949   32.54633    39.087494   29.89465    26.410654   29.744995
  15.478052   22.234243   14.158147   19.113785   13.071773   12.113271
  10.466836    9.727812   15.801748    0.          5.029243   11.995412
   4.227957    0.          0.          0.          0.          0.
   4.8663507   0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   6.96618    13.769692    9.192848   16.555098   16.373816   18.136866
  21.536928   30.399435   26.506159   37.17464    47.17221    43.828896
  57.259403   59.237877   54.19922    63.79582    66.86884    72.7667   ]",710.0609725533316,26.646969293961586,6883001430497908.0,weighted6,6
8,"[95.078224  95.789536  82.4272    89.79321   97.831696  92.44779
 99.258095  94.72617   82.61983   91.442505  99.03608   96.29466
 97.72787   91.53408   84.29584   93.611336  86.83158   84.00284
 96.6099    93.94609   83.15003   91.593636  81.09224   80.39064
 81.47375   92.22549   84.23695   79.241     75.288826  73.268906
 78.37717   83.5727    79.590965  60.71367   59.218376  66.747856
 53.20621   59.051132  56.852707  49.344704  42.11912   46.57666
 47.846676  47.217075  51.56531   39.228683  40.941563  45.426266
 38.114693  31.572226  38.76438   26.106672  24.964134  35.28604
 29.13415   29.922363  34.588234  26.664381  21.542648  25.166855
 20.02985   26.050472  30.441637  18.759922  20.068703  19.258024
  5.910412  19.334505  24.094898  18.103125  14.280761  17.162039
  5.1780663 12.302683   2.237015  10.242249   4.6716523  3.8414516
  3.5204873  3.8350465  7.858531   0.         2.1854472  9.136685
  3.3160312  0.         0.         0.         0.         0.
 10.6746235  0.         0.         6.6468434  0.         4.1762066
  0.         3.1937711  1.814741  11.125458  12.960115   3.2463028
 24.26367   30.304386  25.24903   34.595978  35.947838  38.57173
 42.780544  51.180786  45.019985  55.81497   68.50111   67.31954
 78.58094   81.59377   72.757675  83.5786    86.31838   91.72175  ]",750.085697544961,27.38769244651621,3944402673638660.5,weighted6,6
9,"[103.3466    103.43225    88.51215    95.07001   100.05192    94.11989
  99.25395    95.90887    86.02718    89.636856   95.9395     93.834274
  92.33413    89.531      81.67853    86.834465   79.142715   78.00242
  86.98189    85.76043    76.948524   81.41535    71.746506   72.48406
  71.5845     81.79141    75.511345   68.54131    65.71764    65.04398
  67.75662    72.187744   70.88015    51.61526    50.119476   56.61487
  43.53164    47.895233   49.992443   41.93127    34.758354   39.646988
  38.106434   36.80787    44.9351     32.70019    34.402718   38.36439
  28.653244   21.9166     31.085419   19.450499   17.172916   26.657532
  20.338995   20.079062   25.843155   19.265274   13.426085   15.742533
  10.612906   16.167265   21.144592   11.415896   11.470972    9.887025
   0.         11.494846   14.528098   11.342922    7.3518066  10.010962
   0.          7.9109507   0.          6.7592444   2.3217494   0.743276
   3.0479949   3.40151     6.4860077   0.          5.6572638  11.941916
   8.882006    0.          0.          2.570174    7.401468    7.8445106
  23.45005     7.018626    0.         20.956717    5.4095197  22.970093
  17.637568   23.449215   20.878376   30.786343   34.987087   28.565168
  47.190742   52.724983   46.46446    56.605553   58.94092    61.901398
  66.08621    73.88328    65.701866   76.928635   89.84463    90.25787
  99.10829   102.07183    90.37492   102.40199   103.57227   107.91081  ]",695.0033664654646,26.362916501507655,3820553683885971.0,weighted6,6
