,predict_data,mse,rmse,mape,smooth,skip
0,"[ 28.25635    36.606003   43.207493   50.68615    48.037426   49.752487
  75.498856   83.22913    92.04408    94.62276    97.93242    97.944954
 105.128555  103.58749   103.37691   117.8386    121.42174   125.6582
 129.95341   142.27295   146.07843   148.03554   156.77393   152.06194
 164.68167   155.70134   165.20619   171.83882   178.08961   171.08456
 176.46115   174.36183   176.23488   187.71843   185.68419   174.42435
 184.09781   181.97882   172.0649    180.20044   168.73605   167.23264
 170.83713   179.01373   161.52032   169.14429   163.07393   159.93582
 151.5633    152.70113   139.8526    150.18398   148.4605    137.95204
 125.37203   128.05795   132.88069   123.79743   120.530846  111.320984
 114.48375   125.474945  117.50138   112.60518   102.76015   108.26183
  95.46081    93.19323    99.19111    98.79977    99.32002   100.7244
  75.54086    80.88894    82.04865    75.887825   79.407      78.116776
  70.71767    70.18383    70.12743    65.64809    55.242554   67.530235
  56.682888   66.035904   59.85126    54.901333   50.34804    46.198517
  38.242065   37.715942   37.32592    30.421452   36.23315    36.981125
  32.818264   23.067883   25.757393   24.584362   18.880827   20.579391
  16.772778   14.168569   15.029687   13.533055    7.8609734   6.151232
   6.1103106   5.240404   12.705913   12.305864    4.4077187   5.695186
  17.239967   17.81228     7.3793283   8.472103    8.019115   26.252914 ]",4895.081018901567,69.96485559837573,0.7967997132054853,rolling9,3
1,"[ 13.330132   18.920425   26.302088   33.151894   27.647491   27.740326
  54.659885   60.54766    66.22816    70.98575    73.96238    70.828766
  79.26154    77.66599    74.2406     88.45885    93.01006    94.23436
  98.77847   111.918144  112.18491   117.22616   125.30414   117.62175
 132.7315    124.54699   130.30116   139.35757   147.7911    136.5854
 144.03445   143.86786   143.14882   157.56381   157.52667   144.32228
 157.04834   155.79681   144.84084   157.42683   145.73741   141.3869
 149.48149   157.54077   139.65016   149.65643   143.38995   141.38098
 135.37431   135.95111   124.01824   134.74477   131.77806   123.51464
 112.574844  111.90582   119.102196  111.39738   106.1472    100.10021
 103.77982   112.678345  108.4298    102.56447    93.210815  101.47532
  87.28337    85.04962    92.852776   92.31119    91.9821     95.23893
  69.587944   74.4724     76.86552    71.171234   73.93018    74.55031
  68.14117    67.53538    66.77752    63.35926    53.377434   65.861496
  54.264706   64.3124     58.51719    53.34041    47.87468    44.656246
  36.452972   36.624584   36.995995   29.241907   35.167187   36.269028
  31.038445   21.5383     23.935604   21.380003   13.176167   16.309422
  12.24306     9.139882   10.008584    8.867117    2.3004775   2.101093
   1.0987405   0.          8.774103    5.7220597   0.          0.2682505
   9.665078    6.43474     0.          0.          0.         15.9220915]",2532.8698131354513,50.32762475157606,5126597575823415.0,rolling9,3
2,"[  5.23733     9.642232   17.176317   23.353825   16.400309   15.015706
  42.591595   47.59654    50.68518    56.869175   60.080486   54.24248
  63.27609    61.994514   55.949535   69.871025   75.0379     73.913445
  78.65835    92.17809    89.886475   97.24328   104.46856    94.51182
 111.56813   103.467354  106.34951   117.57587   127.37677   112.96116
 122.052956  123.079216  120.5323    137.17139   138.40637   124.09742
 138.86827   138.34918   127.1608    142.36827   130.81079   124.92771
 135.43643   143.75793   126.144516  136.85683   130.73318   130.13756
 124.76428   125.10817   114.701965  124.53852   120.64226   114.92066
 104.247475  100.83848   110.342476  103.04864    95.92462    92.94478
  96.413414  103.14456   102.1138     95.50335    85.82688    96.42545
  81.43646    78.342964   87.738365   87.43579    85.821014   90.467026
  65.09953    68.9357     72.34808    67.63881    69.52337    71.16195
  65.99598    65.37651    63.60452    61.414      52.022575   63.986034
  51.980907   62.915825   56.68824    51.641758   45.73011    42.52093
  34.429104   35.29328    35.656223   27.38848    33.51331    34.635437
  28.478693   19.127125   21.356369   17.995106    7.4802737  11.882171
   8.004028    4.317018    5.449487    4.82084     0.          0.
   0.          0.          5.6569266   1.2845755   0.          0.
   5.1707025   0.          0.          0.          0.         10.0002775]",1423.4852210733904,37.72910310454505,8451755300698630.0,rolling9,3
3,"[  0.           2.0702026    9.489884    15.110801     7.026033
   4.157944    32.249725    36.54101     37.252586    44.5782
  48.008907    39.782368    49.211536    48.331768    39.941288
  53.608437    59.29998     56.159912    61.053642    74.913055
  70.483       79.81278     86.230705    74.42548     93.02905
  85.11913     85.63639     98.71998    109.64971     92.67635
 103.18218    105.22853    101.2902     119.88417    122.21116
 107.19741    123.67352    123.86209    112.850136   130.18962
 118.91558    112.0267     124.32709    133.02324    115.94279
 127.01373    121.16898    121.93495    116.90898    117.19277
 108.29279    117.26067    112.6123     109.199814    98.60235
  92.87049    104.37723     97.42167     88.61243     88.228584
  91.54291     96.30636     97.960205    90.77533     80.65172
  93.16895     77.70488     73.62689     84.258156    84.37765
  81.380486    87.05142     62.251915    64.9968      69.09414
  65.49514     66.5218      68.8091      64.905655    64.26553
  61.436077    60.330822    51.571224    62.812325    50.63231
  62.46469     55.62377     50.64404     44.620277    41.234177
  33.174183    34.83161     34.955055    26.1211      32.588524
  33.728527    26.512516    17.476053    19.551064    15.350244
   2.8875127    8.519204     4.6200953    0.48181087   1.9536567
   1.6213601    0.           0.           0.           0.
   3.3134873    0.           0.           0.           1.7629054
   0.           0.           0.           0.           5.3157825 ]",819.6536497806742,28.629593950677577,5693300528934204.0,rolling9,3
4,"[  0.           0.           7.0498166   12.106056     3.7377
   0.          27.986376    32.101032    31.173971    39.004944
  42.77361     32.822803    42.14446     41.686977    31.61742
  44.962627    50.83172     46.35845     51.287903    65.06741
  59.33659     69.85175     75.32756     62.40643     81.927826
  73.64806     72.71541     87.13491     98.43016     79.89666
  91.27174     93.70264     89.04432    108.81292    111.58507
  96.46332    113.79105    114.528625   104.078026   122.207
 111.44567    104.399376   117.11594    126.386116   110.15416
 120.68052    115.31834    117.34549    111.86042    112.32327
 105.04722    112.664894   107.75719    106.39129     95.241585
  88.00822    101.217026    94.091965    84.0968      85.790016
  88.70813     91.901405    95.53261     88.05318     77.26782
  91.15651     75.61603     70.39291     81.87185     82.65324
  78.36705     84.58939     60.702156    62.2521      66.73234
  64.41438     64.577995    66.913994    64.355385    63.651234
  59.687805    59.722183    51.43195     61.580063    49.60351
  62.24965     54.27709     49.795704    43.738403    39.574734
  31.880615    34.137646    33.64763     24.709423    31.560177
  32.365116    24.40248     15.6480465   17.55919     12.985105
   0.           5.6013904    1.9330167    0.           0.
   0.           0.           0.           0.           0.
   1.9137156    0.           0.           0.           0.45703644
   0.           0.           0.           0.           3.9543452 ]",667.0572019434337,25.827450550595074,9551384209714926.0,rolling9,3
5,"[  0.           0.           4.8006124    9.423097     0.69169736
   0.          24.077738    27.887917    25.566685    33.79718
  37.683556    26.320213    35.51353     35.32958     23.82914
  36.91361     42.881107    37.302612    42.259735    55.933933
  49.09546     60.54382     65.210686    51.440308    71.568565
  63.11283     61.035828    76.423676    88.02568     68.32787
  80.32156     83.12671     77.93859     98.59362    101.76555
  86.64457    104.61025    105.84816     95.95509    114.70289
 104.45368     97.35168    110.385796   120.13363    104.73895
 114.83844    109.89449    112.97689    107.25665    107.86432
 101.95969    108.605965   103.55028    103.78996     92.31473
  83.884445    98.473076    91.33087     80.42314     83.69473
  86.441696    88.40177     93.56695     85.89443     74.65014
  89.58758     74.047676    67.95791     80.018456    81.40208
  76.08935     82.67604     59.578903    60.184406    64.87698
  63.62382     63.05327     65.41821     63.9759      63.153824
  58.286327    59.181694    51.204544    60.421555    48.758205
  62.018475    53.108738    49.091652    42.96476     38.201145
  30.852663    33.612522    32.67719     23.695808    30.909973
  31.447544    22.914454    14.50712     16.227085    11.339484
   0.           3.6925802    0.14684719   0.           0.
   0.           0.           0.           0.           0.
   1.3199109    0.           0.           0.           0.
   0.           0.           0.           0.           3.1765585 ]",692.4515509343765,26.314474171724893,9179837240456862.0,rolling9,3
6,"[  0.           0.68487984   7.0325985   11.491922     2.6832013
   0.          25.544846    29.10774     25.984316    34.395874
  38.19991     25.90397     34.809887    34.567       22.181849
  35.16939     40.826828    34.58607     39.688953    52.845642
  45.370213    57.130432    61.038635    46.88985     67.08631
  58.110535    55.530666    71.27103     82.77801     62.621384
  74.582306    77.47913     72.17516     92.832634    96.02417
  81.25995     99.00368    100.63071     91.33019    109.52998
  99.92313     93.350365   105.7074     115.890785   101.571266
 110.68799    106.10788    110.16873    103.81009    104.55274
 100.05514    105.5673     100.69633    102.15083     90.08673
  81.07258     96.76791     89.30559     78.028145    82.32932
  84.75207     86.01024     92.03007     84.26206     72.63748
  88.10405     72.66528     65.89214     78.21952     80.04168
  74.13858     80.72751     58.19733     58.048553    62.773388
  62.260906    61.028675    63.159435    62.41376     61.163418
  55.74085     57.1414      48.85683     57.223057    46.17815
  59.481834    49.60016     46.548504    39.843323    34.41985
  27.941244    30.653654    29.381433    21.03232     28.388914
  28.505733    20.27196     12.063888    13.544339     8.995916
   0.           1.5064529    0.           0.           0.
   0.           0.           0.           0.           0.
   1.5979352    0.           0.           0.           0.7710816
   0.           0.           0.           0.           5.1706705 ]",751.4800333900582,27.41313614656408,7243289400687548.0,rolling9,3
7,"[  3.081681    6.6805725  12.631134   17.089584    8.353452    2.2112339
  31.022802   34.32219    30.92748    39.341892   42.870678   30.068844
  38.58562    37.95434    25.14678    38.138996   43.160393   36.611065
  41.9555     54.249615   46.471104   58.04397    61.25659    47.07272
  66.921844   57.160034   54.524677   70.10244    81.22639    61.09383
  72.49038    75.27109    70.08846    90.01109    92.93632    78.70494
  95.56747    97.46322    88.62071   105.40989    96.486725   90.74218
 101.79012   112.28586    99.1207    106.94843   102.6059    107.51019
 100.34628   101.11398    97.96561   102.30466    97.85296   100.13012
  87.39481    78.2427     94.820694   86.85248    75.65717    80.55886
  82.58233    83.58841    89.97391    82.180504   70.339355   85.97327
  70.641914   63.465694   75.86612    77.919266   71.91911    78.31797
  56.049496   55.398884   60.12012    59.96579    58.195454   60.02994
  59.561905   57.670177   52.082756   53.668568   44.565956   52.28337
  42.031357   54.88876    44.16088    42.47755    34.68516    28.67487
  23.507477   25.667774   24.306894   17.17177    24.420559   24.009232
  16.90427     8.711305    9.906412    6.3062243   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          2.7285192   0.          0.          0.
   3.1734202   0.          0.          0.          0.          9.344981 ]",829.1602887648171,28.795143492693644,7277066397892828.0,rolling9,3
8,"[ 12.283772   16.270317   21.814056   26.384657   17.900623   11.653122
  40.648766   43.65995    40.462025   48.692696   51.790806   38.826004
  46.82254    45.481285   32.635906   45.728344   49.753567   43.1809
  48.91917    59.93385    52.115906   63.048435   65.56796    51.642773
  70.75595    59.8976     57.568134   72.52448    82.9991     63.296467
  73.610374   76.06854    71.20076    89.63723    92.02249    78.52345
  93.80437    95.88649    87.41004   101.815155   93.67968    89.09084
  98.11698   108.8155     96.994896  103.0969     98.86429   104.587524
  96.355316   96.997856   95.30102    98.268875   94.441315   97.28921
  83.72934    74.75732    92.12413    83.41251    72.661026   77.88555
  79.374855   80.45657    86.84892    79.073364   67.11375    82.63331
  67.41461    60.02759    72.3629     74.45982    68.81574    74.87154
  52.596195   51.60487    56.36726    56.212147   53.985695   55.48654
  54.874523   52.126167   46.744747   48.19993    37.768394   44.978073
  35.696777   47.638294   36.14719    36.313046   26.85599    20.295246
  16.979198   18.053635   16.876951   11.594282   18.453583   17.39089
  12.349131    3.965913    4.81165     2.8656623   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          4.6303673   0.          0.          0.
   7.060297    0.          0.          0.          0.         15.831348 ]",809.8006095070763,28.456995792020567,6252497482666038.0,rolling9,3
9,"[ 26.545254   31.258808   36.1922     41.09089    33.161407   27.007963
  56.26148    58.94344    56.40002    64.25802    66.771576   53.916
  61.213547   58.767826   46.259563   59.671852   62.157528   55.817726
  62.29981    71.396774   63.797615   73.58135    75.35555    62.021324
  79.912575   67.52331    65.91248    79.718094   89.25712    70.49116
  79.04128    80.93862    76.6683     92.598015   94.12365    81.76667
  94.409195   96.67263    88.65521    99.114655   92.05916    89.2907
  95.05636   105.89226    95.96148    99.435684   95.184494  101.94666
  92.00868    92.343765   92.54927    93.59466    90.619      93.96173
  79.1669     70.632126   88.83626    78.94822    68.97238    74.324646
  74.96129    76.37867    82.390434   74.6224     62.492424   77.54392
  62.487705   54.907364   66.990234   68.92119    64.0676     69.5117
  46.970234   45.646866   50.513557   49.947334   47.25896    48.278248
  46.915363   42.93622    38.179848   39.01484    26.506025   33.222076
  25.208216   35.5828     23.290527   26.049107   14.088863    6.9300466
   6.3262167   5.5656586   4.8681073   2.3433213   8.424573    6.5623984
   4.9361005   0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          7.1060863   3.831619    0.          3.6082368
  12.820263    5.48358     3.7809188   0.6813292   2.382743   25.440836 ]",719.2909812015129,26.81960069056795,5715818527071055.0,rolling9,3
