id,predict_data,mse,rmse,mape,shap,smooth,skip,result_corr
0,1.20890951e+01 1.43078213e+01 1.56279421e+01 2.08532963e+01 2.51023865e+01 2.88685627e+01 3.34250984e+01 3.82279816e+01 4.15507355e+01 4.58581314e+01 4.94767151e+01 5.18900146e+01 5.69767914e+01 6.24588699e+01 6.94072113e+01 7.18670273e+01 7.55136337e+01 8.05079041e+01 8.41534729e+01 8.88781357e+01 9.27315063e+01 9.77777786e+01 1.03085587e+02 1.08657928e+02 1.14090004e+02 1.17803734e+02 1.23006462e+02 1.25987823e+02 1.29621506e+02 1.32705612e+02 1.34325684e+02 1.36786865e+02 1.38672897e+02 1.40777145e+02 1.41572632e+02 1.44489456e+02 1.45175522e+02 1.47037308e+02 1.48233078e+02 1.50823181e+02 1.52749161e+02 1.51988113e+02 1.51718475e+02 1.50800934e+02 1.50409454e+02 1.47630890e+02 1.45906006e+02 1.42185089e+02 1.40170883e+02 1.37984436e+02 1.35308624e+02 1.34308182e+02 1.33302338e+02 1.33146393e+02 1.32342728e+02 1.29910309e+02 1.27453018e+02 1.24562576e+02 1.19650383e+02 1.18244385e+02 1.14289871e+02 1.15221008e+02 1.13339508e+02 1.09899612e+02 1.08616577e+02 1.07476631e+02 1.03129654e+02 1.00811188e+02 9.81853409e+01 9.57573624e+01 9.23040543e+01 9.11586380e+01 8.77162933e+01 8.49597626e+01 8.06694870e+01 7.69810333e+01 7.43177490e+01 7.03514175e+01 6.73389740e+01 6.20501060e+01 6.12368317e+01 5.70713463e+01 5.09835701e+01 4.65022011e+01 4.30798225e+01 3.88611832e+01 3.62452354e+01 3.33833733e+01 3.21204414e+01 3.22322044e+01 2.97586575e+01 2.68228588e+01 2.41822414e+01 2.23538475e+01 2.15493279e+01 2.13432026e+01 2.02626762e+01 1.95183849e+01 1.69440269e+01 1.72114086e+01 1.60102215e+01 1.48067913e+01 1.35924225e+01 1.31226110e+01 1.06126280e+01 7.88167572e+00 4.81677723e+00 1.81314683e+00 4.71221805e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01,2830.127897,53.19894639,20.54698281,0.021888,rolling6,3,0.3916250499106976
1,4.26541853e+00 6.70606184e+00 7.96994209e+00 1.28306189e+01 1.69960194e+01 2.03987808e+01 2.45696182e+01 2.88613014e+01 3.17496262e+01 3.55889168e+01 3.88526764e+01 4.09882011e+01 4.56116409e+01 5.07042046e+01 5.73280830e+01 5.94356041e+01 6.27436714e+01 6.74065018e+01 7.06134644e+01 7.53109283e+01 7.90844345e+01 8.39213486e+01 8.90867462e+01 9.45427628e+01 9.97759399e+01 1.03315109e+02 1.08436867e+02 1.11351845e+02 1.15149223e+02 1.18209457e+02 1.19875473e+02 1.22515518e+02 1.24558876e+02 1.27005104e+02 1.28103775e+02 1.31277451e+02 1.32276764e+02 1.34774002e+02 1.36413559e+02 1.39355148e+02 1.41722351e+02 1.41440506e+02 1.41593933e+02 1.41177460e+02 1.41293427e+02 1.39066208e+02 1.37832825e+02 1.34783630e+02 1.33219070e+02 1.31507309e+02 1.29521606e+02 1.29005508e+02 1.28495071e+02 1.28881866e+02 1.28518173e+02 1.26434395e+02 1.24514404e+02 1.22064796e+02 1.17370354e+02 1.16230118e+02 1.12524719e+02 1.13460243e+02 1.11696037e+02 1.08393921e+02 1.07245537e+02 1.06591194e+02 1.02522308e+02 1.00587311e+02 9.81035995e+01 9.58243408e+01 9.24202957e+01 9.14813080e+01 8.82060318e+01 8.53050156e+01 8.08363647e+01 7.72038574e+01 7.45064850e+01 7.04130173e+01 6.77665329e+01 6.26023560e+01 6.18266678e+01 5.77819901e+01 5.16846962e+01 4.72367821e+01 4.37341042e+01 3.94941025e+01 3.68379288e+01 3.37760391e+01 3.22060432e+01 3.21958313e+01 2.95940380e+01 2.65002747e+01 2.37845993e+01 2.18358669e+01 2.09768066e+01 2.07128811e+01 1.95247002e+01 1.87105350e+01 1.60013599e+01 1.59477034e+01 1.46371899e+01 1.33732996e+01 1.19105759e+01 1.12796564e+01 8.56768608e+00 5.83264303e+00 2.56101394e+00 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01,1741.578824,41.73222764,23.03944206,0.039744,rolling6,3,0.5917279428258745
2,1.67187607e+00 4.26321268e+00 5.58390236e+00 1.04076805e+01 1.46307545e+01 1.79883900e+01 2.20586014e+01 2.62267647e+01 2.90281277e+01 3.27542267e+01 3.59339333e+01 3.80043182e+01 4.24865608e+01 4.74756508e+01 5.40046844e+01 5.59955940e+01 5.92261620e+01 6.38024254e+01 6.68326874e+01 7.15778885e+01 7.53193130e+01 8.00385208e+01 8.51117554e+01 9.04684906e+01 9.55727310e+01 9.89478378e+01 1.03988892e+02 1.06837753e+02 1.10654007e+02 1.13600739e+02 1.15230202e+02 1.17880989e+02 1.19862236e+02 1.22334404e+02 1.23453682e+02 1.26581161e+02 1.27582680e+02 1.30259293e+02 1.31946457e+02 1.34916031e+02 1.37365646e+02 1.37194183e+02 1.37423523e+02 1.37085800e+02 1.37315491e+02 1.35202042e+02 1.34075897e+02 1.31232635e+02 1.29737762e+02 1.28165131e+02 1.26435066e+02 1.26033890e+02 1.25700554e+02 1.26298988e+02 1.26059982e+02 1.24040649e+02 1.22362297e+02 1.20105843e+02 1.15478798e+02 1.14507896e+02 1.10947456e+02 1.11901909e+02 1.10254616e+02 1.07056358e+02 1.06052917e+02 1.05709969e+02 1.01854630e+02 1.00155403e+02 9.78389969e+01 9.57286224e+01 9.24407654e+01 9.16967773e+01 8.86406174e+01 8.57901917e+01 8.13179703e+01 7.78478470e+01 7.52293015e+01 7.11754303e+01 6.88418579e+01 6.38226929e+01 6.31724739e+01 5.93445511e+01 5.33209953e+01 4.89804306e+01 4.55356712e+01 4.13686218e+01 3.87317505e+01 3.56317024e+01 3.39881744e+01 3.39283562e+01 3.12321873e+01 2.81415730e+01 2.53377876e+01 2.33608894e+01 2.25117931e+01 2.21873169e+01 2.09162006e+01 2.00055523e+01 1.72055531e+01 1.69287663e+01 1.55529394e+01 1.42144709e+01 1.25859880e+01 1.18327980e+01 8.98318863e+00 6.15194559e+00 2.73854923e+00 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01,1150.617084,33.92074711,22.92880937,-0.16078104,rolling6,3,0.7216595714454827
3,1.00000001e-01 1.45336974e+00 2.81069231e+00 7.65470266e+00 1.18887529e+01 1.52344742e+01 1.92576942e+01 2.33974705e+01 2.61829300e+01 2.98781242e+01 3.30612564e+01 3.51578293e+01 3.96193886e+01 4.46061325e+01 5.11451530e+01 5.31387138e+01 5.63874474e+01 6.09623146e+01 6.39565849e+01 6.87879028e+01 7.25609360e+01 7.72766876e+01 8.23672180e+01 8.77230072e+01 9.28043289e+01 9.61282272e+01 1.01165352e+02 1.04014717e+02 1.07854218e+02 1.10742989e+02 1.12365120e+02 1.15010780e+02 1.16944397e+02 1.19423729e+02 1.20547737e+02 1.23622086e+02 1.24623917e+02 1.27381981e+02 1.29076599e+02 1.32018738e+02 1.34446991e+02 1.34277237e+02 1.34498642e+02 1.34128540e+02 1.34345352e+02 1.32243164e+02 1.31139740e+02 1.28376862e+02 1.26848335e+02 1.25321526e+02 1.23670883e+02 1.23257385e+02 1.22955391e+02 1.23655441e+02 1.23460960e+02 1.21445869e+02 1.19916924e+02 1.17786232e+02 1.13208244e+02 1.12341835e+02 1.08863045e+02 1.09854126e+02 1.08310455e+02 1.05199844e+02 1.04334465e+02 1.04250504e+02 1.00589439e+02 9.91293030e+01 9.70070648e+01 9.50563278e+01 9.19145203e+01 9.13569717e+01 8.85199280e+01 8.57868423e+01 8.14001389e+01 7.80759888e+01 7.55629349e+01 7.16008530e+01 6.94929123e+01 6.46220779e+01 6.41118469e+01 6.04847832e+01 5.45599937e+01 5.03491058e+01 4.69997749e+01 4.29077606e+01 4.03221588e+01 3.72660942e+01 3.56064987e+01 3.55298691e+01 3.28059883e+01 2.97462749e+01 2.68931503e+01 2.49193897e+01 2.40765457e+01 2.37024651e+01 2.23807907e+01 2.13934956e+01 1.84988594e+01 1.80686684e+01 1.66241550e+01 1.51814423e+01 1.34125614e+01 1.25459080e+01 9.52388382e+00 6.58743238e+00 3.01822257e+00 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01,720.431243,26.84085027,19.9460652,-0.13369752,rolling6,3,0.8231897470358056
4,1.00000001e-01 1.00000001e-01 1.29244530e+00 6.14495897e+00 1.03959141e+01 1.37340145e+01 1.77094231e+01 2.18194504e+01 2.45884857e+01 2.82524300e+01 3.14213181e+01 3.35224686e+01 3.79537544e+01 4.29264488e+01 4.94574890e+01 5.14382210e+01 5.46822777e+01 5.92426109e+01 6.21921577e+01 6.70728073e+01 7.08445053e+01 7.55319901e+01 8.06101074e+01 8.59390411e+01 9.09722748e+01 9.42311478e+01 9.92346725e+01 1.02054482e+02 1.05882156e+02 1.08696724e+02 1.10290298e+02 1.12903610e+02 1.14771530e+02 1.17231918e+02 1.18331024e+02 1.21333626e+02 1.22301048e+02 1.25090958e+02 1.26757263e+02 1.29650635e+02 1.32040192e+02 1.31844727e+02 1.32037216e+02 1.31627655e+02 1.31810226e+02 1.29696381e+02 1.28593582e+02 1.25867897e+02 1.24304382e+02 1.22797501e+02 1.21201805e+02 1.20776810e+02 1.20491501e+02 1.21256912e+02 1.21084671e+02 1.19070778e+02 1.17644020e+02 1.15593994e+02 1.11049835e+02 1.10260048e+02 1.06837868e+02 1.07845467e+02 1.06379639e+02 1.03338585e+02 1.02570282e+02 1.02665810e+02 9.91470718e+01 9.78506927e+01 9.58673782e+01 9.40401382e+01 9.10072556e+01 9.05922623e+01 8.79264603e+01 8.52911072e+01 8.09781570e+01 7.77923584e+01 7.53825226e+01 7.15180359e+01 6.96058807e+01 6.48700027e+01 6.44919357e+01 6.10412292e+01 5.52185211e+01 5.11350822e+01 4.78868370e+01 4.38936272e+01 4.13798141e+01 3.83928146e+01 3.67683525e+01 3.67126923e+01 3.39983292e+01 3.10007248e+01 2.81468449e+01 2.62116108e+01 2.54096870e+01 2.50255642e+01 2.36889515e+01 2.26704102e+01 1.97363396e+01 1.92066746e+01 1.77378387e+01 1.62453213e+01 1.43938265e+01 1.34545708e+01 1.03408422e+01 7.33753300e+00 3.68696976e+00 2.54425257e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01,436.0582401,20.88200757,14.75078053,0.12412512,rolling6,3,0.8920058066293404
5,1.00000001e-01 1.00000001e-01 3.22753310e-01 5.16937447e+00 9.44079208e+00 1.27668962e+01 1.66888504e+01 2.07560482e+01 2.34971123e+01 2.71198273e+01 3.02555866e+01 3.23414688e+01 3.67275658e+01 4.16683884e+01 4.81723022e+01 5.01222038e+01 5.33386040e+01 5.78665047e+01 6.07557755e+01 6.56594162e+01 6.94081650e+01 7.40481949e+01 7.90924149e+01 8.43768997e+01 8.93441620e+01 9.25284653e+01 9.74806747e+01 1.00253067e+02 1.04054955e+02 1.06789780e+02 1.08344711e+02 1.10918381e+02 1.12722061e+02 1.15161232e+02 1.16231354e+02 1.19168457e+02 1.20094917e+02 1.22909187e+02 1.24545906e+02 1.27394218e+02 1.29756561e+02 1.29540161e+02 1.29708923e+02 1.29279373e+02 1.29438995e+02 1.27323311e+02 1.26228409e+02 1.23538162e+02 1.21961365e+02 1.20477364e+02 1.18946068e+02 1.18531380e+02 1.18274277e+02 1.19101974e+02 1.18956169e+02 1.16957458e+02 1.15618927e+02 1.13635513e+02 1.09123398e+02 1.08398949e+02 1.05026306e+02 1.06040039e+02 1.04636497e+02 1.01655716e+02 1.00958778e+02 1.01190063e+02 9.77831345e+01 9.66096344e+01 9.47280273e+01 9.29984436e+01 9.00464401e+01 8.97422562e+01 8.72102051e+01 8.46465073e+01 8.03860931e+01 7.73196640e+01 7.49971695e+01 7.12161331e+01 6.94707870e+01 6.48491898e+01 6.45810471e+01 6.12750282e+01 5.55413322e+01 5.15665665e+01 4.84041786e+01 4.45060577e+01 4.20609245e+01 3.91371613e+01 3.75539780e+01 3.75274734e+01 3.48308220e+01 3.18928413e+01 2.90552826e+01 2.71617317e+01 2.64065380e+01 2.60260277e+01 2.46858177e+01 2.36565571e+01 2.07078056e+01 2.01022663e+01 1.86271133e+01 1.71136932e+01 1.52077608e+01 1.42171373e+01 1.10556526e+01 8.01112461e+00 4.31967306e+00 8.45072627e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01,273.654615,16.54250933,11.8903318,-0.064008,rolling6,3,0.9314639156913547
6,1.00000001e-01 1.38412237e+00 2.82271600e+00 7.70287180e+00 1.20259609e+01 1.53976593e+01 1.92962933e+01 2.33778725e+01 2.61404743e+01 2.97719078e+01 3.28717003e+01 3.49332085e+01 3.93024254e+01 4.42216034e+01 5.06994476e+01 5.26080589e+01 5.57761040e+01 6.02654533e+01 6.30898933e+01 6.79418564e+01 7.15862427e+01 7.61211929e+01 8.10593262e+01 8.62263107e+01 9.10613251e+01 9.41125641e+01 9.89288635e+01 1.01561928e+02 1.05215591e+02 1.07784309e+02 1.09210136e+02 1.11630951e+02 1.13273811e+02 1.15564285e+02 1.16478951e+02 1.19238701e+02 1.19975014e+02 1.22627563e+02 1.24081261e+02 1.26753090e+02 1.28966644e+02 1.28595139e+02 1.28614960e+02 1.28062378e+02 1.28073410e+02 1.25824730e+02 1.24617744e+02 1.21812790e+02 1.20134987e+02 1.18557594e+02 1.16967522e+02 1.16499535e+02 1.16174042e+02 1.16943245e+02 1.16731895e+02 1.14702728e+02 1.13326614e+02 1.11297897e+02 1.06780807e+02 1.06054268e+02 1.02675262e+02 1.03654526e+02 1.02276451e+02 9.93390427e+01 9.86524353e+01 9.88633194e+01 9.54914017e+01 9.43058319e+01 9.24550171e+01 9.07797470e+01 8.78735275e+01 8.76010742e+01 8.51651535e+01 8.26921082e+01 7.85117416e+01 7.55961685e+01 7.33998642e+01 6.97594833e+01 6.81407700e+01 6.36211586e+01 6.34791946e+01 6.03147011e+01 5.47136650e+01 5.08776360e+01 4.78563271e+01 4.41358833e+01 4.18265114e+01 3.90674515e+01 3.76710014e+01 3.77705193e+01 3.51840401e+01 3.24048004e+01 2.96845989e+01 2.79166870e+01 2.72901878e+01 2.69915409e+01 2.57285213e+01 2.47786579e+01 2.19356518e+01 2.13785210e+01 1.99953671e+01 1.85690823e+01 1.67448883e+01 1.57974339e+01 1.27555618e+01 9.74664593e+00 6.17909098e+00 2.79874182e+00 9.97686923e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01,215.0510495,14.66461897,9.220458317,-0.10703376,rolling6,3,0.944296623111965
7,6.56962633e+00 9.36671925e+00 1.08633270e+01 1.59609413e+01 2.03832645e+01 2.39627190e+01 2.79495544e+01 3.22495346e+01 3.51959343e+01 3.90094833e+01 4.21506691e+01 4.42707367e+01 4.87860069e+01 5.37769279e+01 6.03349152e+01 6.22546501e+01 6.54120026e+01 6.99008408e+01 7.27091293e+01 7.74119110e+01 8.08407898e+01 8.52238464e+01 8.99805450e+01 9.49389801e+01 9.95714569e+01 1.02406364e+02 1.06971474e+02 1.09315994e+02 1.12585190e+02 1.14812843e+02 1.15916550e+02 1.17943130e+02 1.19235191e+02 1.21099388e+02 1.21602058e+02 1.23952629e+02 1.24195244e+02 1.26300774e+02 1.27265877e+02 1.29440338e+02 1.31192398e+02 1.30354630e+02 1.29912720e+02 1.28948242e+02 1.28502548e+02 1.25807152e+02 1.24202988e+02 1.20992531e+02 1.18942703e+02 1.17001945e+02 1.15029045e+02 1.14298141e+02 1.13626648e+02 1.14086975e+02 1.13613892e+02 1.11436348e+02 1.09795090e+02 1.07543129e+02 1.02975250e+02 1.02110428e+02 9.86296234e+01 9.95273056e+01 9.81432419e+01 9.52598877e+01 9.45350494e+01 9.45139160e+01 9.11222687e+01 8.97986526e+01 8.79648590e+01 8.63192139e+01 8.34837112e+01 8.31176376e+01 8.08189621e+01 7.85571594e+01 7.45851593e+01 7.18863144e+01 6.99101410e+01 6.65275803e+01 6.49295959e+01 6.04665070e+01 6.04726868e+01 5.74610748e+01 5.20768242e+01 4.84305038e+01 4.56570396e+01 4.22193184e+01 4.01407890e+01 3.77464256e+01 3.67430000e+01 3.71002007e+01 3.47666664e+01 3.22802887e+01 2.97917099e+01 2.82276154e+01 2.78005943e+01 2.76539879e+01 2.65781631e+01 2.58136520e+01 2.32229786e+01 2.29258289e+01 2.17509384e+01 2.05264111e+01 1.90019302e+01 1.82526569e+01 1.55239925e+01 1.26729212e+01 9.45411205e+00 6.33054686e+00 4.74054384e+00 1.02249753e+00 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01,230.9059295,15.19558915,8.782093752,0.0018144,rolling6,3,0.9391098945307952
8,1.19772949e+01 1.49016953e+01 1.64922237e+01 2.17717590e+01 2.62872009e+01 3.00293045e+01 3.40349846e+01 3.84537315e+01 4.14864731e+01 4.53978920e+01 4.85035286e+01 5.06487007e+01 5.52558746e+01 6.02226067e+01 6.68131409e+01 6.86817093e+01 7.17426987e+01 7.61238785e+01 7.88157654e+01 8.33299561e+01 8.65058365e+01 9.06941071e+01 9.52420807e+01 9.99700928e+01 1.04349075e+02 1.06942978e+02 1.11238930e+02 1.13255562e+02 1.16153214e+02 1.18022736e+02 1.18777145e+02 1.20420631e+02 1.21444489e+02 1.22974785e+02 1.23156174e+02 1.25223961e+02 1.25054268e+02 1.26782494e+02 1.27415703e+02 1.29158173e+02 1.30576691e+02 1.29396439e+02 1.28577927e+02 1.27371239e+02 1.26618645e+02 1.23656136e+02 1.21813423e+02 1.18420036e+02 1.16156479e+02 1.13988869e+02 1.11828499e+02 1.11007957e+02 1.10117935e+02 1.10440460e+02 1.09865707e+02 1.07703629e+02 1.05942497e+02 1.03601494e+02 9.90827179e+01 9.81212845e+01 9.46130600e+01 9.54351654e+01 9.40751190e+01 9.13042221e+01 9.05500870e+01 9.03418655e+01 8.69878311e+01 8.56367722e+01 8.38464966e+01 8.22250366e+01 7.94593735e+01 7.89420853e+01 7.67822800e+01 7.46623230e+01 7.08289108e+01 6.82472916e+01 6.64056625e+01 6.31713867e+01 6.14819374e+01 5.69815063e+01 5.69980927e+01 5.40055542e+01 4.87431908e+01 4.51649399e+01 4.25056381e+01 3.92201195e+01 3.72726898e+01 3.51266594e+01 3.43175240e+01 3.48294258e+01 3.26740608e+01 3.02972107e+01 2.79708576e+01 2.64483509e+01 2.60813980e+01 2.59936466e+01 2.50332203e+01 2.44148712e+01 2.20010204e+01 2.19030743e+01 2.08526993e+01 1.97900982e+01 1.85221348e+01 1.79492931e+01 1.54746838e+01 1.28386164e+01 9.94202423e+00 7.07743073e+00 5.72078848e+00 2.28741693e+00 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01 1.00000001e-01,256.2943857,16.00919691,9.591940965,-0.09319176,rolling6,3,0.929486814906674
9,2.62761612e+01 2.93619041e+01 3.10701962e+01 3.66727791e+01 4.13790436e+01 4.54429131e+01 4.95231552e+01 5.42037315e+01 5.74425545e+01 6.15594864e+01 6.46012344e+01 6.67445145e+01 7.14844055e+01 7.64060440e+01 8.30254669e+01 8.47335892e+01 8.76098862e+01 9.18185654e+01 9.42542343e+01 9.83837509e+01 1.01057060e+02 1.04821930e+02 1.08907333e+02 1.13149734e+02 1.17032326e+02 1.19125465e+02 1.22898468e+02 1.24286507e+02 1.26470299e+02 1.27677040e+02 1.27780746e+02 1.28722168e+02 1.29202057e+02 1.30044556e+02 1.29569168e+02 1.31041153e+02 1.30036728e+02 1.30972488e+02 1.30902664e+02 1.31836288e+02 1.32608429e+02 1.30796524e+02 1.29272858e+02 1.27563309e+02 1.26235062e+02 1.22693314e+02 1.20304283e+02 1.16497620e+02 1.13753036e+02 1.11075951e+02 1.08489990e+02 1.07448792e+02 1.06112991e+02 1.06061790e+02 1.05195999e+02 1.02945000e+02 1.00834045e+02 9.82093277e+01 9.36814804e+01 9.24912262e+01 8.88783646e+01 8.94984970e+01 8.81179733e+01 8.54746094e+01 8.45991211e+01 8.39179916e+01 8.05095062e+01 7.88915329e+01 7.70530853e+01 7.54013367e+01 7.26698685e+01 7.17770462e+01 6.98106766e+01 6.79038467e+01 6.42603302e+01 6.19100189e+01 6.03072281e+01 5.73200378e+01 5.55046654e+01 5.08937149e+01 5.09425964e+01 4.80024910e+01 4.29576721e+01 3.95026855e+01 3.70730438e+01 3.41143990e+01 3.24160233e+01 3.07225819e+01 3.03680210e+01 3.12192116e+01 2.94066887e+01 2.73306179e+01 2.53313255e+01 2.39613914e+01 2.37992249e+01 2.39049664e+01 2.32217789e+01 2.29156399e+01 2.09346046e+01 2.12976456e+01 2.05792027e+01 1.99212379e+01 1.92291508e+01 1.90881290e+01 1.72239761e+01 1.50389585e+01 1.28301783e+01 1.05523434e+01 9.73595524e+00 6.90305758e+00 2.35938501e+00 2.69950867e+00 1.22540072e-01 1.00000001e-01 1.00000001e-01 1.60034907e+00 2.61727214e+00 3.94683337e+00 5.71638536e+00 5.32558346e+00,285.5185389,16.89729383,3.518398091,-0.027072,rolling6,3,0.929447588749301
