predict_data,mse,rmse,mape,smooth,skip,result_corr
46.674038 56.16063  41.916397 36.87923  54.88534  35.90865  53.19186 65.4857   46.111    51.552734 60.146996 74.679344,373.47427,19.32548249544214,0.2445968,rolling8,6,0.4648003492000243
52.281654 39.99132  56.654797 27.518799 38.485218 60.433285 59.862507 59.913895 49.930775 53.224056 46.14781  76.207466,747.178,27.33455649019433,0.3236573,rolling8,6,-0.47234766192992605
66.28949  56.494167 75.35979  36.93148  57.852673 41.6159   32.3199 66.38635  37.6676   71.241455 59.35051  57.12313 ,224.21893,14.973941802527108,0.2391104,rolling8,6,0.24113255068216496
73.257324 59.279804 53.65175  24.388039 52.59369  49.403374 52.97267 53.03085  34.72223  59.737392 57.508106 50.95513 ,128.3008,11.326994151529746,0.1615085,rolling8,6,0.4920701736826645
68.43545  49.447613 66.26286  54.95498  30.651985 42.263596 62.943886 60.539307 66.84393  57.493248 67.91347  52.48051 ,124.46292,11.156295135150296,0.17461765,rolling8,6,0.2078823051590788
60.21167  59.900017 49.36505  46.42225  43.43779  58.503307 65.20059 71.94144  56.356327 59.014015 64.49202  59.852604,70.23363,8.380550537962046,0.11793369,rolling8,6,-0.05786064308976625
56.658752 58.697147 44.676674 39.870556 56.711475 41.64859  53.416058 69.89904  44.44072  66.59916  64.96051  76.43131 ,106.71896,10.330487095149332,0.1371205,rolling8,6,0.5983990555725769
50.66526  48.694798 50.17282  25.231949 52.13619  44.23083  44.351273 68.60531  41.97732  63.71094  55.74811  85.18255 ,434.25534,20.838794124808945,0.25196186,rolling8,6,0.48427573978381105
50.335262 33.552845 64.943825 27.880634 43.243515 45.861828 41.660763 64.90006  58.071785 63.301018 58.661793 75.88453 ,875.32733,29.58593131106352,0.34221447,rolling8,6,0.540442634230733
47.24605  31.923046 68.51053  30.222906 41.004147 49.077415 55.671883 60.378098 59.907562 54.689934 67.4957   66.08831 ,972.06683,31.17798636050913,0.34144998,rolling8,6,-0.49766868654186164
48.908108 39.80414  65.09462  37.52636  47.12449  31.855223 51.750294 57.656223 53.251133 54.311787 70.67094  71.02103 ,766.01605,27.67699500029029,0.32320103,rolling8,6,0.20023925174819937
43.481003 46.22643  64.12291  21.911663 45.80703  48.115135 44.377785 57.49515  44.597916 53.111862 56.766647 78.6634  ,1364.7135,36.94202892338972,0.41027233,rolling8,6,0.5235412877496874
43.67599  41.665524 70.12337  28.459316 45.855614 51.353077 42.37495 59.935955 51.96417  56.777367 56.5255   67.37706 ,2663.8003,51.61201694342849,0.49606097,rolling8,6,0.4112081546071314
38.47236  30.885601 79.132706 34.235195 43.406418 53.028637 63.126854 52.651863 62.380955 58.15084  64.41155  77.76706 ,2649.2756,51.471114566964886,0.4465157,rolling8,6,-0.5397686210176814
54.024616 57.869762 81.86957  26.55402  35.18133  48.6751   45.25018 61.77041  52.377876 66.10277  67.34045  80.954765,1314.9366,36.26205517490442,0.35753766,rolling8,6,0.13317832673985894
53.090466  74.01479   83.3499     5.2243905 59.876125  51.221687 32.121365  43.16933   18.711502  73.06858   43.54299   81.06002  ,2445.4111,49.45109839844308,0.4448987,rolling8,6,0.002314638713523276
53.732155 61.23936  79.75552  29.044445 45.981697 31.6543   31.622303 64.86827  52.96169  60.44561  40.64675  79.79774 ,3908.4727,62.51777872133654,0.5257408,rolling8,6,-0.041824854720389715
35.210598 33.741173 70.842804 30.538248 35.612106 62.872757 64.58195 56.013508 66.375786 65.47266  58.720695 86.02682 ,3808.0586,61.70946923892637,0.4925618,rolling8,6,-0.6000712506774862
52.637043 39.233692 92.45155  18.671707 20.017485 75.529594 59.920605 49.65748  61.71468  75.00495  62.13265  87.01755 ,2374.0627,48.724354732932326,0.41969875,rolling8,6,0.035677875833846025
70.91458  64.43716  86.43969  31.952919 49.56017  63.854916 45.422188 41.281464 33.37148  76.3592   53.10284  81.10509 ,3429.4856,58.561810044628274,0.46087614,rolling8,6,-0.08131409273393825
57.560215 59.366318 57.841324 40.944237 60.18621  40.780624 50.03 66.71342  43.873672 66.45657  36.564034 97.15168 ,5060.3853,71.13638488077848,0.5433683,rolling8,6,-0.4391901649545225
 40.31854   30.886475  63.086205  22.001623  33.6396    68.3256  84.012505  35.233418  68.46275   76.757515  56.048344 100.525444,4168.633,64.56495034072279,0.4856238,rolling8,6,-0.6319773922837064
