predict_data,mse,rmse,mape,smooth,skip,result_corr
42.49197  55.60136  57.4152   47.043747 60.52975  43.084244 63.177696 43.776974 56.515213 75.06681  54.107334 54.68719 ,149.24904,12.216752379265492,0.22492658,weighted48,6,0.3456349749590002
49.806442 46.830296 49.713707 44.78291  61.47478  58.245754 60.349304 44.447323 57.88108  56.694035 56.711628 31.777668,68.44816,8.273340212040125,0.111508995,weighted48,6,0.2873663843551875
48.38027  56.63923  53.56367  52.75018  58.16732  45.85807  52.403126 41.090115 45.412426 68.676735 49.41142  51.002834,51.123997,7.150104665990502,0.103315346,weighted48,6,0.07481201194580078
48.865437 56.388012 51.607395 57.72861  53.865074 50.426888 52.254528 57.354633 55.08162  63.18968  50.342216 46.154865,20.727306,4.552725158184579,0.06987908,weighted48,6,-0.2846639928302189
40.051193 51.272697 46.94904  53.111027 58.60616  58.80526  67.78674 56.64745  55.111935 65.02262  41.459873 47.697308,70.418205,8.391555592453074,0.12607366,weighted48,6,-0.09138133684671026
43.56036  55.92076  54.4315   50.31921  65.37437  58.943947 76.12411 59.80335  47.26118  78.045    48.198627 50.415016,110.52079,10.512886858522622,0.14671387,weighted48,6,0.4715041923227624
44.623573 58.61388  54.728725 50.13531  68.61834  59.07801  80.63031 57.036816 43.377014 82.16241  53.949966 50.42389 ,155.88577,12.485422407955532,0.16958356,weighted48,6,-0.09047187329423653
46.091206 60.19719  50.349533 49.931793 70.18658  61.73275  82.281235 61.707806 43.85408  81.84581  53.363285 49.728096,152.81856,12.36198033242481,0.17335619,weighted48,6,0.16641240282563974
46.039536 59.801155 42.900784 53.796894 69.35516  60.4749   81.37832 63.3596   44.214523 82.21943  47.56636  44.63715 ,224.98738,14.999579360150248,0.1963964,weighted48,6,0.10230167927787634
45.241108 60.213417 38.78906  53.734837 69.838585 65.712944 81.05377 64.00887  40.501602 79.78819  47.16577  42.508778,309.16898,17.583201523899966,0.21654135,weighted48,6,0.31599540216278066
42.62611  61.370464 39.0539   55.68648  67.379745 69.268585 80.57793 61.250343 40.848854 80.03204  48.574017 43.053505,376.52975,19.40437462632259,0.22750612,weighted48,6,-0.24520058193405175
44.69585  59.37777  38.930634 54.067818 68.8842   68.363335 81.21637 64.256134 39.4839   78.39985  48.1971   43.82562 ,492.703,22.196914265944432,0.24095114,weighted48,6,0.024807275966769488
44.22724  60.6593   36.91104  55.87569  65.46531  67.99581  79.99087 64.441124 37.806103 77.936584 47.335323 42.89691 ,800.26764,28.28900208844696,0.29836234,weighted48,6,0.08594680787277287
38.367546 72.74347  34.262012 52.003967 62.9791   74.57675  71.6646 48.028984 41.173737 69.34337  50.010487 32.21114 ,1185.0317,34.424289945926986,0.36731055,weighted48,6,0.3956546029172765
43.9228   66.85374  47.76945  44.25658  75.188255 71.00485  61.804367 44.174213 30.85488  67.95946  49.72102  49.220078,1138.8046,33.74617853075645,0.36277667,weighted48,6,-0.17739169486446643
47.55934  66.09153  56.127426 62.775085 60.963123 65.9884   67.95801 50.38101  28.109724 63.537716 58.25155  51.06469 ,1118.649,33.4462112630349,0.35450444,weighted48,6,-0.23914127005577704
44.76127  64.87915  46.32706  55.210197 53.6211   66.61703  77.61816 71.49362  34.732265 63.2985   53.16166  47.880947,1544.5775,39.30111340214725,0.39630166,weighted48,6,0.03722206335470671
40.22566  68.34448  44.377274 52.39501  60.98767  68.23677  64.36724 60.380505 35.35047  62.879257 53.029408 48.118286,1922.4873,43.84617776599803,0.43780693,weighted48,6,0.4287335050783451
49.0287   66.37668  48.944515 51.385143 66.31494  71.05818  56.67737 47.47478  31.33972  63.53964  55.526608 42.018867,2036.7047,45.12986496671647,0.44609776,weighted48,6,-0.19825357074505562
40.147614 67.14145  58.092766 57.932217 53.42023  77.48919  63.05672 44.18853  28.391031 61.308315 75.269684 47.680347,2278.0913,47.72935478920441,0.44619986,weighted48,6,-0.03705828923196139
49.2718   63.521885 68.08808  53.005527 59.634888 64.18043  64.53605 69.14661  34.538223 59.929577 60.198006 78.81765 ,2273.5203,47.68144569611827,0.43500575,weighted48,6,0.14491945505552076
50.113777 59.654007 42.63456  60.194336 58.41865  68.36157  54.912262 56.552658 31.462881 57.23187  54.187424 45.242367,2988.5798,54.66790497160446,0.5035429,weighted48,6,0.3273515201825258
43.94992  72.17165  48.807186 45.45032  58.39738  82.885216 51.35809 49.097015 35.17356  59.902054 59.69239  45.025856,2665.8489,51.631859127414,0.47954425,weighted48,6,0.06352247606281283
