date,pm25,temp,rh,psfc,wnd_dir,wnd_spd
20130101 00:00:00,30.37,275.43,37.25,95350.46,214.8798663,6.277786234
20130101 01:00:00,30.415,275.35,36.19,95345.57500000001,216.06848,6.2131938505
20130101 02:00:00,30.396666666666665,275.28000000000003,35.29666666666666,95349.85333333335,217.1535378,6.162153986
20130101 03:00:00,30.2,275.2125,34.5,95357.70750000002,216.8698976,6.1216154895
20130101 04:00:00,30.034,275.168,33.564,95365.25400000002,215.5964186,6.0311724558
20130101 05:00:00,29.76,275.12666666666667,32.596666666666664,95373.10666666669,214.3543367,5.982899195833333
20130101 06:00:00,29.52,275.0585714285714,31.784285714285712,95383.78142857144,215.1834215,5.933976917142857
20130101 07:00:00,29.10625,274.99249999999995,31.06,95395.40875000002,206.7026709,5.8904440425
20130101 08:00:00,28.3175,274.85875,29.615000000000002,95403.315,199.9292824,5.787818859250001
20130101 09:00:00,28.386249999999997,274.85875,29.66625,95408.425,223.4088597,5.2739003075
20130101 10:00:00,29.30875,274.86875,30.171249999999997,95408.64375,245.6298799,4.676946701125
20130101 11:00:00,30.27375,274.99875000000003,30.8575,95401.30000000002,7.016501745,4.00880977275
20130101 12:00:00,31.018749999999997,275.2575,31.6875,95382.42625,37.51911382,3.47664606375
20130101 13:00:00,31.533749999999998,275.64125,32.60125,95355.185,39.06583454,3.006886524125
20130101 14:00:00,31.94125,276.1425,33.48375,95320.21625000001,38.61288297,2.5401914025
20130101 15:00:00,32.52375,276.73375000000004,34.38,95278.67375,31.42956561,2.13203373025
20130101 16:00:00,33.30875,277.39375,35.24125,95242.73625000002,35.20707998,1.77732349675
20130101 17:00:00,33.14,277.9575,34.82875,95212.56375,34.78312037,1.831621756625
20130101 18:00:00,32.5475,278.50125,34.26375,95188.74124999999,23.93957066,1.988361782875
20130101 19:00:00,32.4125,278.8525,33.9,95173.4175,20.59072789,2.1481887245
20130101 20:00:00,32.7075,278.92,34.43875,95171.77375,145.6697828,2.0337383512500002
20130101 21:00:00,33.6,278.765,35.41125,95180.48875,241.5429834,1.9720604735
