,predict_data,mse,rmse,mape,shap,smooth,skip
0,"[ 27.24643   30.962332  33.195755  38.95089   42.42604   47.805977
  52.215145  57.618065  64.12657   67.35557   71.362625  74.47141
  81.78965   89.31372   97.20739  100.24321  108.322136 113.133286
 119.20866  122.95738  130.0491   135.03365  144.34665  144.65366
 151.53241  155.11948  157.94582  160.31834  169.08463  168.51859
 171.62851  178.4573   180.3985   179.97424  183.56386  184.25403
 182.91919  183.31943  185.37497  184.29382  185.73636  184.97992
 182.26999  179.28914  179.48164  178.53731  177.33705  174.45662
 172.01515  168.5156   169.59976  163.62816  161.57939  160.24936
 154.9534   152.45718  147.21436  146.08235  142.74277  141.0177
 135.69789  132.4823   129.35394  124.59544  121.57979  116.55319
 113.26978  111.82148  106.41199  107.66568  103.213455  98.94416
  94.94455   91.28977   88.76415   86.70887   84.32056   77.94466
  78.13792   72.948105  70.7579    71.49757   65.58387   62.652805
  60.097046  58.093475  56.141994  55.42688   51.885334  49.199623
  45.53409   45.207466  41.8114    40.154175  38.999325  38.73437
  36.666027  34.94138   31.761497  31.614014  27.81261   25.734297
  25.172945  22.543865  21.011263  19.996243  22.42249   21.13589
  17.960377  18.838974  18.206335  16.635067  15.681186  16.166494
  15.720907  16.125345  17.640547  17.490498  16.092514  17.873644]",5044.188674135099,71.0224519017409,0.6538723025749412,5.357706116710309e-05,weighted9,1
1,"[ 25.454235  29.105202  31.93741   37.378365  41.166367  46.224213
  50.660378  55.59697   61.60998   65.54231   70.02352   73.603424
  80.33374   87.08367   94.452934  98.127495 105.377075 110.526886
 116.335754 120.44323  127.00749  131.86519  139.79843  141.39772
 147.33076  150.93388  154.11937  156.78018  163.98732  164.28568
 167.2384   172.74522  174.53896  174.7556   177.64758  178.42543
 177.68353  178.05582  179.38531  178.81516  179.40631  178.6999
 176.65616  174.3228   174.14572  172.8671   171.54668  169.04773
 166.7006   163.6603   163.5396   158.80276  156.7138   154.85298
 150.22859  147.84323  143.40056  141.86005  138.34308  136.47116
 131.87503  128.64723  125.747116 121.43165  118.5238   114.055176
 110.97314  109.12263  104.263535 104.2472   100.33497   96.63834
  92.90439   89.68423   87.14284   84.708755  82.37082   77.27108
  76.76356   72.470406  69.92471   69.58648   64.69108   61.93151
  59.562508  57.28535   55.126133  53.954258  50.905476  48.154987
  44.826702  43.855713  40.713665  38.901577  37.582806  36.788982
  34.48602   32.64657   30.17735   29.349314  26.341946  24.34046
  23.535292  21.226147  19.679674  18.651165  19.811716  18.591753
  16.362013  16.622046  15.925484  14.899203  14.080174  14.43837
  14.211993  14.676668  15.898255  15.978393  15.432978  16.946297]",4481.1692248891595,66.94153587190213,0.6561097487696802,2.8474420835310954e-05,weighted9,1
2,"[ 24.032166   27.638897   31.063272   36.190277   40.26898    45.019436
  49.493267   53.8913     59.44978    64.14352    69.09271    73.09801
  79.26274    85.19847    92.15202    96.438866  102.863464  108.34089
 113.932236  118.33822   124.416855  129.15364   135.6655    138.58014
 143.5843    147.16757   150.7377    153.66238   159.38919   160.45963
 163.29639   167.52484   169.15465   169.98607   172.18678   173.05626
 172.83864   173.16446   173.78493   173.68845   173.43317   172.73264
 171.41327   169.67209   169.14766   167.56537   166.0951    163.98578
 161.68668   159.066     157.69688   154.16383   152.07257   149.70529
 145.69307   143.40254   139.75732   137.80438   134.04773   132.0386
 128.16954   124.87623   122.20944   118.31172   115.47439   111.498924
 108.64645   106.42425   102.009285  100.82214    97.41404    94.258446
  90.74933    87.9801     85.37539    82.597595   80.280106   76.43932
  75.2547     71.7272     68.91766    67.569725   63.581047   60.960026
  58.84088    56.312798   53.98526    52.380398   49.766705   46.97245
  43.944946   42.413315   39.499023   37.56187    36.117004   34.84002
  32.307774   30.331987   28.612629   27.157907   24.876104   22.967058
  21.969028   19.960976   18.393501   17.443203   17.39074    16.22148
  14.8812     14.565373   13.832622   13.33627    12.630313   12.9116535
  12.919205   13.419056   14.357664   14.682607   14.986543   16.244184 ]",3988.407742235694,63.15384186441624,0.6596572183476819,6.517370646811863e-06,weighted9,1
3,"[ 23.218248   26.804266   30.781996   35.613003   39.95219    44.425358
  48.93793    52.784397   57.943043   63.37222    68.75252    73.10331
  78.75028    83.89371    90.51982    95.34022   100.98729   106.75254
 112.152214  116.78154   122.42036   127.02483   132.17491   136.30768
 140.43286   143.95436   147.88654   151.02129   155.39705   157.113
 159.84537   162.89336   164.34036   165.71088   167.25845   168.20062
 168.42078   168.67233   168.62842   168.94771   167.88763   167.15884
 166.5411    165.31471   164.47504   162.61674   160.988     159.24362
 156.95937   154.70224   152.14291   149.7119    147.6451    144.81789
 141.33588   139.13371   136.22896   133.89894   129.87546   127.75726
 124.566574  121.18248   118.74454   115.21791   112.43234   108.875
 106.260796  103.72125    99.647675   97.442345   94.4867     91.82266
  88.49726    86.16212    83.47455    80.39961    78.090195   75.40533
  73.617874   70.71668    67.720795   65.48205    62.266125   59.756977
  57.91293    55.168842   52.704403   50.716267   48.474854   45.6649
  42.897556   40.894497   38.189148   36.162167   34.63592    32.945015
  30.200138   28.095554   27.112179   25.10724    23.474688   21.667841
  20.534885   18.802448   17.21781    16.405355   15.272514   14.155309
  13.620027   12.805039   12.065776   12.0678425  11.462815   11.716066
  11.964038   12.5005045  13.200505   13.77082    14.873418   15.913297 ]",3565.1355584835333,59.708756129093274,0.6629571129468108,1.9433778608984725e-05,weighted9,1
4,"[ 21.426794  24.93475   29.42214   33.94783   38.54585   42.713543
  47.225468  50.620502  55.328964  61.363716  67.16018   71.87879
  77.00436   81.448006  87.62535   92.9837    97.89655  103.97208
 109.129654 114.06958  119.25818  123.74208  127.691826 132.97095
 136.25653  139.79387  144.07231  147.47105  150.49323  152.98053
 155.58838  157.4961   158.82167  160.77818  161.7379   162.78069
 163.55432  163.79376  163.12521  163.94621  162.13335  161.47849
 161.48003  160.86035  159.7254   157.58018  155.87561  154.49483
 152.31485  150.48209  146.87236  145.55356  143.47906  140.18733
 137.2963   135.22444  133.03383  130.36943  126.16878  123.95458
 121.40015  118.0037   115.786896 112.63788  109.96121  106.88325
 104.457794 101.57707   97.9575    94.64695   92.16977   90.01718
  86.913124  84.968124  82.268394  78.85329   76.59956   75.03509
  72.65466   70.533104  67.234634  64.038605  61.727615  59.37792
  57.72396   54.73404   52.079483  49.698868  47.916534  45.041092
  42.56927   39.996605  37.51625   35.36026   33.70652   31.552675
  28.570297  26.362034  26.031258  23.397163  22.478664  20.729027
  19.386667  17.921497  16.306774  15.475102  13.22526   12.159499
  12.447787  11.070692  10.255219  10.725666  10.209372  10.337017
  10.761769  11.346513  11.775486  12.518093  14.349414  15.127573]",3112.5231810619853,55.789991764311864,0.6633659692540143,-1.9831103270756378e-05,weighted9,1
5,"[ 20.145758   23.603203   28.579447   32.82394    37.65701    41.55076
  46.07881    49.000874   53.312542   59.975574   66.16102    71.21555
  75.8554     79.600716   85.42116    91.28206    95.49114   101.84322
 106.80683   111.99501   116.77311   121.14724   123.901596  130.29068
 132.78603   136.30766   140.92055   144.54657   146.32216   149.4705
 151.98471   152.82175   154.01518   156.50282   156.8921    158.02469
 159.26082   159.47032   158.21292   159.46063   156.93675   156.30559
 156.93382   156.8363    155.4238    153.02888   151.21605   150.17953
 148.05542   146.59067   141.93773   141.64996   139.58644   135.87068
 133.50192   131.5264    130.015     127.014694  122.607956  120.292175
 118.35171   114.902534  112.89077   110.09062   107.4807    104.816605
 102.58775    99.39676    96.1434     91.84471    89.79469    88.10164
  85.18276    83.618965   80.86711    77.156815   74.92482    74.420456
  71.47627    70.00094    66.48       62.42518    60.886868   58.658897
  57.22382    54.019596   51.2188     48.476067   47.074978   44.15979
  41.944363   38.89608    36.611298   34.35372    32.60078    30.040373
  26.854202   24.533072   24.846748   21.671608   21.377218   19.703424
  18.201052   16.987469   15.35059    14.580327   11.306778   10.284331
  11.323999    9.454538    8.6014595   9.51666     9.086096    9.142797
   9.758951   10.373885   10.559116   11.495627   14.03451    14.585842 ]",2734.2143018551637,52.28971506764178,0.6696142201203472,-0.00010840986625338785,weighted9,1
6,"[ 19.428843   22.858984   28.272722   32.265015   37.30314    40.96117
  45.50469    47.976448   51.95233    59.181416   65.7101     71.01711
  75.23333    78.33846    83.87835    90.1501     93.727936  100.311806
 105.100876  110.46783   114.88634   119.13925   120.812126  128.16655
 129.94241   133.41364   138.32027   142.11534   142.79637   146.47643
 148.89815   148.78775   149.8351    152.76288   152.63666   153.83305
 155.4445    155.59744   153.80858   155.41977   152.24446   151.61128
 152.80383   153.14543   151.4899    148.8695    146.95018   146.2172
 144.124     142.9663    137.37477   137.98645   135.95059   131.8635
 129.92882   128.04579   127.13168   123.845634  119.22509   116.84011
 115.44061   111.92822   110.11025   107.604195  105.05114   102.72606
 100.689735   97.24823    94.26893    89.14711    87.467354   86.17791
  83.40585    82.18991    79.3817     75.423676   73.210205   73.62844
  70.213005   69.25365    65.572525   60.791256   59.892384   57.7644
  56.551308   53.168938   50.24662    47.199234   46.11908    43.18847
  41.18828    37.747917   35.640717   33.313686   31.5025     28.608297
  25.237404   22.821356   23.735628   20.098724   20.350065   18.754686
  17.14471    16.152569   14.499364   13.824856    9.68532     8.711526
  10.406895    8.128837    7.2623205   8.580625    8.226021    8.251754
   9.056905    9.71236     9.70737    10.828134   14.001002   14.370236 ]",2413.3112087231984,49.12546395427934,0.6750802080212265,-2.4372501203883013e-06,weighted9,1
7,"[ 17.922363   21.281977   27.085995   30.827911   36.064503   39.47271
  44.000736   46.12014    49.731113   57.40275    64.251625   69.821915
  73.6246     76.18545    81.35348    88.02616    91.02641    97.85037
 102.42823   108.03634   112.09526   116.23775   116.990204  125.217575
 126.32555   129.80771   134.98112   138.97919   138.5937    142.88559
 145.1968    144.19647   145.14761   148.53421   147.95645   149.23212
 151.29514   151.4384    149.16272   151.18887   147.42134   146.86359
 148.53128   149.36736   147.48837   144.63815   142.67883   142.23546
 140.24214   139.42838   133.03984   134.52881   132.4929    128.04297
 126.578156  124.81851   124.462425  120.93515   116.18287   113.74277
 112.835594  109.32825   107.69397   105.48173   103.032814  101.089195
  99.203026   95.504036   92.88584    86.90124    85.60516    84.72775
  82.13285    81.22289    78.422134   74.19335    72.040955   73.32863
  69.47001    69.13842    65.21135    59.67587    59.505733   57.516674
  56.453228   52.87589    49.796047   46.44783    45.7504     42.76524
  41.003277   37.106598   35.18437    32.760014   30.8561     27.600658
  24.032766   21.545902   22.97422    18.82857    19.66008    18.10537
  16.331896   15.5481615  13.869852   13.16227     8.155876    7.2290926
   9.57459     6.851499    5.9169803   7.602023    7.3125772   7.230814
   8.16875     8.873435    8.658988    9.900948   13.632638   13.792069 ]",2077.2009309257396,45.57631984842282,0.6812242135410916,-2.7647129772167274e-05,weighted9,1
8,"[ 16.027214   19.301817   25.47193    28.973091   34.40006    37.560028
  42.06698    43.873707   47.119614   55.19671    62.35144    68.20014
  71.6016     73.66119    78.44094    85.5181     87.97306    95.038
  99.411156  105.283226  108.99578   113.04876   112.94846   122.01941
 122.50385   126.0283    131.4612    135.68114   134.27095   139.19609
 141.40933   139.56332   140.44916   144.30264   143.30908   144.67784
 147.21002   147.37198   144.64436   147.09068   142.77753   142.31989
 144.43619   145.7739    143.6859    140.62169   138.64258   138.48254
 136.60858   136.14513   129.01718   131.36029   129.31519   124.5175
 123.527916  121.889595  122.07131   118.31246   113.46106   110.959724
 110.523674  107.038605  105.57404   103.653015  101.311035   99.75422
  97.9974     94.03586    91.80152    84.951454   84.02971    83.55111
  81.137825   80.51091    77.7288     73.22652    71.13697    73.26401
  68.96551    69.28084    65.08516    58.796825   59.36274    57.51515
  56.57235    52.79534    49.553547   45.90476    45.592724   42.53485
  41.00924    36.648636   34.899014   32.36486    30.349545   26.726553
  22.966923   20.4089     22.305021   17.651287   19.04748    17.519224
  15.561296   14.974989   13.267075   12.487963    6.622107    5.732182
   8.706234    5.5328236   4.5130544   6.539356    6.308247    6.0943937
   7.1403685   7.883464    7.447722    8.78929    13.043826   12.984686 ]",1759.7790685760594,41.949720721073454,0.7003505571138469,-3.951846854149248e-05,weighted9,1
9,"[ 15.050525   18.287409   24.790146   28.087938   33.674908   36.63932
  41.14552    42.62048    45.58681    54.072914   61.493984   67.54157
  70.60741    72.18567    76.71201    84.11143    86.079216   93.3334
  97.55486   103.590096  107.01776   110.97751   110.06896   119.883316
 119.81103   123.318954  128.98349   133.35371   131.08331   136.46432
 138.60309   136.0257    136.81691   141.03503   139.65865   141.09137
 143.95758   144.09601   140.9665    143.73087   138.92294   138.49762
 141.04489   142.761     140.49388   137.25504   135.22118   135.30725
 133.48822   133.28851   125.46318   128.52399   126.49923   121.41214
 120.78411   119.23625   119.88577   115.91839   110.92268   108.37589
 108.3568    104.843956  103.533226  101.84556    99.56536    98.29052
  96.674034   92.51101    90.51804    82.9978     82.374016   82.219246
  79.92842    79.56349    76.75445    72.042175   69.979454   72.82171
  68.15651    68.91424    64.560165   57.676533   58.778187   57.020523
  56.231804   52.30128    48.945995   45.05152    45.015606   41.926826
  40.576157   35.879066   34.269024   31.668736   29.594809   25.694117
  21.776749   19.147495   21.495903   16.452602   18.294914   16.814137
  14.751688   14.334413   12.607141   11.860925    5.30327     4.4500947
   7.9437757   4.4304523   3.3799114   5.714563    5.5369487   5.2725677
   6.449631    7.227891    6.6327167   8.097863   12.831752   12.616234 ]",1515.6582742634205,38.93145610253257,0.7298400627012906,-7.211808778353186e-05,weighted9,1
